FileName, BlockVectorStartTime, ExperimentStartTime, AddedDate, ModifiedDate
D24_POSTsiembra_P2_A1_(I)(000), 11:19:45:462, 11:2:45:446, 11:19:45:487, 11:23:47:833
D24_POSTsiembra_P2_A1_(IV)(000), 13:41:9:78, 13:38:19:669, 13:41:9:88, 13:44:48:574
D24_POSTsiembra_P2_A2_(I)(000), 11:24:41:665, 11:2:45:446, 11:24:41:690, 11:28:43:635
D24_POSTsiembra_P2_A2_(IV)(000), 13:45:31:761, 13:38:19:669, 13:45:31:788, 13:49:19:327
D24_POSTsiembra_P2_A3_(I)(000), 11:29:45:266, 11:2:45:446, 11:29:45:318, 11:33:24:96
D24_POSTsiembra_P2_A3_(IV)(000), 13:50:7:809, 13:38:19:669, 13:50:7:845, 13:53:47:592
D24_POSTsiembra_P2_A4_(I)(000), 11:34:11:83, 11:2:45:446, 11:34:11:108, 11:38:17:838
D24_POSTsiembra_P2_A4_(IV)(000), 14:13:54:577, 14:13:42:953, 14:13:54:584, 14:17:34:604
D24_POSTsiembra_P2_A5_(I)(000), 11:39:6:110, 11:2:45:446, 11:39:6:139, 11:43:3:844
D24_POSTsiembra_P2_A5_(IV)(000), 14:18:10:57, 14:13:42:953, 14:18:10:66, 14:21:48:347
D24_POSTsiembra_P2_A6_(I)(000), 11:43:52:630, 11:2:45:446, 11:43:52:660, 11:47:29:602
D24_POSTsiembra_P2_A6_(IV)(000), 14:22:29:670, 14:13:42:953, 14:22:29:697, 14:26:8:573
D24_POSTsiembra_P2_B1_(I)(000), 11:48:26:675, 11:2:45:446, 11:48:26:700, 11:52:19:95
D24_POSTsiembra_P2_B1_(IV)(000), 14:39:15:502, 14:38:27:489, 14:39:15:530, 14:42:53:555
D24_POSTsiembra_P2_B2_(I)(000), 11:53:22:280, 11:2:45:446, 11:53:22:321, 11:57:21:644
D24_POSTsiembra_P2_B2_(IV)(000), 14:43:37:178, 14:38:27:489, 14:43:37:203, 14:47:32:555
D24_POSTsiembra_P2_B3_(I)(000), 12:19:27:186, 12:18:36:426, 12:19:27:207, 12:23:10:373
D24_POSTsiembra_P2_B3_(IV)(000), 14:48:14:404, 14:38:27:489, 14:48:14:412, 14:52:44:308
D24_POSTsiembra_P2_C1_(I)(000), 12:24:6:296, 12:18:36:426, 12:24:6:313, 12:27:46:111
D24_POSTsiembra_P2_C1_(IV)(000), 15:4:48:884, 14:38:27:489, 15:4:48:909, 15:9:15:580
D24_POSTsiembra_P2_C2_(I)(000), 12:28:37:130, 12:18:36:426, 12:28:37:144, 12:32:38:386
D24_POSTsiembra_P2_C2_(IV)(000), 14:59:6:4, 14:38:27:489, 14:59:6:18, 15:4:13:66
D24_POSTsiembra_P2_C3_(I)(000), 12:33:23:445, 12:18:36:426, 12:33:23:484, 12:37:19:366
D24_POSTsiembra_P2_C3_(IV)(000), 14:53:19:635, 14:38:27:489, 14:53:19:644, 14:58:26:805
D24_POSTsiembra_P2_D1_(I)(000), 12:38:10:512, 12:18:36:426, 12:38:10:559, 12:41:49:373
D24_POSTsiembra_P2_D1_(IV)(000), 15:9:54:462, 14:38:27:489, 15:9:54:472, 15:13:35:325
D24_POSTsiembra_P2_D2_(I)(000), 12:42:30:759, 12:18:36:426, 12:42:30:789, 12:46:13:920
D24_POSTsiembra_P2_D2_(IV)(000), 15:14:12:90, 14:38:27:489, 15:14:12:116, 15:18:0:569
D24_POSTsiembra_P2_D3_(I)(000), 12:46:58:152, 12:18:36:426, 12:46:58:161, 12:50:39:371
D24_POSTsiembra_P2_D3_(IV)(000), 15:18:46:166, 14:38:27:489, 15:18:46:175, 15:25:40:70
D25_POSTsiembra_P2_B4_(I)(000), 10:55:27:410, 10:43:40:831, 10:55:27:436, 10:59:4:715
D25_POSTsiembra_P2_B4_(IV)(000), 13:44:31:994, 13:25:47:599, 13:44:32:87, 13:48:11:806
D25_POSTsiembra_P2_B5_(I)(000), 10:59:51:795, 10:43:40:831, 10:59:51:828, 11:3:31:956
D25_POSTsiembra_P2_B5_(IV)(000), 13:39:52:930, 13:25:47:599, 13:39:52:978, 13:43:45:63
D25_POSTsiembra_P2_B6_(I)(000), 11:4:12:389, 10:43:40:831, 11:4:12:469, 11:7:55:456
D25_POSTsiembra_P2_B6_(IV)(000), 13:48:54:842, 13:25:47:599, 13:48:54:874, 13:52:35:318
D25_POSTsiembra_P2_C4_(I)(000), 11:17:33:551, 10:43:40:831, 11:17:33:588, 11:21:37:222
D25_POSTsiembra_P2_C4_(IV)(000), 14:3:1:558, 13:25:47:599, 14:3:1:571, 14:6:43:321
D25_POSTsiembra_P2_C5_(I)(000), 11:12:54:594, 10:43:40:831, 11:12:54:620, 11:16:34:213
D25_POSTsiembra_P2_C5_(IV)(000), 13:58:43:874, 13:25:47:599, 13:58:43:883, 14:2:27:83
D25_POSTsiembra_P2_C6_(I)(000), 11:8:34:295, 10:43:40:831, 11:8:34:326, 11:12:16:720
D25_POSTsiembra_P2_C6_(IV)(000), 13:54:20:453, 13:25:47:599, 13:54:20:461, 13:58:1:316
D25_POSTsiembra_P2_D4_(I)(000), 11:22:54:660, 10:43:40:831, 11:22:54:686, 11:26:35:727
D25_POSTsiembra_P2_D4_(IV)(000), 14:7:18:885, 13:25:47:599, 14:7:18:898, 14:11:23:580
D25_POSTsiembra_P2_D5_(I)(000), 11:27:14:225, 10:43:40:831, 11:27:14:263, 11:30:53:733
D25_POSTsiembra_P2_D5_(IV)(000), 14:12:4:813, 13:25:47:599, 14:12:4:853, 14:15:41:842
D25_POSTsiembra_P2_D6_(I)(000), 11:31:28:653, 10:43:40:831, 11:31:28:673, 11:35:8:235
D25_POSTsiembra_P2_D6_(IV)(000), 14:16:14:523, 13:25:47:599, 14:16:14:570, 14:19:53:84
