FileName, BlockVectorStartTime, ExperimentStartTime, AddedDate, ModifiedDate
D19_POSTsiembra_A1_(I)(001), 10:25:6:151, 10:6:50:631, 10:25:6:184, 10:28:28:239
D19_POSTsiembra_A1_(IV)(000), 13:34:52:865, 13:19:42:670, 13:34:52:893, 13:38:15:240
D19_POSTsiembra_A2_(I)(000), 10:29:16:950, 10:6:50:631, 10:29:16:977, 10:32:40:216
D19_POSTsiembra_A2_(IV)(000), 13:38:56:836, 13:19:42:670, 13:38:56:863, 13:42:17:750
D19_POSTsiembra_A3_(I)(000), 10:33:19:233, 10:6:50:631, 10:33:19:265, 10:36:37:940
D19_POSTsiembra_A3_(IV)(000), 13:43:46:987, 13:19:42:670, 13:43:47:20, 13:47:4:0
D19_POSTsiembra_A4_(I)(000), 10:37:49:212, 10:6:50:631, 10:37:49:240, 10:41:7:202
D19_POSTsiembra_A4_(IV)(000), 13:47:48:851, 13:19:42:670, 13:47:48:880, 13:51:31:757
D19_POSTsiembra_A5_(IV)(000), 13:52:19:515, 13:19:42:670, 13:52:19:556, 13:55:38:17
D19_POSTsiembra_B1_(I)(000), 10:55:39:275, 10:6:50:631, 10:55:39:288, 10:58:52:954
D19_POSTsiembra_B2_(I)(000), 10:51:25:807, 10:6:50:631, 10:51:25:823, 10:54:44:981
D19_POSTsiembra_B2_(IV)(000), 14:8:17:17, 13:19:42:670, 14:8:17:32, 14:11:56:263
D19_POSTsiembra_B3_(I)(000), 10:46:31:235, 10:6:50:631, 10:46:31:258, 10:50:42:205
D19_POSTsiembra_B3_(IV)(000), 14:4:15:676, 13:19:42:670, 14:4:15:707, 14:7:36:264
D19_POSTsiembra_B4_(I)(000), 10:42:4:749, 10:6:50:631, 10:42:4:775, 10:45:45:952
D19_POSTsiembra_B4_(IV)(000), 14:0:19:681, 13:19:42:670, 14:0:19:723, 14:3:35:506
D19_POSTsiembra_B5_(IV)(000), 13:56:20:996, 13:19:42:670, 13:56:21:6, 13:59:34:502
D19_POSTsiembra_C1_(I)(000), 10:59:30:537, 10:6:50:631, 10:59:30:569, 11:2:53:714
D19_POSTsiembra_C2_(I)(000), 11:3:31:48, 10:6:50:631, 11:3:31:63, 11:6:51:974
D19_POSTsiembra_C2_(IV)(000), 14:12:38:712, 13:19:42:670, 14:12:38:726, 14:16:20:279
D19_POSTsiembra_C3_(I)(000), 11:7:32:46, 10:6:50:631, 11:7:32:61, 11:10:52:729
D19_POSTsiembra_C3_(IV)(000), 14:17:13:799, 13:19:42:670, 14:17:13:829, 14:20:35:531
D19_POSTsiembra_C4_(I)(000), 11:11:44:345, 10:6:50:631, 11:11:44:375, 11:15:2:475
D19_POSTsiembra_C4_(IV)(000), 14:21:26:606, 13:19:42:670, 14:21:26:636, 14:24:49:537
D19_POSTsiembra_C5_(IV)(000), 14:25:32:141, 13:19:42:670, 14:25:32:173, 14:28:46:28
D19_POSTsiembra_C6_(IV)(000), 14:29:34:307, 13:19:42:670, 14:29:34:318, 14:32:56:787
D19_POSTsiembra_D2_(IV)(000), 14:49:31:811, 13:19:42:670, 14:49:31:824, 14:52:46:541
D19_POSTsiembra_D3_(IV)(000), 14:45:27:670, 13:19:42:670, 14:45:27:683, 14:48:51:292
D19_POSTsiembra_D4_(IV)(000), 14:41:29:570, 13:19:42:670, 14:41:29:581, 14:44:51:545
D19_POSTsiembra_D5_(IV)(000), 14:37:33:671, 13:19:42:670, 14:37:33:681, 14:40:56:33
D19_POSTsiembra_D6_(IV)(000), 14:33:35:248, 13:19:42:670, 14:33:35:274, 14:36:55:41
