FileName, BlockVectorStartTime, ExperimentStartTime, AddedDate, ModifiedDate
D17_POSTsiembra_P1_A1_(I)(000), 11:21:46:995, 10:55:42:93, 11:21:47:24, 11:26:43:852
D17_POSTsiembra_P1_A1_(IV)(000), 14:8:23:645, 13:41:56:608, 14:8:23:660, 14:11:44:49
D17_POSTsiembra_P1_A2_(I)(000), 11:27:49:572, 11:27:17:897, 11:27:49:741, 11:31:11:279
D17_POSTsiembra_P1_A2_(IV)(000), 14:4:15:673, 13:41:56:608, 14:4:15:699, 14:7:40:61
D17_POSTsiembra_P1_A3_(I)(000), 11:32:6:701, 11:27:17:897, 11:32:6:743, 11:35:28:528
D17_POSTsiembra_P1_A3_(IV)(000), 14:0:2:461, 13:41:56:608, 14:0:2:493, 14:3:36:549
D17_POSTsiembra_P1_A4_(I)(000), 11:36:31:795, 11:35:39:764, 11:36:31:823, 11:39:52:762
D17_POSTsiembra_P1_A4_(IV)(000), 13:45:50:580, 13:41:56:608, 13:45:50:604, 13:49:16:780
D17_POSTsiembra_P1_A5_(I)(000), 11:40:53:624, 11:35:39:764, 11:40:53:647, 11:44:13:557
D17_POSTsiembra_P1_A5_(IV)(000), 13:50:27:753, 13:41:56:608, 13:50:27:789, 13:55:1:547
D17_POSTsiembra_P1_A6_(I)(000), 11:45:23:809, 11:35:39:764, 11:45:23:844, 11:49:36:769
D17_POSTsiembra_P1_A6_(IV)(000), 13:55:46:971, 13:41:56:608, 13:55:47:2, 13:59:9:50
D17_POSTsiembra_P1_B4_(I)(000), 11:50:39:935, 11:35:39:764, 11:50:39:949, 11:54:3:510
D17_POSTsiembra_P1_B4_(IV)(000), 14:42:8:955, 14:39:22:257, 14:42:8:964, 14:45:55:461
D17_POSTsiembra_P1_B5_(I)(000), 11:54:51:215, 11:35:39:764, 11:54:51:303, 11:58:16:778
D17_POSTsiembra_P1_B5_(IV)(000), 14:46:36:954, 14:39:22:257, 14:46:36:978, 14:50:2:966
D17_POSTsiembra_P1_B6_(I)(000), 11:59:15:987, 11:35:39:764, 11:59:16:0, 12:2:39:765
D17_POSTsiembra_P1_B6_(IV)(000), 15:5:16:634, 15:0:33:378, 15:5:16:691, 15:8:38:364
D17_POSTsiembra_P1_C3_(I)(000), 12:9:15:583, 11:35:39:764, 12:9:15:609, 12:12:37:292
D17_POSTsiembra_P1_C3_(IV)(000), 15:9:36:483, 15:0:33:378, 15:9:36:494, 15:13:2:145
D17_POSTsiembra_P1_C4_(I)(000), 12:3:34:989, 11:35:39:764, 12:3:35:0, 12:6:55:53
D17_POSTsiembra_P1_C4_(IV)(000), 15:13:51:511, 15:0:33:378, 15:13:51:539, 15:17:37:888
D17_POSTsiembra_P1_C6_(I)(000), 12:13:41:407, 11:35:39:764, 12:13:41:416, 12:17:5:782
D17_POSTsiembra_P1_C6_(IV)(000), 15:18:52:713, 15:0:33:378, 15:18:52:740, 15:22:28:152
D17_POSTsiembra_P1_D4_(I)(000), 12:18:48:112, 11:35:39:764, 12:18:48:138, 12:22:27:531
D17_POSTsiembra_P1_D4_(IV)(000), 15:23:34:670, 15:0:33:378, 15:23:34:703, 15:26:56:881
D17_POSTsiembra_P1_D5_(I)(000), 12:23:50:988, 11:35:39:764, 12:23:51:15, 12:27:11:41
D17_POSTsiembra_P1_D5_(IV)(000), 15:27:50:185, 15:0:33:378, 15:27:50:198, 15:31:25:394
D17_POSTsiembra_P1_D6_(I)(000), 12:27:54:438, 11:35:39:764, 12:27:54:454, 12:31:14:325
D17_POSTsiembra_P1_D6_(IV)(000), 15:32:21:487, 15:0:33:378, 15:32:21:497, 15:36:13:148
D18_POSTsiembre_P1_B1_(I)(000), 12:30:35:35, 11:30:21:579, 12:30:35:60, 12:33:54:852
D18_POSTsiembre_P1_B1_(IV)(001), 14:54:54:2, 14:48:19:178, 14:54:54:29, 14:58:15:304
D18_POSTsiembre_P1_B2_(I)(000), 11:49:19:45, 11:30:21:579, 11:49:19:79, 11:52:41:487
D18_POSTsiembre_P1_B2_(IV)(000), 14:59:1:554, 14:48:19:178, 14:59:1:581, 15:2:22:824
D18_POSTsiembre_P1_B3_(I)(000), 11:53:32:70, 11:30:21:579, 11:53:32:96, 11:57:43:496
D18_POSTsiembre_P1_B3_(IV)(000), 15:3:16:648, 14:48:19:178, 15:3:16:683, 15:6:37:336
D18_POSTsiembre_P1_C1_(I)(000), 11:58:46:513, 11:30:21:579, 11:58:46:544, 12:2:10:295
D18_POSTsiembre_P1_C1_(IV)(000), 15:21:31:341, 15:21:24:269, 15:21:31:443, 15:25:28:261
D18_POSTsiembre_P1_C2_(I)(000), 12:2:57:324, 11:30:21:579, 12:2:57:351, 12:6:25:276
D18_POSTsiembre_P1_C2_(IV)(000), 15:12:8:749, 14:48:19:178, 15:12:8:761, 15:16:30:320
D18_POSTsiembre_P1_C2_(IV)(001), 15:19:53:945, 14:48:19:178, 15:19:53:955, 15:20:18:845
D18_POSTsiembre_P1_C5_(I)(000), 12:7:24:23, 11:30:21:579, 12:7:24:107, 12:10:46:42
D18_POSTsiembre_P1_C5_(IV)(000), 15:26:21:345, 15:21:24:269, 15:26:21:373, 15:29:43:747
D18_POSTsiembre_P1_D1_(I)(000), 12:11:55:560, 11:30:21:579, 12:11:55:638, 12:17:45:619
D18_POSTsiembre_P1_D1_(IV)(000), 15:30:37:132, 15:21:24:269, 15:30:37:160, 15:35:29:256
D18_POSTsiembre_P1_D2_(I)(000), 12:19:44:294, 11:30:21:579, 12:19:44:360, 12:24:49:581
D18_POSTsiembre_P1_D2_(IV)(000), 15:36:6:65, 15:21:24:269, 15:36:6:90, 15:39:25:43
D18_POSTsiembre_P1_D3_(IV)(001), 15:40:5:542, 15:21:24:269, 15:40:5:554, 15:44:45:513
D18_POSTsiembre_P1_D3_(I)(000), 12:26:2:70, 11:30:21:579, 12:26:2:136, 12:29:25:600
