Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_A2_(I);0.04128;A2_31;0.09
Description;;0.0468;A2_31;0.032
Maestro Edge (Maestro-091) Settings;;0.06104;A2_23;0.06
   Original File Time;02/20/2024 10:29:16;0.10896;A2_23;0.03
   Sampling Frequency;12.5 kHz;0.26512;A2_23;0.029
   Voltage Scale;-5.484861781483107E-08 V/sample;0.29952;A2_14;0.027
   Experiment Start Time;02/20/2024 10:06:50;0.41904;A2_23;0.066
   Referencing Method;Median;0.42856;A2_31;0.03
   Analog Mode Setting;Neural Spikes;0.44456;A2_31;0.042
   Plate Type;CytoView MEA 24;0.44736;A2_31;0.09
   Digital Low Pass Filter;3 kHz Kaiser Window;0.45464;A2_14;0.026
   Digital High Pass Filter;200 Hz IIR;0.4548;A2_23;0.063
   Temperature Set Point;37.0 Degrees C;0.45512;A2_13;0.029
   Current Temperature;37.1 Degrees C;0.46368;A2_14;0.022
   Heater Power;On;0.46592;A2_23;0.067
   Legacy Heating Mode;Off;0.47552;A2_23;0.029
   Barcode Plate Type;TwentyFourWell;0.48392;A2_31;0.032
   Plate Serial Number;114-0345;0.49536;A2_31;0.042
   CO2 Conc. Set Point;5.00%;0.52856;A2_31;0.044
   Actual CO2 Conc.;5.00%;0.53224;A2_31;0.092
   Gas Mixer Status;Regulating;0.55456;A2_31;0.04
   AxIS Version;3.10.3.6;0.55752;A2_31;0.029
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;0.55992;A2_31;0.09
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;0.63016;A2_13;0.03
;;0.63384;A2_14;0.035
Spike Detector Settings;;0.70448;A2_11;0.084
   Method;Adaptive Threshold Crossing;0.70776;A2_11;0.015
   Threshold;6;0.71784;A2_11;0.072
   Threshold Status;Variable;0.72192;A2_11;0.039
   Threshold Crossing Only;TRUE;0.75;A2_23;0.029
   Pre-Spike Duration;0.84 ms;0.88632;A2_23;0.027
   Post-Spike Duration;2.16 ms;1.02008;A2_23;0.063
   Coincident Event Filter;Default (Well);1.03;A2_14;0.023
   Coincidence Occurrence Threshold;4 Electrodes;1.08992;A2_23;0.03
   Coincidence Event Window;80 µs;1.09736;A2_31;0.027
   Allow Sample Overlap;FALSE;1.1;A2_31;0.088
   Spike Count Interval;1 s;1.13472;A2_31;0.046
;;1.1372;A2_31;0.083
;;1.1464;A2_23;0.059
;;1.14728;A2_13;0.031
;;1.1856;A2_23;0.019
;;1.21512;A2_11;0.2
;;1.21856;A2_11;0.063
;;1.2216;A2_11;0.015
;;1.22848;A2_13;0.028
;;1.26256;A2_42;0.016
;;1.31096;A2_23;0.034
;;1.33496;A2_11;0.071
;;1.35976;A2_31;0.045
;;1.36328;A2_31;0.083
;;1.3792;A2_14;0.074
;;1.39848;A2_31;0.029
;;1.40248;A2_31;0.042
;;1.40832;A2_31;0.035
;;1.41072;A2_31;0.045
;;1.41952;A2_42;0.03
;;1.42496;A2_23;0.063
;;1.42632;A2_44;0.014
;;1.432;A2_31;0.04
;;1.43464;A2_31;0.083
;;1.43544;A2_42;0.029
;;1.43992;A2_13;0.031
;;1.4432;A2_14;0.023
;;1.44768;A2_23;0.02
;;1.44792;A2_31;0.037
;;1.45048;A2_31;0.091
;;1.45216;A2_14;0.024
;;1.45808;A2_41;0.015
;;1.46064;A2_14;0.108
;;1.46312;A2_14;0.275
;;1.46584;A2_14;0.174
;;1.46944;A2_14;0.133
;;1.47296;A2_13;0.041
;;1.47328;A2_14;0.022
;;1.47976;A2_14;0.081
;;1.48208;A2_14;0.037
;;1.48224;A2_23;0.068
;;1.48376;A2_32;0.477
;;1.48504;A2_23;0.021
;;1.48584;A2_13;0.014
;;1.48632;A2_22;0.029
;;1.4864;A2_31;0.034
;;1.4864;A2_32;0.287
;;1.4872;A2_42;0.015
;;1.48888;A2_14;0.099
;;1.48888;A2_31;0.084
;;1.48992;A2_11;0.018
;;1.48992;A2_32;0.023
;;1.49048;A2_13;0.026
;;1.49136;A2_14;0.193
;;1.49184;A2_23;0.041
;;1.492;A2_31;0.068
;;1.49224;A2_42;0.025
;;1.49248;A2_32;0.014
;;1.49272;A2_13;0.029
;;1.49336;A2_11;0.075
;;1.4936;A2_12;0.024
;;1.49368;A2_41;0.013
;;1.49416;A2_14;0.104
;;1.49432;A2_23;0.014
;;1.4948;A2_32;0.315
;;1.49496;A2_31;0.056
;;1.496;A2_22;0.028
;;1.4964;A2_42;0.078
;;1.49648;A2_11;0.165
;;1.49656;A2_13;0.045
;;1.4968;A2_41;0.019
;;1.49736;A2_14;0.079
;;1.49744;A2_31;0.23
;;1.49832;A2_23;0.025
;;1.49856;A2_32;0.039
;;1.49944;A2_42;0.08
;;1.4996;A2_44;0.029
;;1.49976;A2_11;0.019
;;1.49984;A2_13;0.027
;;1.50008;A2_14;0.094
;;1.50008;A2_31;0.039
;;1.5008;A2_22;0.032
;;1.50088;A2_32;0.339
;;1.50192;A2_23;0.023
;;1.50208;A2_42;0.031
;;1.50216;A2_13;0.028
;;1.50232;A2_31;0.029
;;1.5024;A2_14;0.067
;;1.50248;A2_11;0.118
;;1.50264;A2_44;0.021
;;1.50336;A2_32;0.045
;;1.50368;A2_12;0.017
;;1.50432;A2_21;0.015
;;1.50472;A2_11;0.064
;;1.50488;A2_14;0.228
;;1.50544;A2_22;0.023
;;1.50552;A2_23;0.041
;;1.5056;A2_13;0.02
;;1.5056;A2_31;0.178
;;1.5056;A2_32;0.265
;;1.50608;A2_42;0.024
;;1.50616;A2_44;0.024
;;1.50744;A2_11;0.181
;;1.508;A2_14;0.212
;;1.508;A2_22;0.029
;;1.508;A2_32;0.02
;;1.50816;A2_23;0.021
;;1.50816;A2_31;0.023
;;1.5084;A2_42;0.037
;;1.51;A2_44;0.027
;;1.5104;A2_31;0.087
;;1.51048;A2_32;0.022
;;1.51064;A2_23;0.04
;;1.51072;A2_13;0.027
;;1.5108;A2_14;0.168
;;1.51144;A2_42;0.016
;;1.51232;A2_11;0.066
;;1.51304;A2_13;0.017
;;1.51344;A2_22;0.019
;;1.51352;A2_31;0.027
;;1.5144;A2_14;0.109
;;1.51488;A2_11;0.051
;;1.51536;A2_32;0.031
;;1.5156;A2_13;0.027
;;1.51568;A2_44;0.024
;;1.51632;A2_31;0.18
;;1.51664;A2_23;0.06
;;1.51704;A2_42;0.039
;;1.51752;A2_14;0.185
;;1.51824;A2_22;0.024
;;1.51856;A2_32;0.399
;;1.51864;A2_13;0.026
;;1.51904;A2_23;0.02
;;1.51912;A2_31;0.028
;;1.52016;A2_42;0.066
;;1.52072;A2_11;0.135
;;1.5208;A2_14;0.288
;;1.52104;A2_32;0.049
;;1.52144;A2_23;0.052
;;1.52144;A2_31;0.043
;;1.522;A2_44;0.023
;;1.52296;A2_13;0.033
;;1.5232;A2_42;0.035
;;1.52384;A2_11;0.141
;;1.52384;A2_31;0.042
;;1.52392;A2_14;0.248
;;1.5248;A2_32;0.011
;;1.52568;A2_22;0.026
;;1.52568;A2_23;0.028
;;1.52568;A2_44;0.019
;;1.52592;A2_13;0.049
;;1.52664;A2_14;0.214
;;1.52672;A2_31;0.05
;;1.52736;A2_42;0.027
;;1.52784;A2_11;0.057
;;1.528;A2_23;0.055
;;1.52824;A2_44;0.028
;;1.5284;A2_32;0.034
;;1.52856;A2_13;0.026
;;1.52904;A2_14;0.208
;;1.52912;A2_31;0.05
;;1.52984;A2_42;0.064
;;1.53016;A2_11;0.145
;;1.53104;A2_13;0.022
;;1.53128;A2_22;0.031
;;1.5316;A2_14;0.304
;;1.53184;A2_31;0.024
