Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_A4_(IV)	0.20688	A4_22	0.118
Description		0.23464	A4_32	0.028
Maestro Edge (Maestro-091) Settings		0.27824	A4_33	0.014
   Original File Time	02/20/2024 13:47:48	0.2904	A4_33	0.014
   Sampling Frequency	12.5 kHz	0.31112	A4_32	0.025
   Voltage Scale	-5.484861781483107E-08 V/sample	0.31928	A4_22	0.104
   Experiment Start Time	02/20/2024 13:19:42	0.32064	A4_32	0.024
   Referencing Method	Median	0.32152	A4_22	0.112
   Analog Mode Setting	Neural Spikes	0.32376	A4_22	0.023
   Plate Type	CytoView MEA 24	0.32448	A4_32	0.029
   Digital Low Pass Filter	3 kHz Kaiser Window	0.32536	A4_23	0.037
   Digital High Pass Filter	200 Hz IIR	0.3264	A4_11	0.023
   Temperature Set Point	37.0 Degrees C	0.32784	A4_14	0.038
   Current Temperature	37.0 Degrees C	0.328	A4_22	0.066
   Heater Power	On	0.328	A4_32	0.037
   Legacy Heating Mode	Off	0.32904	A4_23	0.065
   Barcode Plate Type	TwentyFourWell	0.33032	A4_22	0.035
   Plate Serial Number	114-0345	0.33048	A4_32	0.032
   CO2 Conc. Set Point	5.00%	0.33112	A4_43	0.029
   Actual CO2 Conc.	5.10%	0.3328	A4_22	0.028
   Gas Mixer Status	Regulating	0.33368	A4_42	0.026
   AxIS Version	3.10.3.6	0.33472	A4_23	0.038
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.33632	A4_31	0.098
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.3372	A4_23	0.066
		0.33728	A4_11	0.017
Spike Detector Settings		0.33728	A4_13	0.024
   Method	Adaptive Threshold Crossing	0.33744	A4_12	0.023
   Threshold	6	0.33808	A4_42	0.057
   Threshold Status	Variable	0.33856	A4_32	0.029
   Threshold Crossing Only	TRUE	0.33864	A4_43	0.034
   Pre-Spike Duration	0.84 ms	0.33928	A4_22	0.074
   Post-Spike Duration	2.16 ms	0.33976	A4_21	0.031
   Coincident Event Filter	Default (Well)	0.33984	A4_13	0.026
   Coincidence Occurrence Threshold	4 Electrodes	0.34032	A4_44	0.051
   Coincidence Event Window	80 µs	0.34048	A4_31	0.078
   Allow Sample Overlap	FALSE	0.34096	A4_42	0.023
   Spike Count Interval	1 s	0.3412	A4_12	0.024
		0.3412	A4_23	0.025
		0.34128	A4_43	0.082
		0.34168	A4_22	0.032
		0.34184	A4_11	0.02
		0.34184	A4_14	0.025
		0.34256	A4_21	0.033
		0.3432	A4_42	0.033
		0.34336	A4_31	0.025
		0.34352	A4_23	0.051
		0.34352	A4_44	0.124
		0.34376	A4_33	0.056
		0.34392	A4_22	0.032
		0.34408	A4_32	0.031
		0.34432	A4_24	0.024
		0.34496	A4_43	0.032
		0.34512	A4_12	0.015
		0.34552	A4_42	0.025
		0.34576	A4_13	0.043
		0.34584	A4_44	0.082
		0.34664	A4_32	0.033
		0.34688	A4_31	0.031
		0.34728	A4_21	0.03
		0.34736	A4_23	0.025
		0.34744	A4_14	0.025
		0.348	A4_42	0.025
		0.34904	A4_22	0.045
		0.34928	A4_44	0.111
		0.34976	A4_21	0.021
		0.35008	A4_14	0.024
		0.35136	A4_32	0.035
		0.35184	A4_13	0.024
		0.35248	A4_44	0.061
		0.35256	A4_43	0.098
		0.3528	A4_22	0.033
		0.35352	A4_14	0.029
		0.35424	A4_23	0.042
		0.3548	A4_33	0.062
		0.35544	A4_21	0.024
		0.35544	A4_24	0.026
		0.35576	A4_14	0.036
		0.356	A4_32	0.037
		0.35616	A4_44	0.024
		0.35624	A4_22	0.03
		0.35632	A4_13	0.033
		0.35656	A4_42	0.03
		0.35688	A4_43	0.027
		0.35728	A4_33	0.017
		0.35776	A4_24	0.024
		0.3584	A4_44	0.106
		0.35856	A4_23	0.028
		0.35904	A4_14	0.03
		0.35912	A4_13	0.025
		0.3592	A4_42	0.02
		0.36	A4_21	0.027
		0.3604	A4_31	0.039
		0.36048	A4_43	0.09
		0.36096	A4_44	0.034
		0.3616	A4_42	0.022
		0.36176	A4_34	0.019
		0.36224	A4_23	0.281
		0.36264	A4_33	0.015
		0.3628	A4_14	0.027
		0.3628	A4_31	0.02
		0.36296	A4_22	0.034
		0.3632	A4_21	0.026
		0.3632	A4_44	0.029
		0.3636	A4_13	0.043
		0.364	A4_11	0.019
		0.36488	A4_42	0.049
		0.36512	A4_23	0.03
		0.36552	A4_43	0.029
		0.36568	A4_22	0.051
		0.36648	A4_44	0.086
		0.3676	A4_23	0.04
		0.3684	A4_22	0.026
		0.36912	A4_44	0.03
		0.37072	A4_31	0.025
		0.3708	A4_21	0.041
		0.37216	A4_14	0.021
		0.37304	A4_12	0.019
		0.37304	A4_42	0.023
		0.37408	A4_44	0.028
		0.376	A4_43	0.083
		0.37712	A4_24	0.032
		0.37824	A4_43	0.024
		0.37864	A4_31	0.019
		0.37952	A4_44	0.031
		0.3808	A4_24	0.021
		0.38112	A4_13	0.023
		0.3812	A4_22	0.027
		0.38184	A4_42	0.027
		0.382	A4_23	0.306
		0.38368	A4_32	0.026
		0.38384	A4_22	0.06
		0.38424	A4_23	0.05
		0.3848	A4_31	0.065
		0.38544	A4_24	0.017
		0.38552	A4_33	0.017
		0.38616	A4_43	0.029
		0.38632	A4_32	0.027
		0.38648	A4_22	0.034
		0.3868	A4_13	0.022
		0.38776	A4_11	0.016
		0.38776	A4_23	0.022
		0.38848	A4_44	0.026
		0.3892	A4_31	0.044
		0.38992	A4_42	0.019
		0.39128	A4_23	0.02
		0.39216	A4_43	0.082
		0.3932	A4_42	0.018
		0.39456	A4_22	0.037
		0.3948	A4_24	0.019
		0.39496	A4_31	0.067
		0.39792	A4_31	0.041
		0.4004	A4_24	0.023
		0.4064	A4_23	0.048
		0.40904	A4_23	0.022
		0.40936	A4_42	0.024
		0.40992	A4_43	0.023
		0.41072	A4_33	0.014
		0.41272	A4_14	0.025
		0.41352	A4_23	0.017
		0.4276	A4_42	0.023
		0.4312	A4_22	0.058
		0.434	A4_22	0.023
		0.48376	A4_22	0.043
		0.48656	A4_22	0.015
		0.52184	A4_22	0.082
		0.52216	A4_32	0.028
		0.5248	A4_22	0.016
		0.54168	A4_22	0.032
		0.67736	A4_32	0.023
		0.69864	A4_22	0.065
		0.69864	A4_32	0.038
		0.70824	A4_22	0.086
		0.98912	A4_22	0.102
		1.0264	A4_33	0.014
		1.03416	A4_33	0.015
		1.06528	A4_32	0.027
		1.06616	A4_22	0.078
		1.0676	A4_32	0.028
		1.06992	A4_22	0.018
		1.07016	A4_23	0.032
		1.07392	A4_14	0.035
		1.07632	A4_32	0.032
		1.07896	A4_21	0.019
		1.07928	A4_13	0.021
		1.08	A4_22	0.073
		1.08024	A4_42	0.016
		1.08152	A4_23	0.07
		1.08256	A4_22	0.013
		1.0836	A4_43	0.023
		1.08384	A4_14	0.016
		1.08408	A4_23	0.038
		1.08408	A4_42	0.022
		1.08496	A4_31	0.018
		1.08512	A4_21	0.03
		1.08552	A4_24	0.014
		1.08688	A4_42	0.044
		1.08712	A4_44	0.042
		1.0872	A4_12	0.022
		1.08736	A4_22	0.064
		1.08824	A4_31	0.024
		1.08864	A4_32	0.056
		1.08888	A4_11	0.017
		1.08944	A4_44	0.04
		1.0896	A4_22	0.04
		1.09032	A4_42	0.039
		1.09064	A4_14	0.025
		1.09112	A4_31	0.086
		1.09128	A4_12	0.023
		1.09144	A4_23	0.288
		1.09184	A4_22	0.048
		1.09208	A4_44	0.073
		1.0932	A4_42	0.021
		1.09472	A4_32	0.044
		1.09472	A4_44	0.134
		1.09504	A4_23	0.027
		1.09536	A4_21	0.04
		1.09576	A4_14	0.024
		1.09576	A4_43	0.079
		1.09608	A4_24	0.031
		1.09632	A4_12	0.024
		1.09672	A4_42	0.063
		1.09744	A4_31	0.025
		1.09744	A4_33	0.018
		1.09744	A4_44	0.097
		1.09832	A4_43	0.022
		1.09856	A4_22	0.029
		1.09864	A4_21	0.042
		1.09872	A4_32	0.024
		1.09904	A4_11	0.018
		1.09904	A4_23	0.351
		1.09992	A4_44	0.064
		1.10016	A4_42	0.02
		1.1008	A4_13	0.021
		1.1008	A4_14	0.054
		1.1012	A4_43	0.031
		1.10176	A4_23	0.026
		1.10192	A4_31	0.062
		1.10216	A4_22	0.056
		1.10216	A4_44	0.061
		1.10256	A4_42	0.018
		1.10304	A4_14	0.029
		1.1044	A4_44	0.034
		1.10448	A4_31	0.041
		1.10456	A4_33	0.063
		1.10472	A4_22	0.025
		1.10512	A4_42	0.025
		1.10584	A4_23	0.245
		1.10616	A4_43	0.09
		1.10624	A4_32	0.044
		1.10664	A4_14	0.033
		1.10688	A4_31	0.023
		1.10712	A4_22	0.017
		1.108	A4_13	0.03
		1.1084	A4_44	0.033
		1.1088	A4_43	0.022
		1.1092	A4_23	0.038
		1.10936	A4_33	0.015
		1.1104	A4_14	0.029
		1.11088	A4_31	0.071
		1.11088	A4_44	0.027
		1.11112	A4_43	0.034
		1.1112	A4_32	0.026
		1.11216	A4_23	0.019
		1.11272	A4_34	0.019
		1.1128	A4_11	0.017
		1.11288	A4_21	0.029
