Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_B2_(IV);0.42992;B2_13;0.027
Description;;0.436;B2_13;0.02
Maestro Edge (Maestro-091) Settings;;0.44152;B2_42;0.02
   Original File Time;02/20/2024 14:08:17;0.44376;B2_32;0.025
   Sampling Frequency;12.5 kHz;0.45272;B2_12;0.037
   Voltage Scale;-5.484861781483107E-08 V/sample;0.45496;B2_42;0.023
   Experiment Start Time;02/20/2024 13:19:42;0.45536;B2_21;0.018
   Referencing Method;Median;0.45624;B2_13;0.022
   Analog Mode Setting;Neural Spikes;0.45872;B2_42;0.019
   Plate Type;CytoView MEA 24;0.4588;B2_32;0.031
   Digital Low Pass Filter;3 kHz Kaiser Window;0.46728;B2_32;0.026
   Digital High Pass Filter;200 Hz IIR;0.46984;B2_13;0.021
   Temperature Set Point;37.0 Degrees C;0.4744;B2_42;0.133
   Current Temperature;37.0 Degrees C;0.47704;B2_42;0.056
   Heater Power;On;0.47816;B2_11;0.177
   Legacy Heating Mode;Off;0.47832;B2_33;0.019
   Barcode Plate Type;TwentyFourWell;0.47968;B2_42;0.061
   Plate Serial Number;114-0345;0.48152;B2_32;0.022
   CO2 Conc. Set Point;5.00%;0.4828;B2_42;0.02
   Actual CO2 Conc.;5.00%;0.48776;B2_23;0.021
   Gas Mixer Status;Regulating;0.48952;B2_42;0.125
   AxIS Version;3.10.3.6;0.49072;B2_31;0.021
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;0.4912;B2_11;0.029
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;0.4924;B2_42;0.067
;;0.49472;B2_42;0.03
Spike Detector Settings;;0.4992;B2_41;0.037
   Method;Adaptive Threshold Crossing;0.50176;B2_41;0.03
   Threshold;6;0.50224;B2_42;0.082
   Threshold Status;Variable;0.50248;B2_31;0.022
   Threshold Crossing Only;TRUE;0.50512;B2_42;0.025
   Pre-Spike Duration;0.84 ms;0.50744;B2_42;0.031
   Post-Spike Duration;2.16 ms;0.51048;B2_42;0.028
   Coincident Event Filter;Default (Well);0.51112;B2_44;0.014
   Coincidence Occurrence Threshold;4 Electrodes;0.51184;B2_31;0.024
   Coincidence Event Window;80 µs;0.51216;B2_12;0.035
   Allow Sample Overlap;FALSE;0.5136;B2_14;0.023
   Spike Count Interval;1 s;0.518;B2_41;0.022
;;0.51864;B2_11;0.036
;;0.5188;B2_42;0.028
