Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_C2_(I)	0.05488	C2_43	0.035
Description		0.06136	C2_43	0.027
Maestro Edge (Maestro-091) Settings		0.06512	C2_43	0.022
   Original File Time	02/20/2024 11:03:31	0.06832	C2_43	0.021
   Sampling Frequency	12.5 kHz	0.07208	C2_43	0.023
   Voltage Scale	-5.484861781483107E-08 V/sample	0.3088	C2_21	0.027
   Experiment Start Time	02/20/2024 10:06:50	0.3572	C2_11	0.043
   Referencing Method	Median	0.51512	C2_21	0.018
   Analog Mode Setting	Neural Spikes	0.842	C2_43	0.031
   Plate Type	CytoView MEA 24	0.84704	C2_43	0.03
   Digital Low Pass Filter	3 kHz Kaiser Window	0.85712	C2_43	0.027
   Digital High Pass Filter	200 Hz IIR	0.86088	C2_43	0.027
   Temperature Set Point	37.0 Degrees C	0.86128	C2_21	0.019
   Current Temperature	37.0 Degrees C	0.86448	C2_43	0.025
   Heater Power	On	0.86784	C2_43	0.021
   Legacy Heating Mode	Off	1.12456	C2_43	0.034
   Barcode Plate Type	TwentyFourWell	1.13296	C2_11	0.046
   Plate Serial Number	114-0345	1.14864	C2_43	0.024
   CO2 Conc. Set Point	5.00%	1.15376	C2_43	0.027
   Actual CO2 Conc.	4.80%	1.15904	C2_43	0.026
   Gas Mixer Status	Regulating	1.16264	C2_43	0.022
   AxIS Version	3.10.3.6	1.17976	C2_11	0.105
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	1.18264	C2_11	0.135
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	1.18456	C2_12	0.014
		1.18496	C2_11	0.289
Spike Detector Settings		1.18872	C2_11	0.35
   Method	Adaptive Threshold Crossing	1.19064	C2_12	0.02
   Threshold	6	1.19256	C2_11	0.317
   Threshold Status	Variable	1.1956	C2_12	0.013
   Threshold Crossing Only	TRUE	1.19568	C2_11	0.016
   Pre-Spike Duration	0.84 ms	1.19688	C2_31	0.026
   Post-Spike Duration	2.16 ms	1.19728	C2_23	0.245
   Coincident Event Filter	Default (Well)	1.19752	C2_24	0.016
   Coincidence Occurrence Threshold	4 Electrodes	1.19824	C2_11	0.39
   Coincidence Event Window	80 µs	1.19832	C2_33	0.023
   Allow Sample Overlap	FALSE	1.1996	C2_31	0.03
   Spike Count Interval	1 s	1.20096	C2_11	0.048
		1.2016	C2_23	0.308
		1.20176	C2_33	0.028
		1.20192	C2_31	0.027
		1.20344	C2_41	0.01
		1.20424	C2_12	0.016
		1.20448	C2_23	0.264
		1.20456	C2_21	0.021
		1.20456	C2_31	0.025
		1.20464	C2_33	0.02
		1.2052	C2_11	0.079
		1.20536	C2_43	0.039
		1.20624	C2_34	0.016
		1.20752	C2_23	0.207
		1.20752	C2_31	0.037
		1.20768	C2_11	0.154
		1.208	C2_43	0.078
		1.20824	C2_24	0.025
		1.20824	C2_33	0.042
		1.2104	C2_12	0.019
		1.21072	C2_21	0.023
		1.21088	C2_33	0.02
		1.2112	C2_11	0.05
		1.21152	C2_43	0.038
		1.21184	C2_23	0.033
		1.21256	C2_31	0.024
		1.21328	C2_21	0.024
		1.21336	C2_33	0.04
		1.2136	C2_32	0.016
		1.21392	C2_43	0.053
		1.21408	C2_23	0.222
		1.21456	C2_11	0.294
		1.2148	C2_31	0.021
		1.21592	C2_33	0.031
		1.21632	C2_23	0.089
		1.21648	C2_14	0.015
		1.21688	C2_11	0.051
		1.2176	C2_43	0.027
		1.2184	C2_33	0.019
		1.21872	C2_31	0.028
		1.21936	C2_11	0.039
		1.21992	C2_23	0.093
		1.2216	C2_43	0.042
		1.22216	C2_11	0.025
		1.22256	C2_31	0.034
		1.2228	C2_23	0.113
		1.22288	C2_33	0.029
		1.22336	C2_21	0.021
		1.2244	C2_43	0.018
		1.22464	C2_14	0.012
		1.22512	C2_11	0.333
		1.22528	C2_24	0.018
		1.22536	C2_33	0.021
		1.22584	C2_23	0.06
		1.22608	C2_12	0.016
		1.22752	C2_11	0.135
		1.22816	C2_43	0.043
		1.23008	C2_11	0.237
		1.23032	C2_31	0.023
		1.23048	C2_23	0.013
		1.23048	C2_33	0.027
		1.23272	C2_23	0.034
		1.2328	C2_43	0.026
		1.23288	C2_11	0.027
		1.23464	C2_31	0.027
		1.23584	C2_33	0.019
		1.23656	C2_23	0.039
		1.23752	C2_21	0.025
		1.23784	C2_11	0.072
		1.23968	C2_31	0.024
		1.24048	C2_43	0.025
		1.24144	C2_21	0.017
		1.2416	C2_24	0.017
		1.24208	C2_11	0.015
