Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_C4_(I);0.12184;C4_24;0.049
Description;;0.14576;C4_44;0.02
Maestro Edge (Maestro-091) Settings;;0.15272;C4_44;0.018
   Original File Time;02/20/2024 11:11:44;0.15592;C4_44;0.035
   Sampling Frequency;12.5 kHz;0.1648;C4_43;0.023
   Voltage Scale;-5.484861781483107E-08 V/sample;0.24768;C4_23;0.031
   Experiment Start Time;02/20/2024 10:06:50;0.24992;C4_32;0.042
   Referencing Method;Median;0.25032;C4_23;0.046
   Analog Mode Setting;Neural Spikes;0.2512;C4_24;0.033
   Plate Type;CytoView MEA 24;0.5988;C4_24;0.072
   Digital Low Pass Filter;3 kHz Kaiser Window;0.60128;C4_24;0.012
   Digital High Pass Filter;200 Hz IIR;0.706;C4_23;0.209
   Temperature Set Point;37.0 Degrees C;0.72608;C4_24;0.023
   Current Temperature;37.0 Degrees C;0.73552;C4_23;0.205
   Heater Power;On;0.73928;C4_23;0.014
   Legacy Heating Mode;Off;0.78048;C4_23;0.015
   Barcode Plate Type;TwentyFourWell;0.80072;C4_44;0.018
   Plate Serial Number;114-0345;0.80328;C4_44;0.03
   CO2 Conc. Set Point;5.00%;0.8136;C4_24;0.058
   Actual CO2 Conc.;4.60%;0.81624;C4_24;0.013
   Gas Mixer Status;Regulating;0.82032;C4_44;0.022
   AxIS Version;3.10.3.6;0.84088;C4_44;0.013
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;0.84832;C4_11;0.046
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;0.86512;C4_44;0.019
;;0.87384;C4_31;0.019
Spike Detector Settings;;0.89328;C4_31;0.015
   Method;Adaptive Threshold Crossing;0.9192;C4_31;0.014
   Threshold;6;0.91984;C4_23;0.055
   Threshold Status;Variable;0.92112;C4_24;0.031
   Threshold Crossing Only;TRUE;0.92352;C4_22;0.038
   Pre-Spike Duration;0.84 ms;0.92456;C4_12;0.027
   Post-Spike Duration;2.16 ms;0.92912;C4_44;0.035
   Coincident Event Filter;Default (Well);0.92976;C4_23;0.041
   Coincidence Occurrence Threshold;4 Electrodes;0.93504;C4_23;0.031
   Coincidence Event Window;80 µs;0.9352;C4_11;0.056
   Allow Sample Overlap;FALSE;0.93544;C4_44;0.032
   Spike Count Interval;1 s;0.93672;C4_32;0.044
;;0.93792;C4_12;0.019
;;0.938;C4_23;0.031
;;0.9392;C4_44;0.043
;;0.9404;C4_23;0.035
;;0.94184;C4_33;0.022
;;0.94192;C4_22;0.026
;;0.9432;C4_32;0.035
;;0.94328;C4_23;0.109
;;0.9444;C4_11;0.034
;;0.9456;C4_23;0.033
;;0.94608;C4_43;0.021
;;0.94648;C4_44;0.048
;;0.94704;C4_22;0.03
;;0.9476;C4_12;0.046
;;0.94776;C4_11;0.036
;;0.94776;C4_24;0.088
;;0.94824;C4_23;0.447
;;0.94872;C4_32;0.039
;;0.94912;C4_21;0.024
;;0.9492;C4_34;0.019
;;0.9504;C4_12;0.029
;;0.9508;C4_23;0.022
;;0.95112;C4_24;0.025
;;0.9512;C4_22;0.068
;;0.95128;C4_44;0.059
;;0.95136;C4_21;0.036
;;0.952;C4_32;0.035
;;0.95224;C4_43;0.022
;;0.95232;C4_14;0.017
;;0.95336;C4_23;0.036
;;0.95376;C4_24;0.026
;;0.9544;C4_11;0.048
;;0.95456;C4_21;0.023
;;0.9552;C4_44;0.033
;;0.95552;C4_22;0.044
;;0.95568;C4_23;0.369
