Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_C6_(IV);0.00016;C6_12;0.034
Description;;0.03568;C6_12;0.036
Maestro Edge (Maestro-091) Settings;;0.03648;C6_23;0.019
   Original File Time;02/20/2024 14:29:34;0.03776;C6_13;0.031
   Sampling Frequency;12.5 kHz;0.10264;C6_12;0.033
   Voltage Scale;-5.484861781483107E-08 V/sample;0.15392;C6_12;0.035
   Experiment Start Time;02/20/2024 13:19:42;0.18352;C6_13;0.028
   Referencing Method;Median;0.2064;C6_12;0.035
   Analog Mode Setting;Neural Spikes;0.22728;C6_12;0.017
   Plate Type;CytoView MEA 24;0.23016;C6_11;0.017
   Digital Low Pass Filter;3 kHz Kaiser Window;0.23584;C6_12;0.018
   Digital High Pass Filter;200 Hz IIR;0.23912;C6_31;0.014
   Temperature Set Point;37.0 Degrees C;0.24112;C6_43;0.045
   Current Temperature;37.0 Degrees C;0.24272;C6_32;0.023
   Heater Power;On;0.24352;C6_43;0.035
   Legacy Heating Mode;Off;0.244;C6_34;0.024
   Barcode Plate Type;TwentyFourWell;0.24536;C6_32;0.026
   Plate Serial Number;114-0345;0.24576;C6_22;0.081
   CO2 Conc. Set Point;5.00%;0.24872;C6_12;0.038
   Actual CO2 Conc.;5.00%;0.2488;C6_22;0.051
   Gas Mixer Status;Regulating;0.25392;C6_12;0.022
   AxIS Version;3.10.3.6;0.25608;C6_43;0.045
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;0.25616;C6_22;0.034
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;0.25688;C6_34;0.033
;;0.25768;C6_32;0.021
Spike Detector Settings;;0.26048;C6_32;0.02
   Method;Adaptive Threshold Crossing;0.26312;C6_13;0.13
   Threshold;6;0.26352;C6_43;0.024
   Threshold Status;Variable;0.26368;C6_32;0.02
   Threshold Crossing Only;TRUE;0.26472;C6_22;0.049
   Pre-Spike Duration;0.84 ms;0.26512;C6_23;0.023
   Post-Spike Duration;2.16 ms;0.26584;C6_12;0.023
   Coincident Event Filter;Default (Well);0.26688;C6_34;0.026
   Coincidence Occurrence Threshold;4 Electrodes;0.26792;C6_42;0.02
   Coincidence Event Window;80 µs;0.27136;C6_22;0.033
   Allow Sample Overlap;FALSE;0.27624;C6_43;0.027
   Spike Count Interval;1 s;0.2816;C6_22;0.028
;;0.28376;C6_34;0.496
;;0.28608;C6_34;0.073
;;0.28856;C6_34;0.019
;;0.29128;C6_43;0.045
;;0.29192;C6_34;0.339
;;0.29288;C6_32;0.032
;;0.29496;C6_34;0.076
;;0.29552;C6_31;0.015
;;0.29608;C6_32;0.022
;;0.29736;C6_34;0.135
;;0.29912;C6_22;0.059
;;0.29928;C6_43;0.022
;;0.30096;C6_33;0.017
;;0.30208;C6_34;0.018
;;0.30296;C6_12;0.036
;;0.3036;C6_43;0.036
;;0.30392;C6_22;0.044
;;0.30432;C6_34;0.027
;;0.3048;C6_44;0.039
;;0.3068;C6_34;0.02
;;0.30752;C6_22;0.025
;;0.30792;C6_44;0.025
;;0.31064;C6_33;0.019
;;0.31064;C6_43;0.031
;;0.31096;C6_44;0.024
;;0.31136;C6_34;0.028
;;0.31216;C6_32;0.022
;;0.31368;C6_34;0.031
;;0.31392;C6_44;0.019
;;0.31448;C6_22;0.028
;;0.31576;C6_32;0.026
;;0.31584;C6_42;0.03
;;0.31624;C6_44;0.028
;;0.31728;C6_12;0.042
;;0.31744;C6_33;0.022
;;0.31832;C6_34;0.038
;;0.32016;C6_44;0.035
;;0.32072;C6_12;0.018
;;0.3208;C6_22;0.031
;;0.32096;C6_13;0.134
;;0.32176;C6_34;0.018
;;0.32224;C6_43;0.03
;;0.32296;C6_44;0.018
;;0.32376;C6_32;0.021
;;0.32856;C6_42;0.028
;;0.3296;C6_32;0.02
;;0.33008;C6_12;0.024
;;0.33096;C6_34;0.026
;;0.33384;C6_34;0.231
;;0.3344;C6_44;0.023
;;0.3372;C6_33;0.015
;;0.3376;C6_34;0.109
;;0.34144;C6_34;0.053
;;0.34216;C6_22;0.045
;;0.34224;C6_42;0.034
;;0.34264;C6_43;0.029
;;0.34384;C6_34;0.017
;;0.34384;C6_44;0.026
;;0.34416;C6_32;0.022
;;0.3464;C6_12;0.039
;;0.34752;C6_22;0.023
;;0.34768;C6_43;0.056
;;0.34784;C6_44;0.023
;;0.3504;C6_43;0.01
;;0.35088;C6_34;0.021
;;0.35288;C6_43;0.041
;;0.3532;C6_44;0.017
;;0.35344;C6_23;0.018
;;0.3536;C6_22;0.036
;;0.35432;C6_32;0.027
;;0.35512;C6_34;0.018
;;0.35552;C6_44;0.025
;;0.35608;C6_43;0.021
;;0.35648;C6_13;0.126
;;0.35648;C6_31;0.021
;;0.35848;C6_44;0.028
;;0.3592;C6_34;0.262
;;0.35976;C6_13;0.036
;;0.36152;C6_34;0.034
;;0.36312;C6_13;0.023
;;0.3644;C6_34;0.013
;;0.36448;C6_44;0.026
;;0.36776;C6_34;0.032
;;0.36816;C6_12;0.018
;;0.36856;C6_44;0.025
;;0.37;C6_34;0.032
;;0.3708;C6_12;0.036
;;0.3708;C6_22;0.03
;;0.37232;C6_44;0.009
;;0.37584;C6_34;0.02
;;0.37664;C6_12;0.022
;;0.37776;C6_43;0.029
;;0.3788;C6_34;0.016
;;0.37928;C6_32;0.022
;;0.37952;C6_22;0.028
;;0.38328;C6_43;0.035
;;0.38448;C6_44;0.03
;;0.38568;C6_34;0.022
;;0.38568;C6_43;0.016
;;0.38592;C6_32;0.025
;;0.3864;C6_13;0.024
;;0.38984;C6_22;0.031
;;0.41256;C6_13;0.026
;;0.4364;C6_12;0.03
;;0.49568;C6_43;0.019
;;0.49656;C6_12;0.035
;;0.54616;C6_12;0.038
;;0.56824;C6_13;0.036
;;0.57144;C6_42;0.021
;;0.61232;C6_12;0.035
;;0.70096;C6_23;0.023
;;0.70208;C6_12;0.036
;;0.7024;C6_13;0.031
;;0.75776;C6_12;0.037
;;0.8272;C6_12;0.035
;;0.866;C6_22;0.021
;;0.86608;C6_13;0.032
;;0.92888;C6_12;0.036
;;0.99632;C6_12;0.032
;;1.01072;C6_13;0.035
;;1.02064;C6_13;0.05
;;1.05784;C6_13;0.054
;;1.07808;C6_13;0.04
;;1.16344;C6_13;0.129
;;1.19792;C6_23;0.02
;;1.19928;C6_13;0.037
;;1.2816;C6_43;0.033
;;1.3008;C6_13;0.135
;;1.31496;C6_13;0.039
;;1.34048;C6_43;0.035
;;1.38936;C6_22;0.019
;;1.39208;C6_31;0.021
;;1.39456;C6_31;0.014
