Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_D3_(IV);0.00496;D3_13;0.059
Description;;0.01984;D3_31;0.063
Maestro Edge (Maestro-091) Settings;;0.02864;D3_31;0.042
   Original File Time;02/20/2024 14:45:27;0.0372;D3_42;0.026
   Sampling Frequency;12.5 kHz;0.03864;D3_21;0.021
   Voltage Scale;-5.484861781483107E-08 V/sample;0.04232;D3_21;0.019
   Experiment Start Time;02/20/2024 13:19:42;0.05184;D3_14;0.014
   Referencing Method;Median;0.06472;D3_22;0.02
   Analog Mode Setting;Neural Spikes;0.0784;D3_31;0.027
   Plate Type;CytoView MEA 24;0.0884;D3_42;0.057
   Digital Low Pass Filter;3 kHz Kaiser Window;0.09152;D3_42;0.009
   Digital High Pass Filter;200 Hz IIR;0.10816;D3_13;0.059
   Temperature Set Point;37.0 Degrees C;0.12552;D3_11;0.014
   Current Temperature;37.0 Degrees C;0.12552;D3_31;0.017
   Heater Power;On;0.12872;D3_22;0.014
   Legacy Heating Mode;Off;0.14128;D3_31;0.151
   Barcode Plate Type;TwentyFourWell;0.14408;D3_31;0.006
   Plate Serial Number;114-0345;0.15568;D3_42;0.023
   CO2 Conc. Set Point;5.00%;0.16224;D3_42;0.019
   Actual CO2 Conc.;5.00%;0.16672;D3_31;0.024
   Gas Mixer Status;Regulating;0.17056;D3_34;0.103
   AxIS Version;3.10.3.6;0.17512;D3_34;0.06
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;0.18;D3_34;0.045
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;0.1808;D3_22;0.018
;;0.18248;D3_31;0.021
Spike Detector Settings;;0.186;D3_34;0.038
   Method;Adaptive Threshold Crossing;0.19288;D3_34;0.05
   Threshold;6;0.19728;D3_31;0.021
   Threshold Status;Variable;0.20216;D3_31;0.019
   Threshold Crossing Only;TRUE;0.20536;D3_34;0.068
   Pre-Spike Duration;0.84 ms;0.20544;D3_31;0.169
   Post-Spike Duration;2.16 ms;0.20856;D3_31;0.062
   Coincident Event Filter;Default (Well);0.21032;D3_42;0.05
   Coincidence Occurrence Threshold;4 Electrodes;0.21368;D3_42;0.014
   Coincidence Event Window;80 µs;0.22064;D3_22;0.017
   Allow Sample Overlap;FALSE;0.22072;D3_31;0.018
   Spike Count Interval;1 s;0.22552;D3_42;0.044
;;0.22728;D3_22;0.028
;;0.23024;D3_32;0.026
;;0.23328;D3_22;0.028
;;0.23416;D3_31;0.166
;;0.23472;D3_21;0.023
;;0.2364;D3_31;0.048
;;0.27984;D3_42;0.023
;;0.28416;D3_42;0.013
;;0.28496;D3_13;0.054
;;0.32528;D3_31;0.162
;;0.3288;D3_31;0.016
;;0.33112;D3_31;0.135
;;0.3336;D3_31;0.008
;;0.33496;D3_42;0.019
;;0.34824;D3_43;0.012
;;0.35192;D3_31;0.016
;;0.35712;D3_42;0.02
;;0.36448;D3_31;0.166
;;0.36672;D3_31;0.08
;;0.37384;D3_31;0.142
;;0.3768;D3_42;0.055
;;0.37824;D3_31;0.152
;;0.37896;D3_22;0.015
;;0.3792;D3_42;0.015
;;0.37984;D3_43;0.019
;;0.38032;D3_21;0.02
;;0.38136;D3_31;0.034
;;0.38944;D3_34;0.031
;;0.39064;D3_22;0.033
;;0.39152;D3_21;0.025
;;0.39224;D3_13;0.052
;;0.3928;D3_11;0.036
;;0.39352;D3_31;0.031
;;0.39376;D3_22;0.021
;;0.39688;D3_22;0.027
;;0.39696;D3_23;0.603
;;0.39744;D3_33;0.015
;;0.39792;D3_42;0.037
;;0.39816;D3_31;0.019
;;0.39824;D3_21;0.107
;;0.39848;D3_43;0.018
;;0.3988;D3_34;0.029
;;0.3992;D3_23;0.266
;;0.39928;D3_13;0.065
;;0.39944;D3_22;0.057
;;0.39992;D3_24;0.019
;;0.40032;D3_42;0.213
;;0.40136;D3_21;0.032
;;0.402;D3_13;0.023
;;0.402;D3_31;0.033
;;0.40208;D3_34;0.021
;;0.40232;D3_22;0.027
;;0.40264;D3_43;0.056
;;0.40272;D3_32;0.021
;;0.40296;D3_23;0.03
;;0.40328;D3_42;0.024
;;0.40344;D3_33;0.059
;;0.40384;D3_44;0.013
;;0.40424;D3_21;0.102
;;0.40424;D3_31;0.165
;;0.40464;D3_22;0.069
;;0.40488;D3_43;0.061
;;0.40536;D3_34;0.022
;;0.4056;D3_11;0.041
;;0.40568;D3_13;0.055
;;0.40624;D3_24;0.019
;;0.40624;D3_33;0.023
;;0.40648;D3_21;0.053
;;0.40704;D3_22;0.077
;;0.40712;D3_31;0.095
;;0.40712;D3_32;0.027
;;0.40736;D3_42;0.021
;;0.40744;D3_23;0.026
;;0.40776;D3_34;0.028
;;0.40784;D3_43;0.029
;;0.40888;D3_11;0.024
;;0.40928;D3_33;0.05
;;0.40944;D3_21;0.128
;;0.40968;D3_32;0.019
;;0.40976;D3_42;0.054
;;0.40984;D3_13;0.069
;;0.40984;D3_22;0.03
;;0.41056;D3_23;0.1
;;0.41064;D3_14;0.016
;;0.41072;D3_43;0.058
;;0.41128;D3_11;0.372
;;0.41128;D3_31;0.201
;;0.41128;D3_34;0.032
;;0.41192;D3_33;0.023
;;0.41216;D3_13;0.035
;;0.4124;D3_21;0.104
;;0.41256;D3_42;0.025
;;0.41264;D3_12;0.304
;;0.41264;D3_22;0.056
;;0.41296;D3_43;0.02
;;0.41352;D3_34;0.015
;;0.41408;D3_31;0.023
;;0.41408;D3_32;0.021
;;0.41456;D3_13;0.069
;;0.41464;D3_11;0.269
;;0.41472;D3_33;0.026
;;0.4148;D3_42;0.028
;;0.41488;D3_21;0.042
;;0.41496;D3_22;0.058
;;0.4152;D3_12;0.014
;;0.4152;D3_23;0.051
;;0.41576;D3_34;0.021
;;0.4168;D3_32;0.034
;;0.41712;D3_42;0.034
;;0.41728;D3_11;0.019
;;0.41752;D3_33;0.023
;;0.41768;D3_31;0.078
;;0.41792;D3_22;0.035
;;0.41824;D3_43;0.026
;;0.41832;D3_21;0.045
;;0.41856;D3_23;0.014
;;0.42056;D3_42;0.029
;;0.42072;D3_13;0.038
;;0.42072;D3_33;0.018
;;0.4208;D3_21;0.039
;;0.4208;D3_31;0.055
;;0.42096;D3_34;0.097
;;0.42152;D3_23;0.206
;;0.42208;D3_14;0.016
;;0.42264;D3_11;0.29
;;0.42312;D3_43;0.014
;;0.42328;D3_22;0.068
;;0.42336;D3_21;0.047
;;0.42368;D3_13;0.065
;;0.42368;D3_31;0.035
;;0.42408;D3_33;0.057
;;0.42424;D3_23;0.027
;;0.42424;D3_42;0.031
;;0.4248;D3_12;0.269
;;0.42504;D3_34;0.037
;;0.42536;D3_11;0.038
;;0.42584;D3_21;0.053
;;0.42584;D3_43;0.02
;;0.4264;D3_22;0.063
;;0.42648;D3_31;0.059
;;0.42688;D3_13;0.025
;;0.42728;D3_12;0.048
;;0.4276;D3_42;0.017
;;0.42776;D3_33;0.016
;;0.42792;D3_32;0.023
;;0.428;D3_11;0.024
;;0.4284;D3_43;0.025
;;0.4288;D3_31;0.117
;;0.4288;D3_34;0.027
;;0.42888;D3_22;0.077
;;0.42912;D3_23;0.18
;;0.42928;D3_21;0.103
;;0.42968;D3_13;0.034
;;0.42992;D3_42;0.023
;;0.4308;D3_24;0.02
;;0.43128;D3_34;0.044
;;0.43144;D3_22;0.036
;;0.43152;D3_12;0.008
;;0.4316;D3_43;0.014
;;0.432;D3_31;0.025
;;0.43224;D3_23;0.021
;;0.43224;D3_33;0.057
;;0.4324;D3_13;0.081
;;0.43264;D3_42;0.043
;;0.43384;D3_22;0.027
;;0.434;D3_21;0.034
;;0.43408;D3_11;0.266
;;0.43448;D3_43;0.02
;;0.43456;D3_31;0.053
;;0.43496;D3_34;0.014
;;0.43536;D3_42;0.025
;;0.43552;D3_23;0.015
;;0.43576;D3_33;0.015
;;0.43648;D3_21;0.058
;;0.4368;D3_11;0.013
;;0.43696;D3_22;0.047
;;0.43744;D3_32;0.023
;;0.43768;D3_43;0.033
;;0.43784;D3_31;0.017
;;0.438;D3_42;0.028
;;0.43824;D3_23;0.118
;;0.43904;D3_21;0.025
;;0.43952;D3_34;0.048
;;0.4396;D3_11;0.026
;;0.4404;D3_31;0.043
