Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_D4_(IV)	0.03624	D4_23	0.024
Description		0.03784	D4_24	0.026
Maestro Edge (Maestro-091) Settings		0.04304	D4_24	0.024
   Original File Time	02/20/2024 14:41:29	0.0464	D4_24	0.037
   Sampling Frequency	12.5 kHz	0.05064	D4_24	0.025
   Voltage Scale	-5.484861781483107E-08 V/sample	0.05984	D4_21	0.064
   Experiment Start Time	02/20/2024 13:19:42	0.0648	D4_31	0.091
   Referencing Method	Median	0.07008	D4_33	0.018
   Analog Mode Setting	Neural Spikes	0.12936	D4_43	0.026
   Plate Type	CytoView MEA 24	0.2632	D4_13	0.012
   Digital Low Pass Filter	3 kHz Kaiser Window	0.29704	D4_23	0.028
   Digital High Pass Filter	200 Hz IIR	0.29784	D4_12	0.019
   Temperature Set Point	37.0 Degrees C	0.3128	D4_33	0.02
   Current Temperature	37.0 Degrees C	0.31656	D4_43	0.029
   Heater Power	On	0.3232	D4_33	0.018
   Legacy Heating Mode	Off	0.33224	D4_43	0.021
   Barcode Plate Type	TwentyFourWell	0.33992	D4_43	0.022
   Plate Serial Number	114-0345	0.34784	D4_43	0.023
   CO2 Conc. Set Point	5.00%	0.45024	D4_32	0.016
   Actual CO2 Conc.	5.00%	0.53944	D4_14	0.021
   Gas Mixer Status	Regulating	0.546	D4_33	0.034
   AxIS Version	3.10.3.6	0.63152	D4_43	0.026
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.63424	D4_43	0.015
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.6448	D4_43	0.027
		0.65088	D4_43	0.023
Spike Detector Settings		0.66016	D4_14	0.022
   Method	Adaptive Threshold Crossing	0.66752	D4_21	0.024
   Threshold	6	0.66824	D4_14	0.021
   Threshold Status	Variable	0.67552	D4_31	0.089
   Threshold Crossing Only	TRUE	0.67616	D4_43	0.027
   Pre-Spike Duration	0.84 ms	0.6788	D4_21	0.065
   Post-Spike Duration	2.16 ms	0.67904	D4_33	0.017
   Coincident Event Filter	Default (Well)	0.68136	D4_23	0.027
   Coincidence Occurrence Threshold	4 Electrodes	0.68904	D4_21	0.035
   Coincidence Event Window	80 µs	0.6904	D4_11	0.111
   Allow Sample Overlap	FALSE	0.69632	D4_13	0.017
   Spike Count Interval	1 s	0.6968	D4_33	0.032
		0.69896	D4_23	0.025
		0.70112	D4_21	0.068
		0.70328	D4_31	0.1
		0.70448	D4_42	0.017
		0.70584	D4_23	0.028
		0.706	D4_43	0.02
		0.70616	D4_22	0.015
		0.70624	D4_21	0.065
		0.70656	D4_12	0.024
		0.70712	D4_33	0.018
		0.71192	D4_21	0.034
		0.71224	D4_12	0.029
		0.71352	D4_33	0.034
		0.714	D4_23	0.047
		0.71536	D4_31	0.096
		0.71656	D4_32	0.039
		0.7176	D4_21	0.085
		0.71824	D4_31	0.021
		0.71832	D4_43	0.033
		0.71896	D4_12	0.152
		0.71896	D4_32	0.028
		0.71904	D4_22	0.016
		0.7192	D4_23	0.039
		0.72	D4_13	0.025
		0.72072	D4_21	0.046
		0.72096	D4_14	0.023
		0.72096	D4_43	0.065
		0.7212	D4_32	0.02
		0.72152	D4_12	0.082
		0.7216	D4_31	0.025
		0.72248	D4_13	0.035
		0.7228	D4_33	0.032
		0.72328	D4_43	0.023
		0.72344	D4_22	0.027
		0.72344	D4_32	0.028
		0.72384	D4_12	0.051
		0.72392	D4_31	0.035
		0.724	D4_23	0.028
		0.72408	D4_14	0.055
		0.72512	D4_13	0.048
		0.72576	D4_33	0.021
		0.72608	D4_32	0.011
		0.72624	D4_21	0.031
		0.7264	D4_14	0.122
		0.72656	D4_12	0.018
		0.72672	D4_31	0.025
		0.72672	D4_43	0.024
		0.72704	D4_42	0.016
		0.7272	D4_23	0.021
		0.7276	D4_13	0.029
		0.7276	D4_24	0.032
		0.72848	D4_22	0.014
		0.7288	D4_32	0.022
		0.7292	D4_14	0.112
		0.72928	D4_12	0.036
		0.72968	D4_43	0.026
		0.72992	D4_21	0.028
		0.7304	D4_13	0.043
		0.7304	D4_31	0.033
		0.7304	D4_33	0.023
		0.73088	D4_42	0.013
		0.73104	D4_23	0.036
		0.73168	D4_24	0.054
		0.73184	D4_22	0.026
		0.73208	D4_14	0.061
		0.73256	D4_12	0.058
		0.73256	D4_43	0.029
		0.73312	D4_13	0.015
		0.7332	D4_32	0.015
		0.73392	D4_23	0.014
		0.73448	D4_11	0.111
		0.73448	D4_21	0.029
		0.73504	D4_12	0.047
		0.73512	D4_22	0.02
		0.7352	D4_43	0.024
		0.73536	D4_24	0.043
		0.73616	D4_32	0.017
		0.73624	D4_13	0.054
		0.73624	D4_14	0.019
		0.73648	D4_31	0.029
		0.7368	D4_11	0.019
		0.73696	D4_23	0.029
		0.73736	D4_12	0.008
		0.7376	D4_43	0.019
		0.73792	D4_21	0.024
		0.7384	D4_24	0.021
		0.73872	D4_13	0.026
		0.7388	D4_14	0.109
		0.73912	D4_22	0.014
		0.73944	D4_23	0.032
		0.73968	D4_42	0.017
		0.73976	D4_31	0.029
		0.74048	D4_21	0.027
		0.74064	D4_33	0.014
		0.7408	D4_12	0.024
		0.74128	D4_13	0.031
		0.74136	D4_24	0.034
		0.74216	D4_22	0.022
		0.74224	D4_14	0.089
		0.74256	D4_23	0.019
		0.74272	D4_43	0.03
		0.74312	D4_11	0.029
		0.7432	D4_21	0.019
		0.7436	D4_32	0.021
		0.744	D4_24	0.03
		0.7444	D4_13	0.02
		0.74456	D4_14	0.039
		0.74512	D4_43	0.028
		0.7452	D4_12	0.022
		0.74544	D4_31	0.023
		0.74616	D4_11	0.087
		0.74648	D4_44	0.044
		0.74672	D4_33	0.035
		0.74696	D4_21	0.033
		0.74736	D4_32	0.026
		0.74776	D4_13	0.03
		0.74776	D4_14	0.079
		0.74776	D4_43	0.022
		0.74784	D4_12	0.034
		0.74832	D4_31	0.026
		0.74856	D4_22	0.015
		0.74872	D4_23	0.022
		0.7488	D4_24	0.017
		0.74992	D4_11	0.02
		0.75024	D4_33	0.028
		0.75064	D4_21	0.045
		0.7508	D4_31	0.015
		0.7508	D4_43	0.025
		0.75096	D4_13	0.043
		0.75136	D4_12	0.032
		0.75152	D4_14	0.082
		0.75216	D4_23	0.033
		0.75256	D4_22	0.03
		0.75376	D4_24	0.033
		0.75392	D4_31	0.026
		0.754	D4_11	0.057
		0.75448	D4_13	0.033
		0.75472	D4_23	0.025
		0.75488	D4_21	0.02
		0.75512	D4_33	0.029
		0.75576	D4_14	0.022
		0.75592	D4_12	0.036
		0.75592	D4_43	0.036
		0.75624	D4_22	0.018
		0.75624	D4_31	0.028
		0.75632	D4_44	0.044
		0.7564	D4_11	0.016
		0.75688	D4_32	0.027
		0.75712	D4_24	0.027
		0.7576	D4_13	0.038
		0.7584	D4_14	0.025
		0.75856	D4_12	0.021
		0.75888	D4_43	0.026
		0.75912	D4_11	0.025
		0.75928	D4_31	0.03
		0.75952	D4_24	0.038
		0.76008	D4_21	0.043
		0.76048	D4_33	0.032
		0.76144	D4_11	0.053
		0.76152	D4_23	0.029
		0.76152	D4_43	0.035
		0.76184	D4_31	0.022
		0.76192	D4_13	0.029
		0.762	D4_22	0.027
		0.762	D4_42	0.014
		0.76216	D4_14	0.129
		0.76216	D4_24	0.036
		0.76408	D4_44	0.037
		0.76432	D4_12	0.02
		0.76456	D4_43	0.016
		0.76464	D4_14	0.033
		0.76496	D4_13	0.016
		0.7652	D4_33	0.029
		0.76544	D4_23	0.032
		0.76568	D4_24	0.03
		0.76656	D4_12	0.028
		0.76696	D4_14	0.092
		0.7672	D4_13	0.013
		0.7672	D4_43	0.028
		0.76808	D4_31	0.014
		0.76896	D4_21	0.021
		0.76984	D4_12	0.012
		0.76992	D4_33	0.032
		0.76992	D4_43	0.021
		0.77104	D4_24	0.035
		0.77144	D4_11	0.019
		0.7716	D4_21	0.032
		0.772	D4_23	0.035
		0.77208	D4_12	0.022
		0.77264	D4_14	0.095
		0.77288	D4_43	0.041
		0.77304	D4_33	0.034
		0.77408	D4_44	0.042
		0.77416	D4_13	0.022
		0.77416	D4_24	0.028
		0.77432	D4_12	0.028
		0.77432	D4_21	0.027
		0.7752	D4_11	0.053
		0.77528	D4_33	0.036
		0.77552	D4_31	0.063
		0.77576	D4_14	0.025
		0.77656	D4_21	0.036
		0.7768	D4_32	0.042
		0.77696	D4_43	0.031
		0.77704	D4_24	0.039
		0.77728	D4_23	0.028
		0.77736	D4_13	0.017
		0.77752	D4_44	0.019
		0.77784	D4_31	0.035
		0.77816	D4_12	0.02
		0.7784	D4_14	0.089
		0.77944	D4_43	0.039
		0.77952	D4_21	0.032
		0.78024	D4_23	0.023
		0.78032	D4_13	0.047
		0.78032	D4_31	0.022
		0.7808	D4_11	0.035
		0.78088	D4_32	0.027
		0.78104	D4_14	0.031
		0.78112	D4_22	0.016
		0.78112	D4_24	0.031
		0.78128	D4_33	0.032
		0.78168	D4_12	0.034
		0.78192	D4_43	0.02
		0.78288	D4_13	0.023
		0.78312	D4_11	0.035
		0.78312	D4_21	0.042
		0.78336	D4_23	0.021
		0.78344	D4_14	0.075
		0.78392	D4_33	0.011
		0.78416	D4_43	0.013
		0.7848	D4_24	0.025
		0.78512	D4_12	0.035
		0.78536	D4_21	0.025
		0.78624	D4_11	0.019
		0.78624	D4_23	0.015
		0.78656	D4_42	0.016
		0.78664	D4_13	0.019
		0.78688	D4_43	0.035
		0.7872	D4_14	0.048
		0.7872	D4_32	0.019
		0.78736	D4_22	0.014
		0.78792	D4_12	0.025
		0.78792	D4_33	0.026
		0.788	D4_31	0.016
		0.78864	D4_11	0.022
		0.78936	D4_13	0.016
		0.78976	D4_23	0.035
