Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_A3_(I)	0.02704	A3_23	0.032
Description		0.03064	A3_11	0.018
Maestro Edge (Maestro-091) Settings		0.12488	A3_21	0.032
   Original File Time	02/20/2024 10:33:19	0.24216	A3_21	0.03
   Sampling Frequency	12.5 kHz	0.33552	A3_23	0.036
   Voltage Scale	-5.484861781483107E-08 V/sample	0.36696	A3_11	0.054
   Experiment Start Time	02/20/2024 10:06:50	0.36992	A3_11	0.01
   Referencing Method	Median	0.49176	A3_21	0.033
   Analog Mode Setting	Neural Spikes	0.51016	A3_33	0.155
   Plate Type	CytoView MEA 24	0.5124	A3_33	0.01
   Digital Low Pass Filter	3 kHz Kaiser Window	0.52912	A3_11	0.06
   Digital High Pass Filter	200 Hz IIR	0.58488	A3_21	0.026
   Temperature Set Point	37.0 Degrees C	0.58776	A3_33	0.173
   Current Temperature	37.0 Degrees C	0.58784	A3_23	0.018
   Heater Power	On	0.58848	A3_34	0.016
   Legacy Heating Mode	Off	0.59	A3_33	0.013
   Barcode Plate Type	TwentyFourWell	0.65408	A3_11	0.052
   Plate Serial Number	114-0345	0.65688	A3_11	0.007
   CO2 Conc. Set Point	5.00%	0.67472	A3_33	0.165
   Actual CO2 Conc.	5.10%	0.67544	A3_34	0.016
   Gas Mixer Status	Regulating	0.67712	A3_33	0.009
   AxIS Version	3.10.3.6	0.71784	A3_23	0.062
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.71896	A3_13	0.02
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.77512	A3_21	0.032
		0.81192	A3_11	0.024
Spike Detector Settings		0.82816	A3_11	0.049
   Method	Adaptive Threshold Crossing	0.83128	A3_11	0.013
   Threshold	6	0.87248	A3_33	0.175
   Threshold Status	Variable	0.87472	A3_33	0.015
   Threshold Crossing Only	TRUE	0.94552	A3_21	0.033
   Pre-Spike Duration	0.84 ms	0.95184	A3_21	0.013
   Post-Spike Duration	2.16 ms	1.01832	A3_11	0.05
   Coincident Event Filter	Default (Well)	1.0212	A3_11	0.014
   Coincidence Occurrence Threshold	4 Electrodes	1.06016	A3_11	0.061
   Coincidence Event Window	80 µs	1.0928	A3_11	0.047
   Allow Sample Overlap	FALSE	1.098	A3_34	0.027
   Spike Count Interval	1 s	1.10864	A3_12	0.022
		1.1096	A3_33	0.157
		1.11032	A3_34	0.02
		1.11168	A3_11	0.04
		1.11208	A3_33	0.008
		1.1132	A3_42	0.017
		1.11496	A3_11	0.019
		1.1156	A3_42	0.02
		1.11592	A3_13	0.077
		1.11728	A3_11	0.063
		1.118	A3_42	0.018
		1.1184	A3_24	0.024
		1.12	A3_13	0.097
		1.12024	A3_12	0.017
		1.1204	A3_11	0.021
		1.12112	A3_23	0.044
		1.1212	A3_33	0.024
		1.12184	A3_24	0.022
		1.12552	A3_33	0.159
		1.12608	A3_24	0.021
		1.12632	A3_11	0.041
		1.12728	A3_42	0.374
		1.12792	A3_33	0.01
		1.128	A3_22	0.016
		1.12888	A3_11	0.027
		1.12944	A3_12	0.025
		1.13056	A3_42	0.036
		1.13144	A3_11	0.04
		1.13256	A3_13	0.093
		1.134	A3_12	0.021
		1.13456	A3_11	0.028
		1.13464	A3_42	0.027
		1.13488	A3_34	0.032
		1.1368	A3_21	0.03
		1.13752	A3_23	0.042
		1.138	A3_12	0.02
		1.138	A3_42	0.561
		1.13816	A3_41	0.011
		1.13824	A3_24	0.024
		1.1384	A3_11	0.018
		1.13912	A3_34	0.152
		1.13976	A3_23	0.058
		1.14	A3_33	0.151
		1.14016	A3_13	0.028
		1.14096	A3_11	0.043
		1.14168	A3_44	0.012
		1.14184	A3_12	0.026
		1.14216	A3_34	0.023
		1.14248	A3_33	0.018
		1.14256	A3_31	0.013
		1.14336	A3_11	0.044
		1.14408	A3_43	0.019
		1.14432	A3_23	0.034
		1.14472	A3_42	0.156
		1.14528	A3_34	0.057
		1.14592	A3_11	0.049
		1.14608	A3_12	0.024
		1.14624	A3_13	0.085
		1.14624	A3_31	0.016
		1.14632	A3_33	0.018
		1.14672	A3_43	0.016
		1.14704	A3_41	0.013
		1.1472	A3_23	0.054
		1.14736	A3_42	0.055
		1.14768	A3_34	0.05
		1.14808	A3_22	0.027
		1.14856	A3_11	0.058
		1.1488	A3_24	0.021
		1.14904	A3_13	0.023
		1.1492	A3_33	0.133
		1.14928	A3_43	0.017
		1.14984	A3_12	0.021
		1.14984	A3_42	0.026
		1.15056	A3_22	0.013
		1.15056	A3_34	0.016
		1.15128	A3_11	0.026
		1.15168	A3_33	0.024
		1.15168	A3_41	0.015
		1.15176	A3_13	0.059
		1.15208	A3_23	0.027
		1.15216	A3_43	0.022
		1.15248	A3_21	0.027
		1.15288	A3_34	0.031
		1.15296	A3_24	0.02
		1.15376	A3_12	0.026
		1.15376	A3_42	0.072
		1.154	A3_11	0.057
		1.1544	A3_33	0.019
		1.15464	A3_43	0.012
		1.15472	A3_13	0.018
		1.15672	A3_42	0.018
		1.15688	A3_11	0.022
		1.1576	A3_13	0.032
		1.15856	A3_33	0.132
		1.1592	A3_42	0.318
		1.16064	A3_13	0.069
		1.1612	A3_33	0.018
		1.16128	A3_11	0.037
		1.1616	A3_12	0.019
		1.16256	A3_42	0.051
		1.16472	A3_11	0.031
		1.16536	A3_33	0.024
		1.16544	A3_23	0.037
		1.16544	A3_34	0.033
		1.16544	A3_42	0.139
		1.1656	A3_24	0.017
		1.16736	A3_11	0.027
		1.16736	A3_12	0.027
		1.16768	A3_41	0.013
		1.168	A3_34	0.136
		1.16984	A3_42	0.029
		1.17048	A3_11	0.012
		1.1708	A3_41	0.012
		1.17104	A3_33	0.135
		1.17112	A3_34	0.086
		1.17144	A3_24	0.025
		1.17184	A3_23	0.025
		1.17208	A3_42	0.06
		1.17288	A3_11	0.033
		1.1736	A3_33	0.02
		1.17472	A3_34	0.034
		1.17536	A3_11	0.033
		1.17536	A3_42	0.027
		1.1764	A3_31	0.013
		1.17768	A3_13	0.083
		1.17784	A3_11	0.028
		1.17784	A3_42	0.459
		1.178	A3_23	0.059
		1.1784	A3_12	0.02
		1.17984	A3_22	0.021
		1.17992	A3_13	0.022
		1.18032	A3_42	0.083
		1.18048	A3_11	0.027
		1.18056	A3_23	0.052
		1.18272	A3_11	0.029
		1.18272	A3_42	0.082
		1.18456	A3_33	0.13
		1.18504	A3_12	0.026
		1.18536	A3_23	0.026
		1.18568	A3_11	0.033
		1.18568	A3_34	0.016
		1.18584	A3_21	0.021
		1.1872	A3_42	0.028
		1.18728	A3_33	0.012
		1.18848	A3_11	0.07
		1.18944	A3_42	0.037
		1.1896	A3_13	0.029
		1.18976	A3_34	0.038
		1.18992	A3_23	0.04
		1.18992	A3_24	0.018
		1.19008	A3_33	0.01
		1.19096	A3_11	0.038
		1.19184	A3_12	0.025
		1.19208	A3_34	0.133
		1.1924	A3_13	0.08
		1.19256	A3_23	0.033
		1.19264	A3_24	0.022
		1.19304	A3_42	0.071
		1.19368	A3_33	0.118
		1.19392	A3_11	0.013
		1.19552	A3_34	0.016
		1.19632	A3_23	0.031
		1.19632	A3_33	0.012
		1.1964	A3_11	0.021
		1.19672	A3_43	0.026
		1.19776	A3_42	0.048
		1.198	A3_12	0.023
		1.1984	A3_34	0.094
		1.19848	A3_31	0.016
		1.19896	A3_33	0.021
		1.19904	A3_11	0.026
		1.19912	A3_43	0.034
		1.19936	A3_13	0.062
		1.20032	A3_23	0.053
		1.2004	A3_24	0.015
		1.2012	A3_34	0.042
		1.2012	A3_42	0.428
		1.20168	A3_13	0.023
		1.20184	A3_33	0.041
		1.20184	A3_43	0.019
		1.20232	A3_11	0.038
		1.20272	A3_23	0.056
		1.20304	A3_22	0.024
		1.20376	A3_42	0.092
		1.20392	A3_34	0.024
		1.20408	A3_24	0.018
		1.20528	A3_33	0.014
		1.20544	A3_12	0.023
		1.206	A3_11	0.038
		1.20664	A3_42	0.065
		1.20672	A3_43	0.04
		1.20688	A3_13	0.068
		1.20824	A3_23	0.036
		1.20872	A3_11	0.015
		1.20952	A3_42	0.083
		1.20968	A3_43	0.014
		1.2104	A3_34	0.114
		1.21128	A3_24	0.028
		1.21144	A3_11	0.019
		1.21184	A3_42	0.042
		1.21288	A3_34	0.007
		1.21336	A3_21	0.013
		1.214	A3_11	0.03
		1.21432	A3_33	0.103
		1.21528	A3_42	0.032
		1.2156	A3_34	0.011
		1.21704	A3_33	0.008
		1.21768	A3_11	0.015
		1.21848	A3_42	0.016
		1.22088	A3_42	0.023
		1.22112	A3_13	0.068
		1.22272	A3_11	0.021
		1.22352	A3_42	0.416
		1.22368	A3_23	0.022
		1.22416	A3_41	0.01
		1.22592	A3_42	0.035
		1.22744	A3_43	0.012
		1.22768	A3_11	0.025
		1.22832	A3_34	0.034
		1.22912	A3_42	0.013
		1.23064	A3_33	0.134
		1.23072	A3_11	0.028
		1.23136	A3_34	0.084
		1.23296	A3_11	0.067
		1.2332	A3_24	0.02
		1.23336	A3_33	0.013
		1.23408	A3_34	0.018
		1.23432	A3_42	0.03
		1.23552	A3_12	0.021
		1.23552	A3_13	0.071
		1.23584	A3_11	0.019
		1.23656	A3_23	0.034
		1.23816	A3_31	0.015
		1.23944	A3_23	0.06
		1.23984	A3_11	0.028
		1.23984	A3_24	0.026
		1.24072	A3_43	0.015
		1.24104	A3_33	0.113
		1.24136	A3_42	0.016
		1.2416	A3_34	0.021
		1.24192	A3_21	0.022
		1.24224	A3_11	0.039
		1.24296	A3_43	0.046
		1.2432	A3_13	0.019
		1.244	A3_33	0.016
		1.24416	A3_42	0.394
		1.24544	A3_11	0.03
		1.2464	A3_12	0.017
		1.24648	A3_23	0.045
		1.2468	A3_42	0.027
		1.24688	A3_43	0.021
		1.2476	A3_34	0.11
		1.24824	A3_11	0.027
		1.24872	A3_33	0.087
		1.2492	A3_13	0.066
		1.2496	A3_42	0.033
		1.24984	A3_43	0.017
		1.25008	A3_34	0.014
		1.2508	A3_11	0.042
		1.2508	A3_23	0.038
		1.25168	A3_33	0.011
		1.25352	A3_42	0.023
		1.25424	A3_11	0.03
		1.25504	A3_34	0.023
		1.25728	A3_34	0.031
		1.2592	A3_13	0.021
		1.25928	A3_11	0.021
		1.2596	A3_42	0.074
		1.26192	A3_33	0.015
		1.28456	A3_33	0.018
		1.28936	A3_42	0.018
		1.30104	A3_33	0.146
		1.30344	A3_33	0.014
		1.31296	A3_42	0.018
		1.31504	A3_23	0.019
		1.31648	A3_21	0.014
		1.37616	A3_41	0.011
		1.38088	A3_21	0.026
		1.44528	A3_21	0.024
		1.53768	A3_21	0.022
		1.63832	A3_21	0.024
		1.68176	A3_33	0.015
		1.74736	A3_24	0.014
		1.75288	A3_33	0.166
		1.75528	A3_33	0.014
		1.8656	A3_21	0.032
		2.05376	A3_21	0.032
		2.05976	A3_11	0.049
		2.2128	A3_21	0.033
		2.29872	A3_23	0.026
		2.33856	A3_21	0.032
		2.34992	A3_11	0.058
		2.35208	A3_33	0.164
		2.35448	A3_33	0.013
		2.36776	A3_42	0.016
		2.37784	A3_41	0.011
		2.39456	A3_41	0.012
		2.40768	A3_34	0.033
		2.4152	A3_33	0.161
		2.41744	A3_33	0.015
		2.41768	A3_12	0.02
		2.42056	A3_11	0.054
		2.42312	A3_41	0.011
		2.42336	A3_11	0.013
		2.42656	A3_11	0.029
		2.42712	A3_24	0.021
		2.42984	A3_13	0.073
		2.43088	A3_11	0.04
		2.43128	A3_24	0.024
		2.43304	A3_41	0.01
		2.4332	A3_11	0.035
		2.43504	A3_34	0.139
		2.43536	A3_33	0.159
		2.4356	A3_23	0.039
		2.43584	A3_43	0.013
		2.436	A3_42	0.617
		2.43768	A3_34	0.024
		2.43832	A3_11	0.034
		2.43848	A3_42	0.264
		2.43888	A3_33	0.026
		2.44136	A3_23	0.048
		2.44176	A3_43	0.022
		2.44192	A3_11	0.017
		2.442	A3_42	0.064
		2.44224	A3_13	0.083
		2.44232	A3_31	0.017
		2.44424	A3_34	0.134
		2.4444	A3_42	0.19
		2.44448	A3_23	0.032
		2.44456	A3_12	0.025
		2.44456	A3_24	0.02
		2.44464	A3_33	0.148
		2.4452	A3_43	0.019
		2.44672	A3_34	0.013
		2.44744	A3_21	0.028
		2.44776	A3_33	0.031
		2.44816	A3_23	0.032
		2.44856	A3_12	0.024
		2.44864	A3_11	0.02
		2.44864	A3_42	0.08
		2.44984	A3_41	0.01
		2.44992	A3_34	0.038
		2.45016	A3_13	0.063
		2.45096	A3_11	0.043
		2.45096	A3_33	0.019
		2.45136	A3_23	0.068
		2.45152	A3_42	0.025
		2.452	A3_31	0.024
		2.4524	A3_34	0.089
		2.45248	A3_13	0.024
		2.45312	A3_12	0.026
		2.45376	A3_11	0.029
		2.45376	A3_42	0.49
		2.454	A3_24	0.019
		2.454	A3_33	0.125
		2.45432	A3_23	0.033
		2.45568	A3_22	0.02
		2.456	A3_21	0.024
		2.45608	A3_42	0.041
		2.45616	A3_11	0.023
		2.45648	A3_33	0.019
		2.45648	A3_41	0.008
		2.45656	A3_34	0.021
		2.45704	A3_23	0.034
		2.45784	A3_12	0.02
		2.45864	A3_42	0.102
		2.4588	A3_11	0.029
		2.45896	A3_34	0.024
		2.45936	A3_13	0.03
		2.45944	A3_41	0.014
		2.46032	A3_23	0.033
		2.46128	A3_42	0.033
		2.46176	A3_11	0.018
		2.46232	A3_21	0.018
		2.46328	A3_13	0.08
		2.46376	A3_33	0.134
		2.46408	A3_12	0.023
		2.46448	A3_11	0.055
		2.46464	A3_22	0.015
		2.46472	A3_34	0.016
		2.46568	A3_42	0.476
		2.46632	A3_13	0.022
		2.4664	A3_33	0.019
		2.46664	A3_23	0.031
		2.46792	A3_42	0.04
		2.46808	A3_11	0.024
		2.47096	A3_13	0.079
		2.47112	A3_42	0.042
		2.4712	A3_11	0.033
		2.47144	A3_22	0.014
		2.472	A3_12	0.029
		2.47408	A3_11	0.026
		2.47424	A3_34	0.018
		2.47616	A3_23	0.021
		2.47648	A3_11	0.019
		2.47776	A3_43	0.02
		2.4792	A3_33	0.133
		2.4796	A3_11	0.026
		2.48	A3_41	0.009
		2.48144	A3_13	0.034
		2.48184	A3_33	0.022
		2.48216	A3_11	0.044
		2.48256	A3_12	0.03
		2.4832	A3_34	0.019
		2.48392	A3_13	0.056
		2.48392	A3_23	0.032
		2.48496	A3_24	0.025
		2.48504	A3_11	0.051
		2.4852	A3_33	0.014
		2.48736	A3_42	0.012
		2.48768	A3_33	0.015
		2.48824	A3_11	0.03
		2.4888	A3_23	0.046
		2.48992	A3_24	0.018
		2.49016	A3_34	0.019
		2.49024	A3_33	0.056
		2.4912	A3_23	0.029
		2.49136	A3_42	0.515
		2.49256	A3_22	0.015
		2.49256	A3_34	0.066
		2.49264	A3_11	0.024
		2.49264	A3_13	0.078
		2.49312	A3_24	0.015
		2.49384	A3_23	0.055
		2.494	A3_33	0.022
		2.49416	A3_42	0.046
		2.49488	A3_34	0.117
		2.49504	A3_13	0.016
		2.49544	A3_11	0.026
		2.49648	A3_43	0.023
		2.49664	A3_42	0.14
		2.4968	A3_23	0.062
		2.49704	A3_33	0.023
		2.49712	A3_34	0.023
		2.49904	A3_12	0.022
		2.49912	A3_13	0.058
		2.49976	A3_42	0.129
		2.50072	A3_33	0.111
		2.50104	A3_21	0.021
		2.50192	A3_23	0.061
		2.502	A3_13	0.032
		2.50224	A3_41	0.01
		2.50232	A3_42	0.209
		2.5028	A3_11	0.042
		2.50296	A3_34	0.03
		2.50344	A3_33	0.012
		2.50416	A3_23	0.014
		2.50448	A3_13	0.02
		2.50512	A3_11	0.05
		2.50528	A3_12	0.031
		2.50528	A3_42	0.04
		2.50688	A3_13	0.067
		2.50736	A3_11	0.071
		2.50848	A3_24	0.026
		2.50848	A3_42	0.015
		2.50968	A3_11	0.045
		2.51136	A3_42	0.022
		2.51208	A3_23	0.04
		2.51248	A3_11	0.025
		2.5148	A3_11	0.019
		2.51504	A3_34	0.028
		2.51528	A3_42	0.017
		2.51568	A3_23	0.015
		2.51584	A3_24	0.015
		2.51616	A3_13	0.031
		2.51744	A3_34	0.048
		2.51768	A3_11	0.027
		2.51776	A3_33	0.133
		2.51864	A3_13	0.074
		2.51888	A3_12	0.021
		2.51928	A3_42	0.443
		2.52	A3_34	0.019
		2.52008	A3_11	0.03
		2.52032	A3_33	0.011
		2.5204	A3_24	0.018
		2.52096	A3_22	0.017
		2.522	A3_42	0.065
		2.5224	A3_11	0.024
		2.52304	A3_34	0.013
		2.5236	A3_43	0.047
		2.52368	A3_12	0.022
		2.5244	A3_23	0.039
		2.52464	A3_42	0.016
		2.52552	A3_34	0.076
		2.52608	A3_43	0.016
		2.52696	A3_42	0.04
		2.52736	A3_11	0.025
		2.52768	A3_23	0.025
		2.52952	A3_34	0.073
		2.52952	A3_43	0.032
		2.53024	A3_42	0.375
		2.53056	A3_23	0.059
		2.5316	A3_13	0.024
		2.53184	A3_34	0.018
		2.53192	A3_11	0.045
		2.53248	A3_33	0.122
		2.53272	A3_42	0.074
		2.53296	A3_43	0.019
		2.53368	A3_23	0.034
		2.53496	A3_33	0.016
		2.53504	A3_12	0.02
		2.5356	A3_11	0.038
		2.53584	A3_13	0.07
		2.536	A3_22	0.014
		2.53608	A3_42	0.015
		2.53784	A3_43	0.015
		2.53888	A3_21	0.018
		2.53944	A3_42	0.015
		2.54016	A3_11	0.06
		2.54088	A3_12	0.018
		2.54432	A3_42	0.024
		2.54552	A3_24	0.026
		2.54584	A3_34	0.029
		2.54616	A3_23	0.022
		2.54688	A3_11	0.025
		2.5492	A3_11	0.02
		2.55144	A3_13	0.078
		2.55216	A3_12	0.023
		2.55288	A3_24	0.02
		2.554	A3_42	0.427
		2.5552	A3_33	0.137
		2.5552	A3_34	0.113
		2.5568	A3_12	0.018
		2.55728	A3_11	0.043
		2.5576	A3_33	0.013
