Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_A3_(IV)	0.01304	A3_41	0.012
Description		0.01392	A3_23	0.018
Maestro Edge (Maestro-091) Settings		0.01432	A3_33	0.161
Original File Time	02/20/2024 13:43:46	0.01528	A3_41	0.009
Sampling Frequency	12.5 kHz	0.01664	A3_33	0.013
Voltage Scale	-5.484861781483107E-08 V/sample	0.02432	A3_23	0.041
Experiment Start Time	02/20/2024 13:19:42	0.052	A3_23	0.041
Referencing Method	Median	0.06328	A3_21	0.033
Analog Mode Setting	Neural Spikes	0.07216	A3_23	0.066
Plate Type	CytoView MEA 24	0.07464	A3_23	0.012
Digital Low Pass Filter	3 kHz Kaiser Window	0.09504	A3_22	0.015
Digital High Pass Filter	200 Hz IIR	0.11024	A3_33	0.155
Temperature Set Point	37.0 Degrees C	0.11256	A3_33	0.016
Current Temperature	37.0 Degrees C	0.13512	A3_11	0.05
Heater Power	On	0.13904	A3_11	0.023
Legacy Heating Mode	Off	0.14216	A3_11	0.015
Barcode Plate Type	TwentyFourWell	0.14896	A3_21	0.033
Plate Serial Number	114-0345	0.16768	A3_11	0.027
CO2 Conc. Set Point	5.00%	0.17048	A3_11	0.042
Actual CO2 Conc.	5.00%	0.17272	A3_11	0.041
Gas Mixer Status	Regulating	0.17392	A3_24	0.022
AxIS Version	3.10.3.6	0.17504	A3_11	0.074
Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.17808	A3_24	0.011
Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.1784	A3_42	0.015
		0.1792	A3_23	0.036
Spike Detector Settings		0.18208	A3_42	0.752
Method	Adaptive Threshold Crossing	0.1828	A3_11	0.03
Threshold	6	0.18312	A3_24	0.028
Threshold Status	Variable	0.18384	A3_33	0.156
Threshold Crossing Only	TRUE	0.1844	A3_23	0.029
Pre-Spike Duration	0.84 ms	0.18456	A3_34	0.023
Post-Spike Duration	2.16 ms	0.18528	A3_43	0.014
Coincident Event Filter	Default (Well)	0.18544	A3_11	0.056
Coincidence Occurrence Threshold	4 Electrodes	0.18576	A3_42	0.222
Coincidence Event Window	80 µs	0.18616	A3_44	0.019
Allow Sample Overlap	FALSE	0.18808	A3_12	0.017
Spike Count Interval	1 s	0.18816	A3_11	0.074
		0.18856	A3_13	0.083
		0.18864	A3_24	0.015
		0.1892	A3_42	0.075
		0.1904	A3_23	0.05
		0.19112	A3_22	0.017
		0.19216	A3_11	0.048
		0.1932	A3_12	0.031
		0.19376	A3_44	0.022
		0.19392	A3_42	0.014
		0.19416	A3_13	0.088
		0.1948	A3_34	0.099
		0.19528	A3_24	0.022
		0.19608	A3_21	0.034
		0.19608	A3_22	0.015
		0.1964	A3_13	0.018
		0.19648	A3_23	0.038
		0.19648	A3_31	0.02
		0.19664	A3_33	0.133
		0.19688	A3_41	0.015
		0.19696	A3_11	0.065
		0.19768	A3_12	0.023
		0.19792	A3_24	0.016
		0.19792	A3_34	0.021
		0.198	A3_42	0.024
		0.19896	A3_33	0.017
		0.1992	A3_11	0.029
		0.20016	A3_31	0.03
		0.20032	A3_42	0.038
		0.20168	A3_12	0.015
		0.20184	A3_11	0.044
		0.20216	A3_44	0.019
		0.20248	A3_33	0.018
		0.20304	A3_43	0.019
		0.20312	A3_24	0.023
		0.20312	A3_41	0.011
		0.2032	A3_42	0.443
		0.20328	A3_23	0.034
		0.20384	A3_34	0.138
		0.20488	A3_11	0.03
		0.20504	A3_33	0.059
		0.2056	A3_12	0.025
		0.2056	A3_23	0.029
		0.20696	A3_34	0.02
		0.20696	A3_42	0.179
		0.20752	A3_11	0.074
		0.2084	A3_13	0.025
		0.2096	A3_33	0.01
		0.20976	A3_31	0.021
		0.2112	A3_12	0.026
		0.21136	A3_11	0.044
		0.21136	A3_44	0.016
		0.21168	A3_42	0.023
		0.2136	A3_13	0.099
		0.21384	A3_11	0.035
		0.21408	A3_42	0.226
		0.21528	A3_23	0.03
		0.21584	A3_12	0.017
		0.2164	A3_33	0.017
		0.21656	A3_34	0.027
		0.21688	A3_42	0.024
		0.21696	A3_31	0.018
		0.2172	A3_24	0.02
		0.21728	A3_13	0.019
		0.2184	A3_43	0.015
		0.21848	A3_11	0.031
