Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_A4_(I);0.01432;A4_32;0.019
Description;;0.02096;A4_22;0.126
Maestro Edge (Maestro-091) Settings;;0.0212;A4_32;0.033
   Original File Time;02/20/2024 10:37:49;0.02344;A4_22;0.009
   Sampling Frequency;12.5 kHz;0.07496;A4_32;0.028
   Voltage Scale;-5.484861781483107E-08 V/sample;0.14472;A4_22;0.093
   Experiment Start Time;02/20/2024 10:06:50;0.14776;A4_22;0.013
   Referencing Method;Median;0.15904;A4_23;0.023
   Analog Mode Setting;Neural Spikes;0.24032;A4_22;0.112
   Plate Type;CytoView MEA 24;0.24072;A4_32;0.036
   Digital Low Pass Filter;3 kHz Kaiser Window;0.24312;A4_22;0.011
   Digital High Pass Filter;200 Hz IIR;0.24912;A4_22;0.02
   Temperature Set Point;37.0 Degrees C;0.25208;A4_23;0.025
   Current Temperature;37.0 Degrees C;0.30656;A4_32;0.024
   Heater Power;On;0.80816;A4_22;0.021
   Legacy Heating Mode;Off;1.02864;A4_33;0.017
   Barcode Plate Type;TwentyFourWell;1.03216;A4_33;0.013
   Plate Serial Number;114-0345;1.05912;A4_42;0.038
   CO2 Conc. Set Point;5.00%;1.0664;A4_33;0.017
   Actual CO2 Conc.;5.10%;1.06712;A4_44;0.115
   Gas Mixer Status;Regulating;1.06936;A4_44;0.032
   AxIS Version;3.10.3.6;1.07008;A4_42;0.036
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;1.07096;A4_31;0.023
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;1.07184;A4_44;0.065
;;1.07328;A4_42;0.034
Spike Detector Settings;;1.07472;A4_22;0.088
   Method;Adaptive Threshold Crossing;1.07528;A4_44;0.034
   Threshold;6;1.07584;A4_42;0.061
   Threshold Status;Variable;1.07648;A4_34;0.014
   Threshold Crossing Only;TRUE;1.07656;A4_32;0.033
   Pre-Spike Duration;0.84 ms;1.07688;A4_31;0.077
   Post-Spike Duration;2.16 ms;1.07752;A4_44;0.031
   Coincident Event Filter;Default (Well);1.07784;A4_22;0.122
   Coincidence Occurrence Threshold;4 Electrodes;1.07912;A4_32;0.034
   Coincidence Event Window;80 µs;1.07976;A4_31;0.017
   Allow Sample Overlap;FALSE;1.07976;A4_44;0.025
   Spike Count Interval;1 s;1.08016;A4_22;0.067
;;1.0816;A4_32;0.032
;;1.08224;A4_44;0.049
;;1.08232;A4_23;0.023
;;1.08304;A4_42;0.024
;;1.08384;A4_22;0.083
;;1.08456;A4_44;0.039
;;1.08464;A4_23;0.032
;;1.08576;A4_14;0.042
;;1.0864;A4_32;0.033
;;1.0864;A4_43;0.02
;;1.0872;A4_24;0.029
;;1.08744;A4_42;0.042
;;1.0876;A4_11;0.018
;;1.0876;A4_22;0.035
;;1.0876;A4_44;0.048
;;1.08784;A4_33;0.055
;;1.08808;A4_31;0.073
;;1.08968;A4_21;0.032
;;1.08976;A4_32;0.05
;;1.08992;A4_43;0.019
;;1.09008;A4_23;0.254
;;1.09016;A4_44;0.018
;;1.09032;A4_31;0.039
;;1.09032;A4_42;0.033
;;1.09064;A4_13;0.026
;;1.09064;A4_22;0.046
;;1.09128;A4_12;0.026
;;1.09176;A4_14;0.042
;;1.09224;A4_43;0.026
;;1.09256;A4_31;0.067
;;1.09256;A4_44;0.098
;;1.09264;A4_23;0.027
;;1.09288;A4_21;0.04
;;1.09312;A4_22;0.018
;;1.09384;A4_24;0.023
;;1.09416;A4_11;0.023
;;1.0944;A4_33;0.019
;;1.09464;A4_43;0.1
;;1.0952;A4_12;0.021
;;1.09528;A4_44;0.038
;;1.09536;A4_22;0.044
;;1.0956;A4_31;0.029
;;1.09592;A4_23;0.215
;;1.096;A4_42;0.039
;;1.09648;A4_21;0.034
;;1.09696;A4_33;0.028
;;1.09704;A4_13;0.038
;;1.0972;A4_43;0.027
;;1.0976;A4_14;0.046
;;1.09768;A4_22;0.031
;;1.09768;A4_44;0.102
;;1.09784;A4_24;0.019
;;1.09832;A4_23;0.022
;;1.0988;A4_12;0.022
;;1.09896;A4_31;0.029
;;1.09904;A4_42;0.024
;;1.10008;A4_34;0.02
;;1.10008;A4_44;0.052
;;1.10104;A4_32;0.04
;;1.10112;A4_22;0.056
;;1.10136;A4_14;0.026
;;1.10144;A4_12;0.013
;;1.10208;A4_11;0.016
;;1.10216;A4_42;0.025
;;1.10224;A4_21;0.026
;;1.10296;A4_23;0.255
;;1.10344;A4_22;0.057
;;1.10344;A4_44;0.03
;;1.10376;A4_43;0.028
;;1.10448;A4_42;0.022
;;1.10456;A4_13;0.024
;;1.1052;A4_32;0.042
;;1.10584;A4_23;0.018
;;1.106;A4_44;0.021
;;1.10624;A4_31;0.018
;;1.10632;A4_43;0.041
;;1.10672;A4_22;0.026
;;1.10688;A4_42;0.022
;;1.10752;A4_14;0.032
;;1.10768;A4_32;0.02
;;1.10792;A4_33;0.059
;;1.10856;A4_23;0.022
;;1.10864;A4_44;0.058
;;1.11056;A4_22;0.053
;;1.1108;A4_23;0.024
;;1.11088;A4_14;0.028
;;1.11088;A4_44;0.028
;;1.11248;A4_32;0.02
;;1.1128;A4_42;0.028
;;1.1132;A4_21;0.025
;;1.11416;A4_22;0.016
;;1.11456;A4_31;0.071
;;1.1164;A4_43;0.082
;;1.11648;A4_32;0.037
;;1.1168;A4_23;0.035
;;1.11688;A4_22;0.025
;;1.11752;A4_44;0.05
;;1.11784;A4_31;0.075
;;1.11792;A4_13;0.02
;;1.11872;A4_24;0.025
;;1.11928;A4_23;0.025
;;1.11928;A4_42;0.044
;;1.11984;A4_22;0.03
;;1.12008;A4_44;0.064
;;1.1204;A4_31;0.036
;;1.1216;A4_11;0.021
;;1.12264;A4_41;0.013
;;1.12264;A4_42;0.018
;;1.12264;A4_44;0.048
;;1.1232;A4_43;0.022
;;1.12344;A4_22;0.023
;;1.12472;A4_31;0.037
;;1.1252;A4_21;0.031
;;1.12536;A4_32;0.039
;;1.12568;A4_44;0.052
;;1.12592;A4_22;0.038
;;1.12616;A4_23;0.185
;;1.12624;A4_43;0.068
;;1.12648;A4_42;0.034
;;1.1268;A4_14;0.031
;;1.12728;A4_31;0.014
;;1.128;A4_44;0.046
;;1.12824;A4_13;0.045
;;1.12936;A4_12;0.022
;;1.12976;A4_42;0.028
;;1.13008;A4_23;0.014
;;1.1304;A4_44;0.1
;;1.13056;A4_31;0.019
;;1.13056;A4_32;0.029
;;1.13064;A4_22;0.046
;;1.13216;A4_34;0.019
;;1.13264;A4_42;0.02
;;1.13288;A4_14;0.034
;;1.13312;A4_44;0.026
;;1.13344;A4_33;0.014
;;1.13352;A4_11;0.017
;;1.13408;A4_22;0.02
;;1.13408;A4_24;0.025
;;1.13424;A4_32;0.039
;;1.1356;A4_43;0.055
;;1.13568;A4_44;0.036
;;1.13696;A4_22;0.019
;;1.13704;A4_42;0.029
;;1.13816;A4_14;0.024
;;1.1392;A4_23;0.249
;;1.14;A4_22;0.019
;;1.14024;A4_13;0.021
;;1.14152;A4_23;0.026
;;1.14248;A4_22;0.042
;;1.14416;A4_44;0.059
;;1.14464;A4_43;0.068
;;1.14496;A4_22;0.022
;;1.14568;A4_31;0.018
;;1.146;A4_23;0.038
;;1.14672;A4_44;0.02
;;1.14696;A4_42;0.02
;;1.14856;A4_43;0.027
;;1.14864;A4_23;0.228
;;1.14904;A4_44;0.048
;;1.14976;A4_13;0.02
;;1.15048;A4_32;0.024
;;1.15088;A4_22;0.031
;;1.15104;A4_23;0.017
;;1.15176;A4_44;0.038
;;1.15304;A4_42;0.046
;;1.15408;A4_23;0.014
;;1.15408;A4_44;0.038
;;1.15528;A4_31;0.073
;;1.15664;A4_44;0.034
;;1.15752;A4_22;0.021
;;1.15816;A4_32;0.018
;;1.15872;A4_33;0.018
;;1.15944;A4_13;0.021
;;1.15944;A4_31;0.036
;;1.15992;A4_22;0.036
;;1.16008;A4_44;0.059
;;1.16048;A4_42;0.02
;;1.16088;A4_32;0.023
;;1.16376;A4_44;0.034
;;1.16544;A4_42;0.027
;;1.166;A4_44;0.041
;;1.16664;A4_14;0.026
;;1.16664;A4_24;0.022
;;1.16768;A4_42;0.017
;;1.16832;A4_11;0.015
;;1.16864;A4_44;0.028
;;1.16976;A4_12;0.018
;;1.1704;A4_42;0.044
;;1.17056;A4_14;0.025
;;1.17112;A4_44;0.033
;;1.172;A4_21;0.03
;;1.17344;A4_12;0.018
;;1.17376;A4_42;0.022
;;1.17408;A4_22;0.02
;;1.17416;A4_44;0.026
;;1.17464;A4_31;0.038
;;1.1764;A4_44;0.022
;;1.17736;A4_21;0.031
;;1.17752;A4_31;0.052
;;1.17824;A4_22;0.024
;;1.1784;A4_33;0.02
;;1.1784;A4_43;0.08
;;1.17896;A4_42;0.041
;;1.17904;A4_44;0.027
;;1.17984;A4_31;0.016
;;1.18088;A4_43;0.017
;;1.18312;A4_11;0.02
;;1.18376;A4_21;0.037
;;1.184;A4_22;0.031
;;1.18416;A4_23;0.039
;;1.18416;A4_42;0.022
;;1.18648;A4_43;0.025
;;1.18712;A4_44;0.032
;;1.19072;A4_22;0.053
;;1.1912;A4_44;0.021
;;1.19144;A4_32;0.022
;;1.19296;A4_43;0.092
;;1.19352;A4_42;0.032
;;1.1952;A4_43;0.015
;;1.19576;A4_42;0.022
;;1.19648;A4_33;0.066
;;1.1976;A4_44;0.033
;;1.2;A4_44;0.101
;;1.20064;A4_32;0.02
;;1.20296;A4_44;0.053
;;1.20368;A4_22;0.025
;;1.204;A4_32;0.03
;;1.20416;A4_43;0.071
;;1.20568;A4_44;0.045
;;1.2088;A4_44;0.034
;;1.20888;A4_42;0.026
;;1.21232;A4_44;0.013
;;1.21296;A4_22;0.017
;;1.21432;A4_23;0.247
;;1.21544;A4_13;0.028
;;1.21656;A4_23;0.027
;;1.21808;A4_44;0.027
;;1.21976;A4_14;0.03
;;1.2212;A4_22;0.032
;;1.22176;A4_33;0.012
;;1.22712;A4_42;0.02
;;1.22936;A4_23;0.039
;;1.28864;A4_22;0.033
;;1.4172;A4_22;0.089
;;1.494;A4_32;0.023
;;1.5936;A4_32;0.024
;;1.83032;A4_22;0.12
;;1.8508;A4_22;0.016
;;1.89336;A4_22;0.021
;;1.9028;A4_22;0.021
;;1.91736;A4_22;0.016
;;1.9308;A4_22;0.021
;;1.95696;A4_22;0.024
;;1.9832;A4_22;0.019
;;2.06088;A4_32;0.019
;;2.07872;A4_22;0.11
;;2.2128;A4_22;0.104
;;2.2156;A4_22;0.012
;;2.3852;A4_42;0.023
;;2.38888;A4_22;0.024
;;2.39432;A4_42;0.045
;;2.39488;A4_14;0.03
;;2.39504;A4_12;0.02
;;2.39568;A4_32;0.029
;;2.396;A4_31;0.062
;;2.3964;A4_23;0.048
;;2.39664;A4_22;0.119
;;2.3972;A4_42;0.042
;;2.39752;A4_44;0.041
;;2.39776;A4_12;0.029
;;2.39824;A4_32;0.021
;;2.39832;A4_31;0.021
;;2.3992;A4_22;0.031
;;2.3996;A4_21;0.035
;;2.3996;A4_42;0.031
;;2.39992;A4_44;0.021
;;2.40016;A4_43;0.022
;;2.4008;A4_31;0.097
;;2.40184;A4_12;0.019
;;2.40184;A4_13;0.023
;;2.40184;A4_22;0.022
;;2.40232;A4_44;0.077
;;2.40256;A4_42;0.055
;;2.40288;A4_23;0.029
;;2.40304;A4_11;0.02
;;2.40312;A4_31;0.04
