Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_A5_(IV);0.04976;A5_12;0.012
Description;;0.10544;A5_12;0.018
Maestro Edge (Maestro-091) Settings;;0.14664;A5_44;0.016
   Original File Time;02/20/2024 13:52:19;0.44608;A5_23;0.042
   Sampling Frequency;12.5 kHz;0.45984;A5_23;0.037
   Voltage Scale;-5.484861781483107E-08 V/sample;0.47104;A5_23;0.032
   Experiment Start Time;02/20/2024 13:19:42;0.48432;A5_23;0.029
   Referencing Method;Median;0.49552;A5_23;0.019
   Analog Mode Setting;Neural Spikes;0.50696;A5_23;0.02
   Plate Type;CytoView MEA 24;0.71856;A5_13;0.017
   Digital Low Pass Filter;3 kHz Kaiser Window;0.72232;A5_13;0.023
   Digital High Pass Filter;200 Hz IIR;0.726;A5_13;0.025
   Temperature Set Point;37.0 Degrees C;0.72976;A5_13;0.014
   Current Temperature;37.0 Degrees C;0.79328;A5_24;0.043
   Heater Power;On;0.84344;A5_12;0.019
   Legacy Heating Mode;Off;0.86632;A5_23;0.064
   Barcode Plate Type;TwentyFourWell;0.87176;A5_34;0.016
   Plate Serial Number;114-0345;1.1316;A5_24;0.024
   CO2 Conc. Set Point;5.00%;1.18544;A5_13;0.014
   Actual CO2 Conc.;5.00%;1.18872;A5_13;0.02
   Gas Mixer Status;Regulating;1.19128;A5_13;0.018
   AxIS Version;3.10.3.6;1.19432;A5_13;0.027
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;1.23768;A5_23;0.037
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;1.25464;A5_23;0.034
;;1.26608;A5_23;0.029
Spike Detector Settings;;1.27944;A5_23;0.026
   Method;Adaptive Threshold Crossing;1.2912;A5_23;0.023
   Threshold;6;1.3052;A5_23;0.021
   Threshold Status;Variable;1.31904;A5_23;0.016
   Threshold Crossing Only;TRUE;1.34464;A5_24;0.041
   Pre-Spike Duration;0.84 ms;1.88256;A5_24;0.044
   Post-Spike Duration;2.16 ms;1.99264;A5_34;0.018
   Coincident Event Filter;Default (Well);2.05624;A5_13;0.016
   Coincidence Occurrence Threshold;4 Electrodes;2.06176;A5_13;0.018
   Coincidence Event Window;80 µs;2.06432;A5_13;0.02
   Allow Sample Overlap;FALSE;2.06744;A5_13;0.028
   Spike Count Interval;1 s;2.07072;A5_13;0.023
;;2.07816;A5_24;0.043
;;2.10008;A5_23;0.062
;;2.12248;A5_12;0.02
;;2.12368;A5_44;0.017
;;2.13656;A5_23;0.063
;;2.1404;A5_24;0.043
;;2.14464;A5_23;0.059
;;2.18184;A5_23;0.062
;;2.47352;A5_23;0.043
;;2.48568;A5_23;0.036
;;2.49648;A5_23;0.031
;;2.50712;A5_23;0.026
;;2.51776;A5_23;0.018
;;2.53048;A5_23;0.017
;;2.54184;A5_24;0.034
;;2.5456;A5_23;0.019
;;2.71248;A5_13;0.016
;;2.72304;A5_13;0.013
;;2.7396;A5_13;0.016
;;2.74896;A5_13;0.015
;;2.75848;A5_12;0.016
;;2.76184;A5_13;0.016
;;2.76552;A5_13;0.02
;;2.76856;A5_24;0.042
;;2.7696;A5_13;0.015
;;2.76984;A5_23;0.061
;;2.77128;A5_12;0.019
;;2.79752;A5_23;0.063
;;2.7988;A5_12;0.022
;;2.79936;A5_13;0.018
;;2.80304;A5_13;0.019
;;2.81728;A5_23;0.061
;;2.82584;A5_44;0.019
;;2.83624;A5_23;0.063
;;2.8524;A5_23;0.054
;;2.85824;A5_23;0.059
;;2.89776;A5_23;0.058
;;2.93648;A5_13;0.026
;;2.93912;A5_13;0.016
;;2.95256;A5_23;0.062
;;2.9576;A5_13;0.019
;;2.97448;A5_23;0.061
;;3.01232;A5_23;0.063
;;3.02648;A5_23;0.059
;;3.04256;A5_23;0.059
;;3.08352;A5_13;0.016
;;3.10104;A5_23;0.06
;;3.17664;A5_13;0.015
;;3.18336;A5_13;0.021
;;3.19224;A5_13;0.019
;;3.20632;A5_13;0.016
;;3.2112;A5_12;0.013
;;3.21256;A5_23;0.06
;;3.22088;A5_23;0.059
;;3.26104;A5_23;0.054
;;3.29376;A5_23;0.055
;;3.33136;A5_23;0.065
;;3.3604;A5_13;0.018
;;3.36272;A5_23;0.057
;;3.52848;A5_23;0.035
;;3.54096;A5_23;0.039
;;3.6032;A5_23;0.04
;;3.61792;A5_23;0.034
;;3.69704;A5_23;0.035
;;3.7152;A5_23;0.031
;;3.73048;A5_23;0.028
;;3.74464;A5_23;0.021
;;3.93936;A5_13;0.022
;;3.94616;A5_13;0.015
;;3.94888;A5_13;0.02
;;3.952;A5_13;0.018
;;3.95552;A5_13;0.015
;;3.97368;A5_12;0.018
;;4.05424;A5_24;0.039
;;4.37528;A5_23;0.04
;;4.39192;A5_24;0.04
;;4.39448;A5_23;0.042
;;4.40632;A5_23;0.033
;;4.41952;A5_23;0.027
;;4.43128;A5_23;0.021
;;4.44488;A5_23;0.018
;;4.47552;A5_23;0.028
;;4.57808;A5_13;0.022
;;4.58088;A5_13;0.014
;;4.58768;A5_13;0.017
;;4.59536;A5_13;0.015
;;4.60584;A5_13;0.016
;;4.62392;A5_23;0.064
;;4.62488;A5_22;0.017
;;4.62568;A5_13;0.017
;;4.65856;A5_23;0.061
;;4.68304;A5_12;0.015
;;4.7068;A5_23;0.06
;;4.72496;A5_44;0.057
;;4.74192;A5_24;0.031
;;4.7424;A5_13;0.016
;;4.74792;A5_23;0.057
;;4.75056;A5_44;0.015
;;4.75528;A5_34;0.014
;;4.76;A5_12;0.017
;;4.76664;A5_23;0.055
;;4.97128;A5_23;0.013
;;5.10392;A5_23;0.039
;;5.11856;A5_23;0.039
;;5.1508;A5_23;0.037
;;5.16512;A5_23;0.029
;;5.17904;A5_23;0.03
;;5.19384;A5_23;0.02
;;5.22216;A5_23;0.026
;;5.23;A5_13;0.014
;;5.23664;A5_13;0.015
;;5.2404;A5_13;0.023
;;5.2436;A5_13;0.018
;;5.2836;A5_24;0.04
;;5.38808;A5_23;0.065
;;5.71584;A5_23;0.042
;;5.73608;A5_23;0.036
;;5.74872;A5_23;0.032
;;5.76192;A5_23;0.029
;;5.7896;A5_23;0.02
;;6.22624;A5_13;0.014
;;6.22928;A5_14;0.02
;;6.22952;A5_13;0.02
;;6.232;A5_13;0.015
;;6.238;A5_13;0.019
;;6.24136;A5_13;0.022
;;6.24496;A5_13;0.023
;;6.2548;A5_13;0.016
;;6.27072;A5_23;0.063
;;6.64808;A5_23;0.037
;;6.71888;A5_23;0.041
;;6.84384;A5_13;0.016
;;6.8484;A5_13;0.019
;;6.85184;A5_13;0.025
;;6.88016;A5_13;0.02
;;6.88392;A5_13;0.019
;;6.88784;A5_13;0.023
;;6.88896;A5_23;0.059
;;6.89192;A5_13;0.028
;;6.89528;A5_14;0.023
;;6.89584;A5_13;0.017
;;6.9048;A5_23;0.06
;;6.91064;A5_13;0.015
;;6.91472;A5_13;0.015
;;6.918;A5_23;0.058
;;6.92832;A5_23;0.056
;;6.94336;A5_13;0.021
;;6.94488;A5_23;0.061
;;6.95912;A5_12;0.018
;;6.97136;A5_13;0.014
;;6.98136;A5_23;0.056
;;6.99344;A5_13;0.018
;;6.99472;A5_23;0.056
;;7.0064;A5_23;0.061
;;7.01016;A5_13;0.016
;;7.01272;A5_23;0.056
;;7.01984;A5_13;0.019
;;7.02608;A5_13;0.019
;;7.03016;A5_23;0.058
;;7.07128;A5_23;0.056
;;7.3044;A5_23;0.043
;;7.31808;A5_23;0.038
;;7.3288;A5_23;0.03
;;7.37888;A5_13;0.019
;;7.56344;A5_23;0.04
;;7.57856;A5_23;0.032
;;7.59128;A5_23;0.032
;;7.97832;A5_23;0.039
;;7.9976;A5_23;0.038
;;8.01008;A5_23;0.03
;;8.17584;A5_34;0.015
;;8.23584;A5_23;0.036
;;8.25968;A5_23;0.032
;;8.72648;A5_13;0.016
;;8.73856;A5_13;0.022
;;8.7508;A5_13;0.017
;;8.75616;A5_13;0.016
;;8.76944;A5_23;0.058
;;8.76976;A5_13;0.02
;;8.81928;A5_44;0.019
;;8.82008;A5_23;0.06
;;8.87464;A5_34;0.017
;;8.87896;A5_23;0.064
;;8.89808;A5_34;0.016
;;8.97872;A5_23;0.061
;;9.16048;A5_23;0.041
;;9.17488;A5_23;0.041
;;9.18512;A5_23;0.031
;;9.19552;A5_23;0.021
;;9.20728;A5_23;0.019
;;9.25112;A5_23;0.033
;;9.45816;A5_13;0.02
;;9.47832;A5_13;0.016
;;9.48232;A5_13;0.022
;;9.49144;A5_24;0.036
;;9.50408;A5_13;0.019
;;9.50848;A5_23;0.059
;;9.5596;A5_23;0.034
;;9.59192;A5_23;0.035
;;9.77176;A5_24;0.039
;;9.91072;A5_24;0.043
;;9.91304;A5_24;0.015
;;9.98024;A5_23;0.041
;;9.99728;A5_23;0.037
;;10.0128;A5_23;0.031
;;10.02616;A5_23;0.025
;;10.08616;A5_23;0.024
;;10.08712;A5_24;0.034
;;10.33656;A5_13;0.031
;;10.33792;A5_24;0.02
;;10.34816;A5_13;0.016
;;10.35152;A5_13;0.024
;;10.3548;A5_13;0.018
;;10.3624;A5_13;0.021
;;10.3704;A5_23;0.063
;;10.37072;A5_13;0.017
;;10.37992;A5_13;0.017
;;10.38528;A5_12;0.022
;;10.3876;A5_13;0.023
;;10.39752;A5_23;0.063
;;10.41072;A5_23;0.055
;;10.45776;A5_12;0.017
;;10.49;A5_23;0.064
;;10.52328;A5_13;0.02
;;10.53048;A5_13;0.012
;;10.54528;A5_23;0.059
;;11.00776;A5_23;0.041
;;11.02008;A5_23;0.036
;;11.03112;A5_23;0.032
;;11.04096;A5_23;0.021
;;11.0536;A5_23;0.025
;;11.12408;A5_23;0.034
;;11.25008;A5_13;0.017
;;11.25608;A5_13;0.015
;;11.26272;A5_24;0.04
;;11.26296;A5_13;0.014
;;11.26624;A5_13;0.016
;;11.2736;A5_13;0.012
;;11.28296;A5_13;0.014
;;11.2912;A5_23;0.06
;;11.31256;A5_23;0.059
;;11.31416;A5_12;0.019
;;11.37496;A5_13;0.018
;;11.39664;A5_23;0.059
;;11.42136;A5_13;0.021
;;11.82928;A5_23;0.039
;;11.83936;A5_23;0.032
;;11.85064;A5_23;0.03
;;11.862;A5_23;0.026
;;11.87336;A5_23;0.021
;;11.89872;A5_23;0.023
;;11.97704;A5_44;0.021
;;12.06704;A5_34;0.013
;;12.08736;A5_24;0.02
;;12.54912;A5_23;0.041
;;12.564;A5_13;0.016
;;12.5648;A5_23;0.034
;;12.57784;A5_23;0.027
;;12.608;A5_13;0.015
;;12.61336;A5_13;0.022
;;12.61648;A5_13;0.017
;;12.62024;A5_13;0.016
;;12.62392;A5_13;0.018
;;12.63016;A5_13;0.018
;;12.642;A5_13;0.016
;;12.65248;A5_13;0.022
;;12.65672;A5_13;0.017
;;12.65704;A5_23;0.062
;;12.66608;A5_23;0.061
;;12.70408;A5_12;0.018
;;12.75048;A5_12;0.014
;;12.7664;A5_13;0.018
;;12.80672;A5_12;0.018
;;12.83432;A5_23;0.061
;;13.22576;A5_23;0.035
;;13.23792;A5_23;0.037
;;13.28288;A5_23;0.035
;;13.30224;A5_23;0.032
;;13.31672;A5_23;0.028
;;13.32976;A5_23;0.027
;;13.67224;A5_13;0.017
;;13.68064;A5_13;0.016
;;13.68368;A5_13;0.028
;;13.70176;A5_13;0.02
;;13.70608;A5_13;0.017
;;13.71432;A5_13;0.022
;;13.71704;A5_13;0.02
;;13.7188;A5_23;0.061
;;13.71904;A5_24;0.033
;;13.72152;A5_23;0.012
;;13.72544;A5_23;0.059
;;13.73064;A5_13;0.015
;;13.76432;A5_23;0.061
;;13.78424;A5_24;0.02
;;13.82864;A5_13;0.022
;;13.834;A5_23;0.052
;;14.10216;A5_23;0.038
;;14.11672;A5_23;0.037
;;14.1312;A5_23;0.033
;;14.14392;A5_23;0.025
;;14.15632;A5_23;0.024
;;14.17008;A5_23;0.023
;;14.17672;A5_24;0.043
;;14.18568;A5_23;0.02
;;14.20944;A5_23;0.027
;;14.34704;A5_24;0.04
;;14.56344;A5_24;0.042
;;14.61544;A5_13;0.016
;;14.6352;A5_13;0.015
;;14.63752;A5_13;0.019
;;14.64224;A5_13;0.013
;;14.64864;A5_13;0.02
;;14.65248;A5_13;0.015
;;14.66664;A5_24;0.041
;;14.67008;A5_23;0.061
;;14.7352;A5_14;0.024
;;14.7636;A5_12;0.013
;;14.94432;A5_24;0.038
;;15.02144;A5_23;0.039
;;15.05712;A5_23;0.039
;;15.06352;A5_24;0.027
;;15.07248;A5_23;0.035
;;15.08488;A5_23;0.026
;;15.09656;A5_23;0.021
;;15.1336;A5_13;0.02
;;15.13992;A5_23;0.02
;;15.21968;A5_24;0.046
;;15.42104;A5_24;0.042
;;15.79904;A5_13;0.016
;;15.80216;A5_13;0.023
;;15.80584;A5_13;0.015
;;15.81968;A5_13;0.017
;;15.82304;A5_13;0.019
;;15.82728;A5_13;0.016
;;15.83688;A5_23;0.061
;;15.84376;A5_23;0.059
;;15.86256;A5_24;0.034
;;15.96168;A5_23;0.064
;;16.06872;A5_23;0.044
;;16.1288;A5_23;0.039
;;16.14376;A5_23;0.036
;;16.15576;A5_23;0.027
;;16.1664;A5_23;0.018
;;16.18392;A5_24;0.038
;;16.19848;A5_23;0.021
