Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_B3_(I);1.73944;B3_23;0.073
Description;;1.7412;B3_24;0.178
Maestro Edge (Maestro-091) Settings;;1.74168;B3_13;0.018
   Original File Time;02/20/2024 10:46:31;1.74216;B3_12;0.211
   Sampling Frequency;12.5 kHz;1.74272;B3_23;0.046
   Voltage Scale;-5.484861781483107E-08 V/sample;1.74336;B3_31;0.018
   Experiment Start Time;02/20/2024 10:06:50;1.74392;B3_24;0.127
   Referencing Method;Median;1.74432;B3_34;0.051
   Analog Mode Setting;Neural Spikes;1.7452;B3_33;0.027
   Plate Type;CytoView MEA 24;1.7456;B3_13;0.027
   Digital Low Pass Filter;3 kHz Kaiser Window;1.7456;B3_23;0.273
   Digital High Pass Filter;200 Hz IIR;1.746;B3_12;0.13
   Temperature Set Point;37.0 Degrees C;1.74648;B3_24;0.109
   Current Temperature;37.0 Degrees C;1.7468;B3_14;0.022
   Heater Power;On;1.74872;B3_24;0.069
   Legacy Heating Mode;Off;1.7488;B3_13;0.024
   Barcode Plate Type;TwentyFourWell;1.74928;B3_14;0.023
   Plate Serial Number;114-0345;1.74936;B3_12;0.161
   CO2 Conc. Set Point;5.00%;1.74976;B3_34;0.035
   Actual CO2 Conc.;5.10%;1.75024;B3_23;0.073
   Gas Mixer Status;Regulating;1.75104;B3_31;0.031
   AxIS Version;3.10.3.6;1.75128;B3_33;0.025
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;1.75192;B3_13;0.051
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;1.75232;B3_24;0.058
;;1.75328;B3_23;0.013
Spike Detector Settings;;1.75392;B3_44;0.019
   Method;Adaptive Threshold Crossing;1.75432;B3_12;0.033
   Threshold;6;1.75512;B3_42;0.116
   Threshold Status;Variable;1.7552;B3_24;0.048
   Threshold Crossing Only;TRUE;1.75592;B3_13;0.038
   Pre-Spike Duration;0.84 ms;1.75608;B3_23;0.096
   Post-Spike Duration;2.16 ms;1.75632;B3_31;0.015
   Coincident Event Filter;Default (Well);1.75656;B3_12;0.26
   Coincidence Occurrence Threshold;4 Electrodes;1.75664;B3_34;0.025
   Coincidence Event Window;80 µs;1.75696;B3_33;0.033
   Allow Sample Overlap;FALSE;1.75776;B3_24;0.046
   Spike Count Interval;1 s;1.75928;B3_23;0.049
;;1.75944;B3_42;0.021
;;1.75952;B3_31;0.02
;;1.75984;B3_12;0.029
;;1.76008;B3_24;0.071
;;1.76048;B3_14;0.025
;;1.76168;B3_44;0.017
;;1.76176;B3_34;0.029
;;1.76208;B3_12;0.066
;;1.76296;B3_33;0.016
;;1.76328;B3_31;0.024
;;1.76336;B3_23;0.065
;;1.764;B3_24;0.064
;;1.76456;B3_12;0.067
;;1.76688;B3_12;0.042
;;1.76704;B3_34;0.017
;;1.76808;B3_24;0.099
;;1.76856;B3_42;0.097
;;1.7688;B3_13;0.015
;;1.76928;B3_23;0.022
;;1.76944;B3_12;0.028
;;1.77176;B3_42;0.016
;;1.77216;B3_24;0.027
;;1.77288;B3_12;0.027
;;1.77352;B3_33;0.017
;;1.77376;B3_13;0.037
;;1.77408;B3_22;0.056
;;1.7744;B3_42;0.02
;;1.77512;B3_24;0.03
;;1.776;B3_31;0.026
;;1.77744;B3_12;0.214
;;1.77768;B3_24;0.034
;;1.77776;B3_34;0.029
;;1.7792;B3_44;0.018
;;1.77992;B3_13;0.014
;;1.78;B3_23;0.033
;;1.78;B3_24;0.038
;;1.78056;B3_12;0.042
;;1.78168;B3_42;0.1
;;1.78184;B3_44;0.014
;;1.78208;B3_14;0.024
;;1.78256;B3_24;0.164
;;1.78296;B3_34;0.021
;;1.7832;B3_31;0.025
;;1.78416;B3_12;0.026
;;1.78472;B3_42;0.014
;;1.78496;B3_44;0.019
;;1.78512;B3_22;0.023
;;1.78528;B3_33;0.025
;;1.78584;B3_24;0.039
;;1.78608;B3_23;0.025
;;1.78704;B3_34;0.012
;;1.78864;B3_24;0.078
;;1.78896;B3_42;0.083
;;1.792;B3_42;0.017
;;1.79232;B3_13;0.015
;;1.7924;B3_24;0.016
;;1.79528;B3_23;0.033
;;1.79632;B3_31;0.015
;;1.7992;B3_24;0.037
;;1.79928;B3_23;0.019
;;1.79952;B3_42;0.014
;;1.80064;B3_44;0.016
;;1.80184;B3_24;0.133
;;1.80232;B3_33;0.026
;;1.8028;B3_34;0.019
;;1.80344;B3_23;0.023
;;1.80408;B3_42;0.089
;;1.80416;B3_24;0.032
;;1.80432;B3_13;0.028
;;1.80488;B3_12;0.178
;;1.80656;B3_24;0.058
;;1.80752;B3_42;0.014
;;1.80784;B3_23;0.12
;;1.808;B3_31;0.03
;;1.80816;B3_14;0.026
;;1.80872;B3_12;0.051
;;1.80936;B3_24;0.035
;;1.80992;B3_34;0.03
;;1.81008;B3_13;0.017
;;1.81024;B3_23;0.039
;;1.81152;B3_12;0.149
;;1.8116;B3_44;0.017
;;1.81264;B3_24;0.029
;;1.81264;B3_42;0.013
;;1.81304;B3_22;0.022
;;1.81392;B3_33;0.023
;;1.81536;B3_12;0.008
;;1.8156;B3_42;0.023
;;1.81576;B3_24;0.026
;;1.81888;B3_23;0.031
;;1.81928;B3_14;0.017
;;1.81936;B3_42;0.062
;;1.8196;B3_24;0.042
;;1.8212;B3_23;0.009
;;1.82128;B3_33;0.025
;;1.82216;B3_42;0.011
;;1.82264;B3_24;0.029
;;1.82744;B3_31;0.02
;;1.83368;B3_42;0.066
;;1.83528;B3_24;0.047
;;1.83704;B3_42;0.009
;;1.8376;B3_23;0.157
;;1.8408;B3_13;0.023
;;1.8412;B3_12;0.138
;;1.842;B3_24;0.113
;;1.84344;B3_34;0.035
;;1.8444;B3_24;0.062
;;1.84472;B3_12;0.049
;;1.8448;B3_14;0.017
;;1.8452;B3_33;0.021
;;1.84584;B3_13;0.011
;;1.84632;B3_23;0.036
;;1.8468;B3_44;0.016
;;1.8472;B3_12;0.142
;;1.848;B3_24;0.041
;;1.84808;B3_14;0.024
;;1.84896;B3_34;0.027
;;1.84928;B3_23;0.055
;;1.84984;B3_12;0.039
;;1.84992;B3_31;0.034
;;1.85024;B3_24;0.023
;;1.85064;B3_42;0.041
;;1.85224;B3_23;0.027
;;1.85232;B3_22;0.027
;;1.85288;B3_24;0.045
;;1.8548;B3_13;0.041
;;1.85528;B3_42;0.023
;;1.85544;B3_22;0.06
;;1.85576;B3_24;0.022
;;1.85688;B3_34;0.014
;;1.858;B3_23;0.032
;;1.85824;B3_13;0.036
;;1.85856;B3_42;0.076
;;1.85888;B3_12;0.055
;;1.85888;B3_44;0.015
;;1.85976;B3_31;0.016
;;1.86024;B3_33;0.023
;;1.86144;B3_12;0.081
;;1.86232;B3_42;0.013
;;1.86264;B3_14;0.017
;;1.8628;B3_24;0.028
;;1.86456;B3_23;0.018
;;1.86552;B3_24;0.112
;;1.86576;B3_31;0.019
;;1.86672;B3_42;0.058
;;1.86704;B3_12;0.02
;;1.86952;B3_23;0.032
;;1.87088;B3_42;0.016
;;1.87232;B3_23;0.023
;;1.8736;B3_31;0.02
;;1.87496;B3_23;0.012
;;1.8788;B3_24;0.025
;;1.87944;B3_42;0.045
;;1.88264;B3_42;0.008
;;1.88504;B3_12;0.018
;;1.88592;B3_23;0.029
;;1.88696;B3_44;0.015
;;1.88776;B3_42;0.014
;;1.8896;B3_14;0.017
;;1.88976;B3_23;0.024
;;1.8924;B3_23;0.013
;;1.89688;B3_12;0.159
;;1.89808;B3_24;0.136
;;1.8984;B3_42;0.014
;;1.8996;B3_34;0.035
;;1.90024;B3_12;0.038
;;1.90032;B3_24;0.062
;;1.90072;B3_13;0.024
;;1.90184;B3_42;0.026
;;1.90216;B3_33;0.022
;;1.90312;B3_12;0.099
;;1.90336;B3_23;0.017
;;1.90408;B3_14;0.031
;;1.90416;B3_13;0.019
;;1.9044;B3_22;0.057
;;1.90504;B3_24;0.078
;;1.90632;B3_12;0.018
;;1.908;B3_44;0.014
;;1.90896;B3_12;0.034
;;1.90896;B3_24;0.015
;;1.90952;B3_23;0.012
;;1.91016;B3_31;0.021
;;1.91072;B3_13;0.035
;;1.912;B3_44;0.023
;;1.9132;B3_24;0.027
;;1.91568;B3_12;0.027
;;1.91624;B3_34;0.018
;;1.91672;B3_33;0.019
;;1.9172;B3_42;0.051
;;1.91736;B3_31;0.027
;;1.91776;B3_24;0.025
;;1.91824;B3_12;0.075
;;1.9184;B3_23;0.024
;;1.92088;B3_23;0.012
;;1.92144;B3_42;0.01
;;1.92176;B3_12;0.025
;;1.9236;B3_13;0.039
;;1.92408;B3_34;0.017
;;1.92552;B3_24;0.022
;;1.92768;B3_12;0.039
;;1.92816;B3_13;0.019
;;1.92912;B3_42;0.059
;;1.92936;B3_24;0.047
;;1.93008;B3_12;0.089
;;1.93208;B3_24;0.024
;;1.93208;B3_42;0.018
;;1.93248;B3_12;0.049
;;1.9328;B3_13;0.017
;;1.9352;B3_24;0.107
;;1.93704;B3_23;0.025
;;1.93744;B3_31;0.019
;;1.93856;B3_24;0.044
;;1.94088;B3_24;0.024
;;1.9412;B3_23;0.014
;;1.9424;B3_42;0.049
;;1.94408;B3_22;0.038
;;1.94464;B3_24;0.03
;;1.94512;B3_42;0.024
;;1.94608;B3_23;0.025
;;1.94744;B3_31;0.021
;;1.94904;B3_34;0.028
;;1.94992;B3_24;0.054
;;1.95032;B3_33;0.032
;;1.95144;B3_14;0.017
;;1.9524;B3_12;0.018
;;1.95296;B3_13;0.042
;;1.95464;B3_12;0.134
;;1.95592;B3_24;0.05
;;1.95664;B3_42;0.015
;;1.95728;B3_34;0.022
;;1.958;B3_44;0.017
;;1.95832;B3_12;0.048
;;1.95944;B3_24;0.029
;;1.9612;B3_12;0.014
;;1.96216;B3_24;0.027
;;1.96312;B3_31;0.023
;;1.96456;B3_24;0.014
;;1.9648;B3_14;0.015
;;1.9652;B3_33;0.02
;;1.96768;B3_23;0.023
;;1.96784;B3_33;0.021
;;1.9688;B3_24;0.022
;;1.97344;B3_31;0.02
;;1.97896;B3_42;0.017
;;1.98128;B3_42;0.075
;;1.98416;B3_23;0.026
;;1.98488;B3_42;0.012
;;1.99608;B3_31;0.019
;;2.00104;B3_42;0.017
;;2.00512;B3_23;0.033
;;2.00576;B3_12;0.02
;;2.00664;B3_31;0.023
;;2.0092;B3_42;0.038
;;2.01064;B3_22;0.042
;;2.014;B3_42;0.044
;;2.01688;B3_42;0.009
;;2.02128;B3_42;0.014
;;2.0256;B3_23;0.027
;;2.02728;B3_33;0.02
;;2.02984;B3_33;0.02
