Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_B3_(IV)	0.02128	B3_31	0.022
Description		0.02616	B3_31	0.02
Maestro Edge (Maestro-091) Settings		0.07472	B3_24	0.194
   Original File Time	02/20/2024 14:04:15	0.0776	B3_24	0.148
   Sampling Frequency	12.5 kHz	0.08488	B3_24	0.147
   Voltage Scale	-5.484861781483107E-08 V/sample	0.08816	B3_24	0.088
   Experiment Start Time	02/20/2024 13:19:42	0.08912	B3_33	0.038
   Referencing Method	Median	0.09016	B3_44	0.016
   Analog Mode Setting	Neural Spikes	0.09072	B3_23	0.37
   Plate Type	CytoView MEA 24	0.0908	B3_24	0.032
   Digital Low Pass Filter	3 kHz Kaiser Window	0.09184	B3_14	0.026
   Digital High Pass Filter	200 Hz IIR	0.09296	B3_12	0.186
   Temperature Set Point	37.0 Degrees C	0.09352	B3_24	0.036
   Current Temperature	37.0 Degrees C	0.09352	B3_34	0.04
   Heater Power	On	0.09416	B3_33	0.03
   Legacy Heating Mode	Off	0.09464	B3_23	0.295
   Barcode Plate Type	TwentyFourWell	0.09592	B3_13	0.031
   Plate Serial Number	114-0345	0.09608	B3_24	0.029
   CO2 Conc. Set Point	5.00%	0.09624	B3_14	0.023
   Actual CO2 Conc.	5.00%	0.09664	B3_12	0.184
   Gas Mixer Status	Regulating	0.09712	B3_23	0.084
   AxIS Version	3.10.3.6	0.09728	B3_33	0.027
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.0976	B3_34	0.03
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.09856	B3_31	0.017
		0.09872	B3_13	0.034
Spike Detector Settings		0.09888	B3_24	0.07
   Method	Adaptive Threshold Crossing	0.09952	B3_14	0.025
   Threshold	6	0.09976	B3_12	0.063
   Threshold Status	Variable	0.10096	B3_23	0.046
   Threshold Crossing Only	TRUE	0.10128	B3_13	0.025
   Pre-Spike Duration	0.84 ms	0.10136	B3_24	0.053
   Post-Spike Duration	2.16 ms	0.10176	B3_31	0.07
   Coincident Event Filter	Default (Well)	0.10176	B3_34	0.032
   Coincidence Occurrence Threshold	4 Electrodes	0.10232	B3_12	0.066
   Coincidence Event Window	80 µs	0.10336	B3_23	0.04
   Allow Sample Overlap	FALSE	0.1036	B3_14	0.027
   Spike Count Interval	1 s	0.10456	B3_12	0.021
		0.10464	B3_31	0.022
		0.10528	B3_13	0.019
		0.10544	B3_24	0.037
		0.10592	B3_33	0.021
		0.10632	B3_23	0.035
		0.1068	B3_12	0.18
		0.10704	B3_31	0.024
		0.10704	B3_34	0.02
		0.10712	B3_14	0.022
		0.10784	B3_13	0.038
		0.10832	B3_24	0.077
		0.10864	B3_23	0.022
		0.11032	B3_12	0.029
		0.1112	B3_23	0.028
		0.1112	B3_31	0.021
		0.1116	B3_24	0.024
		0.11264	B3_12	0.152
		0.11304	B3_33	0.036
		0.11416	B3_24	0.043
		0.11464	B3_42	0.031
		0.11472	B3_31	0.034
		0.11504	B3_23	0.038
		0.11608	B3_12	0.007
		0.11672	B3_13	0.015
		0.11752	B3_24	0.019
		0.11792	B3_31	0.022
		0.11912	B3_12	0.144
		0.1224	B3_31	0.04
		0.12248	B3_12	0.027
		0.12304	B3_24	0.017
		0.12432	B3_23	0.029
		0.12552	B3_24	0.029
		0.128	B3_13	0.018
		0.12888	B3_24	0.027
		0.1308	B3_23	0.02
		0.1336	B3_24	0.029
		0.134	B3_12	0.02
		0.13424	B3_34	0.014
		0.13456	B3_11	0.018
		0.1356	B3_42	0.12
		0.13608	B3_24	0.052
		0.13712	B3_34	0.019
		0.1376	B3_31	0.039
		0.13832	B3_24	0.061
		0.13848	B3_42	0.007
		0.1404	B3_23	0.256
		0.1404	B3_33	0.031
		0.14144	B3_14	0.023
		0.14256	B3_24	0.026
		0.14512	B3_24	0.036
		0.14536	B3_23	0.012
		0.14688	B3_12	0.264
		0.14696	B3_31	0.054
		0.1476	B3_14	0.023
		0.14768	B3_24	0.046
		0.14808	B3_23	0.017
		0.1492	B3_13	0.015
		0.14928	B3_12	0.035
		0.15	B3_24	0.055
		0.15096	B3_14	0.026
		0.15152	B3_12	0.15
		0.15152	B3_42	0.025
		0.15208	B3_23	0.037
		0.15272	B3_24	0.039
		0.15272	B3_33	0.022
		0.15408	B3_14	0.019
		0.15408	B3_42	0.037
		0.15416	B3_12	0.013
		0.15416	B3_44	0.02
		0.15464	B3_23	0.046
		0.15504	B3_13	0.04
		0.15536	B3_24	0.029
		0.15648	B3_42	0.013
		0.1572	B3_12	0.017
		0.15744	B3_31	0.029
		0.15792	B3_24	0.043
		0.158	B3_34	0.029
		0.1588	B3_13	0.021
		0.15968	B3_12	0.225
		0.15976	B3_44	0.016
		0.15992	B3_14	0.022
		0.16032	B3_24	0.027
		0.16208	B3_23	0.028
		0.16248	B3_34	0.019
		0.16256	B3_24	0.031
		0.16264	B3_12	0.014
		0.16352	B3_31	0.021
		0.16504	B3_12	0.014
		0.16504	B3_33	0.031
		0.16512	B3_42	0.082
		0.1668	B3_31	0.029
		0.16792	B3_42	0.011
		0.16928	B3_31	0.025
		0.17032	B3_24	0.029
		0.17352	B3_31	0.034
		0.17432	B3_23	0.03
		0.17632	B3_42	0.024
		0.18	B3_23	0.041
		0.18128	B3_24	0.039
		0.1816	B3_34	0.024
		0.1824	B3_22	0.019
		0.18608	B3_42	0.084
		0.1888	B3_42	0.011
		0.19624	B3_42	0.08
		0.19952	B3_23	0.027
		0.20072	B3_13	0.012
		0.2076	B3_24	0.018
		0.21056	B3_42	0.072
		0.21248	B3_31	0.035
		0.21368	B3_42	0.008
		0.21424	B3_23	0.028
		0.21864	B3_31	0.035
		0.22016	B3_24	0.027
		0.22056	B3_42	0.04
		0.22416	B3_42	0.009
		0.22456	B3_13	0.038
		0.22488	B3_31	0.021
		0.2292	B3_12	0.034
		0.22928	B3_23	0.024
		0.23008	B3_31	0.029
		0.23056	B3_34	0.033
		0.23152	B3_12	0.078
		0.23192	B3_33	0.037
		0.23232	B3_24	0.118
		0.23312	B3_14	0.023
		0.23312	B3_23	0.207
		0.23416	B3_34	0.027
		0.23464	B3_24	0.092
		0.23496	B3_12	0.056
		0.23536	B3_42	0.068
		0.23592	B3_13	0.013
		0.23632	B3_14	0.033
		0.23736	B3_24	0.057
		0.2376	B3_31	0.021
		0.23784	B3_23	0.041
		0.23864	B3_12	0.033
		0.23896	B3_42	0.009
		0.23936	B3_14	0.019
		0.23984	B3_24	0.025
		0.24024	B3_23	0.034
		0.2412	B3_12	0.029
		0.24128	B3_33	0.026
		0.24208	B3_34	0.017
		0.24352	B3_12	0.19
		0.24352	B3_23	0.052
		0.24408	B3_24	0.021
		0.24592	B3_12	0.024
		0.24696	B3_13	0.039
		0.24872	B3_12	0.034
		0.25016	B3_31	0.039
		0.25016	B3_42	0.044
		0.25136	B3_14	0.016
		0.25152	B3_12	0.034
		0.25152	B3_34	0.034
		0.25184	B3_24	0.034
		0.25288	B3_42	0.013
		0.25312	B3_22	0.046
		0.2532	B3_33	0.025
		0.25384	B3_12	0.222
		0.25408	B3_13	0.018
		0.25408	B3_23	0.033
		0.25416	B3_31	0.022
		0.25552	B3_24	0.113
		0.25624	B3_12	0.014
		0.25632	B3_42	0.027
		0.25672	B3_44	0.03
		0.25736	B3_14	0.016
		0.25816	B3_24	0.021
		0.25832	B3_34	0.018
		0.25856	B3_12	0.024
		0.26328	B3_12	0.029
		0.26376	B3_14	0.015
		0.26592	B3_12	0.067
		0.27024	B3_12	0.015
		0.27392	B3_23	0.036
		0.3132	B3_31	0.026
		1.19312	B3_31	0.028
		1.19808	B3_31	0.017
		1.24432	B3_33	0.025
		1.42064	B3_33	0.032
		1.51576	B3_24	0.183
		1.51664	B3_34	0.012
		1.51856	B3_24	0.146
		1.51896	B3_14	0.025
		1.5216	B3_24	0.085
		1.52168	B3_12	0.195
		1.52416	B3_34	0.047
		1.52432	B3_23	0.349
		1.52464	B3_33	0.032
		1.5248	B3_24	0.053
		1.52544	B3_14	0.019
		1.52552	B3_31	0.038
		1.52568	B3_13	0.02
		1.5268	B3_12	0.075
		1.52816	B3_14	0.025
		1.52816	B3_23	0.124
		1.52864	B3_24	0.042
		1.5292	B3_12	0.026
		1.5296	B3_44	0.018
		1.53008	B3_31	0.03
		1.53072	B3_34	0.038
		1.53112	B3_24	0.042
		1.5316	B3_23	0.2
		1.53192	B3_14	0.019
		1.53256	B3_12	0.228
		1.53368	B3_24	0.04
		1.53416	B3_23	0.013
		1.53568	B3_12	0.024
