Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_B4_(I)	0.76168	B4_42	0.031
Description		0.83584	B4_42	0.019
Maestro Edge (Maestro-091) Settings		0.89736	B4_42	0.026
   Original File Time	02/20/2024 10:42:04	0.92504	B4_42	0.025
   Sampling Frequency	12.5 kHz	0.99128	B4_42	0.022
   Voltage Scale	-5.484861781483107E-08 V/sample	1.25808	B4_31	0.016
   Experiment Start Time	02/20/2024 10:06:50	1.79936	B4_42	0.034
   Referencing Method	Median	1.81256	B4_42	0.032
   Analog Mode Setting	Neural Spikes	1.8316	B4_21	0.171
   Plate Type	CytoView MEA 24	1.83392	B4_21	0.009
   Digital Low Pass Filter	3 kHz Kaiser Window	1.83432	B4_42	0.019
   Digital High Pass Filter	200 Hz IIR	1.84472	B4_21	0.047
   Temperature Set Point	37.0 Degrees C	1.85168	B4_21	0.026
   Current Temperature	37.0 Degrees C	1.854	B4_21	0.178
   Heater Power	On	1.8564	B4_42	0.1
   Legacy Heating Mode	Off	1.85704	B4_21	0.603
   Barcode Plate Type	TwentyFourWell	1.85936	B4_21	0.016
   Plate Serial Number	114-0345	1.85984	B4_42	0.091
   CO2 Conc. Set Point	5.00%	1.86208	B4_21	0.626
   Actual CO2 Conc.	5.10%	1.8628	B4_42	0.011
   Gas Mixer Status	Regulating	1.86464	B4_21	0.031
   AxIS Version	3.10.3.6	1.86512	B4_34	0.019
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	1.86648	B4_42	0.084
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	1.86832	B4_21	0.019
		1.86976	B4_42	0.04
Spike Detector Settings		1.87216	B4_22	0.033
   Method	Adaptive Threshold Crossing	1.87432	B4_42	0.028
   Threshold	6	1.87488	B4_21	0.584
   Threshold Status	Variable	1.878	B4_21	0.037
   Threshold Crossing Only	TRUE	1.87904	B4_34	0.029
   Pre-Spike Duration	0.84 ms	1.88016	B4_42	0.085
   Post-Spike Duration	2.16 ms	1.88056	B4_13	0.024
   Coincident Event Filter	Default (Well)	1.88256	B4_21	0.065
   Coincidence Occurrence Threshold	4 Electrodes	1.88304	B4_22	0.03
   Coincidence Event Window	80 µs	1.88456	B4_42	0.017
   Allow Sample Overlap	FALSE	1.88504	B4_32	0.016
   Spike Count Interval	1 s	1.88712	B4_13	0.023
		1.88808	B4_42	0.073
		1.8884	B4_34	0.129
		1.8888	B4_21	0.396
		1.8904	B4_42	0.015
		1.8924	B4_21	0.179
		1.89312	B4_22	0.033
		1.8932	B4_13	0.024
		1.89416	B4_34	0.023
		1.89488	B4_42	0.012
		1.8956	B4_21	0.02
		1.89808	B4_32	0.017
		1.89816	B4_13	0.02
		1.89832	B4_31	0.014
		1.89872	B4_21	0.512
		1.89992	B4_42	0.03
		1.90208	B4_21	0.043
		1.9024	B4_42	0.074
		1.90432	B4_22	0.03
		1.9056	B4_21	0.566
		1.90592	B4_42	0.026
		1.90736	B4_13	0.022
		1.90816	B4_42	0.054
		1.9084	B4_21	0.35
		1.90848	B4_34	0.021
		1.90968	B4_22	0.029
		1.91048	B4_42	0.014
		1.91232	B4_21	0.018
		1.91288	B4_13	0.031
		1.91312	B4_42	0.036
		1.91568	B4_42	0.024
		1.916	B4_22	0.032
		1.91648	B4_21	0.03
		1.91952	B4_21	0.112
		1.9196	B4_42	0.019
		1.92056	B4_34	0.109
		1.92176	B4_21	0.452
		1.92288	B4_22	0.028
		1.92408	B4_21	0.298
		1.92528	B4_42	0.023
		1.92816	B4_21	0.071
		1.92896	B4_42	0.023
		1.92944	B4_22	0.025
		1.93128	B4_42	0.027
