Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_C3_(I)	0.00488	C3_24	0.049
Description		0.18848	C3_12	0.024
Maestro Edge (Maestro-091) Settings		1.03856	C3_12	0.022
   Original File Time	02/20/2024 11:07:32	1.05616	C3_12	0.017
   Sampling Frequency	12.5 kHz	1.2932	C3_12	0.04
   Voltage Scale	-5.484861781483107E-08 V/sample	1.2984	C3_12	0.049
   Experiment Start Time	02/20/2024 10:06:50	1.30256	C3_12	0.029
   Referencing Method	Median	1.31128	C3_12	0.023
   Analog Mode Setting	Neural Spikes	1.31744	C3_12	0.029
   Plate Type	CytoView MEA 24	1.32288	C3_12	0.016
   Digital Low Pass Filter	3 kHz Kaiser Window	1.32784	C3_12	0.018
   Digital High Pass Filter	200 Hz IIR	1.33352	C3_12	0.019
   Temperature Set Point	37.0 Degrees C	1.3392	C3_12	0.052
   Current Temperature	37.0 Degrees C	1.352	C3_12	0.048
   Heater Power	On	1.35664	C3_12	0.04
   Legacy Heating Mode	Off	1.36456	C3_12	0.041
   Barcode Plate Type	TwentyFourWell	1.37128	C3_12	0.032
   Plate Serial Number	114-0345	1.39192	C3_23	0.046
   CO2 Conc. Set Point	5.00%	1.59944	C3_44	0.039
   Actual CO2 Conc.	4.70%	1.6036	C3_44	0.021
   Gas Mixer Status	Regulating	1.62568	C3_34	0.022
   AxIS Version	3.10.3.6	1.628	C3_42	0.016
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	1.62832	C3_44	0.102
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	1.6288	C3_34	0.021
		1.6312	C3_44	0.09
Spike Detector Settings		1.63144	C3_23	0.076
   Method	Adaptive Threshold Crossing	1.63168	C3_42	0.017
   Threshold	6	1.63376	C3_41	0.023
   Threshold Status	Variable	1.634	C3_44	0.063
   Threshold Crossing Only	TRUE	1.6344	C3_34	0.014
   Pre-Spike Duration	0.84 ms	1.6344	C3_42	0.022
   Post-Spike Duration	2.16 ms	1.63528	C3_23	0.043
   Coincident Event Filter	Default (Well)	1.63568	C3_11	0.039
   Coincidence Occurrence Threshold	4 Electrodes	1.63624	C3_14	0.038
   Coincidence Event Window	80 µs	1.6368	C3_42	0.031
   Allow Sample Overlap	FALSE	1.63712	C3_44	0.087
   Spike Count Interval	1 s	1.6376	C3_23	0.036
		1.63768	C3_12	0.046
		1.63824	C3_41	0.014
		1.63856	C3_34	0.014
		1.63904	C3_42	0.024
		1.64	C3_12	0.026
		1.64032	C3_23	0.057
		1.6404	C3_14	0.037
		1.64064	C3_44	0.038
		1.642	C3_42	0.03
		1.6428	C3_41	0.012
		1.64384	C3_44	0.032
		1.6444	C3_12	0.032
		1.64488	C3_14	0.03
		1.64688	C3_23	0.075
		1.64704	C3_12	0.045
		1.64712	C3_44	0.045
		1.64864	C3_13	0.055
