Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_C3_(IV)	0.0208	C3_44	0.045
Description		0.02816	C3_44	0.057
Maestro Edge (Maestro-091) Settings		0.03128	C3_44	0.099
   Original File Time	02/20/2024 14:17:13	0.03272	C3_42	0.022
   Sampling Frequency	12.5 kHz	0.03424	C3_44	0.075
   Voltage Scale	-5.484861781483107E-08 V/sample	0.03528	C3_34	0.011
   Experiment Start Time	02/20/2024 13:19:42	0.03544	C3_42	0.016
   Referencing Method	Median	0.03616	C3_23	0.047
   Analog Mode Setting	Neural Spikes	0.0372	C3_12	0.019
   Plate Type	CytoView MEA 24	0.04072	C3_14	0.033
   Digital Low Pass Filter	3 kHz Kaiser Window	0.04144	C3_44	0.036
   Digital High Pass Filter	200 Hz IIR	0.04232	C3_42	0.018
   Temperature Set Point	37.0 Degrees C	0.0456	C3_44	0.048
   Current Temperature	37.0 Degrees C	0.04952	C3_41	0.019
   Heater Power	On	0.05464	C3_41	0.014
   Legacy Heating Mode	Off	0.05592	C3_44	0.023
   Barcode Plate Type	TwentyFourWell	0.05856	C3_23	0.045
   Plate Serial Number	114-0345	0.05984	C3_44	0.094
   CO2 Conc. Set Point	5.00%	0.06304	C3_44	0.02
   Actual CO2 Conc.	5.00%	0.06392	C3_14	0.032
   Gas Mixer Status	Regulating	0.06496	C3_41	0.015
   AxIS Version	3.10.3.6	0.09464	C3_44	0.079
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.0952	C3_42	0.018
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.09824	C3_44	0.023
		0.10568	C3_23	0.07
Spike Detector Settings		0.11456	C3_23	0.05
   Method	Adaptive Threshold Crossing	0.2328	C3_12	0.027
   Threshold	6	0.2356	C3_12	0.035
   Threshold Status	Variable	0.25416	C3_12	0.026
   Threshold Crossing Only	TRUE	0.51048	C3_12	0.018
   Pre-Spike Duration	0.84 ms	0.6632	C3_12	0.018
   Post-Spike Duration	2.16 ms	0.7	C3_12	0.016
   Coincident Event Filter	Default (Well)	0.70976	C3_42	0.014
   Coincidence Occurrence Threshold	4 Electrodes	0.74712	C3_12	0.038
   Coincidence Event Window	80 µs	0.74936	C3_12	0.03
   Allow Sample Overlap	FALSE	0.77232	C3_13	0.044
   Spike Count Interval	1 s	0.77592	C3_13	0.027
		0.80976	C3_23	0.05
		0.83208	C3_23	0.023
		0.83784	C3_14	0.05
		0.84904	C3_14	0.05
		0.8528	C3_14	0.021
		0.86952	C3_12	0.014
		0.9116	C3_12	0.018
		0.91464	C3_12	0.037
		0.93432	C3_24	0.075
		0.94344	C3_12	0.029
		0.95232	C3_12	0.029
		0.95776	C3_12	0.021
		0.96264	C3_12	0.031
		0.96296	C3_23	0.047
		0.97144	C3_12	0.032
		0.97712	C3_14	0.042
		0.97808	C3_12	0.016
		0.9832	C3_14	0.035
		0.98976	C3_44	0.089
		0.99208	C3_42	0.019
		0.99296	C3_44	0.069
		0.99304	C3_14	0.023
		0.99368	C3_23	0.069
		0.99448	C3_42	0.023
		0.99592	C3_44	0.032
		0.99688	C3_23	0.055
		0.99704	C3_42	0.019
		0.998	C3_13	0.044
		0.99808	C3_12	0.022
		0.99952	C3_41	0.021
		0.9996	C3_42	0.022
		0.99984	C3_23	0.029
		1.00016	C3_44	0.036
		1.0012	C3_12	0.041
		1.00144	C3_13	0.022
		1.00264	C3_44	0.041
		1.00296	C3_23	0.02
		1.00352	C3_12	0.031
		1.004	C3_11	0.032
		1.00504	C3_34	0.017
		1.0056	C3_42	0.029
		1.00624	C3_44	0.063
		1.00736	C3_12	0.027
		1.00832	C3_23	0.045
		1.00936	C3_34	0.015
		1.00992	C3_44	0.024
		1.0104	C3_24	0.078
		1.01168	C3_13	0.033
		1.01224	C3_44	0.048
		1.014	C3_23	0.044
		1.0148	C3_12	0.028
		1.0148	C3_44	0.021
		1.0156	C3_34	0.018
		1.01568	C3_41	0.016
		1.01736	C3_12	0.015
		1.01736	C3_44	0.059
		1.01808	C3_23	0.083
		1.02024	C3_11	0.027
		1.02224	C3_12	0.019
		1.02264	C3_23	0.014
		1.0228	C3_13	0.024
		1.02296	C3_44	0.064
		1.02512	C3_23	0.05
		1.02536	C3_24	0.067
		1.02568	C3_44	0.08
		1.026	C3_12	0.036
		1.02632	C3_42	0.02
		1.0268	C3_11	0.017
		1.02824	C3_44	0.023
		1.02976	C3_23	0.046
		1.03048	C3_24	0.048
		1.03176	C3_44	0.056
		1.03184	C3_42	0.017
		1.03232	C3_23	0.022
		1.03272	C3_12	0.035
		1.03448	C3_44	0.023
		1.0348	C3_23	0.052
		1.03536	C3_42	0.02
		1.03704	C3_44	0.025
		1.03768	C3_41	0.017
		1.03808	C3_23	0.015
		1.0384	C3_42	0.021
		1.03968	C3_12	0.021
		1.04096	C3_44	0.046
		1.04232	C3_42	0.018
		1.0432	C3_12	0.034
		1.04336	C3_41	0.019
		1.04344	C3_44	0.036
		1.04576	C3_12	0.031
		1.048	C3_42	0.026
		1.04824	C3_12	0.026
		1.04928	C3_44	0.036
		1.05136	C3_12	0.021
		1.05144	C3_23	0.056
		1.05144	C3_41	0.015
		1.05208	C3_42	0.02
		1.05248	C3_33	0.012
		1.05352	C3_44	0.094
		1.05448	C3_12	0.02
		1.05688	C3_12	0.026
		1.05696	C3_44	0.03
		1.05728	C3_34	0.019
		1.05768	C3_41	0.014
		1.05816	C3_23	0.04
		1.05976	C3_44	0.062
		1.06096	C3_23	0.048
		1.06208	C3_12	0.021
		1.06216	C3_14	0.03
		1.0624	C3_44	0.026
		1.06408	C3_42	0.018
		1.06456	C3_34	0.022
		1.0684	C3_12	0.025
		1.06856	C3_23	0.067
		1.07056	C3_44	0.041
		1.07072	C3_12	0.022
		1.0724	C3_42	0.019
		1.07248	C3_33	0.018
		1.07256	C3_24	0.066
		1.0728	C3_34	0.016
		1.07312	C3_44	0.104
		1.07528	C3_23	0.05
		1.07632	C3_44	0.056
		1.0768	C3_12	0.024
		1.07752	C3_24	0.035
		1.0776	C3_23	0.043
		1.078	C3_13	0.041
		1.07872	C3_42	0.017
		1.0792	C3_12	0.072
		1.08112	C3_42	0.016
		1.08288	C3_23	0.046
		1.08336	C3_12	0.024
		1.0844	C3_44	0.061
		1.08776	C3_12	0.02
		1.09232	C3_23	0.047
		1.09512	C3_44	0.033
		1.09728	C3_12	0.02
		1.10456	C3_42	0.019
		1.10768	C3_23	0.046
		1.11904	C3_12	0.035
		1.12896	C3_12	0.035
		1.13376	C3_12	0.019
		1.13872	C3_12	0.021
		1.15312	C3_12	0.029
		1.1556	C3_23	0.045
		1.15728	C3_44	0.051
		1.16128	C3_12	0.018
		1.1668	C3_14	0.039
		1.1804	C3_14	0.03
		1.19736	C3_12	0.025
		1.2	C3_12	0.026
		1.20304	C3_23	0.044
		1.21472	C3_23	0.043
		1.22272	C3_12	0.015
		1.226	C3_12	0.033
		1.52184	C3_12	0.022
		1.61656	C3_12	0.037
		1.63496	C3_12	0.031
		1.65624	C3_42	0.018
		1.67064	C3_12	0.023
		1.82472	C3_12	0.024
		1.84312	C3_44	0.052
		1.85328	C3_42	0.021
		1.85552	C3_42	0.021
		1.85624	C3_23	0.044
		1.85656	C3_12	0.029
		1.86096	C3_12	0.041
		1.86272	C3_44	0.121
		1.86296	C3_42	0.02
		1.86544	C3_12	0.037
		1.86576	C3_23	0.069
		1.86584	C3_44	0.072
		1.86688	C3_42	0.019
		1.868	C3_34	0.02
		1.86848	C3_12	0.021
		1.86912	C3_14	0.052
		1.86912	C3_42	0.016
		1.86928	C3_23	0.041
		1.86944	C3_41	0.018
		1.86944	C3_44	0.045
		1.87192	C3_44	0.078
		1.87264	C3_14	0.036
		1.87336	C3_12	0.035
		1.87392	C3_42	0.017
		1.87448	C3_23	0.049
		1.8752	C3_44	0.047
		1.87608	C3_41	0.015
		1.87632	C3_34	0.02
		1.87688	C3_23	0.045
		1.87712	C3_24	0.074
		1.87768	C3_11	0.031
		1.87784	C3_44	0.047
		1.87896	C3_41	0.017
		1.88	C3_12	0.031
		1.88064	C3_42	0.022
		1.882	C3_44	0.047
		1.88288	C3_12	0.027
		1.88376	C3_23	0.073
		1.88472	C3_44	0.035
		1.8852	C3_12	0.018
		1.88576	C3_14	0.037
		1.88768	C3_42	0.017
		1.8884	C3_12	0.024
		1.89008	C3_41	0.014
		1.89064	C3_11	0.023
		1.89064	C3_13	0.046
		1.89088	C3_34	0.017
		1.89112	C3_23	0.047
		1.8916	C3_44	0.035
		1.8932	C3_12	0.036
		1.89464	C3_13	0.03
		1.89808	C3_12	0.022
		1.90184	C3_23	0.044
		1.90328	C3_44	0.023
		1.90424	C3_12	0.044
		1.90712	C3_44	0.029
		1.90768	C3_42	0.017
		1.90984	C3_44	0.025
		1.91168	C3_41	0.012
		1.91192	C3_12	0.024
		1.9124	C3_44	0.023
		1.91304	C3_42	0.014
		1.91416	C3_23	0.077
		1.91456	C3_12	0.019
		1.91568	C3_44	0.082
		1.91664	C3_14	0.037
		1.9184	C3_23	0.033
		1.91952	C3_12	0.022
		1.9204	C3_14	0.023
		1.92056	C3_44	0.024
		1.9224	C3_33	0.014
		1.9228	C3_44	0.019
		1.92488	C3_12	0.015
		1.92536	C3_44	0.019
		1.92592	C3_23	0.061
		1.926	C3_41	0.018
		1.92896	C3_44	0.024
		1.93048	C3_12	0.041
		1.9368	C3_42	0.016
		1.93728	C3_44	0.055
		1.93952	C3_44	0.028
		1.9408	C3_23	0.062
		1.9428	C3_44	0.101
		1.94344	C3_12	0.034
		1.94392	C3_41	0.015
		1.94592	C3_44	0.031
		1.946	C3_14	0.032
		1.94608	C3_42	0.019
		1.94904	C3_41	0.016
		1.95272	C3_12	0.036
		1.9552	C3_44	0.05
		1.95744	C3_23	0.042
		1.9584	C3_12	0.023
		1.95928	C3_42	0.021
		1.96288	C3_42	0.018
		1.9664	C3_42	0.019
		1.96744	C3_44	0.028
		1.96808	C3_24	0.016
		1.96816	C3_12	0.028
		1.97072	C3_23	0.069
		1.9724	C3_44	0.041
		1.97272	C3_12	0.02
