Investigator;;Time (s);Electrode;Amplitude (mV)
Recording Name;D19_POSTsiembra_C5_(IV);0.03488;C5_43;0.018
Description;;0.08168;C5_14;0.753
Maestro Edge (Maestro-091) Settings;;0.08592;C5_14;0.023
   Original File Time;02/20/2024 14:25:32;0.32016;C5_33;0.035
   Sampling Frequency;12.5 kHz;0.32264;C5_33;0.034
   Voltage Scale;-5.484861781483107E-08 V/sample;0.32432;C5_11;0.037
   Experiment Start Time;02/20/2024 13:19:42;0.33016;C5_11;0.024
   Referencing Method;Median;0.33704;C5_32;0.037
   Analog Mode Setting;Neural Spikes;0.33776;C5_11;0.028
   Plate Type;CytoView MEA 24;0.3384;C5_33;0.035
   Digital Low Pass Filter;3 kHz Kaiser Window;0.33856;C5_43;0.017
   Digital High Pass Filter;200 Hz IIR;0.34032;C5_34;0.023
   Temperature Set Point;37.0 Degrees C;0.34064;C5_42;0.03
   Current Temperature;37.0 Degrees C;0.34112;C5_33;0.026
   Heater Power;On;0.34168;C5_21;0.044
   Legacy Heating Mode;Off;0.34184;C5_32;0.019
   Barcode Plate Type;TwentyFourWell;0.34264;C5_11;0.04
   Plate Serial Number;114-0345;0.34496;C5_24;0.021
   CO2 Conc. Set Point;5.00%;0.34512;C5_34;0.023
   Actual CO2 Conc.;5.00%;0.3456;C5_11;0.064
   Gas Mixer Status;Regulating;0.34656;C5_32;0.027
   AxIS Version;3.10.3.6;0.34688;C5_13;0.019
   Maestro Edge (Maestro-091) Firmware;3.10.3.6;0.34704;C5_14;0.757
   Maestro Edge (Maestro-091) BioCore Version;BioCore 4B;0.34752;C5_34;0.029
;;0.34808;C5_11;0.04
Spike Detector Settings;;0.34896;C5_23;0.026
   Method;Adaptive Threshold Crossing;0.3492;C5_13;0.034
   Threshold;6;0.34928;C5_21;0.02
   Threshold Status;Variable;0.35056;C5_11;0.028
   Threshold Crossing Only;TRUE;0.35096;C5_14;0.023
   Pre-Spike Duration;0.84 ms;0.35112;C5_24;0.025
   Post-Spike Duration;2.16 ms;0.35128;C5_32;0.039
   Coincident Event Filter;Default (Well);0.35168;C5_23;0.044
   Coincidence Occurrence Threshold;4 Electrodes;0.35176;C5_43;0.028
   Coincidence Event Window;80 µs;0.35184;C5_21;0.053
   Allow Sample Overlap;FALSE;0.35184;C5_33;0.023
   Spike Count Interval;1 s;0.35216;C5_34;0.028
;;0.35224;C5_13;0.023
;;0.35288;C5_11;0.049
;;0.35408;C5_33;0.021
;;0.35432;C5_14;0.69
;;0.35448;C5_23;0.028
;;0.35464;C5_22;0.015
;;0.3548;C5_13;0.044
;;0.35504;C5_24;0.02
;;0.3552;C5_11;0.054
;;0.35656;C5_14;0.029
;;0.35688;C5_34;0.035
;;0.3572;C5_23;0.044
;;0.35728;C5_13;0.021
;;0.35776;C5_42;0.031
;;0.35824;C5_11;0.062
;;0.35936;C5_34;0.038
;;0.35984;C5_32;0.035
;;0.35992;C5_13;0.028
