Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D17_POSTsiembra_P1_A1_(IV),00000.022880,A1_23,0.045
Description,,00000.112880,A1_23,0.043
Maestro Edge (Maestro-091) Settings,,00000.197920,A1_23,0.047
   Original File Time,04/22/2024 14:08:23,00000.289440,A1_23,0.044
   Sampling Frequency,12.5 kHz,00000.387680,A1_23,0.047
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.454480,A1_23,0.039
   Experiment Start Time,04/22/2024 13:41:56,00000.540800,A1_23,0.043
   Referencing Method,Median,00000.640320,A1_23,0.047
   Analog Mode Setting,Neural Spikes,00000.732160,A1_23,0.045
   Plate Type,CytoView MEA 24,00000.822640,A1_23,0.051
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.907360,A1_23,0.045
   Digital High Pass Filter,200 Hz IIR,00001.001520,A1_23,0.045
   Temperature Set Point,37.0 Degrees C,00001.078400,A1_23,0.041
   Current Temperature,37.0 Degrees C,00001.170160,A1_23,0.043
   Heater Power,On,00001.267600,A1_23,0.041
   Legacy Heating Mode,Off,00001.367520,A1_23,0.046
   Barcode Plate Type,TwentyFourWell,00001.445120,A1_23,0.044
   Plate Serial Number,114-3632,00001.532480,A1_23,0.046
   CO2 Conc. Set Point,5.0 %,00001.607440,A1_23,0.044
   Actual CO2 Conc.,5.0 %,00001.698960,A1_23,0.046
   Gas Mixer Status,Regulating,00001.715600,A1_42,0.052
   AxIS Version,3.10.3.6,00001.730160,A1_42,0.033
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00001.742160,A1_42,0.031
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00001.745600,A1_22,0.021
,,00001.749600,A1_22,0.064
Spike Detector Settings,,00001.752720,A1_22,0.017
   Method,Adaptive Threshold Crossing,00001.755760,A1_22,0.033
   Threshold,6,00001.758720,A1_22,0.011
   Threshold Status,Variable,00001.761040,A1_22,0.012
   Threshold Crossing Only,True,00001.763840,A1_32,0.031
   Pre-Spike Duration,0.84 ms,00001.765200,A1_42,0.032
   Post-Spike Duration,2.16 ms,00001.766560,A1_21,0.035
   Coincident Event Filter,Default (Well),00001.767840,A1_24,0.018
   Coincidence Occurrence Threshold,4 Electrodes,00001.793360,A1_23,0.039
   Coincidence Event Window,80 µs,00001.797040,A1_31,0.04
   Allow Sample Overlap,false,00001.805600,A1_12,0.025
   Spike Count Interval,1 s,00001.807120,A1_42,0.03
,,00001.809520,A1_31,0.037
,,00001.810160,A1_22,0.018
,,00001.810640,A1_12,0.019
,,00001.812240,A1_21,0.018
,,00001.813280,A1_12,0.023
,,00001.814400,A1_22,0.031
,,00001.815760,A1_12,0.025
,,00001.815920,A1_31,0.042
,,00001.817200,A1_22,0.045
,,00001.817840,A1_21,0.033
,,00001.818400,A1_42,0.03
,,00001.818800,A1_12,0.042
,,00001.818800,A1_31,0.016
,,00001.819600,A1_22,0.066
,,00001.819600,A1_32,0.058
,,00001.820240,A1_11,0.019
,,00001.820560,A1_21,0.056
,,00001.821040,A1_12,0.064
,,00001.821760,A1_31,0.021
,,00001.821840,A1_42,0.017
,,00001.821920,A1_24,0.038
,,00001.822960,A1_32,0.052
,,00001.823280,A1_11,0.033
,,00001.823360,A1_21,0.073
,,00001.823360,A1_22,0.081
,,00001.823440,A1_12,0.057
,,00001.824080,A1_42,0.028
,,00001.824640,A1_31,0.019
,,00001.825520,A1_32,0.018
,,00001.825600,A1_24,0.045
,,00001.825600,A1_33,0.059
,,00001.825920,A1_12,0.068
,,00001.826160,A1_22,0.074
,,00001.826960,A1_21,0.043
,,00001.827040,A1_42,0.046
,,00001.827280,A1_31,0.04
,,00001.827680,A1_11,0.025
,,00001.827760,A1_23,0.044
,,00001.828080,A1_32,0.028
,,00001.828320,A1_33,0.059
,,00001.828880,A1_22,0.065
,,00001.829120,A1_24,0.026
,,00001.829280,A1_12,0.031
,,00001.829600,A1_42,0.032
,,00001.830000,A1_21,0.116
,,00001.830080,A1_11,0.022
,,00001.830480,A1_32,0.054
,,00001.830640,A1_33,0.077
,,00001.831520,A1_12,0.09
,,00001.832000,A1_24,0.021
,,00001.832400,A1_31,0.046
,,00001.832880,A1_22,0.117
,,00001.832960,A1_32,0.045
,,00001.833120,A1_33,0.127
,,00001.833280,A1_21,0.101
,,00001.833760,A1_34,0.035
,,00001.833920,A1_11,0.025
,,00001.833920,A1_12,0.125
,,00001.834240,A1_42,0.106
,,00001.834880,A1_31,0.031
,,00001.835280,A1_32,0.057
,,00001.835440,A1_41,0.01
,,00001.835520,A1_33,0.083
,,00001.835840,A1_24,0.022
,,00001.836080,A1_22,0.081
,,00001.836240,A1_34,0.032
,,00001.836320,A1_12,0.034
,,00001.836960,A1_42,0.122
,,00001.837040,A1_21,0.055
,,00001.838160,A1_23,0.025
,,00001.838400,A1_32,0.056
,,00001.838480,A1_22,0.054
,,00001.838800,A1_24,0.034
,,00001.838880,A1_12,0.115
,,00001.839040,A1_33,0.147
,,00001.839200,A1_42,0.293
,,00001.839360,A1_34,0.037
,,00001.840160,A1_21,0.04
,,00001.840240,A1_31,0.063
,,00001.840560,A1_11,0.025
,,00001.840880,A1_32,0.07
,,00001.841120,A1_22,0.059
,,00001.841280,A1_12,0.083
,,00001.841440,A1_33,0.072
,,00001.842000,A1_34,0.073
,,00001.842080,A1_23,0.018
,,00001.842480,A1_24,0.055
,,00001.842480,A1_31,0.027
,,00001.842800,A1_42,0.405
,,00001.843120,A1_32,0.072
,,00001.843360,A1_41,0.011
,,00001.843520,A1_22,0.035
,,00001.843600,A1_12,0.044
,,00001.843760,A1_11,0.02
,,00001.843840,A1_33,0.075
,,00001.844000,A1_21,0.037
,,00001.845120,A1_24,0.022
,,00001.845200,A1_34,0.017
,,00001.845360,A1_32,0.087
,,00001.845840,A1_31,0.019
,,00001.846160,A1_42,0.064
,,00001.846320,A1_22,0.042
,,00001.846640,A1_33,0.076
,,00001.847040,A1_12,0.034
,,00001.847360,A1_24,0.028
,,00001.847600,A1_32,0.1
,,00001.848320,A1_21,0.031
,,00001.848640,A1_22,0.019
,,00001.849120,A1_33,0.057
,,00001.849600,A1_41,0.01
,,00001.849680,A1_12,0.048
,,00001.849840,A1_24,0.02
,,00001.849840,A1_42,0.237
,,00001.849920,A1_11,0.018
,,00001.850560,A1_32,0.082
,,00001.851520,A1_33,0.047
,,00001.851760,A1_22,0.041
,,00001.852080,A1_24,0.01
,,00001.852320,A1_23,0.031
,,00001.852560,A1_12,0.041
,,00001.852880,A1_21,0.027
,,00001.853360,A1_32,0.038
,,00001.854000,A1_33,0.038
,,00001.854000,A1_42,0.165
,,00001.854400,A1_22,0.06
,,00001.854720,A1_11,0.019
,,00001.855200,A1_12,0.04
,,00001.855520,A1_31,0.021
,,00001.855680,A1_32,0.017
,,00001.855920,A1_21,0.029
,,00001.856080,A1_24,0.029
,,00001.856240,A1_42,0.062
,,00001.856320,A1_33,0.025
,,00001.857360,A1_22,0.034
,,00001.857840,A1_12,0.027
,,00001.858320,A1_21,0.029
,,00001.858320,A1_34,0.027
,,00001.858480,A1_32,0.042
,,00001.859120,A1_42,0.112
,,00001.860240,A1_12,0.035
,,00001.860320,A1_33,0.027
,,00001.860560,A1_22,0.046
,,00001.860640,A1_21,0.024
,,00001.860720,A1_32,0.036
,,00001.861520,A1_24,0.023
,,00001.861920,A1_42,0.075
,,00001.862240,A1_34,0.02
,,00001.863040,A1_22,0.037
,,00001.863440,A1_12,0.029
,,00001.863760,A1_24,0.028
,,00001.863920,A1_32,0.031
,,00001.864240,A1_33,0.036
,,00001.864320,A1_21,0.015
,,00001.864640,A1_42,0.135
,,00001.865680,A1_34,0.022
,,00001.865920,A1_12,0.016
,,00001.866560,A1_22,0.042
,,00001.866960,A1_21,0.026
,,00001.866960,A1_42,0.091
,,00001.867280,A1_33,0.064
,,00001.867360,A1_24,0.015
,,00001.867360,A1_32,0.069
,,00001.868160,A1_12,0.034
,,00001.869680,A1_32,0.075
,,00001.870320,A1_22,0.024
,,00001.870560,A1_12,0.026
,,00001.870560,A1_21,0.029
,,00001.870560,A1_33,0.039
,,00001.870720,A1_42,0.02
,,00001.871520,A1_24,0.03
,,00001.871840,A1_31,0.022
,,00001.872080,A1_32,0.054
,,00001.872960,A1_42,0.325
,,00001.873440,A1_23,0.035
,,00001.874000,A1_21,0.034
,,00001.874160,A1_12,0.022
,,00001.874400,A1_22,0.031
,,00001.874640,A1_32,0.024
,,00001.874960,A1_24,0.021
,,00001.875600,A1_42,0.079
,,00001.875840,A1_33,0.064
,,00001.877120,A1_32,0.035
,,00001.877200,A1_24,0.02
,,00001.877280,A1_12,0.042
,,00001.877360,A1_22,0.034
,,00001.878560,A1_42,0.486
,,00001.879840,A1_12,0.027
,,00001.880640,A1_21,0.039
,,00001.880880,A1_22,0.023
,,00001.880960,A1_32,0.038
,,00001.881280,A1_33,0.045
,,00001.881360,A1_42,0.085
,,00001.881600,A1_34,0.018
,,00001.882240,A1_12,0.024
,,00001.882400,A1_11,0.014
,,00001.882720,A1_24,0.031
,,00001.883040,A1_21,0.04
,,00001.883120,A1_41,0.013
,,00001.883440,A1_22,0.029
,,00001.884080,A1_32,0.031
,,00001.884240,A1_42,0.052
,,00001.884640,A1_12,0.013
,,00001.884720,A1_33,0.061
,,00001.885520,A1_24,0.013
,,00001.886720,A1_42,0.066
,,00001.887040,A1_12,0.027
,,00001.887280,A1_32,0.039
,,00001.887440,A1_21,0.029
,,00001.887520,A1_22,0.024
,,00001.887600,A1_33,0.029
,,00001.888960,A1_34,0.032
,,00001.889120,A1_24,0.012
,,00001.889280,A1_42,0.033
,,00001.889520,A1_12,0.028
,,00001.890000,A1_21,0.045
,,00001.890640,A1_32,0.044
,,00001.891040,A1_33,0.027
,,00001.891600,A1_24,0.017
,,00001.891600,A1_34,0.024
,,00001.891920,A1_42,0.037
,,00001.892000,A1_22,0.022
,,00001.892720,A1_21,0.031
,,00001.892880,A1_12,0.013
,,00001.894240,A1_22,0.013
,,00001.894640,A1_32,0.022
,,00001.895280,A1_21,0.019
,,00001.895600,A1_33,0.035
,,00001.896160,A1_42,0.033
,,00001.896560,A1_22,0.03
,,00001.896560,A1_23,0.032
,,00001.896720,A1_12,0.018
,,00001.897440,A1_32,0.031
,,00001.897760,A1_24,0.021
,,00001.899280,A1_22,0.022
,,00001.899760,A1_42,0.033
,,00001.900160,A1_33,0.016
,,00001.900320,A1_32,0.029
,,00001.901040,A1_12,0.033
,,00001.902080,A1_22,0.028
,,00001.902640,A1_42,0.036
,,00001.903440,A1_33,0.023
,,00001.904560,A1_32,0.034
,,00001.904640,A1_12,0.015
,,00001.904640,A1_21,0.016
,,00001.904720,A1_22,0.02
,,00001.907440,A1_12,0.025
,,00001.908080,A1_32,0.03
,,00001.908240,A1_22,0.018
,,00001.909840,A1_42,0.041
,,00001.910640,A1_21,0.013
,,00001.912400,A1_12,0.022
,,00001.912400,A1_33,0.035
,,00001.912400,A1_42,0.049
,,00001.912800,A1_32,0.03
,,00001.915040,A1_33,0.012
,,00001.916000,A1_22,0.014
,,00001.919040,A1_12,0.022
,,00001.920160,A1_23,0.027
,,00001.920720,A1_42,0.027
,,00001.920880,A1_32,0.026
,,00001.921600,A1_22,0.018
,,00001.924800,A1_22,0.018
,,00001.926800,A1_42,0.033
,,00001.933680,A1_42,0.034
,,00001.946320,A1_31,0.032
,,00001.949200,A1_31,0.013
,,00001.952080,A1_42,0.036
,,00001.952160,A1_31,0.027
,,00001.955920,A1_31,0.028
,,00001.960960,A1_32,0.016
,,00001.962400,A1_23,0.022
,,00002.040880,A1_23,0.036
,,00002.113840,A1_23,0.033
,,00002.184800,A1_23,0.039
,,00002.296080,A1_23,0.043
,,00002.360880,A1_23,0.044
,,00002.479600,A1_23,0.049
,,00002.563600,A1_23,0.044
,,00002.687840,A1_23,0.046
,,00002.765280,A1_23,0.046
,,00002.820640,A1_42,0.032
,,00002.853680,A1_23,0.042
,,00002.892080,A1_22,0.02
,,00002.949360,A1_23,0.038
,,00003.056400,A1_23,0.05
,,00003.136800,A1_23,0.046
,,00003.220480,A1_22,0.076
,,00003.220560,A1_12,0.02
,,00003.223120,A1_22,0.012
,,00003.224240,A1_23,0.043
,,00003.321760,A1_23,0.047
,,00003.406080,A1_23,0.043
,,00003.502720,A1_23,0.047
,,00003.596800,A1_23,0.047
,,00003.680400,A1_23,0.046
,,00003.748960,A1_23,0.045
,,00003.840160,A1_23,0.045
,,00003.941680,A1_23,0.046
,,00004.028320,A1_23,0.044
,,00004.113040,A1_23,0.047
,,00004.163200,A1_34,0.046
,,00004.175040,A1_34,0.037
,,00004.193440,A1_23,0.045
,,00004.296480,A1_23,0.048
,,00004.329520,A1_42,0.04
,,00004.388080,A1_23,0.043
,,00004.498000,A1_23,0.047
,,00004.588880,A1_23,0.043
,,00004.595760,A1_22,0.016
,,00004.674000,A1_23,0.042
,,00004.686400,A1_34,0.041
,,00004.755920,A1_42,0.029
,,00004.767840,A1_23,0.046
,,00004.848800,A1_23,0.041
,,00004.933760,A1_23,0.044
,,00004.986960,A1_34,0.041
,,00005.001760,A1_23,0.044
,,00005.102240,A1_23,0.049
,,00005.205040,A1_23,0.047
,,00005.274320,A1_23,0.044
,,00005.377280,A1_23,0.045
,,00005.468480,A1_23,0.042
,,00005.572720,A1_23,0.048
,,00005.651040,A1_23,0.047
,,00005.729520,A1_23,0.045
,,00005.745760,A1_22,0.041
,,00005.775200,A1_22,0.069
,,00005.821360,A1_23,0.046
,,00005.842080,A1_22,0.014
,,00005.876800,A1_42,0.028
,,00005.888000,A1_32,0.022
,,00005.890720,A1_42,0.032
,,00005.906960,A1_32,0.016
,,00005.914560,A1_32,0.017
,,00005.916960,A1_42,0.031
,,00005.917280,A1_23,0.044
,,00005.924720,A1_22,0.023
,,00005.927360,A1_24,0.018
,,00005.928240,A1_21,0.019
,,00005.936480,A1_21,0.02
,,00005.938960,A1_22,0.073
,,00005.939680,A1_42,0.034
,,00005.942000,A1_22,0.016
,,00005.954720,A1_24,0.026
,,00005.964240,A1_31,0.044
,,00005.964720,A1_12,0.017
,,00005.967760,A1_12,0.024
,,00005.969840,A1_22,0.021
,,00005.969920,A1_31,0.03
,,00005.971600,A1_32,0.023
,,00005.972320,A1_22,0.036
,,00005.972400,A1_12,0.023
,,00005.973280,A1_21,0.041
,,00005.973600,A1_24,0.035
,,00005.974640,A1_22,0.039
,,00005.974720,A1_12,0.02
,,00005.975840,A1_21,0.049
,,00005.975840,A1_42,0.043
,,00005.976480,A1_31,0.02
,,00005.976960,A1_22,0.043
,,00005.977680,A1_12,0.056
,,00005.978160,A1_24,0.02
,,00005.978240,A1_23,0.044
,,00005.979360,A1_31,0.03
,,00005.980080,A1_12,0.067
,,00005.980160,A1_32,0.033
,,00005.980400,A1_24,0.024
,,00005.980560,A1_11,0.015
,,00005.980880,A1_21,0.02
,,00005.980880,A1_22,0.076
,,00005.981280,A1_33,0.046
,,00005.981520,A1_42,0.033
,,00005.982720,A1_12,0.04
,,00005.983360,A1_22,0.077
,,00005.983360,A1_24,0.029
,,00005.983520,A1_21,0.067
,,00005.983760,A1_31,0.049
,,00005.984640,A1_11,0.029
,,00005.984880,A1_33,0.067
,,00005.985040,A1_42,0.085
,,00005.985280,A1_32,0.038
,,00005.985680,A1_24,0.037
,,00005.985760,A1_12,0.064
,,00005.986000,A1_21,0.064
,,00005.986160,A1_22,0.031
,,00005.986880,A1_31,0.015
,,00005.987200,A1_11,0.022
,,00005.987600,A1_33,0.092
,,00005.987680,A1_42,0.053
,,00005.988000,A1_24,0.032
,,00005.988240,A1_21,0.126
,,00005.988400,A1_22,0.047
,,00005.988560,A1_32,0.052
,,00005.989120,A1_12,0.108
,,00005.990560,A1_42,0.042
,,00005.990720,A1_21,0.048
,,00005.990960,A1_32,0.079
,,00005.991040,A1_22,0.068
,,00005.991040,A1_31,0.089
,,00005.991120,A1_33,0.083
,,00005.991440,A1_11,0.026
,,00005.991440,A1_12,0.092
,,00005.991440,A1_34,0.023
,,00005.992000,A1_24,0.041
,,00005.992640,A1_41,0.015
,,00005.992880,A1_42,0.042
,,00005.993360,A1_33,0.131
,,00005.993440,A1_22,0.049
,,00005.993520,A1_31,0.038
,,00005.993600,A1_32,0.085
