Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D17_POSTsiembra_P1_A4_(I),00000.281520,A4_42,0.079
Description,,00000.292080,A4_42,0.067
Maestro Edge (Maestro-091) Settings,,00000.302800,A4_42,0.064
   Original File Time,04/22/2024 11:36:31,00000.321520,A4_42,0.062
   Sampling Frequency,12.5 kHz,00000.341760,A4_42,0.061
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.370560,A4_42,0.056
   Experiment Start Time,04/22/2024 11:35:39,00000.813200,A4_42,0.072
   Referencing Method,Median,00000.822480,A4_42,0.069
   Analog Mode Setting,Neural Spikes,00000.832640,A4_42,0.062
   Plate Type,CytoView MEA 24,00000.844560,A4_42,0.06
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.846880,A4_42,0.015
   Digital High Pass Filter,200 Hz IIR,00000.865520,A4_42,0.056
   Temperature Set Point,37.0 Degrees C,00000.897840,A4_42,0.063
   Current Temperature,37.0 Degrees C,00000.920880,A4_42,0.057
   Heater Power,On,00001.396240,A4_42,0.076
   Legacy Heating Mode,Off,00001.398640,A4_42,0.018
   Barcode Plate Type,TwentyFourWell,00001.405280,A4_42,0.069
   Plate Serial Number,114-3632,00001.414080,A4_42,0.064
   CO2 Conc. Set Point,5.0 %,00001.416400,A4_42,0.018
   Actual CO2 Conc.,5.0 %,00001.425440,A4_42,0.065
   Gas Mixer Status,Regulating,00001.454720,A4_42,0.061
   AxIS Version,3.10.3.6,00001.498480,A4_42,0.065
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00001.510800,A4_42,0.063
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00001.527760,A4_42,0.055
,,00001.958000,A4_14,0.023
Spike Detector Settings,,00002.016160,A4_42,0.073
   Method,Adaptive Threshold Crossing,00002.024240,A4_42,0.066
   Threshold,6,00002.032240,A4_42,0.064
   Threshold Status,Variable,00002.034640,A4_42,0.022
   Threshold Crossing Only,True,00002.043760,A4_42,0.06
   Pre-Spike Duration,0.84 ms,00002.108800,A4_42,0.071
   Post-Spike Duration,2.16 ms,00002.117440,A4_32,0.022
   Coincident Event Filter,Default (Well),00002.119120,A4_42,0.066
   Coincidence Occurrence Threshold,4 Electrodes,00002.129600,A4_42,0.057
   Coincidence Event Window,80 µs,00002.139680,A4_42,0.054
   Allow Sample Overlap,false,00002.151920,A4_42,0.054
   Spike Count Interval,1 s,00002.172160,A4_42,0.055
,,00002.654880,A4_42,0.073
,,00002.662720,A4_42,0.068
,,00002.665440,A4_41,0.012
,,00002.668640,A4_41,0.014
,,00002.670720,A4_42,0.062
,,00002.671760,A4_31,0.035
,,00002.672400,A4_41,0.015
,,00002.673680,A4_42,0.023
,,00002.675120,A4_41,0.019
,,00002.676240,A4_31,0.044
,,00002.677520,A4_22,0.041
,,00002.677760,A4_41,0.014
,,00002.679280,A4_42,0.052
,,00002.680320,A4_12,0.025
,,00002.680720,A4_31,0.045
,,00002.680880,A4_22,0.02
,,00002.681680,A4_42,0.03
,,00002.683200,A4_31,0.052
,,00002.684720,A4_42,0.033
,,00002.684880,A4_22,0.036
,,00002.686240,A4_23,0.044
,,00002.687440,A4_42,0.192
,,00002.687840,A4_31,0.064
,,00002.688400,A4_41,0.019
,,00002.688480,A4_22,0.032
,,00002.688800,A4_32,0.019
,,00002.689920,A4_13,0.12
,,00002.690320,A4_31,0.041
,,00002.690480,A4_42,0.046
,,00002.690720,A4_12,0.024
,,00002.692480,A4_13,0.069
,,00002.692880,A4_42,0.085
,,00002.693440,A4_31,0.405
,,00002.693760,A4_41,0.011
,,00002.695680,A4_42,0.044
,,00002.696800,A4_24,0.033
,,00002.696800,A4_31,0.045
,,00002.697120,A4_22,0.061
,,00002.698240,A4_42,0.052
,,00002.700000,A4_31,0.016
,,00002.701360,A4_42,0.065
,,00002.701680,A4_41,0.009
,,00002.702480,A4_31,0.036
,,00002.703920,A4_22,0.025
,,00002.704240,A4_42,0.057
,,00002.705360,A4_13,0.138
,,00002.706800,A4_23,0.045
,,00002.707280,A4_31,0.398
,,00002.707280,A4_42,0.03
,,00002.707760,A4_13,0.015
,,00002.708960,A4_41,0.015
,,00002.709920,A4_31,0.05
,,00002.710320,A4_42,0.041
,,00002.713360,A4_41,0.009
,,00002.714000,A4_31,0.019
,,00002.714960,A4_42,0.014
,,00002.716640,A4_24,0.035
,,00002.718320,A4_42,0.039
,,00002.720720,A4_42,0.021
,,00002.721840,A4_14,0.02
,,00002.722160,A4_12,0.022
,,00002.723120,A4_31,0.023
,,00002.723600,A4_23,0.138
,,00002.723840,A4_33,0.039
,,00002.723840,A4_42,0.101
,,00002.726400,A4_23,0.027
,,00002.726560,A4_42,0.029
,,00002.727680,A4_24,0.103
,,00002.729520,A4_22,0.046
,,00002.729520,A4_23,0.053
,,00002.730000,A4_42,0.039
,,00002.730800,A4_24,0.114
,,00002.730960,A4_14,0.085
,,00002.731200,A4_13,0.275
,,00002.732160,A4_33,0.042
,,00002.732560,A4_23,0.061
,,00002.733360,A4_22,0.023
,,00002.733440,A4_13,0.081
,,00002.733440,A4_24,0.101
,,00002.733680,A4_14,0.055
,,00002.733920,A4_42,0.025
,,00002.734720,A4_33,0.057
,,00002.734880,A4_23,0.056
,,00002.735680,A4_13,0.307
,,00002.735680,A4_22,0.031
,,00002.735760,A4_24,0.044
,,00002.736000,A4_14,0.16
,,00002.736000,A4_43,0.03
,,00002.736480,A4_42,0.032
,,00002.736720,A4_44,0.018
,,00002.736880,A4_12,0.027
,,00002.737200,A4_23,0.419
,,00002.737520,A4_33,0.045
,,00002.738000,A4_13,0.092
,,00002.738080,A4_24,0.021
,,00002.738480,A4_41,0.017
,,00002.738720,A4_22,0.083
,,00002.738720,A4_31,0.086
,,00002.739040,A4_14,0.036
,,00002.739200,A4_43,0.037
,,00002.739280,A4_12,0.025
,,00002.739440,A4_23,0.046
,,00002.739760,A4_33,0.061
,,00002.739760,A4_42,0.111
,,00002.741280,A4_24,0.032
,,00002.741360,A4_13,0.164
,,00002.741680,A4_32,0.023
,,00002.741920,A4_31,0.118
,,00002.742000,A4_14,0.037
,,00002.742080,A4_23,0.164
,,00002.742080,A4_42,0.125
,,00002.742160,A4_22,0.061
,,00002.742400,A4_33,0.036
,,00002.742560,A4_43,0.033
