Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_B1_(I),00000.080800,B1_14,0.133
Description,,00000.083200,B1_14,0.011
Maestro Edge (Maestro-091) Settings,,00000.243040,B1_14,0.134
   Original File Time,04/23/2024 12:30:35,00000.355600,B1_14,0.138
   Sampling Frequency,12.5 kHz,00000.357920,B1_14,0.01
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.465920,B1_14,0.133
   Experiment Start Time,04/23/2024 11:30:21,00000.583280,B1_14,0.13
   Referencing Method,Median,00000.585600,B1_14,0.012
   Analog Mode Setting,Neural Spikes,00000.700480,B1_14,0.136
   Plate Type,CytoView MEA 24,00000.810480,B1_14,0.128
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.812880,B1_14,0.012
   Digital High Pass Filter,200 Hz IIR,00000.984800,B1_14,0.135
   Temperature Set Point,37.0 Degrees C,00001.161280,B1_14,0.135
   Current Temperature,37.0 Degrees C,00001.285440,B1_14,0.136
   Heater Power,On,00001.456080,B1_14,0.136
   Legacy Heating Mode,Off,00001.575120,B1_42,0.038
   Barcode Plate Type,TwentyFourWell,00001.577200,B1_24,0.044
   Plate Serial Number,114-3632,00001.577680,B1_42,0.035
   CO2 Conc. Set Point,5.0 %,00001.578080,B1_44,0.035
   Actual CO2 Conc.,5.0 %,00001.578720,B1_34,0.048
   Gas Mixer Status,Regulating,00001.579120,B1_31,0.025
   AxIS Version,3.10.3.6,00001.579840,B1_14,0.13
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00001.580800,B1_22,0.034
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00001.580880,B1_24,0.036
,,00001.581040,B1_44,0.022
Spike Detector Settings,,00001.581120,B1_34,0.05
   Method,Adaptive Threshold Crossing,00001.581760,B1_31,0.013
   Threshold,6,00001.581760,B1_41,0.013
   Threshold Status,Variable,00001.582160,B1_14,0.011
   Threshold Crossing Only,True,00001.583040,B1_22,0.13
   Pre-Spike Duration,0.84 ms,00001.583120,B1_11,0.026
   Post-Spike Duration,2.16 ms,00001.583280,B1_44,0.041
   Coincident Event Filter,Default (Well),00001.583440,B1_24,0.108
   Coincidence Occurrence Threshold,4 Electrodes,00001.583600,B1_13,0.053
   Coincidence Event Window,80 µs,00001.583840,B1_42,0.015
   Allow Sample Overlap,false,00001.584000,B1_31,0.023
   Spike Count Interval,1 s,00001.584000,B1_34,0.054
,,00001.585600,B1_44,0.045
,,00001.585680,B1_22,0.124
,,00001.585840,B1_11,0.046
,,00001.585840,B1_14,0.108
,,00001.586080,B1_13,0.068
,,00001.586080,B1_41,0.016
,,00001.586240,B1_31,0.018
,,00001.586640,B1_24,0.097
,,00001.586720,B1_12,0.02
,,00001.586800,B1_34,0.037
,,00001.587200,B1_33,0.022
,,00001.587840,B1_42,0.018
,,00001.588480,B1_22,0.08
,,00001.588720,B1_14,0.063
,,00001.589040,B1_13,0.12
,,00001.589200,B1_44,0.028
,,00001.589280,B1_24,0.09
,,00001.589360,B1_34,0.052
,,00001.589520,B1_11,0.031
,,00001.590320,B1_31,0.028
