Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_B3_(IV),00000.008160,B3_44,0.038
Description,,00000.093760,B3_44,0.03
Maestro Edge (Maestro-091) Settings,,00000.248480,B3_44,0.037
   Original File Time,04/23/2024 15:03:16,00000.407440,B3_44,0.031
   Sampling Frequency,12.5 kHz,00000.518240,B3_44,0.031
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.591040,B3_32,0.02
   Experiment Start Time,04/23/2024 14:48:19,00000.705760,B3_44,0.041
   Referencing Method,Median,00000.770800,B3_33,0.039
   Analog Mode Setting,Neural Spikes,00000.806560,B3_44,0.039
   Plate Type,CytoView MEA 24,00000.892320,B3_44,0.035
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.074400,B3_44,0.035
   Digital High Pass Filter,200 Hz IIR,00001.108720,B3_32,0.027
   Temperature Set Point,37.0 Degrees C,00001.260880,B3_44,0.038
   Current Temperature,37.0 Degrees C,00001.384240,B3_44,0.036
   Heater Power,On,00001.485200,B3_32,0.024
   Legacy Heating Mode,Off,00001.519760,B3_44,0.032
   Barcode Plate Type,TwentyFourWell,00001.654800,B3_44,0.038
   Plate Serial Number,114-3632,00001.756480,B3_33,0.041
   CO2 Conc. Set Point,5.0 %,00001.774400,B3_44,0.037
   Actual CO2 Conc.,5.0 %,00001.843600,B3_32,0.026
   Gas Mixer Status,Regulating,00001.938320,B3_44,0.041
   AxIS Version,3.10.3.6,00002.104080,B3_44,0.035
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00002.198000,B3_44,0.04
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00002.400160,B3_44,0.039
,,00002.455920,B3_44,0.03
Spike Detector Settings,,00002.520080,B3_33,0.033
   Method,Adaptive Threshold Crossing,00002.542000,B3_44,0.037
   Threshold,6,00002.668640,B3_44,0.037
   Threshold Status,Variable,00002.801600,B3_44,0.038
   Threshold Crossing Only,True,00002.926400,B3_32,0.016
   Pre-Spike Duration,0.84 ms,00003.002480,B3_44,0.038
   Post-Spike Duration,2.16 ms,00003.124320,B3_44,0.033
   Coincident Event Filter,Default (Well),00003.284960,B3_44,0.039
   Coincidence Occurrence Threshold,4 Electrodes,00003.292720,B3_32,0.035
   Coincidence Event Window,80 µs,00003.437840,B3_44,0.041
   Allow Sample Overlap,false,00003.557920,B3_33,0.031
   Spike Count Interval,1 s,00003.594880,B3_44,0.034
,,00003.759200,B3_44,0.038
,,00003.891040,B3_44,0.042
,,00003.954880,B3_31,0.018
,,00004.043760,B3_44,0.038
,,00004.228080,B3_44,0.037
,,00004.337040,B3_33,0.03
,,00004.347040,B3_44,0.038
,,00004.483520,B3_44,0.035
,,00004.577520,B3_44,0.037
,,00004.743440,B3_44,0.039
,,00004.869200,B3_44,0.032
,,00004.928640,B3_32,0.011
