Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_C5_(I),00004.082640,C5_12,0.047
Description,,00004.088400,C5_12,0.042
Maestro Edge (Maestro-091) Settings,,00005.951520,C5_12,0.048
   Original File Time,04/23/2024 12:07:24,00005.961680,C5_12,0.048
   Sampling Frequency,12.5 kHz,00007.727120,C5_33,0.056
   Voltage Scale,-5.484861781483107E-08 V/sample,00007.727120,C5_41,0.02
   Experiment Start Time,04/23/2024 11:30:21,00007.728560,C5_31,0.038
   Referencing Method,Median,00007.729600,C5_32,0.027
   Analog Mode Setting,Neural Spikes,00007.729840,C5_41,0.013
   Plate Type,CytoView MEA 24,00007.729920,C5_33,0.041
   Digital Low Pass Filter,3 kHz Kaiser Window,00007.730240,C5_44,0.021
   Digital High Pass Filter,200 Hz IIR,00007.731280,C5_31,0.027
   Temperature Set Point,37.0 Degrees C,00007.732240,C5_43,0.028
   Current Temperature,37.1 Degrees C,00007.732320,C5_12,0.052
   Heater Power,On,00007.732400,C5_33,0.04
   Legacy Heating Mode,Off,00007.732720,C5_41,0.009
   Barcode Plate Type,TwentyFourWell,00007.732880,C5_42,0.027
   Plate Serial Number,114-3632,00007.732960,C5_11,0.153
   CO2 Conc. Set Point,5.0 %,00007.733200,C5_22,0.018
   Actual CO2 Conc.,5.0 %,00007.733360,C5_32,0.04
   Gas Mixer Status,Regulating,00007.733520,C5_34,0.024
   AxIS Version,3.10.3.6,00007.734400,C5_13,0.022
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00007.734720,C5_12,0.11
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00007.734880,C5_33,0.043
,,00007.735200,C5_42,0.032
Spike Detector Settings,,00007.735200,C5_43,0.06
   Method,Adaptive Threshold Crossing,00007.735360,C5_44,0.032
   Threshold,6,00007.735680,C5_22,0.167
   Threshold Status,Variable,00007.735920,C5_32,0.065
   Threshold Crossing Only,True,00007.736400,C5_24,0.017
   Pre-Spike Duration,0.84 ms,00007.736400,C5_31,0.042
   Post-Spike Duration,2.16 ms,00007.736640,C5_34,0.029
   Coincident Event Filter,Default (Well),00007.736880,C5_11,0.372
   Coincidence Occurrence Threshold,4 Electrodes,00007.737280,C5_13,0.063
   Coincidence Event Window,80 µs,00007.737280,C5_33,0.325
   Allow Sample Overlap,false,00007.737440,C5_43,0.056
   Spike Count Interval,1 s,00007.737760,C5_42,0.05
,,00007.738320,C5_12,0.245
,,00007.738400,C5_32,0.048
,,00007.738480,C5_44,0.198
,,00007.738560,C5_21,0.024
,,00007.738640,C5_24,0.042
,,00007.738800,C5_41,0.02
,,00007.739520,C5_13,0.084
,,00007.739520,C5_34,0.023
,,00007.739680,C5_33,0.247
,,00007.740000,C5_14,0.034
,,00007.740160,C5_31,0.022
,,00007.740320,C5_23,0.032
,,00007.740320,C5_42,0.018
,,00007.740400,C5_11,0.14
,,00007.740400,C5_43,0.033
,,00007.740720,C5_12,0.069
,,00007.740880,C5_22,0.116
,,00007.740880,C5_24,0.223
,,00007.741280,C5_44,0.059
,,00007.741760,C5_41,0.015
,,00007.741920,C5_34,0.04
,,00007.742560,C5_14,0.059
,,00007.742560,C5_33,0.134
,,00007.742640,C5_13,0.142
,,00007.742720,C5_11,0.405
,,00007.742800,C5_23,0.047
,,00007.743200,C5_12,0.065
,,00007.743200,C5_24,0.214
,,00007.743520,C5_44,0.119
,,00007.743760,C5_43,0.014
,,00007.743920,C5_32,0.038
,,00007.744480,C5_22,0.05
,,00007.744880,C5_33,0.082
,,00007.744880,C5_34,0.035
,,00007.745040,C5_14,0.038
,,00007.745040,C5_23,0.063
,,00007.745040,C5_42,0.023
,,00007.745440,C5_11,0.037
,,00007.745920,C5_12,0.073
,,00007.746000,C5_44,0.049
,,00007.746240,C5_13,0.102
,,00007.746240,C5_32,0.045
,,00007.746720,C5_24,0.076
,,00007.747280,C5_14,0.026
,,00007.747760,C5_43,0.032
,,00007.747920,C5_23,0.031
,,00007.748000,C5_22,0.024
,,00007.748320,C5_12,0.035
,,00007.748400,C5_34,0.024
,,00007.748400,C5_44,0.048
,,00007.748960,C5_13,0.05
,,00007.749040,C5_32,0.013
,,00007.749040,C5_33,0.039
,,00007.749520,C5_14,0.027
,,00007.749600,C5_11,0.061
,,00007.750480,C5_22,0.034
,,00007.750640,C5_34,0.018
,,00007.750800,C5_23,0.014
,,00007.750800,C5_24,0.063
,,00007.751360,C5_44,0.028
,,00007.751680,C5_13,0.047
,,00007.751840,C5_32,0.03
,,00007.751920,C5_11,0.05
,,00007.752080,C5_12,0.017
,,00007.752160,C5_21,0.016
,,00007.752720,C5_22,0.021
,,00007.753040,C5_24,0.025
,,00007.753760,C5_33,0.022
,,00007.754720,C5_13,0.023
,,00007.754960,C5_34,0.03
,,00007.755440,C5_44,0.03
,,00007.755840,C5_11,0.032
,,00007.756400,C5_22,0.021
,,00007.757360,C5_13,0.064
,,00007.757440,C5_33,0.021
,,00007.758160,C5_11,0.044
,,00007.758160,C5_24,0.067
,,00007.758400,C5_32,0.019
,,00007.759920,C5_34,0.015
,,00007.760000,C5_22,0.01
,,00007.760160,C5_13,0.024
,,00007.760640,C5_33,0.021
,,00007.760800,C5_32,0.024
,,00007.762560,C5_24,0.048
,,00007.762800,C5_11,0.024
,,00007.763200,C5_13,0.033
,,00007.764400,C5_34,0.014
,,00007.764640,C5_44,0.019
,,00007.765040,C5_11,0.039
,,00007.766000,C5_12,0.052
,,00007.766000,C5_22,0.049
,,00007.766640,C5_24,0.019
,,00007.766800,C5_13,0.056
,,00007.767280,C5_44,0.033
,,00007.767840,C5_32,0.03
,,00007.768240,C5_22,0.083
,,00007.768320,C5_42,0.017
,,00007.768480,C5_33,0.02
,,00007.768880,C5_24,0.024
,,00007.769440,C5_34,0.017
,,00007.770160,C5_13,0.028
,,00007.770400,C5_11,0.03
,,00007.770400,C5_12,0.028
,,00007.771360,C5_24,0.043
,,00007.771920,C5_22,0.055
,,00007.772240,C5_33,0.029
,,00007.772640,C5_11,0.067
,,00007.772720,C5_12,0.059
,,00007.774080,C5_32,0.019
,,00007.774240,C5_44,0.02
,,00007.774560,C5_13,0.04
,,00007.774640,C5_24,0.03
,,00007.775120,C5_22,0.098
,,00007.775280,C5_31,0.019
,,00007.776080,C5_11,0.024
,,00007.776080,C5_12,0.022
,,00007.776320,C5_42,0.016
,,00007.776880,C5_44,0.018
,,00007.777040,C5_13,0.033
,,00007.777440,C5_22,0.081
,,00007.777600,C5_34,0.017
,,00007.777840,C5_33,0.034
,,00007.778080,C5_24,0.047
,,00007.779760,C5_14,0.017
,,00007.780080,C5_12,0.046
,,00007.780240,C5_33,0.04
,,00007.780320,C5_32,0.02
,,00007.780400,C5_13,0.024
,,00007.780800,C5_34,0.025
,,00007.780880,C5_24,0.049
,,00007.781040,C5_11,0.079
,,00007.781360,C5_22,0.022
,,00007.781840,C5_44,0.026
,,00007.782800,C5_13,0.049
,,00007.782880,C5_42,0.025
,,00007.782880,C5_43,0.026
,,00007.783440,C5_12,0.032
,,00007.783760,C5_33,0.047
,,00007.783840,C5_22,0.084
,,00007.784000,C5_32,0.024
,,00007.784480,C5_44,0.038
,,00007.784960,C5_24,0.015
,,00007.785360,C5_31,0.02
,,00007.785600,C5_13,0.051
,,00007.785680,C5_11,0.04
,,00007.786640,C5_14,0.021
,,00007.786720,C5_33,0.031
,,00007.786800,C5_44,0.063
,,00007.787280,C5_12,0.063
,,00007.787280,C5_32,0.017
,,00007.787680,C5_24,0.014
,,00007.787760,C5_34,0.034
,,00007.788240,C5_22,0.025
,,00007.788800,C5_11,0.069
,,00007.789440,C5_33,0.053
,,00007.789680,C5_13,0.038
,,00007.790400,C5_34,0.019
,,00007.790560,C5_12,0.033
,,00007.790560,C5_32,0.032
,,00007.790880,C5_44,0.018
,,00007.791280,C5_11,0.039
,,00007.791280,C5_22,0.105
,,00007.791360,C5_43,0.023
,,00007.791760,C5_33,0.02
,,00007.791920,C5_24,0.03
,,00007.792320,C5_13,0.036
,,00007.792960,C5_12,0.037
,,00007.793520,C5_42,0.022
,,00007.794000,C5_11,0.144
,,00007.794080,C5_44,0.019
,,00007.794640,C5_24,0.039
,,00007.794800,C5_13,0.043
,,00007.794880,C5_34,0.016
,,00007.794960,C5_22,0.03
,,00007.796000,C5_14,0.019
,,00007.796320,C5_44,0.032
,,00007.796720,C5_11,0.076
,,00007.796720,C5_33,0.032
,,00007.797440,C5_24,0.012
,,00007.797520,C5_22,0.053
,,00007.797760,C5_13,0.035
,,00007.798960,C5_34,0.021
,,00007.799040,C5_11,0.047
,,00007.799440,C5_33,0.019
,,00007.799520,C5_44,0.018
,,00007.800400,C5_22,0.019
,,00007.800560,C5_24,0.025
,,00007.802000,C5_11,0.039
,,00007.802080,C5_13,0.025
,,00007.802800,C5_22,0.079
,,00007.803360,C5_33,0.015
,,00007.804400,C5_44,0.027
,,00007.804560,C5_34,0.025
,,00007.804960,C5_42,0.023
,,00007.805440,C5_13,0.022
,,00007.805520,C5_24,0.035
,,00007.805680,C5_22,0.044
,,00007.806080,C5_33,0.04
,,00007.806240,C5_11,0.159
,,00007.806240,C5_32,0.039
,,00007.806800,C5_34,0.017
,,00007.807920,C5_24,0.024
,,00007.808080,C5_12,0.021
,,00007.808480,C5_44,0.019
,,00007.809360,C5_11,0.049
,,00007.809680,C5_22,0.043
,,00007.810000,C5_13,0.021
,,00007.810080,C5_32,0.016
,,00007.811120,C5_43,0.019
,,00007.813040,C5_13,0.045
,,00007.814400,C5_12,0.022
,,00007.816000,C5_24,0.025
,,00007.816080,C5_22,0.191
,,00007.816400,C5_13,0.024
,,00007.816720,C5_42,0.025
,,00007.817120,C5_12,0.024
,,00007.818320,C5_22,0.029
,,00007.818720,C5_13,0.015
,,00007.818960,C5_24,0.035
,,00007.819440,C5_11,0.131
,,00007.820400,C5_44,0.019
,,00007.821360,C5_32,0.016
,,00007.821920,C5_11,0.016
,,00007.822000,C5_12,0.018
,,00007.822160,C5_22,0.014
,,00007.822160,C5_33,0.045
,,00007.823120,C5_43,0.02
,,00007.823680,C5_34,0.014
,,00007.824320,C5_42,0.019
,,00007.825520,C5_11,0.022
,,00007.829200,C5_11,0.092
,,00007.829680,C5_13,0.021
,,00007.829920,C5_22,0.104
,,00007.831600,C5_43,0.02
,,00007.831680,C5_11,0.025
,,00007.832480,C5_42,0.018
,,00007.832640,C5_13,0.019
,,00007.833200,C5_22,0.029
,,00007.833440,C5_12,0.036
,,00007.834560,C5_11,0.033
,,00007.835200,C5_13,0.032
,,00007.835920,C5_22,0.015
,,00007.836240,C5_12,0.048
,,00007.837600,C5_11,0.029
,,00007.837840,C5_33,0.031
