Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_C5_(IV),00000.163840,C5_32,0.033
Description,,00000.574880,C5_32,0.035
Maestro Edge (Maestro-091) Settings,,00001.140880,C5_12,0.045
   Original File Time,04/23/2024 15:26:21,00001.150640,C5_32,0.033
   Sampling Frequency,12.5 kHz,00001.574080,C5_32,0.031
   Voltage Scale,-5.484861781483107E-08 V/sample,00001.992960,C5_32,0.032
   Experiment Start Time,04/23/2024 15:21:24,00002.108960,C5_12,0.052
   Referencing Method,Median,00002.375520,C5_32,0.028
   Analog Mode Setting,Neural Spikes,00002.641840,C5_12,0.048
   Plate Type,CytoView MEA 24,00002.728160,C5_32,0.031
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.925200,C5_12,0.045
   Digital High Pass Filter,200 Hz IIR,00003.321840,C5_32,0.036
   Temperature Set Point,37.0 Degrees C,00003.447200,C5_12,0.047
   Current Temperature,37.0 Degrees C,00003.689120,C5_32,0.03
   Heater Power,On,00004.130960,C5_32,0.032
   Legacy Heating Mode,Off,00004.232560,C5_12,0.049
   Barcode Plate Type,TwentyFourWell,00004.532560,C5_32,0.029
   Plate Serial Number,114-3632,00004.611600,C5_12,0.045
   CO2 Conc. Set Point,5.0 %,00004.904560,C5_12,0.044
   Actual CO2 Conc.,5.0 %,00005.045920,C5_32,0.033
   Gas Mixer Status,Regulating,00005.431200,C5_12,0.046
   AxIS Version,3.10.3.6,00005.449200,C5_32,0.032
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00005.916320,C5_32,0.029
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00006.064720,C5_12,0.055
,,00006.612160,C5_32,0.031
Spike Detector Settings,,00006.834080,C5_12,0.051
   Method,Adaptive Threshold Crossing,00007.149360,C5_32,0.031
   Threshold,6,00007.625200,C5_32,0.03
   Threshold Status,Variable,00007.669840,C5_12,0.042
   Threshold Crossing Only,True,00008.055040,C5_32,0.029
   Pre-Spike Duration,0.84 ms,00008.083120,C5_12,0.049
   Post-Spike Duration,2.16 ms,00008.433680,C5_32,0.031
   Coincident Event Filter,Default (Well),00008.546960,C5_12,0.047
   Coincidence Occurrence Threshold,4 Electrodes,00008.851120,C5_32,0.026
   Coincidence Event Window,80 µs,00009.254480,C5_32,0.028
   Allow Sample Overlap,false,00009.336240,C5_12,0.044
   Spike Count Interval,1 s,00009.374880,C5_12,0.049
,,00009.624320,C5_32,0.029
,,00010.014480,C5_32,0.029
,,00010.295680,C5_12,0.05
,,00010.313280,C5_12,0.047
,,00010.520800,C5_32,0.034
,,00010.782720,C5_12,0.045
,,00010.899360,C5_32,0.034
,,00011.199280,C5_32,0.028
,,00011.475200,C5_12,0.049
,,00011.513840,C5_12,0.048
