Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_B1_(I),00000.005920,D1_22,0.019
Description,,00000.014400,D1_22,0.032
Maestro Edge (Maestro-091) Settings,,00000.017680,D1_22,0.025
   Original File Time,04/23/2024 12:11:55,00000.366320,D1_22,0.028
   Sampling Frequency,12.5 kHz,00000.372480,D1_22,0.02
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.375120,D1_22,0.033
   Experiment Start Time,04/23/2024 11:30:21,00000.379360,D1_22,0.039
   Referencing Method,Median,00000.382560,D1_22,0.024
   Analog Mode Setting,Neural Spikes,00000.386240,D1_22,0.045
   Plate Type,CytoView MEA 24,00000.387280,D1_23,0.024
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.388960,D1_22,0.025
   Digital High Pass Filter,200 Hz IIR,00000.392000,D1_22,0.026
   Temperature Set Point,37.0 Degrees C,00000.395680,D1_22,0.024
   Current Temperature,37.0 Degrees C,00000.395680,D1_24,0.03
   Heater Power,On,00000.398080,D1_22,0.054
   Legacy Heating Mode,Off,00000.402800,D1_22,0.033
   Barcode Plate Type,TwentyFourWell,00000.406400,D1_22,0.024
   Plate Serial Number,114-3632,00000.408960,D1_22,0.034
   CO2 Conc. Set Point,5.0 %,00000.412560,D1_22,0.018
   Actual CO2 Conc.,5.0 %,00000.414800,D1_22,0.034
   Gas Mixer Status,Regulating,00000.417040,D1_22,0.026
   AxIS Version,3.10.3.6,00000.428240,D1_22,0.021
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.431200,D1_22,0.023
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.461760,D1_23,0.026
,,00000.819760,D1_22,0.031
Spike Detector Settings,,00000.822640,D1_22,0.028
   Method,Adaptive Threshold Crossing,00000.828000,D1_32,0.015
   Threshold,6,00000.833600,D1_22,0.081
   Threshold Status,Variable,00000.837280,D1_22,0.03
   Threshold Crossing Only,True,00000.839680,D1_22,0.025
