Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_D2_(IV),00000.107600,D3_11,0.046
Description,,00000.331920,D3_11,0.036
Maestro Edge (Maestro-091) Settings,,00002.975600,D3_11,0.021
   Original File Time,04/23/2024 15:40:05,00002.978160,D3_32,0.023
   Sampling Frequency,12.5 kHz,00002.978240,D3_12,0.022
   Voltage Scale,-5.484861781483107E-08 V/sample,00002.981600,D3_32,0.023
   Experiment Start Time,04/23/2024 15:21:24,00002.982320,D3_21,0.014
   Referencing Method,Median,00002.990800,D3_12,0.02
   Analog Mode Setting,Neural Spikes,00002.995920,D3_11,0.108
   Plate Type,CytoView MEA 24,00002.996720,D3_21,0.02
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.997120,D3_32,0.024
   Digital High Pass Filter,200 Hz IIR,00002.998800,D3_11,0.017
   Temperature Set Point,37.0 Degrees C,00003.001200,D3_11,0.269
   Current Temperature,37.0 Degrees C,00003.001440,D3_21,0.073
   Heater Power,On,00003.001680,D3_24,0.024
   Legacy Heating Mode,Off,00003.002160,D3_12,0.036
   Barcode Plate Type,TwentyFourWell,00003.003040,D3_31,0.044
   Plate Serial Number,114-3632,00003.004320,D3_11,0.039
   CO2 Conc. Set Point,5.0 %,00003.004480,D3_21,0.018
   Actual CO2 Conc.,5.0 %,00003.005360,D3_12,0.031
   Gas Mixer Status,Regulating,00003.005520,D3_24,0.027
   AxIS Version,3.10.3.6,00003.005520,D3_31,0.033
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00003.005600,D3_22,0.087
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00003.005920,D3_14,0.057
,,00003.006640,D3_11,0.056
Spike Detector Settings,,00003.007680,D3_32,0.041
   Method,Adaptive Threshold Crossing,00003.007760,D3_21,0.033
   Threshold,6,00003.008320,D3_14,0.096
   Threshold Status,Variable,00003.008320,D3_22,0.063
   Threshold Crossing Only,True,00003.008480,D3_23,0.091
   Pre-Spike Duration,0.84 ms,00003.008800,D3_33,0.062
   Post-Spike Duration,2.16 ms,00003.008880,D3_11,0.063
   Coincident Event Filter,Default (Well),00003.009040,D3_24,0.025
   Coincidence Occurrence Threshold,4 Electrodes,00003.009440,D3_42,0.069
   Coincidence Event Window,80 µs,00003.009600,D3_31,0.043
   Allow Sample Overlap,false,00003.010000,D3_13,0.039
   Spike Count Interval,1 s,00003.010080,D3_12,0.072
,,00003.010080,D3_21,0.125
,,00003.010240,D3_32,0.033
,,00003.010320,D3_41,0.018
,,00003.011200,D3_22,0.161
,,00003.011520,D3_23,0.143
,,00003.011760,D3_11,0.441
,,00003.011760,D3_33,0.156
,,00003.011760,D3_42,0.123
,,00003.012080,D3_34,0.02
,,00003.012160,D3_24,0.092
,,00003.012400,D3_21,0.07
,,00003.012480,D3_13,0.077
,,00003.012480,D3_32,0.053
,,00003.012480,D3_43,0.023
,,00003.012720,D3_12,0.191
,,00003.012880,D3_14,0.307
,,00003.014000,D3_22,0.216
,,00003.014320,D3_23,0.065
,,00003.014400,D3_34,0.038
,,00003.014480,D3_11,0.216
,,00003.014560,D3_24,0.041
,,00003.014560,D3_44,0.03
,,00003.014640,D3_31,0.056
,,00003.014720,D3_42,0.106
,,00003.014880,D3_13,0.094
,,00003.015200,D3_32,0.048
,,00003.015440,D3_21,0.062
,,00003.015520,D3_14,0.167
,,00003.015600,D3_43,0.023
,,00003.016560,D3_23,0.053
,,00003.016720,D3_33,0.233
,,00003.016800,D3_34,0.036
,,00003.016960,D3_11,0.098
,,00003.017200,D3_22,0.087
,,00003.017200,D3_42,0.085
,,00003.017520,D3_31,0.031
,,00003.017600,D3_12,0.047
,,00003.017760,D3_13,0.074
,,00003.017760,D3_24,0.029
,,00003.018160,D3_21,0.041
,,00003.018320,D3_14,0.133
,,00003.018880,D3_23,0.044
,,00003.019120,D3_32,0.032
,,00003.019280,D3_34,0.026
,,00003.019440,D3_11,0.029
,,00003.019760,D3_42,0.061
,,00003.019840,D3_22,0.054
,,00003.019840,D3_33,0.068
,,00003.020000,D3_13,0.038
,,00003.020000,D3_24,0.041
,,00003.020320,D3_31,0.022
,,00003.020720,D3_14,0.042
,,00003.021280,D3_21,0.025
,,00003.021360,D3_12,0.068
,,00003.021360,D3_23,0.041
,,00003.021760,D3_11,0.054
,,00003.021840,D3_34,0.037
,,00003.022320,D3_42,0.05
,,00003.022320,D3_43,0.01
,,00003.022480,D3_22,0.062
,,00003.023040,D3_14,0.046
,,00003.023040,D3_33,0.06
,,00003.023360,D3_24,0.017
,,00003.023680,D3_32,0.027
,,00003.023920,D3_23,0.024
,,00003.024240,D3_11,0.043
,,00003.024320,D3_21,0.032
,,00003.024560,D3_34,0.018
,,00003.025120,D3_22,0.054
,,00003.025200,D3_42,0.037
,,00003.025680,D3_33,0.034
,,00003.025760,D3_14,0.069
,,00003.025920,D3_13,0.047
,,00003.026080,D3_12,0.041
,,00003.026400,D3_23,0.03
,,00003.026560,D3_21,0.04
,,00003.027360,D3_11,0.045
,,00003.027680,D3_24,0.022
,,00003.028080,D3_42,0.028
,,00003.028160,D3_14,0.029
,,00003.028480,D3_22,0.034
,,00003.028640,D3_33,0.07
,,00003.028960,D3_13,0.027
,,00003.029360,D3_21,0.022
,,00003.030080,D3_12,0.033
,,00003.030640,D3_11,0.054
,,00003.030640,D3_14,0.032
,,00003.031280,D3_24,0.017
,,00003.031600,D3_42,0.023
,,00003.031760,D3_22,0.034
,,00003.031840,D3_21,0.034
,,00003.032800,D3_23,0.026
,,00003.033040,D3_12,0.052
,,00003.033040,D3_33,0.069
,,00003.033120,D3_11,0.075
,,00003.033200,D3_14,0.03
,,00003.033440,D3_13,0.018
,,00003.034320,D3_42,0.056
,,00003.034720,D3_22,0.057
,,00003.035440,D3_14,0.039
,,00003.035600,D3_12,0.034
,,00003.035680,D3_23,0.021
,,00003.035840,D3_11,0.083
,,00003.035840,D3_21,0.039
,,00003.035840,D3_33,0.042
,,00003.036000,D3_13,0.116
,,00003.036080,D3_34,0.025
,,00003.036720,D3_42,0.039
,,00003.037440,D3_22,0.038
,,00003.037760,D3_14,0.055
,,00003.038240,D3_21,0.026
,,00003.038320,D3_34,0.028
,,00003.038560,D3_24,0.018
,,00003.038560,D3_33,0.066
,,00003.038640,D3_11,0.038
,,00003.038640,D3_23,0.033
,,00003.039200,D3_12,0.041
,,00003.039280,D3_32,0.022
,,00003.039280,D3_42,0.039
,,00003.039840,D3_22,0.031
,,00003.040960,D3_11,0.037
,,00003.041120,D3_34,0.024
