Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D24_POSTsiembra_P2_B3_(I),00004.769600,B3_31,0.065
Description,,00004.774720,B3_31,0.044
Maestro Edge (Maestro-091) Settings,,00004.781920,B3_31,0.028
   Original File Time,04/29/2024 12:19:27,00004.787680,B3_31,0.129
   Sampling Frequency,12.5 kHz,00004.791120,B3_22,0.022
   Voltage Scale,-5.484861781483107E-08 V/sample,00004.791600,B3_31,0.091
   Experiment Start Time,04/29/2024 12:18:36,00004.793920,B3_31,0.016
   Referencing Method,Median,00004.794160,B3_22,0.021
   Analog Mode Setting,Neural Spikes,00004.796320,B3_31,0.079
   Plate Type,CytoView MEA 24,00004.798800,B3_22,0.023
   Digital Low Pass Filter,3 kHz Kaiser Window,00004.801520,B3_31,0.073
   Digital High Pass Filter,200 Hz IIR,00004.802480,B3_22,0.041
   Temperature Set Point,37.0 Degrees C,00004.803200,B3_42,0.083
   Current Temperature,36.6 Degrees C,00004.805360,B3_31,0.053
   Heater Power,On,00004.805520,B3_22,0.094
   Legacy Heating Mode,Off,00004.805760,B3_12,0.034
   Barcode Plate Type,TwentyFourWell,00004.806000,B3_42,0.253
   Plate Serial Number,114-3631,00004.808000,B3_12,0.136
   CO2 Conc. Set Point,5.0 %,00004.808160,B3_14,0.031
   Actual CO2 Conc.,4.4 %,00004.808240,B3_22,0.11
   Gas Mixer Status,Regulating,00004.808640,B3_42,0.029
   AxIS Version,3.10.3.6,00004.809680,B3_31,0.04
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00004.810480,B3_12,0.121
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00004.810720,B3_22,0.1
,,00004.810880,B3_42,0.215
Spike Detector Settings,,00004.811280,B3_21,0.018
   Method,Adaptive Threshold Crossing,00004.812160,B3_31,0.025
   Threshold,6,00004.812960,B3_12,0.046
   Threshold Status,Variable,00004.812960,B3_14,0.022
   Threshold Crossing Only,True,00004.812960,B3_22,0.042
   Pre-Spike Duration,0.84 ms,00004.813520,B3_33,0.046
   Post-Spike Duration,2.16 ms,00004.813840,B3_21,0.023
   Coincident Event Filter,Default (Well),00004.814400,B3_42,0.106
   Coincidence Occurrence Threshold,4 Electrodes,00004.815200,B3_14,0.075
   Coincidence Event Window,80 µs,00004.815520,B3_22,0.043
   Allow Sample Overlap,false,00004.815600,B3_12,0.067
   Spike Count Interval,1 s,00004.816160,B3_31,0.02
,,00004.816400,B3_33,0.032
,,00004.816960,B3_24,0.038
,,00004.817040,B3_42,0.013
,,00004.817440,B3_14,0.169
,,00004.817920,B3_22,0.058
,,00004.818080,B3_12,0.039
,,00004.818800,B3_44,0.021
,,00004.819200,B3_24,0.066
,,00004.819600,B3_42,0.054
,,00004.820400,B3_31,0.04
,,00004.820640,B3_34,0.024
,,00004.820960,B3_33,0.044
,,00004.821280,B3_14,0.249
,,00004.821280,B3_44,0.032
,,00004.821440,B3_24,0.063
,,00004.821760,B3_12,0.022
,,00004.821920,B3_22,0.039
,,00004.822240,B3_42,0.059
,,00004.823520,B3_14,0.13
,,00004.823760,B3_34,0.024
,,00004.824000,B3_24,0.057
,,00004.824000,B3_33,0.027
,,00004.824320,B3_12,0.034
,,00004.825040,B3_42,0.039
,,00004.825600,B3_22,0.027
,,00004.826240,B3_24,0.034
,,00004.826240,B3_44,0.029
,,00004.826560,B3_14,0.058
,,00004.826640,B3_34,0.027
,,00004.826800,B3_12,0.029
,,00004.826800,B3_33,0.024
,,00004.827440,B3_31,0.028
,,00004.828560,B3_22,0.026
,,00004.828880,B3_24,0.042
,,00004.829040,B3_12,0.032
,,00004.829680,B3_44,0.017
,,00004.829760,B3_14,0.058
,,00004.831600,B3_34,0.022
,,00004.832000,B3_22,0.026
,,00004.832000,B3_24,0.017
,,00004.832480,B3_12,0.013
,,00004.832800,B3_14,0.062
,,00004.833040,B3_42,0.029
,,00004.833600,B3_31,0.031
,,00004.833840,B3_44,0.033
,,00004.835200,B3_24,0.04
,,00004.835440,B3_14,0.039
,,00004.835840,B3_12,0.025
,,00004.838000,B3_24,0.02
,,00004.838880,B3_14,0.048
,,00004.840960,B3_12,0.021
,,00004.841280,B3_24,0.051
,,00004.841360,B3_14,0.065
,,00004.842320,B3_22,0.026
,,00004.844080,B3_14,0.03
,,00004.845200,B3_24,0.024
,,00004.846560,B3_22,0.023
,,00004.847760,B3_14,0.045
,,00004.849200,B3_24,0.021
,,00004.851360,B3_31,0.065
,,00004.851600,B3_12,0.018
,,00004.851840,B3_22,0.042
,,00004.852000,B3_24,0.027
,,00004.852320,B3_14,0.05
,,00004.853440,B3_42,0.026
,,00004.854240,B3_22,0.024
,,00004.856560,B3_14,0.054
,,00004.856960,B3_22,0.038
,,00004.857360,B3_12,0.032
,,00004.858880,B3_24,0.024
,,00004.859040,B3_14,0.042
,,00004.862400,B3_24,0.023
,,00004.862560,B3_22,0.044
,,00004.863200,B3_14,0.053
,,00004.864800,B3_24,0.024
,,00004.865280,B3_12,0.033
,,00004.865920,B3_14,0.039
,,00004.866160,B3_22,0.033
,,00004.867440,B3_24,0.023
,,00004.867680,B3_12,0.037
,,00004.868480,B3_14,0.041
,,00004.868800,B3_22,0.035
,,00004.870400,B3_24,0.032
,,00004.870800,B3_14,0.044
,,00004.871440,B3_12,0.02
,,00004.873200,B3_14,0.051
,,00004.873280,B3_22,0.027
,,00004.873360,B3_24,0.017
,,00004.873920,B3_12,0.018
,,00004.875760,B3_14,0.042
,,00004.876320,B3_12,0.018
,,00004.876720,B3_22,0.035
,,00004.877520,B3_24,0.028
,,00004.878160,B3_14,0.03
,,00004.878160,B3_33,0.023
,,00004.879440,B3_22,0.021
,,00004.879840,B3_12,0.022
,,00004.880240,B3_24,0.023
,,00004.881520,B3_14,0.018
,,00004.882400,B3_22,0.025
,,00004.882480,B3_24,0.023
,,00004.882640,B3_12,0.031
,,00004.884720,B3_24,0.027
,,00004.885360,B3_14,0.055
,,00004.885760,B3_22,0.027
,,00004.888000,B3_14,0.051
,,00004.890560,B3_24,0.026
,,00004.890720,B3_14,0.046
,,00004.892960,B3_22,0.02
,,00004.895120,B3_14,0.023
,,00004.895440,B3_12,0.027
,,00004.897520,B3_14,0.023
,,00004.897680,B3_22,0.024
,,00004.898640,B3_12,0.013
,,00004.898640,B3_24,0.026
,,00004.899840,B3_14,0.039
,,00004.904080,B3_31,0.046
,,00004.904720,B3_14,0.059
,,00004.906080,B3_24,0.019
,,00004.906320,B3_22,0.031
,,00004.906480,B3_31,0.025
,,00004.907440,B3_14,0.021
,,00004.908560,B3_34,0.019
,,00004.909040,B3_22,0.021
,,00004.910880,B3_14,0.054
,,00004.914240,B3_14,0.089
,,00004.914320,B3_12,0.035
,,00004.914960,B3_24,0.027
,,00004.915440,B3_22,0.028
,,00004.916240,B3_31,0.042
,,00004.916720,B3_14,0.061
,,00004.917360,B3_24,0.033
,,00004.918560,B3_22,0.044
,,00004.918800,B3_31,0.024
,,00004.918880,B3_12,0.036
,,00004.919280,B3_14,0.025
,,00004.920960,B3_33,0.022
,,00004.921600,B3_14,0.056
,,00004.922240,B3_12,0.027
,,00004.923760,B3_24,0.026
,,00004.924080,B3_22,0.032
,,00004.924240,B3_14,0.067
,,00004.924480,B3_12,0.029
,,00004.926400,B3_34,0.016
,,00004.927120,B3_12,0.024
,,00004.927680,B3_14,0.02
,,00004.928240,B3_24,0.023
,,00004.928720,B3_22,0.03
,,00004.929920,B3_14,0.059
,,00004.930160,B3_12,0.037
,,00004.931840,B3_31,0.042
,,00004.931920,B3_22,0.048
,,00004.932160,B3_24,0.029
,,00004.933920,B3_14,0.034
,,00004.934400,B3_31,0.024
,,00004.935040,B3_22,0.025
,,00004.936960,B3_14,0.031
,,00004.939280,B3_14,0.033
,,00004.942720,B3_14,0.016
,,00004.945680,B3_14,0.028
,,00004.949200,B3_14,0.028
,,00004.950000,B3_24,0.014
,,00004.956480,B3_31,0.101
,,00004.958720,B3_12,0.024
,,00004.965280,B3_14,0.042
,,00004.970080,B3_14,0.049
,,00004.971840,B3_31,0.079
,,00004.973120,B3_14,0.033
,,00004.974080,B3_22,0.019
,,00004.976480,B3_22,0.03
,,00004.976800,B3_14,0.031
,,00004.979440,B3_22,0.016
,,00004.979520,B3_14,0.033
,,00004.979760,B3_24,0.024
,,00004.980480,B3_12,0.092
,,00004.982320,B3_14,0.04
,,00004.982400,B3_24,0.042
,,00004.982960,B3_22,0.041
,,00004.985360,B3_31,0.057
,,00004.985440,B3_14,0.032
,,00004.985760,B3_22,0.032
,,00004.987120,B3_24,0.041
,,00004.988080,B3_22,0.021
,,00004.988160,B3_14,0.115
,,00004.988240,B3_12,0.018
,,00004.990400,B3_22,0.046
,,00004.990400,B3_24,0.032
,,00004.990640,B3_12,0.074
,,00004.990720,B3_14,0.053
,,00004.993440,B3_24,0.024
,,00004.993520,B3_14,0.099
,,00004.993760,B3_22,0.071
,,00004.994800,B3_12,0.026
,,00004.995280,B3_31,0.04
,,00004.995440,B3_44,0.025
,,00004.995840,B3_14,0.037
,,00004.996080,B3_24,0.034
,,00004.996160,B3_22,0.032
,,00004.997280,B3_12,0.024
,,00004.998160,B3_31,0.02
,,00004.998400,B3_22,0.052
,,00004.998720,B3_14,0.054
,,00004.999840,B3_12,0.028
,,00005.000720,B3_34,0.018
,,00005.001520,B3_24,0.017
,,00005.001600,B3_14,0.051
,,00005.001760,B3_22,0.029
,,00005.003200,B3_12,0.024
,,00005.004480,B3_14,0.044
,,00005.005840,B3_22,0.019
,,00005.005920,B3_31,0.022
,,00005.007520,B3_14,0.037
,,00005.009280,B3_12,0.023
,,00005.009920,B3_14,0.025
,,00005.013520,B3_12,0.014
,,00005.021840,B3_14,0.031
,,00005.041920,B3_42,0.061
,,00005.042480,B3_33,0.019
,,00005.046800,B3_24,0.019
,,00005.049120,B3_24,0.027
,,00005.050080,B3_22,0.021
,,00005.052400,B3_14,0.031
,,00005.055920,B3_14,0.063
,,00005.061360,B3_24,0.04
,,00005.062480,B3_14,0.041
,,00005.062640,B3_31,0.036
,,00005.062800,B3_42,0.17
,,00005.063680,B3_22,0.093
,,00005.063840,B3_24,0.038
,,00005.064960,B3_31,0.07
,,00005.065600,B3_14,0.099
,,00005.066960,B3_22,0.026
,,00005.067280,B3_31,0.024
,,00005.067520,B3_24,0.049
,,00005.067600,B3_42,0.013
,,00005.067920,B3_14,0.075
,,00005.068000,B3_12,0.13
,,00005.069600,B3_31,0.037
,,00005.070320,B3_14,0.046
,,00005.070800,B3_22,0.056
,,00005.070800,B3_24,0.041
,,00005.072400,B3_12,0.024
,,00005.072640,B3_34,0.018
,,00005.073600,B3_14,0.105
,,00005.073680,B3_22,0.034
,,00005.073840,B3_24,0.028
,,00005.074240,B3_31,0.059
,,00005.074960,B3_12,0.044
,,00005.075840,B3_14,0.078
,,00005.076000,B3_33,0.029
,,00005.076000,B3_44,0.028
,,00005.076240,B3_22,0.031
,,00005.076560,B3_24,0.029
,,00005.076960,B3_31,0.02
,,00005.077440,B3_12,0.045
,,00005.078560,B3_14,0.038
,,00005.078560,B3_22,0.046
,,00005.078960,B3_24,0.046
,,00005.079360,B3_34,0.018
,,00005.079840,B3_44,0.021
,,00005.080000,B3_12,0.029
,,00005.080000,B3_31,0.04
,,00005.081120,B3_14,0.053
,,00005.081120,B3_22,0.038
,,00005.081360,B3_24,0.033
,,00005.082480,B3_12,0.033
,,00005.082960,B3_34,0.015
,,00005.084080,B3_14,0.029
,,00005.084480,B3_22,0.028
,,00005.086320,B3_14,0.033
,,00005.088080,B3_22,0.019
,,00005.088160,B3_12,0.018
,,00005.089360,B3_14,0.028
,,00005.092720,B3_14,0.036
,,00005.137840,B3_42,0.045
,,00005.140320,B3_31,0.05
,,00005.140320,B3_42,0.018
,,00005.140880,B3_22,0.024
,,00005.142400,B3_24,0.029
,,00005.142640,B3_14,0.02
,,00005.143280,B3_31,0.019
,,00005.143680,B3_42,0.169
,,00005.145520,B3_14,0.05
,,00005.145680,B3_22,0.05
,,00005.147600,B3_12,0.11
,,00005.148000,B3_31,0.043
,,00005.148080,B3_14,0.062
,,00005.148320,B3_42,0.016
,,00005.148400,B3_22,0.047
,,00005.149840,B3_24,0.033
,,00005.150640,B3_14,0.056
,,00005.151840,B3_31,0.032
,,00005.151840,B3_42,0.017
,,00005.152000,B3_22,0.019
,,00005.152320,B3_24,0.028
,,00005.153120,B3_12,0.035
,,00005.153440,B3_33,0.025
,,00005.153680,B3_14,0.059
,,00005.154320,B3_22,0.034
,,00005.155920,B3_34,0.019
,,00005.156000,B3_14,0.093
,,00005.156960,B3_12,0.025
,,00005.157280,B3_31,0.042
,,00005.157360,B3_22,0.028
,,00005.158240,B3_34,0.019
,,00005.158720,B3_14,0.218
,,00005.159280,B3_12,0.024
,,00005.159920,B3_24,0.027
,,00005.160080,B3_22,0.035
,,00005.160960,B3_14,0.067
,,00005.161920,B3_12,0.017
,,00005.162240,B3_24,0.027
,,00005.162800,B3_22,0.029
,,00005.163440,B3_14,0.101
,,00005.164400,B3_33,0.036
,,00005.164960,B3_24,0.032
,,00005.165280,B3_22,0.028
,,00005.165840,B3_34,0.026
,,00005.166480,B3_12,0.044
,,00005.166480,B3_14,0.082
,,00005.167920,B3_22,0.037
,,00005.168080,B3_34,0.025
,,00005.168240,B3_44,0.019
,,00005.169760,B3_14,0.073
,,00005.169760,B3_24,0.02
,,00005.169840,B3_12,0.018
,,00005.170960,B3_34,0.019
,,00005.171120,B3_22,0.04
,,00005.171200,B3_44,0.018
,,00005.172080,B3_14,0.044
,,00005.172720,B3_12,0.026
,,00005.173760,B3_24,0.026
,,00005.176480,B3_14,0.027
,,00005.219600,B3_31,0.03
,,00005.223120,B3_22,0.03
,,00005.223840,B3_42,0.031
,,00005.229920,B3_14,0.032
,,00005.235120,B3_42,0.04
,,00005.241680,B3_31,0.143
,,00005.241920,B3_22,0.032
,,00005.242000,B3_24,0.026
,,00005.242400,B3_42,0.182
,,00005.244480,B3_22,0.057
,,00005.245680,B3_33,0.026
,,00005.246640,B3_31,0.045
,,00005.246960,B3_22,0.032
,,00005.247600,B3_12,0.133
,,00005.248400,B3_24,0.046
,,00005.248480,B3_14,0.062
,,00005.248560,B3_33,0.022
,,00005.248880,B3_42,0.039
,,00005.249280,B3_22,0.119
,,00005.251120,B3_14,0.03
,,00005.251760,B3_22,0.021
,,00005.252000,B3_12,0.016
,,00005.253760,B3_31,0.04
,,00005.254160,B3_22,0.034
,,00005.254400,B3_14,0.039
,,00005.254560,B3_12,0.036
,,00005.255040,B3_33,0.018
,,00005.255360,B3_24,0.033
,,00005.257520,B3_14,0.276
,,00005.257520,B3_22,0.019
,,00005.258080,B3_12,0.029
,,00005.259920,B3_22,0.047
,,00005.259920,B3_24,0.06
,,00005.260480,B3_12,0.03
,,00005.260560,B3_44,0.02
,,00005.260880,B3_14,0.084
,,00005.262320,B3_24,0.039
,,00005.263360,B3_12,0.034
,,00005.263840,B3_33,0.028
,,00005.264080,B3_14,0.031
,,00005.264480,B3_22,0.038
,,00005.265280,B3_34,0.022
,,00005.265440,B3_24,0.036
,,00005.265920,B3_12,0.028
,,00005.266320,B3_14,0.096
,,00005.267200,B3_33,0.026
,,00005.267360,B3_22,0.051
,,00005.267680,B3_44,0.025
,,00005.267760,B3_24,0.045
,,00005.268720,B3_14,0.038
,,00005.270880,B3_12,0.021
,,00005.270880,B3_24,0.016
,,00005.271280,B3_22,0.027
,,00005.271360,B3_14,0.036
,,00005.274240,B3_14,0.035
,,00005.276560,B3_14,0.03
,,00005.325440,B3_14,0.02
,,00005.328880,B3_22,0.021
,,00005.329360,B3_42,0.045
,,00005.331360,B3_31,0.086
,,00005.331680,B3_42,0.031
,,00005.333280,B3_22,0.018
,,00005.335760,B3_22,0.045
,,00005.335840,B3_42,0.13
,,00005.337280,B3_12,0.11
,,00005.337840,B3_33,0.022
,,00005.338320,B3_31,0.039
,,00005.339840,B3_22,0.074
,,00005.340960,B3_24,0.03
,,00005.341360,B3_12,0.017
,,00005.342720,B3_22,0.052
,,00005.342800,B3_42,0.045
,,00005.343280,B3_24,0.057
,,00005.343360,B3_14,0.041
,,00005.344480,B3_12,0.042
,,00005.344960,B3_22,0.019
,,00005.345120,B3_42,0.025
,,00005.346560,B3_14,0.073
,,00005.347600,B3_22,0.02
,,00005.347760,B3_24,0.053
,,00005.347920,B3_12,0.017
,,00005.349360,B3_14,0.045
,,00005.349840,B3_22,0.027
,,00005.350240,B3_12,0.022
,,00005.351120,B3_24,0.027
,,00005.352080,B3_22,0.026
,,00005.352240,B3_14,0.072
,,00005.352480,B3_12,0.017
,,00005.353920,B3_44,0.024
,,00005.354800,B3_24,0.043
,,00005.355040,B3_14,0.061
,,00005.356000,B3_12,0.019
,,00005.357360,B3_22,0.05
,,00005.357440,B3_14,0.111
,,00005.357440,B3_24,0.031
,,00005.358560,B3_12,0.028
,,00005.359520,B3_44,0.018
,,00005.360800,B3_14,0.051
,,00005.360960,B3_22,0.03
,,00005.361680,B3_24,0.025
,,00005.363840,B3_22,0.025
,,00005.364480,B3_24,0.022
,,00005.364720,B3_14,0.049
,,00005.365200,B3_34,0.015
,,00005.367120,B3_14,0.026
,,00005.368320,B3_22,0.027
,,00005.370800,B3_24,0.024
,,00005.371200,B3_14,0.032
,,00005.374080,B3_14,0.026
,,00005.427760,B3_31,0.042
,,00005.432640,B3_22,0.023
,,00005.441280,B3_42,0.024
,,00005.441440,B3_31,0.036
,,00005.444480,B3_42,0.047
,,00005.445120,B3_22,0.023
,,00005.445200,B3_31,0.103
,,00005.447680,B3_31,0.016
,,00005.449360,B3_22,0.054
,,00005.450320,B3_31,0.033
,,00005.451520,B3_12,0.034
,,00005.452400,B3_22,0.045
,,00005.452640,B3_42,0.164
,,00005.454480,B3_33,0.042
,,00005.454800,B3_12,0.029
,,00005.455200,B3_22,0.096
,,00005.457920,B3_12,0.024
,,00005.458080,B3_22,0.048
,,00005.459440,B3_42,0.055
,,00005.460880,B3_14,0.059
,,00005.461440,B3_12,0.039
,,00005.461840,B3_24,0.027
,,00005.462400,B3_44,0.02
,,00005.463680,B3_14,0.08
,,00005.464640,B3_42,0.031
,,00005.466000,B3_12,0.022
,,00005.466160,B3_14,0.04
,,00005.466320,B3_22,0.023
,,00005.466480,B3_24,0.062
,,00005.468720,B3_12,0.027
,,00005.470080,B3_14,0.071
,,00005.470080,B3_22,0.026
,,00005.470800,B3_24,0.037
,,00005.472640,B3_44,0.016
,,00005.473120,B3_12,0.018
,,00005.473120,B3_24,0.027
,,00005.473440,B3_14,0.123
,,00005.475200,B3_22,0.028
,,00005.475760,B3_12,0.017
,,00005.475840,B3_14,0.228
,,00005.476800,B3_24,0.04
,,00005.478080,B3_12,0.02
,,00005.478080,B3_34,0.019
,,00005.478800,B3_22,0.038
,,00005.478880,B3_44,0.021
,,00005.479200,B3_24,0.026
,,00005.479680,B3_14,0.131
,,00005.482000,B3_12,0.023
,,00005.482240,B3_22,0.025
,,00005.482320,B3_34,0.02
,,00005.482560,B3_24,0.027
,,00005.482720,B3_14,0.068
,,00005.485840,B3_14,0.051
,,00005.488160,B3_24,0.024
,,00005.488400,B3_14,0.037
,,00005.492320,B3_24,0.027
,,00005.494000,B3_14,0.024
,,00005.543680,B3_42,0.035
,,00005.547680,B3_31,0.105
,,00005.548400,B3_22,0.023
,,00005.550400,B3_31,0.029
,,00005.550800,B3_42,0.072
,,00005.550960,B3_22,0.036
,,00005.552800,B3_14,0.027
,,00005.553520,B3_42,0.033
,,00005.554240,B3_31,0.013
,,00005.554400,B3_22,0.043
,,00005.554480,B3_12,0.128
,,00005.556000,B3_33,0.028
,,00005.556160,B3_42,0.019
