Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D24_POSTsiembra_P2_C1_(I),00000.622960,C1_11,0.021
Description,,00001.299520,C1_43,0.042
Maestro Edge (Maestro-091) Settings,,00001.301840,C1_43,0.033
   Original File Time,04/29/2024 12:24:06,00001.304080,C1_43,0.037
   Sampling Frequency,12.5 kHz,00001.318400,C1_43,0.033
   Voltage Scale,-5.484861781483107E-08 V/sample,00001.329120,C1_43,0.019
   Experiment Start Time,04/29/2024 12:18:36,00001.363200,C1_43,0.035
   Referencing Method,Median,00001.367120,C1_11,0.019
   Analog Mode Setting,Neural Spikes,00001.368240,C1_43,0.034
   Plate Type,CytoView MEA 24,00001.372480,C1_12,0.038
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.380720,C1_32,0.031
   Digital High Pass Filter,200 Hz IIR,00001.382080,C1_43,0.052
   Temperature Set Point,37.0 Degrees C,00001.383360,C1_12,0.038
   Current Temperature,37.1 Degrees C,00001.385360,C1_32,0.025
   Heater Power,On,00001.387760,C1_32,0.022
   Legacy Heating Mode,Off,00001.388880,C1_43,0.031
   Barcode Plate Type,TwentyFourWell,00001.392320,C1_32,0.046
   Plate Serial Number,114-3631,00001.392720,C1_21,0.02
   CO2 Conc. Set Point,5.0 %,00001.393600,C1_12,0.035
   Actual CO2 Conc.,5.0 %,00001.393600,C1_43,0.031
   Gas Mixer Status,Regulating,00001.394400,C1_11,0.025
   AxIS Version,3.10.3.6,00001.395040,C1_32,0.1
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00001.396240,C1_43,0.056
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00001.396960,C1_34,0.021
,,00001.397120,C1_21,0.074
Spike Detector Settings,,00001.397120,C1_31,0.072
   Method,Adaptive Threshold Crossing,00001.397760,C1_32,0.033
   Threshold,6,00001.398400,C1_11,0.024
   Threshold Status,Variable,00001.398640,C1_42,0.02
   Threshold Crossing Only,True,00001.398960,C1_43,0.062
   Pre-Spike Duration,0.84 ms,00001.399120,C1_23,0.017
   Post-Spike Duration,2.16 ms,00001.400000,C1_21,0.059
   Coincident Event Filter,Default (Well),00001.400080,C1_31,0.082
   Coincidence Occurrence Threshold,4 Electrodes,00001.400080,C1_32,0.084
   Coincidence Event Window,80 µs,00001.400400,C1_12,0.032
   Allow Sample Overlap,false,00001.400960,C1_11,0.033
   Spike Count Interval,1 s,00001.400960,C1_22,0.019
,,00001.401360,C1_23,0.038
,,00001.401520,C1_34,0.022
,,00001.401520,C1_44,0.015
,,00001.401920,C1_43,0.055
,,00001.402160,C1_24,0.017
,,00001.402160,C1_33,0.036
,,00001.402320,C1_13,0.016
,,00001.402400,C1_21,0.127
,,00001.402640,C1_14,0.075
,,00001.402720,C1_31,0.024
,,00001.403440,C1_11,0.155
,,00001.403520,C1_32,0.276
,,00001.404080,C1_12,0.024
,,00001.404480,C1_43,0.034
,,00001.404880,C1_42,0.025
,,00001.404960,C1_14,0.02
,,00001.405040,C1_23,0.029
,,00001.405120,C1_21,0.094
,,00001.405760,C1_22,0.033
,,00001.405920,C1_11,0.101
,,00001.405920,C1_24,0.022
,,00001.406080,C1_44,0.023
,,00001.406160,C1_34,0.036
,,00001.406320,C1_12,0.048
,,00001.406320,C1_31,0.035
,,00001.406320,C1_33,0.025
,,00001.407120,C1_43,0.052
,,00001.407440,C1_32,0.124
,,00001.407520,C1_21,0.042
,,00001.407760,C1_13,0.023
,,00001.408160,C1_11,0.042
,,00001.408320,C1_14,0.015
,,00001.408640,C1_34,0.043
,,00001.408800,C1_12,0.021
,,00001.408800,C1_24,0.019
,,00001.409680,C1_43,0.028
,,00001.409840,C1_23,0.026
,,00001.410000,C1_31,0.02
