Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D24_POSTsiembra_P2_C3_(IV),00000.350000,C3_13,0.019
Description,,00000.487920,C3_44,0.036
Maestro Edge (Maestro-091) Settings,,00000.628480,C3_32,0.017
   Original File Time,04/29/2024 14:53:19,00000.906480,C3_24,0.022
   Sampling Frequency,12.5 kHz,00000.968640,C3_13,0.02
   Voltage Scale,-5.484861781483107E-08 V/sample,00001.121200,C3_13,0.027
   Experiment Start Time,04/29/2024 14:38:27,00001.126880,C3_13,0.017
   Referencing Method,Median,00001.132880,C3_13,0.024
   Analog Mode Setting,Neural Spikes,00001.138560,C3_24,0.055
   Plate Type,CytoView MEA 24,00001.139680,C3_14,0.016
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.141040,C3_24,0.022
   Digital High Pass Filter,200 Hz IIR,00001.144960,C3_13,0.032
   Temperature Set Point,37.0 Degrees C,00001.145200,C3_24,0.068
   Current Temperature,37.1 Degrees C,00001.146240,C3_14,0.013
   Heater Power,On,00001.147520,C3_24,0.035
   Legacy Heating Mode,Off,00001.149440,C3_44,0.044
   Barcode Plate Type,TwentyFourWell,00001.149920,C3_13,0.017
   Plate Serial Number,114-3631,00001.151120,C3_24,0.052
   CO2 Conc. Set Point,5.0 %,00001.152720,C3_13,0.02
   Actual CO2 Conc.,5.0 %,00001.153920,C3_24,0.047
   Gas Mixer Status,Regulating,00001.155200,C3_13,0.035
   AxIS Version,3.10.3.6,00001.155440,C3_44,0.044
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00001.156240,C3_14,0.017
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00001.156800,C3_24,0.025
,,00001.157440,C3_31,0.039
Spike Detector Settings,,00001.157760,C3_13,0.034
   Method,Adaptive Threshold Crossing,00001.159120,C3_24,0.1
   Threshold,6,00001.159760,C3_44,0.042
   Threshold Status,Variable,00001.159840,C3_14,0.02
   Threshold Crossing Only,True,00001.159920,C3_31,0.034
