Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D25_POSTsiembra_P2_B6_(IV),00000.604800,B6_23,0.021
Description,,00000.639760,B6_31,0.018
Maestro Edge (Maestro-091) Settings,,00000.748000,B6_31,0.019
   Original File Time,04/30/2024 13:48:54,00000.915120,B6_31,0.016
   Sampling Frequency,12.5 kHz,00001.148240,B6_31,0.022
   Voltage Scale,-5.484861781483107E-08 V/sample,00001.383760,B6_31,0.019
   Experiment Start Time,04/30/2024 13:25:47,00001.497760,B6_31,0.021
   Referencing Method,Median,00001.597120,B6_31,0.019
   Analog Mode Setting,Neural Spikes,00001.790080,B6_31,0.018
   Plate Type,CytoView MEA 24,00002.412000,B6_31,0.022
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.429360,B6_34,0.043
   Digital High Pass Filter,200 Hz IIR,00002.434240,B6_41,0.01
   Temperature Set Point,37.0 Degrees C,00002.440880,B6_23,0.021
   Current Temperature,37.0 Degrees C,00002.442240,B6_31,0.019
   Heater Power,On,00002.454080,B6_31,0.018
   Legacy Heating Mode,Off,00002.458560,B6_14,0.059
   Barcode Plate Type,TwentyFourWell,00002.460880,B6_34,0.182
   Plate Serial Number,114-3631,00002.461840,B6_14,0.064
   CO2 Conc. Set Point,5.0 %,00002.463120,B6_34,0.075
   Actual CO2 Conc.,4.9 %,00002.463840,B6_31,0.016
   Gas Mixer Status,Regulating,00002.464400,B6_14,0.039
   AxIS Version,3.10.3.6,00002.464800,B6_23,0.023
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00002.468000,B6_11,0.026
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00002.468400,B6_14,0.03
,,00002.469600,B6_22,0.019
Spike Detector Settings,,00002.470400,B6_34,0.044
   Method,Adaptive Threshold Crossing,00002.471040,B6_23,0.029
   Threshold,6,00002.471200,B6_11,0.041
   Threshold Status,Variable,00002.471360,B6_14,0.064
   Threshold Crossing Only,True,00002.471920,B6_22,0.04
   Pre-Spike Duration,0.84 ms,00002.472720,B6_34,0.044
   Post-Spike Duration,2.16 ms,00002.473520,B6_11,0.036
   Coincident Event Filter,Default (Well),00002.473520,B6_23,0.025
   Coincidence Occurrence Threshold,4 Electrodes,00002.474000,B6_14,0.082
   Coincidence Event Window,80 µs,00002.474640,B6_31,0.018
   Allow Sample Overlap,false,00002.475040,B6_43,0.064
   Spike Count Interval,1 s,00002.475520,B6_34,0.089
,,00002.475600,B6_41,0.014
,,00002.475600,B6_42,0.025
,,00002.476000,B6_11,0.039
,,00002.476160,B6_23,0.04
,,00002.476720,B6_22,0.18
,,00002.476800,B6_14,0.04
,,00002.477120,B6_44,0.269
,,00002.477600,B6_43,0.041
,,00002.478080,B6_31,0.034
,,00002.478400,B6_11,0.037
,,00002.478640,B6_34,0.145
,,00002.479280,B6_23,0.063
,,00002.479360,B6_22,0.223
,,00002.479440,B6_44,0.165
,,00002.479840,B6_43,0.02
,,00002.479920,B6_14,0.114
,,00002.479920,B6_42,0.03
,,00002.480400,B6_41,0.023
,,00002.480480,B6_31,0.032
,,00002.481120,B6_11,0.048
,,00002.481600,B6_22,0.105
,,00002.481680,B6_34,0.074
,,00002.482160,B6_23,0.049
,,00002.482160,B6_43,0.025
,,00002.482240,B6_13,0.023
,,00002.482240,B6_14,0.213
,,00002.482480,B6_44,0.251
,,00002.482720,B6_31,0.027
,,00002.483040,B6_12,0.02
,,00002.483120,B6_41,0.022
,,00002.483520,B6_42,0.026
,,00002.483920,B6_11,0.045
,,00002.484400,B6_43,0.046
,,00002.484640,B6_14,0.227
,,00002.485040,B6_31,0.028
,,00002.485120,B6_23,0.067
,,00002.485200,B6_32,0.016
,,00002.485440,B6_44,0.239
,,00002.485600,B6_22,0.272
,,00002.485600,B6_41,0.024
,,00002.485680,B6_34,0.291
,,00002.486400,B6_42,0.015
,,00002.486720,B6_43,0.26
,,00002.486800,B6_11,0.049
,,00002.487120,B6_24,0.017
,,00002.487280,B6_14,0.108
,,00002.487280,B6_31,0.033
,,00002.488000,B6_44,0.117
,,00002.488640,B6_23,0.07
,,00002.488720,B6_34,0.099
,,00002.488880,B6_22,0.195
,,00002.488960,B6_43,0.143
,,00002.489120,B6_41,0.018
,,00002.489680,B6_24,0.017
,,00002.489920,B6_31,0.026
,,00002.490080,B6_11,0.041
,,00002.490480,B6_14,0.106
,,00002.490560,B6_44,0.083
,,00002.491280,B6_13,0.017
,,00002.491280,B6_34,0.099
,,00002.491440,B6_23,0.048
,,00002.491600,B6_22,0.102
,,00002.492320,B6_41,0.017
,,00002.492400,B6_31,0.03
,,00002.492640,B6_42,0.029
,,00002.492720,B6_14,0.132
,,00002.492800,B6_43,0.137
,,00002.494000,B6_44,0.092
,,00002.494320,B6_23,0.063
,,00002.494400,B6_34,0.113
,,00002.494720,B6_22,0.114
,,00002.494960,B6_41,0.012
,,00002.495040,B6_14,0.062
,,00002.495040,B6_31,0.034
,,00002.495680,B6_42,0.027
,,00002.496000,B6_43,0.139
,,00002.496800,B6_44,0.108
,,00002.496880,B6_34,0.071
,,00002.497120,B6_23,0.04
,,00002.497200,B6_22,0.122
,,00002.497760,B6_14,0.083
,,00002.497840,B6_11,0.042
,,00002.498160,B6_41,0.029
,,00002.498560,B6_31,0.028
,,00002.499280,B6_43,0.078
,,00002.499520,B6_22,0.105
,,00002.499680,B6_23,0.044
,,00002.500080,B6_14,0.037
,,00002.500160,B6_44,0.056
,,00002.500400,B6_34,0.07
,,00002.501200,B6_31,0.028
,,00002.501280,B6_41,0.011
,,00002.501680,B6_43,0.055
,,00002.501920,B6_22,0.041
,,00002.502000,B6_23,0.03
,,00002.502480,B6_14,0.101
,,00002.503040,B6_44,0.113
,,00002.503360,B6_34,0.055
,,00002.504240,B6_22,0.14
,,00002.504400,B6_31,0.019
,,00002.504720,B6_43,0.099
,,00002.505040,B6_41,0.013
,,00002.505440,B6_14,0.048
,,00002.505680,B6_23,0.036
,,00002.506400,B6_44,0.119
,,00002.506640,B6_22,0.085
,,00002.506640,B6_34,0.047
,,00002.506720,B6_11,0.036
,,00002.507120,B6_31,0.023
,,00002.507280,B6_42,0.024
,,00002.508080,B6_41,0.017
,,00002.508160,B6_14,0.07
,,00002.508720,B6_43,0.022
,,00002.508720,B6_44,0.139
,,00002.508800,B6_23,0.029
,,00002.508960,B6_22,0.107
,,00002.509520,B6_31,0.03
,,00002.509680,B6_34,0.06
,,00002.509760,B6_11,0.026
,,00002.510720,B6_14,0.065
,,00002.511040,B6_43,0.04
,,00002.511280,B6_23,0.064
,,00002.511360,B6_44,0.13
,,00002.511920,B6_34,0.101
,,00002.512160,B6_22,0.149
,,00002.512640,B6_11,0.048
,,00002.512880,B6_31,0.021
,,00002.513120,B6_14,0.065
,,00002.513600,B6_43,0.03
,,00002.513920,B6_23,0.033
,,00002.514000,B6_42,0.022
,,00002.514000,B6_44,0.137
,,00002.514240,B6_41,0.019
,,00002.514880,B6_34,0.051
,,00002.515360,B6_31,0.028
,,00002.515520,B6_14,0.045
,,00002.515520,B6_22,0.096
,,00002.516080,B6_24,0.018
,,00002.516240,B6_23,0.026
,,00002.516560,B6_43,0.092
,,00002.516960,B6_11,0.03
,,00002.516960,B6_44,0.112
,,00002.517440,B6_34,0.065
,,00002.518080,B6_14,0.091
,,00002.518160,B6_31,0.038
,,00002.518240,B6_22,0.087
