Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D25_POSTsiembra_P2_D6_(I),00000.004720,D6_22,0.121
Description,,00000.006480,D6_12,0.034
Maestro Edge (Maestro-091) Settings,,00000.006960,D6_13,0.022
   Original File Time,04/30/2024 11:31:28,00000.015600,D6_22,0.107
   Sampling Frequency,12.5 kHz,00000.021360,D6_22,0.108
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.022240,D6_31,0.026
   Experiment Start Time,04/30/2024 10:43:40,00000.025040,D6_12,0.032
   Referencing Method,Median,00000.030400,D6_22,0.107
   Analog Mode Setting,Neural Spikes,00000.045760,D6_22,0.101
   Plate Type,CytoView MEA 24,00000.110320,D6_31,0.027
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.127200,D6_44,0.021
   Digital High Pass Filter,200 Hz IIR,00000.129040,D6_31,0.015
   Temperature Set Point,37.0 Degrees C,00000.129440,D6_13,0.027
   Current Temperature,37.0 Degrees C,00000.130240,D6_43,0.039
   Heater Power,On,00000.143760,D6_31,0.023
   Legacy Heating Mode,Off,00000.190000,D6_43,0.033
   Barcode Plate Type,TwentyFourWell,00000.203200,D6_43,0.036
   Plate Serial Number,114-3631,00000.236320,D6_31,0.097
   CO2 Conc. Set Point,5.0 %,00000.254320,D6_31,0.026
   Actual CO2 Conc.,5.0 %,00000.274560,D6_22,0.111
   Gas Mixer Status,Regulating,00000.277280,D6_12,0.039
   AxIS Version,3.10.3.6,00000.280560,D6_22,0.106
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.290800,D6_22,0.105
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.331920,D6_31,0.034
,,00000.338160,D6_43,0.022
Spike Detector Settings,,00000.338640,D6_44,0.023
   Method,Adaptive Threshold Crossing,00000.349040,D6_12,0.035
   Threshold,6,00000.349520,D6_13,0.022
   Threshold Status,Variable,00000.396720,D6_13,0.025
   Threshold Crossing Only,True,00000.418880,D6_31,0.031
   Pre-Spike Duration,0.84 ms,00000.428480,D6_12,0.035
   Post-Spike Duration,2.16 ms,00000.477600,D6_31,0.029
   Coincident Event Filter,Default (Well),00000.545120,D6_44,0.021
   Coincidence Occurrence Threshold,4 Electrodes,00000.552480,D6_31,0.027
   Coincidence Event Window,80 µs,00000.578560,D6_43,0.034
   Allow Sample Overlap,false,00000.620560,D6_12,0.046
   Spike Count Interval,1 s,00000.621200,D6_13,0.017
,,00000.638240,D6_22,0.113
,,00000.641680,D6_12,0.036
,,00000.642080,D6_31,0.022
,,00000.642160,D6_13,0.025
,,00000.645040,D6_22,0.113
,,00000.650160,D6_22,0.112
,,00000.660160,D6_32,0.027
,,00000.661760,D6_31,0.018
,,00000.664000,D6_22,0.11
,,00000.665040,D6_12,0.035
,,00000.665520,D6_13,0.019
,,00000.666720,D6_32,0.031
,,00000.675840,D6_32,0.024
,,00000.683920,D6_22,0.103
,,00000.684080,D6_44,0.025
,,00000.691680,D6_32,0.028
,,00000.693360,D6_31,0.086
,,00000.696240,D6_43,0.03
,,00000.718480,D6_13,0.023
,,00000.721200,D6_31,0.031
,,00000.805840,D6_31,0.027
,,00000.824960,D6_12,0.05
,,00000.826320,D6_13,0.017
,,00000.861200,D6_43,0.038
,,00000.877440,D6_22,0.11
,,00000.878640,D6_12,0.03
,,00000.884000,D6_22,0.114
,,00000.884960,D6_31,0.03
,,00000.891600,D6_22,0.104
,,00000.896000,D6_12,0.038
,,00000.896480,D6_13,0.023
,,00000.898880,D6_22,0.112
,,00000.910960,D6_32,0.029
,,00000.913440,D6_44,0.023
,,00000.917920,D6_32,0.047
,,00000.919440,D6_31,0.041
,,00000.924080,D6_22,0.105
,,00000.937680,D6_32,0.032
,,00000.949680,D6_31,0.102
,,00000.951840,D6_32,0.029
,,00000.972160,D6_31,0.03
,,00000.996080,D6_43,0.038
,,00001.023600,D6_13,0.035
,,00001.030880,D6_12,0.044
,,00001.031440,D6_13,0.023
,,00001.053200,D6_31,0.028
,,00001.061520,D6_12,0.035
,,00001.062000,D6_13,0.023
,,00001.086960,D6_22,0.115
,,00001.089120,D6_12,0.037
,,00001.089120,D6_32,0.032
,,00001.089680,D6_13,0.023
,,00001.095760,D6_22,0.111
,,00001.100960,D6_22,0.109
,,00001.103920,D6_44,0.025
,,00001.105920,D6_22,0.111
,,00001.129200,D6_31,0.029
,,00001.135120,D6_22,0.109
,,00001.135760,D6_12,0.039
,,00001.143120,D6_12,0.058
,,00001.143200,D6_32,0.025
,,00001.152000,D6_13,0.025
,,00001.179600,D6_43,0.035
,,00001.194560,D6_32,0.024
,,00001.226320,D6_12,0.065
,,00001.234720,D6_31,0.026
,,00001.261760,D6_13,0.02
,,00001.302080,D6_12,0.04
,,00001.302640,D6_13,0.019
,,00001.304800,D6_43,0.023
,,00001.305120,D6_44,0.022
,,00001.324240,D6_12,0.06
,,00001.328560,D6_31,0.026
,,00001.333520,D6_22,0.116
,,00001.335120,D6_12,0.023
,,00001.335360,D6_13,0.021
,,00001.341920,D6_22,0.113
,,00001.350640,D6_22,0.103
,,00001.358400,D6_12,0.039
,,00001.375120,D6_43,0.035
,,00001.385440,D6_22,0.108
,,00001.410880,D6_12,0.037
,,00001.411440,D6_13,0.026
,,00001.432480,D6_12,0.058
,,00001.436560,D6_31,0.029
,,00001.484240,D6_43,0.039
,,00001.494160,D6_43,0.037
,,00001.505520,D6_22,0.02
,,00001.508240,D6_12,0.029
,,00001.508560,D6_13,0.02
,,00001.538160,D6_44,0.022
,,00001.595920,D6_31,0.035
,,00001.675440,D6_13,0.024
,,00001.675600,D6_31,0.029
,,00001.678160,D6_22,0.116
,,00001.679440,D6_12,0.041
,,00001.684800,D6_22,0.12
,,00001.695040,D6_22,0.104
,,00001.710400,D6_22,0.107
,,00001.717200,D6_12,0.025
,,00001.717440,D6_13,0.018
,,00001.758400,D6_31,0.031
,,00001.785440,D6_44,0.023
,,00001.794560,D6_43,0.035
,,00001.815600,D6_32,0.041
,,00001.822400,D6_31,0.032
,,00001.838480,D6_32,0.032
,,00001.853600,D6_32,0.019
,,00001.878640,D6_13,0.027
,,00001.883680,D6_31,0.031
,,00001.913200,D6_43,0.038
,,00001.927200,D6_22,0.116
,,00001.929120,D6_13,0.018
,,00001.936960,D6_22,0.113
,,00001.942000,D6_22,0.117
,,00001.946160,D6_22,0.117
,,00001.946800,D6_12,0.032
,,00001.947280,D6_13,0.022
,,00001.951200,D6_43,0.036
,,00001.955920,D6_43,0.019
,,00001.956160,D6_44,0.02
,,00001.963760,D6_43,0.038
,,00001.964640,D6_31,0.028
,,00001.965280,D6_22,0.113
,,00002.055120,D6_31,0.026
,,00002.067440,D6_13,0.029
,,00002.153120,D6_31,0.032
,,00002.159520,D6_43,0.022
,,00002.159840,D6_44,0.024
,,00002.228640,D6_43,0.031
,,00002.239680,D6_31,0.033
,,00002.246160,D6_22,0.11
,,00002.247360,D6_12,0.031
,,00002.258400,D6_22,0.109
,,00002.260320,D6_12,0.032
,,00002.260800,D6_13,0.021
,,00002.261120,D6_32,0.027
,,00002.264160,D6_22,0.111
,,00002.271920,D6_32,0.034
,,00002.280960,D6_22,0.103
,,00002.288080,D6_32,0.028
,,00002.302160,D6_32,0.019
,,00002.305040,D6_43,0.03
,,00002.314480,D6_44,0.021
,,00002.318240,D6_31,0.029
,,00002.327360,D6_31,0.053
,,00002.413120,D6_31,0.034
,,00002.472640,D6_31,0.031
,,00002.504480,D6_13,0.027
,,00002.529360,D6_31,0.032
,,00002.547360,D6_43,0.023
,,00002.553360,D6_22,0.117
,,00002.554960,D6_12,0.028
,,00002.559920,D6_22,0.118
,,00002.561600,D6_43,0.02
,,00002.561840,D6_44,0.021
,,00002.565040,D6_22,0.113
,,00002.571280,D6_22,0.106
,,00002.588720,D6_22,0.105
,,00002.595280,D6_12,0.03
,,00002.595520,D6_13,0.02
,,00002.620400,D6_22,0.109
,,00002.646480,D6_31,0.029
,,00002.658800,D6_32,0.041
,,00002.690160,D6_32,0.034
,,00002.692000,D6_31,0.098
,,00002.692960,D6_43,0.032
,,00002.706000,D6_12,0.042
,,00002.706560,D6_13,0.02
,,00002.722720,D6_31,0.031
,,00002.770960,D6_44,0.023
,,00002.816720,D6_31,0.029
,,00002.878720,D6_31,0.032
,,00002.921600,D6_22,0.109
,,00002.923200,D6_12,0.024
,,00002.928400,D6_22,0.117
,,00002.937280,D6_22,0.111
,,00002.943040,D6_43,0.033
,,00002.953600,D6_22,0.103
,,00002.999840,D6_13,0.026
,,00003.005920,D6_44,0.024
,,00003.043040,D6_31,0.029
,,00003.052880,D6_31,0.033
,,00003.060960,D6_32,0.026
,,00003.066480,D6_43,0.03
,,00003.068240,D6_32,0.037
,,00003.070080,D6_31,0.1
,,00003.081680,D6_43,0.04
,,00003.093520,D6_43,0.037
,,00003.135680,D6_31,0.033
,,00003.145280,D6_13,0.021
,,00003.194800,D6_31,0.032
,,00003.201840,D6_12,0.041
,,00003.202400,D6_13,0.018
,,00003.212160,D6_22,0.105
,,00003.218480,D6_22,0.117
,,00003.219280,D6_12,0.036
,,00003.223280,D6_22,0.109
,,00003.226720,D6_44,0.025
,,00003.228320,D6_22,0.104
,,00003.247760,D6_22,0.116
,,00003.251920,D6_13,0.023
,,00003.302960,D6_12,0.055
,,00003.303520,D6_13,0.019
,,00003.334640,D6_31,0.034
,,00003.405680,D6_31,0.027
,,00003.436080,D6_43,0.033
,,00003.460480,D6_32,0.045
,,00003.481520,D6_32,0.033
,,00003.482720,D6_31,0.094
,,00003.488240,D6_43,0.021
,,00003.488480,D6_44,0.022
,,00003.490960,D6_32,0.027
,,00003.493840,D6_43,0.022
,,00003.506640,D6_22,0.115
,,00003.508320,D6_12,0.041
,,00003.512880,D6_31,0.03
,,00003.518080,D6_22,0.116
,,00003.519680,D6_12,0.04
,,00003.520160,D6_13,0.025
,,00003.525600,D6_22,0.11
,,00003.543360,D6_22,0.108
,,00003.544240,D6_12,0.037
,,00003.589680,D6_31,0.03
,,00003.666560,D6_31,0.03
,,00003.710640,D6_12,0.039
,,00003.712800,D6_13,0.025
,,00003.716160,D6_23,0.026
,,00003.720480,D6_43,0.025
,,00003.746000,D6_31,0.029
,,00003.781840,D6_22,0.115
,,00003.783680,D6_12,0.028
,,00003.784160,D6_13,0.026
,,00003.788160,D6_22,0.101
,,00003.796880,D6_43,0.028
,,00003.797360,D6_44,0.025
,,00003.801280,D6_22,0.104
,,00003.812160,D6_43,0.037
,,00003.821760,D6_12,0.034
,,00003.821920,D6_22,0.114
,,00003.822240,D6_13,0.027
,,00003.823760,D6_31,0.031
,,00003.854880,D6_13,0.022
,,00003.893920,D6_31,0.023
,,00003.911120,D6_31,0.032
,,00003.930320,D6_32,0.023
,,00003.943600,D6_31,0.099
,,00003.949920,D6_43,0.04
,,00003.963920,D6_32,0.041
,,00003.976400,D6_43,0.036
,,00003.986400,D6_44,0.102
,,00003.987040,D6_43,0.039
,,00003.988720,D6_44,0.015
,,00003.995440,D6_43,0.019
,,00003.995760,D6_44,0.019
,,00004.022800,D6_12,0.039
,,00004.036320,D6_22,0.111
,,00004.038720,D6_12,0.035
,,00004.039200,D6_13,0.02
,,00004.043120,D6_22,0.114
,,00004.051280,D6_22,0.108
,,00004.055520,D6_31,0.028
,,00004.056880,D6_44,0.114
,,00004.057120,D6_43,0.025
,,00004.064240,D6_13,0.024
,,00004.073920,D6_22,0.116
,,00004.113760,D6_44,0.02
,,00004.115440,D6_31,0.032
,,00004.153280,D6_23,0.022
,,00004.175520,D6_43,0.036
,,00004.179120,D6_23,0.029
,,00004.190800,D6_31,0.031
,,00004.191440,D6_44,0.022
,,00004.200800,D6_31,0.036
,,00004.203360,D6_41,0.015
