Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D25_POSTsiembra_P2_D6_(IV),00000.005360,D6_31,0.026
Description,,00000.019120,D6_43,0.031
Maestro Edge (Maestro-091) Settings,,00000.022640,D6_32,0.023
   Original File Time,04/30/2024 14:16:14,00000.064080,D6_31,0.03
   Sampling Frequency,12.5 kHz,00000.072560,D6_22,0.088
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.074160,D6_13,0.021
   Experiment Start Time,04/30/2024 13:25:47,00000.094960,D6_22,0.1
   Referencing Method,Median,00000.116480,D6_22,0.102
   Analog Mode Setting,Neural Spikes,00000.116560,D6_44,0.02
   Plate Type,CytoView MEA 24,00000.117200,D6_12,0.034
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.117360,D6_31,0.029
   Digital High Pass Filter,200 Hz IIR,00000.117680,D6_13,0.018
   Temperature Set Point,37.0 Degrees C,00000.150960,D6_13,0.029
   Current Temperature,37.0 Degrees C,00000.154400,D6_13,0.024
   Heater Power,On,00000.174400,D6_21,0.016
   Legacy Heating Mode,Off,00000.174880,D6_31,0.023
   Barcode Plate Type,TwentyFourWell,00000.229680,D6_43,0.028
   Plate Serial Number,114-3631,00000.234400,D6_31,0.028
   CO2 Conc. Set Point,5.0 %,00000.258800,D6_12,0.034
   Actual CO2 Conc.,5.0 %,00000.263680,D6_43,0.024
   Gas Mixer Status,Regulating,00000.264000,D6_44,0.022
   AxIS Version,3.10.3.6,00000.278560,D6_31,0.027
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.281440,D6_22,0.091
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.283360,D6_12,0.029
,,00000.283840,D6_13,0.017
Spike Detector Settings,,00000.289360,D6_22,0.096
   Method,Adaptive Threshold Crossing,00000.296720,D6_22,0.043
   Threshold,6,00000.328400,D6_31,0.095
   Threshold Status,Variable,00000.332800,D6_43,0.022
   Threshold Crossing Only,True,00000.336240,D6_32,0.03
   Pre-Spike Duration,0.84 ms,00000.347760,D6_31,0.025
   Post-Spike Duration,2.16 ms,00000.362880,D6_43,0.029
   Coincident Event Filter,Default (Well),00000.365280,D6_12,0.021
   Coincidence Occurrence Threshold,4 Electrodes,00000.365520,D6_13,0.019
   Coincidence Event Window,80 µs,00000.398560,D6_44,0.019
   Allow Sample Overlap,false,00000.414480,D6_31,0.031
   Spike Count Interval,1 s,00000.418320,D6_12,0.089
,,00000.423920,D6_13,0.026
,,00000.427840,D6_43,0.028
,,00000.440080,D6_13,0.019
,,00000.449840,D6_44,0.019
,,00000.456000,D6_43,0.023
,,00000.456240,D6_44,0.024
,,00000.456480,D6_12,0.044
,,00000.456720,D6_31,0.027
,,00000.456880,D6_22,0.079
,,00000.457440,D6_32,0.036
,,00000.457840,D6_13,0.029
,,00000.458880,D6_12,0.04
,,00000.460560,D6_22,0.121
,,00000.460640,D6_14,0.023
,,00000.461200,D6_44,0.02
,,00000.462160,D6_21,0.026
,,00000.462880,D6_32,0.33
,,00000.463840,D6_44,0.022
,,00000.463920,D6_31,0.084
,,00000.464000,D6_12,0.03
,,00000.464400,D6_22,0.086
,,00000.464400,D6_43,0.034
,,00000.466000,D6_14,0.022
,,00000.466480,D6_44,0.053
,,00000.467040,D6_12,0.049
,,00000.468240,D6_43,0.025
,,00000.468560,D6_32,0.033
,,00000.468800,D6_22,0.102
,,00000.469200,D6_14,0.016
,,00000.469280,D6_12,0.059
,,00000.469360,D6_44,0.099
,,00000.469680,D6_13,0.027
,,00000.470960,D6_32,0.067
,,00000.471120,D6_31,0.022
,,00000.471840,D6_34,0.04
,,00000.471840,D6_44,0.088
,,00000.471920,D6_22,0.026
,,00000.472960,D6_43,0.052
,,00000.473200,D6_32,0.024
,,00000.473360,D6_31,0.033
,,00000.473440,D6_41,0.01
,,00000.473920,D6_12,0.048
,,00000.474000,D6_13,0.032
,,00000.474480,D6_34,0.038
,,00000.475360,D6_43,0.031
,,00000.475600,D6_22,0.068
,,00000.475680,D6_32,0.057
,,00000.475760,D6_31,0.068
,,00000.476400,D6_13,0.071
,,00000.476480,D6_23,0.027
,,00000.476720,D6_41,0.019
,,00000.477120,D6_44,0.098
,,00000.477440,D6_12,0.068
,,00000.477440,D6_34,0.038
,,00000.477600,D6_14,0.033
,,00000.477840,D6_43,0.042
,,00000.478160,D6_31,0.12
,,00000.478160,D6_32,0.032
,,00000.478400,D6_22,0.18
,,00000.479120,D6_13,0.037
,,00000.479120,D6_41,0.022
,,00000.479600,D6_44,0.308
,,00000.479840,D6_12,0.081
,,00000.480320,D6_23,0.032
,,00000.480480,D6_14,0.025
,,00000.480480,D6_32,0.077
,,00000.480480,D6_34,0.041
,,00000.481040,D6_22,0.365
,,00000.481040,D6_31,0.089
,,00000.481600,D6_41,0.042
,,00000.481760,D6_43,0.048
,,00000.481840,D6_13,0.053
,,00000.482000,D6_44,0.237
,,00000.482720,D6_34,0.051
,,00000.482800,D6_14,0.017
,,00000.482880,D6_32,0.058
,,00000.483360,D6_31,0.086
,,00000.483440,D6_12,0.131
,,00000.483440,D6_22,0.353
,,00000.484080,D6_13,0.044
,,00000.484320,D6_43,0.064
,,00000.484400,D6_41,0.029
,,00000.484640,D6_23,0.046
,,00000.484640,D6_44,0.173
,,00000.484960,D6_34,0.024
,,00000.485280,D6_32,0.365
,,00000.485760,D6_31,0.088
,,00000.485840,D6_12,0.067
,,00000.486240,D6_33,0.055
,,00000.486320,D6_13,0.028
,,00000.486320,D6_14,0.023
,,00000.486720,D6_22,0.132
,,00000.486720,D6_43,0.047
,,00000.486880,D6_44,0.052
,,00000.487040,D6_41,0.013
,,00000.487040,D6_42,0.025
,,00000.487360,D6_23,0.042
,,00000.487600,D6_32,0.124
,,00000.488080,D6_12,0.049
,,00000.488240,D6_31,0.109
,,00000.488800,D6_13,0.023
,,00000.488960,D6_22,0.086
,,00000.489040,D6_43,0.049
,,00000.489120,D6_44,0.087
,,00000.489280,D6_34,0.033
,,00000.489280,D6_41,0.022
,,00000.490000,D6_14,0.018
,,00000.490640,D6_32,0.043
,,00000.490800,D6_23,0.039
,,00000.490800,D6_31,0.115
,,00000.491120,D6_12,0.047
,,00000.491360,D6_42,0.024
,,00000.491520,D6_22,0.154
,,00000.491600,D6_13,0.075
,,00000.491600,D6_34,0.018
,,00000.491680,D6_43,0.059
,,00000.491920,D6_41,0.031
,,00000.491920,D6_44,0.11
,,00000.492640,D6_14,0.031
,,00000.492640,D6_33,0.054
,,00000.493040,D6_32,0.049
,,00000.493200,D6_31,0.064
,,00000.493440,D6_23,0.023
,,00000.493920,D6_34,0.033
,,00000.494000,D6_12,0.034
,,00000.494240,D6_44,0.13
,,00000.494480,D6_13,0.04
,,00000.494480,D6_41,0.032
,,00000.495360,D6_32,0.074
,,00000.495680,D6_22,0.146
,,00000.495840,D6_31,0.064
,,00000.495840,D6_43,0.056
,,00000.496080,D6_23,0.045
,,00000.496400,D6_33,0.066
,,00000.496400,D6_42,0.016
,,00000.496800,D6_34,0.021
,,00000.496880,D6_41,0.04
,,00000.496960,D6_44,0.066
,,00000.497120,D6_14,0.032
,,00000.497600,D6_12,0.05
,,00000.497680,D6_13,0.024
,,00000.497920,D6_32,0.071
,,00000.498000,D6_22,0.048
,,00000.498240,D6_31,0.101
,,00000.499200,D6_33,0.051
,,00000.499360,D6_43,0.079
,,00000.499520,D6_23,0.025
,,00000.499760,D6_44,0.231
,,00000.499840,D6_12,0.028
,,00000.499840,D6_21,0.023
,,00000.499840,D6_41,0.009
,,00000.500240,D6_22,0.025
,,00000.500240,D6_32,0.051
,,00000.500240,D6_34,0.027
,,00000.501120,D6_13,0.027
,,00000.501120,D6_31,0.033
,,00000.501280,D6_14,0.025
,,00000.502000,D6_44,0.07
,,00000.502240,D6_12,0.033
,,00000.502480,D6_32,0.028
,,00000.502560,D6_43,0.027
,,00000.502640,D6_34,0.032
,,00000.503440,D6_23,0.04
,,00000.503760,D6_13,0.079
,,00000.503760,D6_41,0.017
,,00000.504160,D6_33,0.06
,,00000.504480,D6_22,0.059
,,00000.504640,D6_14,0.012
,,00000.504720,D6_31,0.048
,,00000.505200,D6_32,0.162
,,00000.506000,D6_44,0.064
,,00000.506160,D6_43,0.029
,,00000.506320,D6_13,0.026
,,00000.506560,D6_12,0.036
,,00000.506640,D6_33,0.018
,,00000.506960,D6_14,0.018
,,00000.507120,D6_22,0.269
,,00000.507120,D6_31,0.066
,,00000.507840,D6_32,0.023
,,00000.508000,D6_34,0.027
,,00000.508240,D6_44,0.041
,,00000.508640,D6_43,0.042
,,00000.509520,D6_31,0.029
,,00000.509840,D6_22,0.062
,,00000.510080,D6_32,0.03
,,00000.510800,D6_33,0.03
,,00000.511200,D6_14,0.024
,,00000.511280,D6_12,0.055
,,00000.511760,D6_43,0.05
,,00000.511760,D6_44,0.043
,,00000.512400,D6_31,0.036
,,00000.513200,D6_22,0.192
,,00000.513280,D6_32,0.023
,,00000.514080,D6_34,0.019
,,00000.514080,D6_44,0.036
,,00000.514400,D6_43,0.025
,,00000.516400,D6_14,0.025
,,00000.516400,D6_32,0.049
,,00000.516400,D6_34,0.019
