Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P1_A1_100msec,00000.347600,A1_11,0.016
Description,,00001.640320,A1_11,0.013
Maestro Edge (Maestro-091) Settings,,00002.581600,A1_11,0.012
   Original File Time,06/07/2024 11:33:35,00003.063440,A1_24,0.029
   Sampling Frequency,12.5 kHz,00003.067520,A1_24,0.021
   Voltage Scale,-5.484861781483107E-08 V/sample,00003.070960,A1_24,0.017
   Experiment Start Time,06/07/2024 10:30:31,00003.071440,A1_33,0.048
   Referencing Method,Median,00003.071600,A1_44,0.018
   Analog Mode Setting,Neural Spikes,00003.074560,A1_33,0.014
   Plate Type,CytoView MEA 24,00003.074880,A1_44,0.027
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.075280,A1_34,0.015
   Digital High Pass Filter,200 Hz IIR,00003.075600,A1_24,0.034
   Temperature Set Point,37.0 Degrees C,00003.075680,A1_31,0.019
   Current Temperature,37.0 Degrees C,00003.075760,A1_23,0.022
   Heater Power,On,00003.077120,A1_22,0.021
   Legacy Heating Mode,Off,00003.077200,A1_33,0.073
   Barcode Plate Type,TwentyFourWell,00003.077360,A1_44,0.022
   Plate Serial Number,114-0350,00003.077520,A1_13,0.02
   CO2 Conc. Set Point,5.0 %,00003.077600,A1_14,0.013
   Actual CO2 Conc.,5.0 %,00003.077840,A1_24,0.021
   Gas Mixer Status,Regulating,00003.078240,A1_12,0.027
   AxIS Version,3.10.3.6,00003.079120,A1_23,0.044
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00003.079120,A1_43,0.018
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00003.079200,A1_34,0.03
,,00003.079360,A1_22,0.017
Spike Detector Settings,,00003.079760,A1_44,0.022
   Method,Adaptive Threshold Crossing,00003.079920,A1_31,0.043
   Threshold,6,00003.080000,A1_33,0.089
   Threshold Status,Variable,00003.080240,A1_24,0.043
   Threshold Crossing Only,True,00003.080480,A1_12,0.071
   Pre-Spike Duration,0.84 ms,00003.081120,A1_13,0.023
   Post-Spike Duration,2.16 ms,00003.081200,A1_11,0.028
   Coincident Event Filter,Default (Well),00003.081680,A1_14,0.022
   Coincidence Occurrence Threshold,4 Electrodes,00003.081920,A1_22,0.037
   Coincidence Event Window,80 µs,00003.081920,A1_34,0.018
   Allow Sample Overlap,false,00003.081920,A1_43,0.021
   Spike Count Interval,1 s,00003.082240,A1_32,0.023
,,00003.082480,A1_33,0.024
,,00003.082560,A1_23,0.057
,,00003.082720,A1_21,0.023
,,00003.082800,A1_31,0.049
,,00003.083040,A1_44,0.023
,,00003.083200,A1_24,0.033
,,00003.083360,A1_12,0.034
,,00003.083760,A1_13,0.035
,,00003.083840,A1_11,0.052
,,00003.083840,A1_41,0.013
,,00003.084080,A1_42,0.015
,,00003.084240,A1_22,0.059
,,00003.084720,A1_34,0.024
,,00003.085120,A1_33,0.048
,,00003.085200,A1_31,0.062
,,00003.085520,A1_44,0.025
,,00003.085600,A1_23,0.026
,,00003.085760,A1_12,0.076
,,00003.085760,A1_24,0.07
,,00003.086000,A1_21,0.024
,,00003.086080,A1_11,0.074
,,00003.086160,A1_43,0.03
,,00003.086240,A1_32,0.019
,,00003.086320,A1_41,0.015
,,00003.086640,A1_22,0.047
,,00003.086880,A1_13,0.044
,,00003.087120,A1_14,0.023
,,00003.087680,A1_31,0.06
,,00003.088000,A1_44,0.03
,,00003.088080,A1_34,0.028
,,00003.088160,A1_12,0.053
,,00003.088160,A1_33,0.04
,,00003.088400,A1_11,0.057
,,00003.088720,A1_41,0.013
,,00003.088880,A1_21,0.042
,,00003.088960,A1_43,0.021
,,00003.089040,A1_24,0.036
,,00003.089200,A1_23,0.036
,,00003.089280,A1_22,0.059
,,00003.089440,A1_13,0.033
,,00003.089600,A1_14,0.031
,,00003.090000,A1_32,0.018
,,00003.090320,A1_31,0.053
,,00003.090480,A1_42,0.024
,,00003.090560,A1_33,0.028
,,00003.090720,A1_12,0.051
,,00003.090880,A1_11,0.019
,,00003.090880,A1_34,0.023
,,00003.091040,A1_41,0.015
,,00003.091440,A1_43,0.03
,,00003.091520,A1_21,0.013
,,00003.091520,A1_44,0.031
,,00003.091600,A1_22,0.038
,,00003.091680,A1_23,0.082
,,00003.091840,A1_13,0.05
,,00003.092080,A1_24,0.035
,,00003.093040,A1_31,0.044
,,00003.093280,A1_33,0.021
,,00003.093360,A1_12,0.05
,,00003.093360,A1_41,0.014
,,00003.093520,A1_11,0.029
,,00003.093840,A1_22,0.037
,,00003.093920,A1_34,0.027
,,00003.093920,A1_44,0.019
,,00003.094160,A1_21,0.02
,,00003.094320,A1_43,0.015
,,00003.094800,A1_13,0.051
,,00003.094800,A1_23,0.039
,,00003.095120,A1_24,0.04
,,00003.095680,A1_31,0.074
,,00003.096160,A1_12,0.056
,,00003.096240,A1_22,0.052
,,00003.096480,A1_11,0.043
,,00003.096480,A1_14,0.022
,,00003.096560,A1_34,0.026
,,00003.096640,A1_44,0.022
,,00003.097200,A1_21,0.012
,,00003.097200,A1_23,0.054
,,00003.097440,A1_24,0.045
,,00003.097600,A1_33,0.02
,,00003.097760,A1_13,0.045
,,00003.097840,A1_41,0.017
,,00003.098400,A1_31,0.038
,,00003.098560,A1_12,0.05
,,00003.098720,A1_11,0.042
,,00003.098960,A1_43,0.01
,,00003.099040,A1_22,0.031
,,00003.099360,A1_14,0.019
,,00003.099520,A1_34,0.024
,,00003.099920,A1_24,0.039
,,00003.100000,A1_33,0.017
,,00003.100080,A1_44,0.042
,,00003.100160,A1_23,0.046
,,00003.100880,A1_12,0.036
,,00003.101360,A1_43,0.014
,,00003.101440,A1_22,0.022
,,00003.101520,A1_11,0.033
,,00003.101840,A1_13,0.03
,,00003.102000,A1_31,0.044
,,00003.102080,A1_34,0.027
,,00003.102240,A1_41,0.018
,,00003.102800,A1_24,0.032
,,00003.103040,A1_23,0.021
,,00003.103280,A1_44,0.021
