Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P1_B2_100msec,00000.319040,B2_14,0.082
Description,,00000.320720,B2_13,0.046
Maestro Edge (Maestro-091) Settings,,00000.323120,B2_13,0.023
   Original File Time,06/07/2024 10:39:11,00000.325680,B2_13,0.02
   Sampling Frequency,12.5 kHz,00000.329040,B2_13,0.031
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.329120,B2_32,0.029
   Experiment Start Time,06/07/2024 10:30:31,00000.329280,B2_24,0.041
   Referencing Method,Median,00000.333280,B2_14,0.075
   Analog Mode Setting,Neural Spikes,00000.334160,B2_13,0.021
   Plate Type,CytoView MEA 24,00000.339120,B2_24,0.036
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.339200,B2_43,0.03
   Digital High Pass Filter,200 Hz IIR,00000.339280,B2_22,0.02
   Temperature Set Point,37.0 Degrees C,00000.339680,B2_13,0.031
   Current Temperature,37.2 Degrees C,00000.341840,B2_14,0.071
   Heater Power,On,00000.342240,B2_13,0.036
   Legacy Heating Mode,Off,00000.342480,B2_22,0.032
   Barcode Plate Type,TwentyFourWell,00000.343360,B2_32,0.027
   Plate Serial Number,114-0350,00000.347520,B2_13,0.034
   CO2 Conc. Set Point,5.0 %,00000.348080,B2_21,0.034
   Actual CO2 Conc.,4.9 %,00000.349760,B2_24,0.028
   Gas Mixer Status,Regulating,00000.350000,B2_14,0.041
   AxIS Version,3.10.3.6,00000.350560,B2_22,0.028
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.353680,B2_43,0.025
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.354400,B2_13,0.054
,,00000.354560,B2_22,0.032
Spike Detector Settings,,00000.354640,B2_12,0.037
   Method,Adaptive Threshold Crossing,00000.355040,B2_32,0.037
   Threshold,6,00000.355280,B2_24,0.033
   Threshold Status,Variable,00000.355360,B2_14,0.02
   Threshold Crossing Only,True,00000.357120,B2_13,0.055
   Pre-Spike Duration,0.84 ms,00000.357760,B2_33,0.035
   Post-Spike Duration,2.16 ms,00000.358480,B2_22,0.033
   Coincident Event Filter,Default (Well),00000.358720,B2_12,0.036
   Coincidence Occurrence Threshold,4 Electrodes,00000.358800,B2_43,0.033
   Coincidence Event Window,80 µs,00000.359520,B2_13,0.039
