Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P1_C2_500msec,00000.018800,C2_23,0.014
Description,,00000.083200,C2_14,0.032
Maestro Edge (Maestro-091) Settings,,00000.126080,C2_44,0.054
   Original File Time,06/07/2024 10:57:36,00000.200960,C2_14,0.027
   Sampling Frequency,12.5 kHz,00000.265040,C2_14,0.026
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.338160,C2_22,0.03
   Experiment Start Time,06/07/2024 10:30:31,00000.340240,C2_14,0.016
   Referencing Method,Median,00000.352560,C2_31,0.02
   Analog Mode Setting,Neural Spikes,00000.354000,C2_21,0.037
   Plate Type,CytoView MEA 24,00000.355360,C2_33,0.032
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.356960,C2_31,0.021
   Digital High Pass Filter,200 Hz IIR,00000.358000,C2_33,0.012
   Temperature Set Point,37.0 Degrees C,00000.359680,C2_21,0.031
   Current Temperature,37.0 Degrees C,00000.359920,C2_14,0.034
   Heater Power,On,00000.360560,C2_32,0.034
   Legacy Heating Mode,Off,00000.361120,C2_41,0.015
   Barcode Plate Type,TwentyFourWell,00000.361440,C2_31,0.038
   Plate Serial Number,114-0350,00000.362240,C2_42,0.029
   CO2 Conc. Set Point,5.0 %,00000.362320,C2_14,0.052
   Actual CO2 Conc.,5.0 %,00000.363440,C2_33,0.036
   Gas Mixer Status,Regulating,00000.363680,C2_21,0.036
   AxIS Version,3.10.3.6,00000.363760,C2_22,0.019
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.364640,C2_32,0.03
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.364800,C2_11,0.018
,,00000.365040,C2_31,0.03
Spike Detector Settings,,00000.365440,C2_14,0.06
   Method,Adaptive Threshold Crossing,00000.365920,C2_33,0.041
   Threshold,6,00000.366080,C2_24,0.03
   Threshold Status,Variable,00000.366480,C2_43,0.033
   Threshold Crossing Only,True,00000.366640,C2_22,0.024
   Pre-Spike Duration,0.84 ms,00000.367200,C2_44,0.06
   Post-Spike Duration,2.16 ms,00000.367280,C2_31,0.04
   Coincident Event Filter,Default (Well),00000.367280,C2_41,0.019
   Coincidence Occurrence Threshold,4 Electrodes,00000.367440,C2_42,0.038
   Coincidence Event Window,80 µs,00000.367760,C2_12,0.02
   Allow Sample Overlap,false,00000.367760,C2_32,0.024
   Spike Count Interval,1 s,00000.367920,C2_14,0.091
,,00000.368960,C2_21,0.017
,,00000.369040,C2_23,0.02
,,00000.369040,C2_24,0.041
,,00000.369280,C2_43,0.031
,,00000.369440,C2_22,0.035
,,00000.369520,C2_33,0.055
,,00000.369920,C2_44,0.043
,,00000.370240,C2_14,0.081
,,00000.370400,C2_42,0.03
,,00000.370640,C2_31,0.048
,,00000.370640,C2_32,0.042
,,00000.370720,C2_41,0.019
,,00000.371360,C2_24,0.036
,,00000.371600,C2_43,0.029
,,00000.371760,C2_13,0.029
,,00000.371760,C2_33,0.049
,,00000.372160,C2_22,0.06
,,00000.372560,C2_23,0.022
,,00000.372720,C2_42,0.028
,,00000.373040,C2_12,0.025
,,00000.373040,C2_21,0.016
,,00000.373040,C2_32,0.025
,,00000.373280,C2_31,0.027
,,00000.373760,C2_14,0.129
,,00000.373920,C2_43,0.035
,,00000.374240,C2_24,0.052
,,00000.374320,C2_33,0.035
,,00000.374480,C2_22,0.038
,,00000.374640,C2_41,0.01
,,00000.374800,C2_23,0.026
,,00000.375040,C2_42,0.03
,,00000.375200,C2_13,0.024
,,00000.375520,C2_31,0.036
,,00000.375920,C2_32,0.05
,,00000.376400,C2_43,0.021
,,00000.376560,C2_33,0.059
,,00000.376560,C2_44,0.057
,,00000.376720,C2_12,0.018
,,00000.376800,C2_21,0.017
,,00000.377040,C2_14,0.101
,,00000.377120,C2_22,0.043
,,00000.377120,C2_24,0.062
,,00000.377280,C2_42,0.034
,,00000.378160,C2_34,0.024
,,00000.378320,C2_31,0.039
,,00000.378400,C2_32,0.03
,,00000.378880,C2_13,0.025
,,00000.378960,C2_33,0.03
,,00000.379280,C2_21,0.024
,,00000.379600,C2_24,0.071
,,00000.379760,C2_23,0.015
,,00000.379760,C2_44,0.033
,,00000.379840,C2_43,0.035
,,00000.380000,C2_14,0.241
,,00000.380640,C2_41,0.01
,,00000.380720,C2_12,0.032
,,00000.380720,C2_31,0.024
,,00000.380880,C2_22,0.033
,,00000.381280,C2_33,0.034
,,00000.382080,C2_23,0.017
,,00000.382080,C2_43,0.039
,,00000.382240,C2_13,0.028
,,00000.382320,C2_24,0.05
,,00000.382880,C2_41,0.012
,,00000.382960,C2_14,0.206
,,00000.383040,C2_32,0.025
,,00000.383200,C2_22,0.026
,,00000.383600,C2_31,0.021
,,00000.383680,C2_33,0.039
,,00000.384240,C2_12,0.015
,,00000.384480,C2_43,0.041
,,00000.385280,C2_32,0.028
,,00000.385600,C2_24,0.073
,,00000.385760,C2_13,0.016
,,00000.386160,C2_22,0.037
,,00000.386240,C2_33,0.03
,,00000.386320,C2_42,0.024
,,00000.386480,C2_12,0.027
,,00000.386560,C2_23,0.021
,,00000.386720,C2_31,0.012
,,00000.387120,C2_14,0.119
,,00000.387120,C2_43,0.029
,,00000.387280,C2_34,0.021
,,00000.388080,C2_32,0.043
,,00000.388160,C2_21,0.026
,,00000.388320,C2_24,0.03
,,00000.389520,C2_44,0.047
,,00000.390320,C2_31,0.025
,,00000.390480,C2_22,0.029
,,00000.390480,C2_33,0.03
,,00000.390720,C2_14,0.098
,,00000.391280,C2_43,0.038
,,00000.391600,C2_24,0.036
,,00000.392720,C2_42,0.042
,,00000.392800,C2_31,0.019
,,00000.392880,C2_44,0.048
,,00000.392960,C2_14,0.089
,,00000.393040,C2_33,0.03
,,00000.393120,C2_22,0.033
,,00000.393520,C2_21,0.019
,,00000.394240,C2_32,0.038
,,00000.394240,C2_43,0.03
,,00000.394560,C2_24,0.042
,,00000.394960,C2_12,0.024
,,00000.395040,C2_23,0.022
,,00000.395200,C2_31,0.025
,,00000.395680,C2_22,0.034
,,00000.396400,C2_14,0.073
,,00000.397120,C2_33,0.021
,,00000.397200,C2_43,0.04
,,00000.397600,C2_24,0.045
,,00000.397920,C2_21,0.022
,,00000.397920,C2_23,0.022
,,00000.397920,C2_42,0.025
,,00000.399120,C2_14,0.137
,,00000.399120,C2_32,0.018
,,00000.399280,C2_41,0.011
,,00000.399360,C2_12,0.028
,,00000.399440,C2_33,0.025
,,00000.399520,C2_31,0.027
,,00000.400000,C2_24,0.037
,,00000.401200,C2_43,0.026
,,00000.401520,C2_14,0.178
,,00000.401760,C2_33,0.016
,,00000.401920,C2_22,0.021
,,00000.402400,C2_32,0.023
,,00000.402400,C2_42,0.017
,,00000.402960,C2_31,0.026
,,00000.403200,C2_24,0.049
,,00000.403600,C2_43,0.04
,,00000.404080,C2_44,0.032
,,00000.404400,C2_33,0.036
,,00000.404640,C2_14,0.091
,,00000.404960,C2_22,0.034
,,00000.405280,C2_32,0.03
,,00000.405520,C2_13,0.023
,,00000.405520,C2_24,0.031
,,00000.406400,C2_31,0.018
,,00000.407520,C2_14,0.173
,,00000.407600,C2_32,0.024
,,00000.408160,C2_33,0.021
,,00000.408480,C2_24,0.03
,,00000.408560,C2_44,0.025
,,00000.408720,C2_31,0.015
,,00000.408800,C2_22,0.043
,,00000.409360,C2_43,0.044
,,00000.410400,C2_14,0.069
,,00000.410800,C2_24,0.038
,,00000.410880,C2_21,0.023
,,00000.411040,C2_31,0.021
,,00000.411760,C2_12,0.023
,,00000.412000,C2_42,0.022
,,00000.412240,C2_33,0.034
,,00000.412800,C2_32,0.048
,,00000.412960,C2_41,0.012
,,00000.413200,C2_14,0.149
,,00000.413280,C2_31,0.022
,,00000.413440,C2_44,0.061
,,00000.413600,C2_22,0.031
,,00000.413920,C2_24,0.042
,,00000.414000,C2_43,0.04
,,00000.414560,C2_33,0.052
,,00000.414960,C2_42,0.015
,,00000.415440,C2_21,0.024
,,00000.415520,C2_23,0.019
,,00000.415840,C2_22,0.025
,,00000.415840,C2_44,0.033
,,00000.416000,C2_14,0.03
,,00000.416560,C2_31,0.017
,,00000.417280,C2_24,0.031
,,00000.417600,C2_33,0.023
,,00000.417840,C2_23,0.015
,,00000.418000,C2_13,0.024
,,00000.418080,C2_34,0.027
,,00000.418400,C2_14,0.103
,,00000.418560,C2_43,0.028
,,00000.418880,C2_32,0.024
,,00000.419120,C2_31,0.026
,,00000.419520,C2_22,0.031
,,00000.419520,C2_24,0.04
,,00000.419680,C2_42,0.02
,,00000.420720,C2_33,0.024
,,00000.421120,C2_23,0.016
,,00000.421440,C2_43,0.026
,,00000.421600,C2_21,0.021
,,00000.421680,C2_31,0.034
,,00000.421680,C2_32,0.039
,,00000.422000,C2_14,0.064
,,00000.422000,C2_24,0.024
,,00000.422640,C2_41,0.009
,,00000.422720,C2_11,0.018
,,00000.423360,C2_12,0.016
,,00000.423360,C2_22,0.029
,,00000.423360,C2_42,0.025
,,00000.423440,C2_33,0.03
,,00000.423920,C2_44,0.043
,,00000.424080,C2_31,0.029
,,00000.424080,C2_32,0.026
,,00000.424160,C2_43,0.041
,,00000.424240,C2_14,0.117
,,00000.426160,C2_33,0.037
,,00000.426720,C2_14,0.101
,,00000.426720,C2_22,0.035
,,00000.426800,C2_24,0.034
,,00000.426800,C2_42,0.024
,,00000.426880,C2_21,0.028
,,00000.426960,C2_12,0.019
,,00000.428160,C2_31,0.029
,,00000.428240,C2_13,0.02
,,00000.428800,C2_32,0.053
,,00000.429120,C2_21,0.013
,,00000.429120,C2_23,0.015
,,00000.429120,C2_33,0.033
,,00000.429600,C2_22,0.032
,,00000.429760,C2_43,0.048
,,00000.429840,C2_14,0.046
,,00000.430160,C2_24,0.053
,,00000.430960,C2_31,0.034
,,00000.431440,C2_23,0.016
,,00000.432160,C2_14,0.04
,,00000.432160,C2_41,0.009
,,00000.432320,C2_44,0.029
,,00000.432640,C2_21,0.023
,,00000.433200,C2_31,0.015
,,00000.433280,C2_33,0.035
,,00000.433600,C2_24,0.025
,,00000.433760,C2_22,0.027
,,00000.433920,C2_23,0.023
,,00000.434400,C2_14,0.158
,,00000.434960,C2_43,0.031
,,00000.436000,C2_24,0.02
,,00000.436000,C2_33,0.038
,,00000.436960,C2_31,0.019
,,00000.437120,C2_32,0.025
,,00000.437440,C2_43,0.021
,,00000.437600,C2_42,0.019
,,00000.437760,C2_21,0.021
,,00000.437840,C2_12,0.023
,,00000.438000,C2_14,0.153
,,00000.438560,C2_23,0.017
