Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P1_D3_500msec,00000.329840,D3_12,0.032
Description,,00000.330960,D3_11,0.04
Maestro Edge (Maestro-091) Settings,,00000.332080,D3_12,0.02
   Original File Time,06/07/2024 11:24:31,00000.333440,D3_22,0.024
   Sampling Frequency,12.5 kHz,00000.334000,D3_11,0.022
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.334320,D3_24,0.016
   Experiment Start Time,06/07/2024 10:30:31,00000.334720,D3_12,0.065
   Referencing Method,Median,00000.335760,D3_22,0.026
   Analog Mode Setting,Neural Spikes,00000.336560,D3_42,0.013
   Plate Type,CytoView MEA 24,00000.336640,D3_11,0.03
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.337680,D3_14,0.019
   Digital High Pass Filter,200 Hz IIR,00000.338400,D3_24,0.035
   Temperature Set Point,37.0 Degrees C,00000.338720,D3_12,0.039
   Current Temperature,37.0 Degrees C,00000.339440,D3_11,0.04
   Heater Power,On,00000.339920,D3_34,0.02
   Legacy Heating Mode,Off,00000.340000,D3_14,0.032
   Barcode Plate Type,TwentyFourWell,00000.340240,D3_33,0.02
   Plate Serial Number,114-0350,00000.340400,D3_43,0.026
   CO2 Conc. Set Point,5.0 %,00000.340800,D3_22,0.025
   Actual CO2 Conc.,5.0 %,00000.340960,D3_24,0.046
   Gas Mixer Status,Regulating,00000.341360,D3_23,0.021
   AxIS Version,3.10.3.6,00000.341440,D3_12,0.044
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.342240,D3_34,0.018
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.342480,D3_41,0.015
,,00000.342720,D3_14,0.028
Spike Detector Settings,,00000.342960,D3_33,0.022
   Method,Adaptive Threshold Crossing,00000.343200,D3_22,0.03
   Threshold,6,00000.343520,D3_42,0.018
   Threshold Status,Variable,00000.343600,D3_23,0.019
   Threshold Crossing Only,True,00000.343760,D3_24,0.032
   Pre-Spike Duration,0.84 ms,00000.344000,D3_12,0.037
   Post-Spike Duration,2.16 ms,00000.344320,D3_11,0.031
   Coincident Event Filter,Default (Well),00000.344640,D3_43,0.017
   Coincidence Occurrence Threshold,4 Electrodes,00000.345280,D3_31,0.025
   Coincidence Event Window,80 µs,00000.345680,D3_33,0.018
   Allow Sample Overlap,false,00000.346160,D3_34,0.025
   Spike Count Interval,1 s,00000.346320,D3_22,0.059
,,00000.346480,D3_42,0.027
,,00000.346640,D3_23,0.021
,,00000.346640,D3_41,0.015
,,00000.346880,D3_24,0.036
,,00000.346960,D3_12,0.025
,,00000.347040,D3_11,0.02
,,00000.347280,D3_14,0.042
,,00000.347600,D3_31,0.018
,,00000.348160,D3_43,0.024
,,00000.348400,D3_33,0.028
,,00000.348720,D3_34,0.014
,,00000.349040,D3_22,0.044
,,00000.349040,D3_23,0.025
,,00000.349280,D3_11,0.038
,,00000.349440,D3_12,0.046
,,00000.349600,D3_14,0.031
,,00000.350000,D3_31,0.023
,,00000.350480,D3_24,0.045
,,00000.350560,D3_42,0.025
,,00000.351200,D3_43,0.038
,,00000.351360,D3_44,0.034
,,00000.351840,D3_23,0.026
,,00000.351920,D3_22,0.036
,,00000.351920,D3_33,0.025
,,00000.352160,D3_11,0.027
,,00000.352960,D3_24,0.044
,,00000.353280,D3_31,0.018
,,00000.354080,D3_34,0.027
,,00000.354160,D3_41,0.011
,,00000.354400,D3_12,0.024
,,00000.354640,D3_23,0.026
,,00000.354640,D3_43,0.023
,,00000.354720,D3_22,0.059
,,00000.354720,D3_33,0.022
,,00000.354800,D3_42,0.031
,,00000.355440,D3_14,0.03
,,00000.355920,D3_11,0.029
,,00000.355920,D3_24,0.051
,,00000.356160,D3_44,0.027
,,00000.356400,D3_41,0.024
,,00000.356720,D3_12,0.027
,,00000.357360,D3_33,0.016
,,00000.357680,D3_43,0.016
,,00000.357840,D3_42,0.02
,,00000.358160,D3_14,0.012
,,00000.358320,D3_23,0.024
,,00000.358320,D3_24,0.037
,,00000.358560,D3_34,0.028
,,00000.358640,D3_11,0.033
,,00000.359600,D3_31,0.021
,,00000.359760,D3_12,0.039
,,00000.360320,D3_43,0.027
,,00000.360720,D3_14,0.018
,,00000.360720,D3_33,0.015
,,00000.360880,D3_41,0.009
,,00000.361440,D3_11,0.043
,,00000.361440,D3_42,0.023
,,00000.361680,D3_34,0.023
,,00000.362400,D3_12,0.033
,,00000.362400,D3_31,0.017
,,00000.362720,D3_24,0.04
,,00000.363360,D3_23,0.021
,,00000.363440,D3_22,0.031
,,00000.363920,D3_11,0.021
,,00000.364320,D3_43,0.026
,,00000.364480,D3_33,0.015
,,00000.364960,D3_12,0.028
,,00000.365200,D3_14,0.024
,,00000.365520,D3_24,0.03
,,00000.365840,D3_42,0.022
,,00000.366080,D3_22,0.042
,,00000.366240,D3_11,0.034
,,00000.366880,D3_43,0.017
,,00000.367280,D3_12,0.025
,,00000.368160,D3_34,0.025
,,00000.368240,D3_14,0.017
,,00000.368480,D3_33,0.02
,,00000.368880,D3_23,0.02
,,00000.369120,D3_24,0.037
