Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P2_A3_100,00001.985360,A3_23,0.018
Description,,00002.017280,A3_12,0.014
Maestro Edge (Maestro-091) Settings,,00002.047120,A3_43,0.035
   Original File Time,06/07/2024 14:03:29,00002.048640,A3_31,0.02
   Sampling Frequency,12.5 kHz,00002.048880,A3_33,0.015
   Voltage Scale,-5.484861781483107E-08 V/sample,00002.050480,A3_43,0.027
   Experiment Start Time,06/07/2024 13:54:49,00002.052000,A3_33,0.018
   Referencing Method,Median,00002.053120,A3_43,0.03
   Analog Mode Setting,Neural Spikes,00002.054640,A3_23,0.032
   Plate Type,CytoView MEA 24,00002.054640,A3_44,0.015
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.055200,A3_31,0.016
   Digital High Pass Filter,200 Hz IIR,00002.056160,A3_43,0.045
   Temperature Set Point,37.0 Degrees C,00002.056240,A3_14,0.017
   Current Temperature,37.3 Degrees C,00002.056240,A3_41,0.01
   Heater Power,On,00002.057040,A3_33,0.016
   Legacy Heating Mode,Off,00002.057200,A3_23,0.025
   Barcode Plate Type,TwentyFourWell,00002.058080,A3_44,0.014
   Plate Serial Number,114-0325,00002.059120,A3_43,0.034
   CO2 Conc. Set Point,5.0 %,00002.059440,A3_31,0.03
   Actual CO2 Conc.,5.0 %,00002.059600,A3_23,0.027
   Gas Mixer Status,Regulating,00002.060320,A3_21,0.025
   AxIS Version,3.10.3.6,00002.061280,A3_33,0.02
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00002.061760,A3_43,0.043
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00002.062480,A3_14,0.051
,,00002.062800,A3_23,0.028
Spike Detector Settings,,00002.063200,A3_11,0.032
   Method,Adaptive Threshold Crossing,00002.063360,A3_41,0.013
   Threshold,6,00002.063600,A3_12,0.016
   Threshold Status,Variable,00002.064000,A3_33,0.021
   Threshold Crossing Only,True,00002.064240,A3_31,0.024
   Pre-Spike Duration,0.84 ms,00002.064720,A3_43,0.038
   Post-Spike Duration,2.16 ms,00002.065600,A3_14,0.029
   Coincident Event Filter,Default (Well),00002.065680,A3_23,0.03
   Coincidence Occurrence Threshold,4 Electrodes,00002.065680,A3_44,0.014
   Coincidence Event Window,80 µs,00002.066720,A3_33,0.029
   Allow Sample Overlap,false,00002.066720,A3_34,0.025
   Spike Count Interval,1 s,00002.067200,A3_43,0.035
,,00002.068320,A3_14,0.024
,,00002.068560,A3_23,0.021
,,00002.068720,A3_11,0.037
,,00002.069040,A3_21,0.029
,,00002.069520,A3_43,0.056
,,00002.069840,A3_31,0.021
,,00002.070080,A3_34,0.018
,,00002.070160,A3_41,0.012
,,00002.070960,A3_33,0.015
,,00002.071760,A3_11,0.022
,,00002.071760,A3_14,0.058
,,00002.072000,A3_43,0.073
,,00002.072640,A3_23,0.026
,,00002.073360,A3_31,0.023
,,00002.074400,A3_43,0.044
,,00002.074640,A3_11,0.048
,,00002.074880,A3_14,0.019
,,00002.075440,A3_23,0.024
,,00002.075440,A3_41,0.012
,,00002.077200,A3_43,0.043
,,00002.077280,A3_31,0.025
,,00002.077280,A3_33,0.015
,,00002.077520,A3_11,0.022
,,00002.077840,A3_23,0.029
,,00002.078480,A3_14,0.03
,,00002.078720,A3_21,0.018
,,00002.079600,A3_43,0.037
,,00002.079920,A3_31,0.027
,,00002.079920,A3_33,0.017
,,00002.081040,A3_14,0.026
,,00002.081040,A3_23,0.029
,,00002.082000,A3_43,0.042
,,00002.083360,A3_31,0.023
,,00002.083600,A3_23,0.04
,,00002.084320,A3_11,0.035
,,00002.084400,A3_43,0.038
,,00002.085200,A3_33,0.016
,,00002.085360,A3_14,0.02
,,00002.085840,A3_31,0.015
,,00002.086160,A3_23,0.039
,,00002.086960,A3_43,0.036
,,00002.087520,A3_11,0.027
,,00002.088160,A3_33,0.017
,,00002.088640,A3_23,0.023
,,00002.090080,A3_31,0.017
,,00002.091040,A3_23,0.04
,,00002.091200,A3_14,0.025
,,00002.091280,A3_43,0.029
,,00002.091520,A3_33,0.017
,,00002.093600,A3_11,0.019
,,00002.093600,A3_43,0.02
,,00002.093680,A3_14,0.027
