Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P2_B2_200,00000.037360,B2_44,0.072
Description,,00000.104560,B2_44,0.072
Maestro Edge (Maestro-091) Settings,,00000.173760,B2_44,0.079
   Original File Time,06/07/2024 14:09:30,00000.238320,B2_44,0.075
   Sampling Frequency,12.5 kHz,00000.274640,B2_12,0.129
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.285440,B2_22,0.049
   Experiment Start Time,06/07/2024 13:54:49,00000.295440,B2_43,0.029
   Referencing Method,Median,00000.296480,B2_33,0.035
   Analog Mode Setting,Neural Spikes,00000.296880,B2_44,0.083
   Plate Type,CytoView MEA 24,00000.297280,B2_32,0.024
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.297760,B2_34,0.034
   Digital High Pass Filter,200 Hz IIR,00000.298080,B2_43,0.027
   Temperature Set Point,37.0 Degrees C,00000.299120,B2_44,0.024
   Current Temperature,37.2 Degrees C,00000.300000,B2_13,0.027
   Heater Power,On,00000.300320,B2_33,0.036
   Legacy Heating Mode,Off,00000.300480,B2_12,0.129
   Barcode Plate Type,TwentyFourWell,00000.300640,B2_34,0.025
   Plate Serial Number,114-0325,00000.300800,B2_43,0.034
   CO2 Conc. Set Point,5.0 %,00000.301440,B2_22,0.043
   Actual CO2 Conc.,5.0 %,00000.302560,B2_14,0.021
   Gas Mixer Status,Regulating,00000.303120,B2_23,0.021
   AxIS Version,3.10.3.6,00000.303200,B2_13,0.017
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.303760,B2_43,0.025
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.304240,B2_34,0.021
,,00000.304880,B2_22,0.056
Spike Detector Settings,,00000.305040,B2_33,0.026
   Method,Adaptive Threshold Crossing,00000.305520,B2_13,0.033
   Threshold,6,00000.305680,B2_23,0.031
   Threshold Status,Variable,00000.307440,B2_34,0.026
   Threshold Crossing Only,True,00000.308000,B2_22,0.06
   Pre-Spike Duration,0.84 ms,00000.308080,B2_33,0.028
   Post-Spike Duration,2.16 ms,00000.308400,B2_21,0.025
   Coincident Event Filter,Default (Well),00000.309200,B2_43,0.031
   Coincidence Occurrence Threshold,4 Electrodes,00000.309440,B2_42,0.033
   Coincidence Event Window,80 µs,00000.310000,B2_34,0.041
   Allow Sample Overlap,false,00000.310080,B2_13,0.042
   Spike Count Interval,1 s,00000.310080,B2_14,0.018
,,00000.310400,B2_23,0.028
,,00000.310480,B2_12,0.114
,,00000.310640,B2_44,0.072
,,00000.310720,B2_33,0.021
,,00000.310880,B2_22,0.058
,,00000.312240,B2_42,0.036
,,00000.312720,B2_14,0.026
,,00000.312800,B2_21,0.02
,,00000.312800,B2_32,0.02
,,00000.313040,B2_43,0.025
