Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P2_C4_100,00002.242480,C4_33,0.021
Description,,00002.249280,C4_43,0.025
Maestro Edge (Maestro-091) Settings,,00002.252080,C4_31,0.026
   Original File Time,06/07/2024 14:33:02,00002.253520,C4_11,0.016
   Sampling Frequency,12.5 kHz,00002.253680,C4_33,0.025
   Voltage Scale,-5.484861781483107E-08 V/sample,00002.255760,C4_41,0.015
   Experiment Start Time,06/07/2024 13:54:49,00002.256160,C4_22,0.015
   Referencing Method,Median,00002.258400,C4_11,0.022
   Analog Mode Setting,Neural Spikes,00002.258400,C4_42,0.018
   Plate Type,CytoView MEA 24,00002.258560,C4_33,0.026
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.258960,C4_41,0.016
   Digital High Pass Filter,200 Hz IIR,00002.259040,C4_21,0.023
   Temperature Set Point,37.0 Degrees C,00002.260160,C4_22,0.017
   Current Temperature,37.0 Degrees C,00002.261120,C4_31,0.028
   Heater Power,On,00002.261360,C4_21,0.017
   Legacy Heating Mode,Off,00002.262000,C4_41,0.015
   Barcode Plate Type,TwentyFourWell,00002.262240,C4_33,0.017
   Plate Serial Number,114-0325,00002.263840,C4_14,0.033
   CO2 Conc. Set Point,5.0 %,00002.264080,C4_34,0.027
   Actual CO2 Conc.,5.0 %,00002.264320,C4_41,0.013
   Gas Mixer Status,Regulating,00002.264480,C4_33,0.041
   AxIS Version,3.10.3.6,00002.264800,C4_11,0.032
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00002.265120,C4_21,0.033
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00002.266800,C4_31,0.022
,,00002.266800,C4_41,0.014
Spike Detector Settings,,00002.266960,C4_22,0.028
   Method,Adaptive Threshold Crossing,00002.267040,C4_13,0.018
   Threshold,6,00002.267040,C4_14,0.03
   Threshold Status,Variable,00002.267040,C4_33,0.047
   Threshold Crossing Only,True,00002.267200,C4_34,0.023
   Pre-Spike Duration,0.84 ms,00002.267360,C4_11,0.018
   Post-Spike Duration,2.16 ms,00002.267760,C4_21,0.07
   Coincident Event Filter,Default (Well),00002.268000,C4_44,0.015
   Coincidence Occurrence Threshold,4 Electrodes,00002.269680,C4_14,0.021
   Coincidence Event Window,80 µs,00002.269920,C4_11,0.023
   Allow Sample Overlap,false,00002.270240,C4_33,0.033
   Spike Count Interval,1 s,00002.270880,C4_34,0.027
,,00002.270960,C4_22,0.023
,,00002.270960,C4_31,0.026
,,00002.271360,C4_21,0.015
,,00002.272160,C4_11,0.022
,,00002.272400,C4_44,0.028
,,00002.272640,C4_14,0.033
,,00002.272720,C4_33,0.043
,,00002.273440,C4_31,0.025
,,00002.273840,C4_41,0.013
,,00002.273920,C4_21,0.03
,,00002.274240,C4_22,0.026
,,00002.274320,C4_34,0.032
,,00002.274480,C4_43,0.051
,,00002.274960,C4_44,0.016
,,00002.275440,C4_11,0.022
,,00002.276240,C4_21,0.027
,,00002.276560,C4_41,0.012
,,00002.276800,C4_33,0.04
,,00002.277200,C4_31,0.039
,,00002.277200,C4_34,0.018
,,00002.277200,C4_44,0.019
,,00002.277360,C4_32,0.017
,,00002.277760,C4_22,0.034
,,00002.278880,C4_13,0.017
,,00002.278880,C4_43,0.019
,,00002.278960,C4_14,0.027
,,00002.279200,C4_33,0.03
,,00002.279920,C4_11,0.03
,,00002.280880,C4_21,0.043
,,00002.281040,C4_22,0.023
,,00002.281520,C4_31,0.025
,,00002.281920,C4_13,0.019
,,00002.282880,C4_33,0.029
,,00002.282880,C4_42,0.016
,,00002.283040,C4_14,0.029
,,00002.283040,C4_34,0.027
,,00002.283040,C4_44,0.029
,,00002.283440,C4_11,0.018
,,00002.283760,C4_21,0.023
,,00002.283760,C4_31,0.024
,,00002.284400,C4_22,0.024
,,00002.285280,C4_33,0.028
,,00002.285360,C4_34,0.024
,,00002.285600,C4_14,0.029
,,00002.285760,C4_43,0.021
,,00002.286080,C4_21,0.017
,,00002.286320,C4_11,0.026
,,00002.286320,C4_31,0.03
,,00002.286880,C4_44,0.024
,,00002.287120,C4_22,0.017
,,00002.288080,C4_34,0.031
,,00002.288320,C4_14,0.029
,,00002.288560,C4_31,0.022
,,00002.288800,C4_33,0.051
,,00002.289360,C4_21,0.014
,,00002.289680,C4_11,0.015
,,00002.289680,C4_22,0.025
,,00002.290400,C4_43,0.037
,,00002.290560,C4_14,0.037
,,00002.290720,C4_44,0.019
,,00002.290800,C4_34,0.024
,,00002.291040,C4_33,0.025
,,00002.291520,C4_13,0.022
,,00002.292080,C4_31,0.024
,,00002.292320,C4_21,0.018
,,00002.292400,C4_11,0.025
,,00002.293280,C4_33,0.026
,,00002.293360,C4_34,0.042
,,00002.293360,C4_44,0.034
,,00002.294000,C4_22,0.02
,,00002.294080,C4_14,0.034
,,00002.294640,C4_21,0.022
,,00002.295200,C4_11,0.025
,,00002.296240,C4_33,0.016
,,00002.296720,C4_31,0.022
,,00002.296800,C4_44,0.028
,,00002.297120,C4_22,0.015
,,00002.298080,C4_13,0.019
,,00002.298240,C4_14,0.018
,,00002.298480,C4_34,0.032
,,00002.298960,C4_11,0.034
,,00002.300480,C4_14,0.029
,,00002.300720,C4_44,0.026
,,00002.300880,C4_33,0.023
,,00002.300880,C4_43,0.027
,,00002.301040,C4_13,0.017
,,00002.301280,C4_34,0.022
,,00002.302480,C4_21,0.014
,,00002.302800,C4_31,0.029
,,00002.303120,C4_11,0.016
,,00002.303360,C4_13,0.029
,,00002.303600,C4_34,0.028
,,00002.303680,C4_14,0.031
,,00002.304240,C4_22,0.022
,,00002.304720,C4_33,0.02
,,00002.305440,C4_11,0.02
,,00002.306080,C4_31,0.018
,,00002.306480,C4_34,0.034
,,00002.307040,C4_44,0.026
,,00002.307120,C4_33,0.043
,,00002.307440,C4_21,0.038
,,00002.307520,C4_22,0.035
,,00002.307680,C4_11,0.013
,,00002.309360,C4_34,0.038
,,00002.309520,C4_41,0.011
,,00002.309920,C4_13,0.02
,,00002.310400,C4_11,0.033
,,00002.310480,C4_21,0.029
,,00002.311040,C4_14,0.028
,,00002.311040,C4_33,0.043
,,00002.311280,C4_31,0.025
,,00002.312160,C4_34,0.044
,,00002.313280,C4_11,0.019
,,00002.313280,C4_44,0.019
,,00002.313440,C4_33,0.025
,,00002.313520,C4_14,0.02
,,00002.315600,C4_34,0.034
,,00002.316160,C4_33,0.044
,,00002.316800,C4_11,0.028
,,00002.317200,C4_22,0.024
,,00002.318160,C4_34,0.031
,,00002.318240,C4_21,0.026
,,00002.319040,C4_11,0.018
,,00002.319440,C4_14,0.028
,,00002.319520,C4_13,0.051
,,00002.319520,C4_33,0.039
,,00002.319760,C4_22,0.029
,,00002.321200,C4_41,0.013
,,00002.321280,C4_21,0.021
,,00002.321680,C4_14,0.035
,,00002.321760,C4_31,0.026
,,00002.321920,C4_13,0.025
,,00002.322000,C4_43,0.028
,,00002.322720,C4_34,0.03
,,00002.322960,C4_11,0.03
,,00002.323040,C4_33,0.027
,,00002.323920,C4_22,0.022
,,00002.324880,C4_31,0.022
,,00002.325360,C4_14,0.033
,,00002.325360,C4_33,0.033
,,00002.325600,C4_41,0.008
,,00002.325680,C4_44,0.011
,,00002.326480,C4_22,0.024
,,00002.326640,C4_11,0.014
,,00002.327120,C4_34,0.021
,,00002.328160,C4_33,0.034
,,00002.328320,C4_21,0.027
,,00002.328960,C4_14,0.014
,,00002.329760,C4_11,0.025
,,00002.330240,C4_22,0.023
,,00002.330720,C4_31,0.021
,,00002.330800,C4_33,0.028
,,00002.331040,C4_41,0.01
,,00002.331520,C4_34,0.022
,,00002.331840,C4_14,0.023
,,00002.333600,C4_33,0.053
,,00002.334320,C4_14,0.023
,,00002.334480,C4_31,0.021
,,00002.334800,C4_22,0.025
,,00002.334960,C4_44,0.025
,,00002.335040,C4_34,0.024
,,00002.336640,C4_33,0.022
,,00002.336640,C4_43,0.024
,,00002.337040,C4_11,0.024
,,00002.337280,C4_34,0.022
,,00002.337440,C4_22,0.019
,,00002.338080,C4_13,0.031
,,00002.338480,C4_44,0.026
,,00002.338640,C4_31,0.028
,,00002.338880,C4_43,0.023
,,00002.339280,C4_11,0.013
,,00002.340000,C4_34,0.019
,,00002.340240,C4_14,0.034
,,00002.340560,C4_22,0.023
,,00002.341120,C4_43,0.019
,,00002.341520,C4_11,0.028
,,00002.342000,C4_33,0.032
,,00002.342720,C4_14,0.027
,,00002.344080,C4_34,0.029
,,00002.344160,C4_43,0.033
,,00002.344320,C4_41,0.014
,,00002.344960,C4_14,0.018
,,00002.345200,C4_33,0.037
,,00002.345600,C4_13,0.017
,,00002.346080,C4_31,0.016
,,00002.347520,C4_34,0.031
,,00002.347760,C4_14,0.022
,,00002.347840,C4_33,0.031
,,00002.348640,C4_11,0.015
,,00002.349200,C4_43,0.032
,,00002.349920,C4_34,0.023
,,00002.350240,C4_14,0.023
,,00002.350720,C4_22,0.03
,,00002.350960,C4_33,0.023
,,00002.351520,C4_21,0.023
,,00002.352400,C4_44,0.019
,,00002.352640,C4_13,0.015
,,00002.352720,C4_41,0.015
,,00002.353360,C4_14,0.038
,,00002.353440,C4_34,0.033
,,00002.353920,C4_43,0.023
,,00002.354160,C4_21,0.015
,,00002.354400,C4_31,0.029
,,00002.354880,C4_13,0.037
,,00002.355200,C4_41,0.011
