Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P2_D5_500,00000.003040,D5_44,0.015
Description,,00000.006320,D5_13,0.143
Maestro Edge (Maestro-091) Settings,,00000.014640,D5_21,0.02
   Original File Time,06/07/2024 14:50:43,00000.024480,D5_44,0.014
   Sampling Frequency,12.5 kHz,00000.048960,D5_13,0.141
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.051040,D5_21,0.026
   Experiment Start Time,06/07/2024 13:54:49,00000.051280,D5_13,0.034
   Referencing Method,Median,00000.075280,D5_34,0.024
   Analog Mode Setting,Neural Spikes,00000.086880,D5_13,0.072
   Plate Type,CytoView MEA 24,00000.090080,D5_13,0.015
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.099200,D5_44,0.013
   Digital High Pass Filter,200 Hz IIR,00000.102560,D5_21,0.021
   Temperature Set Point,37.0 Degrees C,00000.106720,D5_33,0.028
   Current Temperature,37.0 Degrees C,00000.115200,D5_21,0.023
   Heater Power,On,00000.121120,D5_44,0.013
   Legacy Heating Mode,Off,00000.127120,D5_13,0.158
   Barcode Plate Type,TwentyFourWell,00000.134160,D5_21,0.044
   Plate Serial Number,114-0325,00000.136880,D5_21,0.075
   CO2 Conc. Set Point,5.0 %,00000.143440,D5_44,0.014
   Actual CO2 Conc.,5.0 %,00000.158480,D5_13,0.13
   Gas Mixer Status,Regulating,00000.167920,D5_44,0.015
   AxIS Version,3.10.3.6,00000.177280,D5_33,0.035
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00000.191600,D5_13,0.146
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.191920,D5_21,0.017
,,00000.212800,D5_44,0.013
Spike Detector Settings,,00000.229520,D5_21,0.027
   Method,Adaptive Threshold Crossing,00000.233120,D5_21,0.073
   Threshold,6,00000.233840,D5_13,0.052
   Threshold Status,Variable,00000.236160,D5_13,0.145
   Threshold Crossing Only,True,00000.244400,D5_21,0.019
   Pre-Spike Duration,0.84 ms,00000.251600,D5_33,0.03
   Post-Spike Duration,2.16 ms,00000.273280,D5_13,0.055
   Coincident Event Filter,Default (Well),00000.275840,D5_13,0.128
   Coincidence Occurrence Threshold,4 Electrodes,00000.293600,D5_21,0.026
   Coincidence Event Window,80 µs,00000.299440,D5_13,0.048
   Allow Sample Overlap,false,00000.302640,D5_13,0.14
   Spike Count Interval,1 s,00000.322400,D5_21,0.029
,,00000.324720,D5_21,0.067
,,00000.338160,D5_13,0.158
,,00000.344080,D5_13,0.044
,,00000.344480,D5_21,0.022
,,00000.347360,D5_44,0.014
,,00000.352560,D5_33,0.027
,,00000.368880,D5_13,0.055
,,00000.371440,D5_13,0.129
,,00000.373600,D5_44,0.014
,,00000.373760,D5_13,0.038
,,00000.382000,D5_21,0.037
,,00000.406880,D5_13,0.135
,,00000.409120,D5_13,0.029
,,00000.413680,D5_13,0.038
,,00000.415680,D5_23,0.026
,,00000.436480,D5_21,0.02
,,00000.441520,D5_44,0.013
,,00000.443920,D5_13,0.058
,,00000.445120,D5_33,0.026
,,00000.446960,D5_13,0.136
,,00000.449280,D5_13,0.026
,,00000.471200,D5_21,0.023
,,00000.471600,D5_44,0.014
,,00000.473840,D5_21,0.069
,,00000.474720,D5_13,0.052
,,00000.476640,D5_21,0.018
,,00000.476880,D5_33,0.025
,,00000.477200,D5_13,0.124
,,00000.482080,D5_13,0.061
,,00000.487440,D5_13,0.037
,,00000.510400,D5_33,0.027
,,00000.514880,D5_21,0.015
,,00000.520160,D5_13,0.046
,,00000.522880,D5_13,0.143
,,00000.525360,D5_13,0.045
,,00000.528400,D5_21,0.033
,,00000.532000,D5_21,0.074
,,00000.534880,D5_44,0.016
,,00000.536080,D5_33,0.026
,,00000.536400,D5_34,0.019
,,00000.557200,D5_13,0.074
,,00000.560000,D5_13,0.03
,,00000.561520,D5_23,0.021
,,00000.562400,D5_13,0.041
,,00000.581760,D5_21,0.071
,,00000.589280,D5_13,0.145
,,00000.591920,D5_13,0.023
,,00000.594720,D5_13,0.034
,,00000.596560,D5_34,0.026
,,00000.619520,D5_21,0.021
,,00000.621040,D5_33,0.03
,,00000.622320,D5_13,0.057
,,00000.623520,D5_21,0.075
,,00000.625040,D5_13,0.13
,,00000.630160,D5_13,0.049
,,00000.643520,D5_33,0.027
,,00000.646960,D5_44,0.017
,,00000.658560,D5_13,0.055
,,00000.659760,D5_21,0.027
,,00000.662400,D5_13,0.149
,,00000.680160,D5_21,0.03
,,00000.682560,D5_21,0.042
,,00000.687920,D5_13,0.044
,,00000.690160,D5_13,0.145
,,00000.703600,D5_21,0.03
,,00000.710240,D5_44,0.013
,,00000.715040,D5_33,0.033
,,00000.733360,D5_13,0.064
,,00000.736080,D5_13,0.142
,,00000.738400,D5_13,0.035
,,00000.741760,D5_44,0.017
,,00000.749680,D5_21,0.031
,,00000.765040,D5_33,0.03
,,00000.766640,D5_13,0.052
,,00000.770880,D5_13,0.137
,,00000.789760,D5_44,0.013
,,00000.804160,D5_21,0.023
,,00000.806640,D5_21,0.076
,,00000.809120,D5_13,0.141
,,00000.819680,D5_33,0.028
,,00000.827440,D5_21,0.032
,,00000.835280,D5_44,0.014
,,00000.837280,D5_13,0.032
,,00000.839520,D5_13,0.129
,,00000.852720,D5_21,0.028
,,00000.857920,D5_44,0.014
,,00000.867360,D5_13,0.054
,,00000.874000,D5_13,0.113
,,00000.877600,D5_13,0.034
,,00000.882080,D5_34,0.024
,,00000.883920,D5_33,0.027
,,00000.894720,D5_21,0.022
,,00000.897360,D5_13,0.052
,,00000.910880,D5_13,0.152
,,00000.915840,D5_13,0.039
,,00000.917760,D5_21,0.046
,,00000.918240,D5_13,0.031
,,00000.920160,D5_21,0.074
,,00000.933040,D5_44,0.015
,,00000.950720,D5_33,0.025
,,00000.954320,D5_13,0.054
,,00000.954640,D5_44,0.015
,,00000.956080,D5_21,0.066
,,00000.956640,D5_13,0.147
,,00000.960640,D5_13,0.033
,,00000.964160,D5_34,0.025
,,00000.973840,D5_44,0.013
,,00000.991200,D5_33,0.031
,,00000.992480,D5_13,0.056
,,00000.995760,D5_13,0.036
,,00001.000800,D5_13,0.039
,,00001.025280,D5_13,0.158
,,00001.039920,D5_21,0.029
,,00001.045840,D5_44,0.013
,,00001.059200,D5_13,0.159
