Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D38_postSIEMBRA_A4,00000.050880,A4_13,0.033
Description,,00000.056960,A4_22,0.03
Maestro Edge (Maestro-091) Settings,,00000.069200,A4_42,0.038
   Original File Time,07/08/2024 10:35:04,00000.074400,A4_21,0.017
   Sampling Frequency,12.5 kHz,00000.080000,A4_14,0.019
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.091760,A4_22,0.024
   Experiment Start Time,07/08/2024 10:22:17,00000.092800,A4_23,0.017
   Referencing Method,Median,00000.102000,A4_42,0.015
   Analog Mode Setting,Neural Spikes,00000.102960,A4_23,0.055
   Plate Type,CytoView MEA 24,00000.104400,A4_12,0.021
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.134480,A4_23,0.017
   Digital High Pass Filter,200 Hz IIR,00000.201280,A4_22,0.021
   Temperature Set Point,37.0 Degrees C,00000.219920,A4_23,0.014
   Current Temperature,37.2 Degrees C,00000.241360,A4_22,0.023
   Heater Power,On,00000.248880,A4_23,0.014
   Legacy Heating Mode,Off,00000.273760,A4_13,0.033
   Barcode Plate Type,TwentyFourWell,00000.277440,A4_13,0.031
   Plate Serial Number,111-1422,00000.279120,A4_22,0.02
   CO2 Conc. Set Point,5.0 %,00000.300400,A4_23,0.023
   Actual CO2 Conc.,5.0 %,00000.303840,A4_42,0.036
   Gas Mixer Status,Regulating,00000.304720,A4_13,0.045
   AxIS Version,3.10.3.6,00000.311200,A4_13,0.038
   Maestro Edge (Maestro-091) Firmware,3.12.1.10,00000.311360,A4_22,0.024
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.311760,A4_23,0.015
,,00000.319360,A4_21,0.023
Spike Detector Settings,,00000.338960,A4_23,0.061
   Method,Adaptive Threshold Crossing,00000.356400,A4_31,0.021
   Threshold,6,00000.366160,A4_42,0.04
   Threshold Status,Variable,00000.394240,A4_42,0.053
   Threshold Crossing Only,True,00000.396320,A4_22,0.02
   Pre-Spike Duration,0.84 ms,00000.402960,A4_14,0.035
   Post-Spike Duration,2.16 ms,00000.448800,A4_22,0.02
   Coincident Event Filter,Default (Well),00000.450880,A4_23,0.015
   Coincidence Occurrence Threshold,4 Electrodes,00000.481440,A4_23,0.019
   Coincidence Event Window,80 µs,00000.526240,A4_22,0.019
   Allow Sample Overlap,false,00000.529360,A4_23,0.016
   Spike Count Interval,1 s,00000.555680,A4_13,0.034
,,00000.557920,A4_13,0.021
,,00000.565440,A4_22,0.023
,,00000.594080,A4_42,0.031
,,00000.596640,A4_14,0.026
,,00000.599360,A4_14,0.022
,,00000.604400,A4_12,0.022
,,00000.604720,A4_22,0.021
,,00000.604960,A4_23,0.014
,,00000.657840,A4_23,0.019
,,00000.713360,A4_22,0.028
,,00000.763680,A4_23,0.013
,,00000.770960,A4_22,0.021
,,00000.772000,A4_42,0.043
,,00000.775600,A4_14,0.02
,,00000.776000,A4_23,0.017
,,00000.786720,A4_13,0.029
,,00000.791200,A4_21,0.019
,,00000.800240,A4_31,0.023
,,00000.809520,A4_13,0.048
,,00000.810720,A4_31,0.027
,,00000.813280,A4_21,0.133
,,00000.815520,A4_31,0.135
,,00000.818320,A4_12,0.043
,,00000.818800,A4_31,0.04
,,00000.820400,A4_41,0.013
,,00000.820640,A4_12,0.098
,,00000.820720,A4_23,0.067
,,00000.820800,A4_13,0.05
,,00000.821920,A4_21,0.04
,,00000.823440,A4_24,0.026
,,00000.824240,A4_12,0.017
,,00000.826240,A4_23,0.023
,,00000.827200,A4_21,0.021
,,00000.827760,A4_14,0.02
,,00000.828480,A4_23,0.014
,,00000.838640,A4_42,0.036
,,00000.840240,A4_22,0.025
,,00000.850080,A4_31,0.087
,,00000.869360,A4_31,0.132
,,00000.877920,A4_13,0.03
,,00000.879920,A4_14,0.02
,,00000.891600,A4_22,0.025
,,00000.893360,A4_23,0.051
,,00000.898640,A4_12,0.081
,,00000.899760,A4_31,0.021
,,00000.906160,A4_12,0.053
,,00000.908480,A4_12,0.076
,,00000.908960,A4_13,0.062
,,00000.910400,A4_23,0.038
,,00000.910720,A4_12,0.034
,,00000.911280,A4_31,0.148
,,00000.912560,A4_21,0.147
,,00000.912880,A4_13,0.074
,,00000.912880,A4_23,0.019
,,00000.913200,A4_14,0.031
,,00000.913440,A4_12,0.13
,,00000.914880,A4_31,0.131
,,00000.915840,A4_12,0.028
,,00000.916080,A4_42,0.033
,,00000.917280,A4_14,0.027
,,00000.917440,A4_21,0.042
,,00000.917760,A4_13,0.033
,,00000.918240,A4_31,0.027
,,00000.919920,A4_21,0.149
,,00000.921200,A4_41,0.015
,,00000.921520,A4_14,0.024
,,00000.921760,A4_23,0.022
,,00000.922240,A4_21,0.04
,,00000.922240,A4_42,0.043
,,00000.922480,A4_31,0.028
,,00000.924320,A4_41,0.01
,,00000.925760,A4_14,0.034
,,00000.928480,A4_41,0.015
,,00000.929120,A4_14,0.042
,,00000.936400,A4_31,0.117
,,00000.939840,A4_31,0.093
,,00000.942800,A4_12,0.022
,,00000.943280,A4_13,0.024
,,00000.944080,A4_22,0.025
,,00000.946240,A4_21,0.147
,,00000.946960,A4_12,0.042
,,00000.949360,A4_21,0.014
,,00000.949760,A4_13,0.035
,,00000.950400,A4_23,0.021
,,00000.952960,A4_31,0.022
,,00001.077600,A4_22,0.024
,,00001.142400,A4_22,0.022
,,00001.142480,A4_23,0.015
,,00001.149120,A4_13,0.05
,,00001.154400,A4_13,0.034
,,00001.155120,A4_23,0.015
,,00001.157760,A4_31,0.024
,,00001.176480,A4_42,0.038
,,00001.182080,A4_22,0.022
,,00001.196720,A4_13,0.04
,,00001.205120,A4_23,0.016
,,00001.230320,A4_22,0.018
,,00001.294240,A4_22,0.027
,,00001.339040,A4_13,0.045
,,00001.340000,A4_14,0.023
,,00001.362640,A4_22,0.021
,,00001.389840,A4_14,0.019
,,00001.390320,A4_23,0.015
,,00001.401840,A4_13,0.035
,,00001.404400,A4_22,0.021
,,00001.426720,A4_21,0.02
,,00001.452880,A4_22,0.026
,,00001.466880,A4_42,0.039
,,00001.478960,A4_14,0.023
,,00001.489520,A4_22,0.02
,,00001.495440,A4_31,0.024
,,00001.511840,A4_31,0.091
,,00001.526400,A4_42,0.041
,,00001.527680,A4_22,0.027
,,00001.621680,A4_22,0.023
,,00001.661760,A4_22,0.02
,,00001.662480,A4_23,0.017
,,00001.665520,A4_23,0.017
,,00001.706880,A4_42,0.036
,,00001.714880,A4_22,0.023
,,00001.732400,A4_13,0.046
,,00001.755280,A4_22,0.025
,,00001.770080,A4_13,0.017
,,00001.775680,A4_23,0.016
,,00001.842000,A4_21,0.021
,,00001.866320,A4_22,0.023
,,00001.874080,A4_42,0.04
,,00001.886240,A4_13,0.027
,,00001.905040,A4_23,0.016
,,00001.906880,A4_12,0.02
,,00001.909840,A4_23,0.02
,,00001.913120,A4_14,0.032
,,00001.916480,A4_13,0.045
,,00001.916800,A4_14,0.045
,,00001.921680,A4_13,0.038
,,00001.921680,A4_41,0.013
,,00001.922320,A4_12,0.106
,,00001.927200,A4_23,0.056
,,00001.928720,A4_22,0.023
,,00001.929360,A4_12,0.023
,,00001.929840,A4_23,0.048
,,00001.932880,A4_23,0.016
,,00001.934240,A4_14,0.019
,,00001.937600,A4_42,0.042
,,00001.942160,A4_42,0.017
,,00001.942480,A4_24,0.023
,,00001.946880,A4_14,0.025
,,00001.949040,A4_13,0.043
,,00001.949200,A4_42,0.017
,,00001.957600,A4_41,0.011
,,00001.957680,A4_42,0.03
,,00001.958400,A4_23,0.047
,,00001.961360,A4_23,0.016
,,00001.965280,A4_22,0.026
,,00001.965440,A4_11,0.017
,,00001.966800,A4_12,0.101
,,00001.968400,A4_23,0.054
,,00001.968480,A4_13,0.049
,,00001.969040,A4_12,0.05
,,00001.970720,A4_23,0.036
,,00001.973440,A4_12,0.018
,,00001.975680,A4_13,0.049
,,00001.976240,A4_14,0.026
,,00001.977040,A4_23,0.02
,,00001.977280,A4_31,0.084
,,00001.979440,A4_42,0.037
,,00001.980000,A4_14,0.029
,,00001.980000,A4_31,0.022
,,00001.980000,A4_41,0.013
,,00001.981680,A4_23,0.03
,,00001.982320,A4_21,0.14
,,00001.982880,A4_12,0.034
,,00001.984560,A4_42,0.058
,,00001.985040,A4_23,0.019
,,00001.985200,A4_13,0.049
,,00001.985520,A4_21,0.02
,,00001.986800,A4_14,0.022
,,00001.986960,A4_42,0.052
,,00001.987760,A4_22,0.026
,,00001.988160,A4_23,0.019
,,00001.988720,A4_31,0.024
,,00001.988960,A4_12,0.032
,,00001.989200,A4_42,0.048
,,00001.990480,A4_23,0.016
,,00001.991440,A4_42,0.029
,,00001.993360,A4_12,0.027
,,00001.993680,A4_14,0.025
,,00001.993760,A4_42,0.021
,,00001.994160,A4_31,0.092
,,00001.994320,A4_23,0.026
,,00001.996320,A4_21,0.14
,,00001.997200,A4_13,0.037
,,00001.997440,A4_31,0.023
,,00001.998320,A4_42,0.059
,,00001.998480,A4_12,0.1
,,00001.999200,A4_23,0.029
,,00001.999440,A4_13,0.021
,,00001.999520,A4_21,0.018
,,00002.001280,A4_12,0.021
,,00002.003280,A4_14,0.047
,,00002.005040,A4_23,0.024
,,00002.007360,A4_23,0.062
,,00002.008560,A4_14,0.022
,,00002.013520,A4_12,0.019
,,00002.014880,A4_31,0.089
,,00002.017520,A4_12,0.086
,,00002.022560,A4_13,0.045
,,00002.023280,A4_12,0.084
,,00002.024400,A4_14,0.026
,,00002.024640,A4_23,0.031
,,00002.025520,A4_21,0.03
,,00002.025600,A4_13,0.037
,,00002.026000,A4_12,0.043
,,00002.027200,A4_23,0.051
,,00002.028720,A4_21,0.139
,,00002.028800,A4_12,0.021
,,00002.029120,A4_14,0.032
,,00002.029840,A4_13,0.028
,,00002.029920,A4_23,0.013
,,00002.029920,A4_42,0.019
,,00002.031840,A4_31,0.154
,,00002.033440,A4_12,0.05
,,00002.034320,A4_21,0.137
,,00002.034400,A4_31,0.02
,,00002.034640,A4_23,0.032
,,00002.034960,A4_24,0.026
,,00002.037120,A4_31,0.029
,,00002.037760,A4_12,0.044
,,00002.039040,A4_42,0.03
,,00002.044240,A4_21,0.138
,,00002.049520,A4_42,0.019
,,00002.050000,A4_31,0.027
,,00002.050800,A4_14,0.03
,,00002.053360,A4_31,0.14
,,00002.063280,A4_12,0.073
,,00002.064960,A4_21,0.146
,,00002.065600,A4_12,0.032
,,00002.066160,A4_23,0.019
,,00002.066880,A4_31,0.038
,,00002.067040,A4_13,0.053
,,00002.069920,A4_13,0.027
,,00002.070800,A4_12,0.095
,,00002.071680,A4_31,0.134
,,00002.071920,A4_23,0.027
,,00002.073120,A4_12,0.049
,,00002.074000,A4_13,0.049
,,00002.074240,A4_31,0.018
,,00002.075360,A4_12,0.057
,,00002.075360,A4_23,0.025
,,00002.077280,A4_21,0.024
,,00002.077920,A4_12,0.049
,,00002.078240,A4_13,0.03
,,00002.079040,A4_23,0.023
,,00002.079360,A4_14,0.021
,,00002.080560,A4_13,0.017
,,00002.081280,A4_42,0.019
,,00002.083280,A4_21,0.018
,,00002.083440,A4_22,0.025
,,00002.084960,A4_31,0.024
,,00002.095200,A4_22,0.02
,,00002.098800,A4_23,0.019
,,00002.215360,A4_22,0.019
,,00002.288000,A4_22,0.022
,,00002.315760,A4_13,0.03
,,00002.327360,A4_22,0.019
,,00002.333680,A4_13,0.048
,,00002.359280,A4_42,0.035
,,00002.388160,A4_23,0.017
,,00002.420720,A4_22,0.024
,,00002.463920,A4_12,0.024
,,00002.464400,A4_23,0.018
,,00002.476400,A4_22,0.022
,,00002.504480,A4_23,0.014
,,00002.514320,A4_13,0.051
,,00002.521520,A4_14,0.028
,,00002.522240,A4_13,0.028
,,00002.526720,A4_13,0.017
,,00002.565200,A4_13,0.026
,,00002.568640,A4_22,0.018
,,00002.605280,A4_42,0.04
,,00002.612000,A4_22,0.022
,,00002.659760,A4_22,0.024
,,00002.663440,A4_13,0.036
,,00002.696080,A4_12,0.021
,,00002.706080,A4_23,0.014
,,00002.709520,A4_22,0.025
,,00002.787280,A4_22,0.024
,,00002.829920,A4_22,0.026
,,00002.849440,A4_14,0.03
,,00002.850560,A4_13,0.052
,,00002.851680,A4_42,0.039
,,00002.857680,A4_42,0.011
,,00002.873040,A4_22,0.023
,,00002.880480,A4_12,0.109
,,00002.881360,A4_14,0.025
,,00002.882000,A4_13,0.041
,,00002.886640,A4_12,0.027
,,00002.886880,A4_23,0.057
,,00002.887520,A4_31,0.022
,,00002.889280,A4_42,0.036
,,00002.890640,A4_23,0.015
,,00002.891600,A4_42,0.016
,,00002.898720,A4_42,0.02
,,00002.910880,A4_13,0.046
,,00002.911920,A4_21,0.024
,,00002.913600,A4_23,0.02
,,00002.914960,A4_31,0.091
,,00002.918480,A4_23,0.053
,,00002.920880,A4_23,0.042
,,00002.923440,A4_23,0.06
,,00002.926960,A4_23,0.035
,,00002.929120,A4_12,0.029
,,00002.929440,A4_22,0.021
,,00002.931440,A4_31,0.024
,,00002.932320,A4_23,0.023
,,00002.933120,A4_12,0.031
,,00002.938320,A4_31,0.085
,,00002.939120,A4_42,0.036
,,00002.941120,A4_31,0.025
,,00002.942320,A4_42,0.051
,,00002.943040,A4_23,0.025
,,00002.945920,A4_14,0.029
,,00002.946000,A4_13,0.05
,,00002.951200,A4_42,0.052
,,00002.952640,A4_12,0.02
,,00002.954400,A4_31,0.027
