Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D38_postSIEMBRA_C4,00000.014000,C4_33,0.021
Description,,00000.030080,C4_42,0.069
Maestro Edge (Maestro-091) Settings,,00000.060800,C4_31,0.021
   Original File Time,07/08/2024 11:51:05,00000.148800,C4_12,0.029
   Sampling Frequency,12.5 kHz,00000.166960,C4_12,0.026
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.211520,C4_12,0.029
   Experiment Start Time,07/08/2024 11:41:49,00000.310640,C4_42,0.014
   Referencing Method,Median,00000.464000,C4_31,0.02
   Analog Mode Setting,Neural Spikes,00000.614320,C4_33,0.026
   Plate Type,CytoView MEA 24,00000.641680,C4_32,0.021
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.743280,C4_31,0.024
   Digital High Pass Filter,200 Hz IIR,00000.810080,C4_42,0.012
   Temperature Set Point,37.0 Degrees C,00000.833600,C4_33,0.024
   Current Temperature,37.1 Degrees C,00001.024800,C4_12,0.031
   Heater Power,On,00001.425520,C4_31,0.021
   Legacy Heating Mode,Off,00001.449600,C4_12,0.03
   Barcode Plate Type,TwentyFourWell,00001.905520,C4_31,0.019
   Plate Serial Number,111-1422,00002.078720,C4_31,0.02
   CO2 Conc. Set Point,5.0 %,00002.095120,C4_12,0.024
   Actual CO2 Conc.,5.0 %,00002.378160,C4_32,0.026
   Gas Mixer Status,Regulating,00002.397360,C4_42,0.012
   AxIS Version,3.10.3.6,00002.406480,C4_33,0.022
   Maestro Edge (Maestro-091) Firmware,3.12.1.10,00002.425840,C4_42,0.07
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00002.485840,C4_12,0.03
,,00002.495120,C4_31,0.02
Spike Detector Settings,,00002.526960,C4_33,0.026
   Method,Adaptive Threshold Crossing,00002.604320,C4_32,0.02
   Threshold,6,00002.618800,C4_12,0.026
   Threshold Status,Variable,00002.654480,C4_31,0.021
   Threshold Crossing Only,True,00002.775040,C4_12,0.028
   Pre-Spike Duration,0.84 ms,00002.789680,C4_32,0.015
   Post-Spike Duration,2.16 ms,00002.806320,C4_12,0.026
   Coincident Event Filter,Default (Well),00003.041280,C4_31,0.021
   Coincidence Occurrence Threshold,4 Electrodes,00003.151680,C4_33,0.014
   Coincidence Event Window,80 µs,00003.169200,C4_12,0.033
   Allow Sample Overlap,false,00003.174720,C4_42,0.013
   Spike Count Interval,1 s,00003.215120,C4_12,0.022
,,00003.258720,C4_32,0.019
,,00003.631840,C4_42,0.013
,,00003.755680,C4_31,0.024
,,00003.765120,C4_32,0.02
,,00003.917600,C4_42,0.017
,,00003.962640,C4_31,0.022
,,00004.004720,C4_33,0.022
,,00004.238240,C4_12,0.026
,,00004.284960,C4_32,0.016
,,00004.322160,C4_32,0.017
,,00004.324960,C4_12,0.025
,,00004.437680,C4_33,0.021
,,00004.741120,C4_42,0.013
,,00004.805680,C4_31,0.024
,,00004.841200,C4_12,0.027
,,00004.860080,C4_42,0.011
,,00004.919120,C4_32,0.016
,,00004.922880,C4_32,0.016
,,00005.008240,C4_31,0.022
,,00005.045200,C4_12,0.024
,,00005.079120,C4_32,0.017
,,00005.081040,C4_33,0.017
,,00005.355280,C4_31,0.019
,,00005.548000,C4_12,0.026
,,00005.567680,C4_23,0.021
,,00005.599680,C4_32,0.02
,,00005.600080,C4_31,0.019
