Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D38_postSIEMBRA_D2,00000.013920,D2_33,0.049
Description,,00000.055520,D2_12,0.015
Maestro Edge (Maestro-091) Settings,,00000.086240,D2_42,0.016
   Original File Time,07/08/2024 12:22:24,00000.104960,D2_33,0.048
   Sampling Frequency,12.5 kHz,00000.119600,D2_13,0.013
   Voltage Scale,-5.484861781483107E-08 V/sample,00000.152560,D2_42,0.013
   Experiment Start Time,07/08/2024 11:41:49,00000.195200,D2_33,0.05
   Referencing Method,Median,00000.220080,D2_42,0.012
   Analog Mode Setting,Neural Spikes,00000.226400,D2_12,0.014
   Plate Type,CytoView MEA 24,00000.252560,D2_14,0.018
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.278160,D2_33,0.048
   Digital High Pass Filter,200 Hz IIR,00000.305200,D2_12,0.014
   Temperature Set Point,37.0 Degrees C,00000.356800,D2_42,0.012
   Current Temperature,37.0 Degrees C,00000.362320,D2_12,0.013
   Heater Power,On,00000.373520,D2_13,0.011
   Legacy Heating Mode,Off,00000.395280,D2_33,0.053
   Barcode Plate Type,TwentyFourWell,00000.425520,D2_23,0.011
   Plate Serial Number,111-1422,00000.426960,D2_42,0.014
   CO2 Conc. Set Point,5.0 %,00000.488400,D2_33,0.051
   Actual CO2 Conc.,5.1 %,00000.526960,D2_12,0.013
   Gas Mixer Status,Regulating,00000.529680,D2_13,0.015
   AxIS Version,3.10.3.6,00000.582240,D2_33,0.046
   Maestro Edge (Maestro-091) Firmware,3.12.1.10,00000.614160,D2_13,0.012
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00000.639280,D2_13,0.013
,,00000.647120,D2_12,0.013
Spike Detector Settings,,00000.669840,D2_33,0.05
   Method,Adaptive Threshold Crossing,00000.677200,D2_12,0.018
   Threshold,6,00000.691920,D2_13,0.011
   Threshold Status,Variable,00000.696080,D2_23,0.011
   Threshold Crossing Only,True,00000.766400,D2_13,0.014
   Pre-Spike Duration,0.84 ms,00000.767760,D2_33,0.051
   Post-Spike Duration,2.16 ms,00000.810080,D2_42,0.013
   Coincident Event Filter,Default (Well),00000.845280,D2_33,0.049
   Coincidence Occurrence Threshold,4 Electrodes,00000.848080,D2_13,0.013
   Coincidence Event Window,80 µs,00000.873520,D2_42,0.014
   Allow Sample Overlap,false,00000.928240,D2_13,0.012
   Spike Count Interval,1 s,00000.943120,D2_42,0.013
,,00000.945360,D2_33,0.051
,,00000.950960,D2_12,0.014
,,00000.969440,D2_13,0.011
,,00000.971120,D2_23,0.012
,,00001.001040,D2_42,0.012
,,00001.028320,D2_33,0.048
,,00001.056800,D2_42,0.014
,,00001.112720,D2_33,0.05
,,00001.120080,D2_42,0.015
,,00001.183600,D2_23,0.013
,,00001.198400,D2_33,0.045
,,00001.239200,D2_13,0.011
,,00001.243440,D2_42,0.012
,,00001.245360,D2_12,0.01
,,00001.256400,D2_12,0.012
,,00001.260560,D2_33,0.046
,,00001.286800,D2_31,0.011
,,00001.287680,D2_23,0.009
,,00001.342240,D2_33,0.045
,,00001.373520,D2_42,0.012
,,00001.423120,D2_33,0.049
,,00001.428160,D2_13,0.013
,,00001.490960,D2_42,0.011
,,00001.514960,D2_33,0.047
,,00001.545040,D2_42,0.013
,,00001.578480,D2_13,0.014
,,00001.606560,D2_33,0.051
,,00001.644560,D2_13,0.011
,,00001.647520,D2_23,0.011
,,00001.661280,D2_43,0.014
,,00001.684480,D2_42,0.013
,,00001.692960,D2_33,0.049
,,00001.755680,D2_42,0.012
,,00001.769520,D2_33,0.048
,,00001.791920,D2_13,0.011
,,00001.816480,D2_13,0.01
,,00001.867680,D2_33,0.049
,,00001.912320,D2_42,0.012
,,00001.960160,D2_33,0.049
,,00001.961440,D2_12,0.016
,,00001.988640,D2_42,0.013
,,00002.001280,D2_12,0.017
,,00002.009200,D2_12,0.012
,,00002.049200,D2_42,0.011
,,00002.062080,D2_33,0.045
,,00002.118480,D2_42,0.012
,,00002.141040,D2_12,0.011
,,00002.150800,D2_33,0.048
,,00002.153200,D2_33,0.01
,,00002.182320,D2_42,0.012
,,00002.246160,D2_33,0.048
,,00002.312480,D2_12,0.014
,,00002.326000,D2_12,0.011
,,00002.342400,D2_33,0.049
,,00002.365840,D2_12,0.014
,,00002.395680,D2_23,0.01
,,00002.427920,D2_12,0.013
,,00002.436480,D2_42,0.015
,,00002.443280,D2_33,0.051
