Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_A1_(I)	0.422	A1_24	0.019
Description		0.6048	A1_24	0.019
Maestro Edge (Maestro-091) Settings		0.6408	A1_22	0.015
   Original File Time	02/20/2024 10:25:06	0.76328	A1_24	0.022
   Sampling Frequency	12.5 kHz	0.83904	A1_13	0.017
   Voltage Scale	-5.484861781483107E-08 V/sample	0.89248	A1_24	0.02
   Experiment Start Time	02/20/2024 10:06:50	0.96696	A1_24	0.017
   Referencing Method	Median	1.04536	A1_24	0.025
   Analog Mode Setting	Neural Spikes	1.16064	A1_22	0.015
   Plate Type	CytoView MEA 24	1.21944	A1_24	0.019
   Digital Low Pass Filter	3 kHz Kaiser Window	1.35512	A1_24	0.021
   Digital High Pass Filter	200 Hz IIR	1.41736	A1_24	0.019
   Temperature Set Point	37.0 Degrees C	1.474	A1_22	0.016
   Current Temperature	37.1 Degrees C	1.51472	A1_13	0.028
   Heater Power	On	1.52552	A1_14	0.038
   Legacy Heating Mode	Off	1.5456	A1_24	0.022
   Barcode Plate Type	TwentyFourWell	1.58	A1_22	0.017
   Plate Serial Number	114-0345	1.65296	A1_24	0.018
   CO2 Conc. Set Point	5.00%	1.7064	A1_24	0.017
   Actual CO2 Conc.	4.90%	1.7816	A1_24	0.018
   Gas Mixer Status	Regulating	1.7828	A1_13	0.018
   AxIS Version	3.10.3.6	1.83224	A1_42	0.023
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	1.8364	A1_13	0.034
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	1.83752	A1_24	0.021
		1.83896	A1_42	0.02
Spike Detector Settings		1.83912	A1_13	0.041
   Method	Adaptive Threshold Crossing	1.8408	A1_22	0.024
   Threshold	6	1.84128	A1_31	0.092
   Threshold Status	Variable	1.84144	A1_14	0.047
   Threshold Crossing Only	TRUE	1.84192	A1_24	0.02
   Pre-Spike Duration	0.84 ms	1.84304	A1_13	0.047
   Post-Spike Duration	2.16 ms	1.8432	A1_21	0.021
   Coincident Event Filter	Default (Well)	1.84328	A1_44	0.018
   Coincidence Occurrence Threshold	4 Electrodes	1.844	A1_14	0.028
   Coincidence Event Window	80 µs	1.84528	A1_13	0.039
   Allow Sample Overlap	FALSE	1.84584	A1_31	0.103
   Spike Count Interval	1 s	1.84616	A1_21	0.031
		1.84632	A1_14	0.029
		1.84648	A1_33	0.024
		1.84664	A1_24	0.039
		1.8472	A1_22	0.024
		1.84736	A1_32	0.021
		1.84776	A1_44	0.016
		1.84792	A1_13	0.03
		1.84808	A1_42	0.041
		1.84824	A1_12	0.024
		1.84904	A1_14	0.026
		1.8492	A1_24	0.039
		1.8496	A1_32	0.018
		1.84976	A1_21	0.546
		1.85024	A1_13	0.056
		1.85024	A1_22	0.015
		1.85072	A1_12	0.014
		1.8508	A1_31	0.082
		1.85176	A1_24	0.068
		1.85248	A1_21	0.027
		1.85256	A1_13	0.032
		1.8528	A1_33	0.022
		1.85288	A1_22	0.014
		1.85304	A1_14	0.037
		1.85352	A1_32	0.022
		1.85384	A1_31	0.024
		1.85488	A1_21	0.036
		1.85504	A1_24	0.016
		1.85528	A1_13	0.035
		1.85544	A1_33	0.018
		1.856	A1_44	0.017
		1.85648	A1_14	0.039
		1.8568	A1_31	0.077
		1.85712	A1_42	0.039
		1.8572	A1_21	0.19
		1.85728	A1_24	0.073
		1.85752	A1_22	0.016
		1.858	A1_32	0.017
		1.8592	A1_12	0.022
		1.86048	A1_24	0.023
		1.86056	A1_42	0.019
		1.86064	A1_13	0.026
		1.86064	A1_21	0.032
		1.8608	A1_31	0.059
		1.86184	A1_32	0.01
		1.86256	A1_22	0.037
		1.8636	A1_21	0.393
		1.864	A1_31	0.013
		1.86448	A1_13	0.028
		1.86552	A1_22	0.013
		1.8656	A1_12	0.02
		1.86584	A1_21	0.032
		1.86592	A1_32	0.023
		1.86664	A1_14	0.054
		1.86736	A1_13	0.04
		1.86856	A1_21	0.018
		1.86912	A1_31	0.015
		1.87096	A1_24	0.051
		1.87104	A1_13	0.023
		1.8732	A1_42	0.025
		1.874	A1_14	0.024
		1.8744	A1_13	0.026
		1.87488	A1_31	0.089
		1.87544	A1_22	0.011
		1.8756	A1_42	0.027
		1.87672	A1_13	0.029
		1.87688	A1_24	0.064
		1.87808	A1_14	0.071
		1.87832	A1_21	0.024
		1.87984	A1_44	0.014
		1.88016	A1_42	0.034
		1.8804	A1_13	0.029
		1.88272	A1_13	0.041
		1.8828	A1_22	0.019
		1.88368	A1_42	0.02
		1.88408	A1_24	0.03
		1.88536	A1_22	0.037
		1.88704	A1_24	0.076
		1.88728	A1_14	0.052
		1.8888	A1_21	0.026
		1.8896	A1_24	0.022
		1.89	A1_14	0.01
		1.89024	A1_13	0.028
		1.8904	A1_42	0.021
		1.89248	A1_21	0.489
		1.89288	A1_14	0.011
		1.89304	A1_13	0.024
		1.89448	A1_22	0.024
		1.8948	A1_21	0.049
