Investigator		Time (s)	Electrode	Amplitude (mV)
Recording Name	D19_POSTsiembra_A1_(IV)	0.0024	A1_24	0.019
Description		0.00848	A1_22	0.02
Maestro Edge (Maestro-091) Settings		0.04064	A1_22	0.019
   Original File Time	02/20/2024 13:34:52	0.052	A1_24	0.02
   Sampling Frequency	12.5 kHz	0.05328	A1_13	0.017
   Voltage Scale	-5.484861781483107E-08 V/sample	0.05448	A1_22	0.019
   Experiment Start Time	02/20/2024 13:19:42	0.06992	A1_22	0.018
   Referencing Method	Median	0.1124	A1_24	0.02
   Analog Mode Setting	Neural Spikes	0.11816	A1_14	0.04
   Plate Type	CytoView MEA 24	0.15696	A1_24	0.021
   Digital Low Pass Filter	3 kHz Kaiser Window	0.22632	A1_24	0.02
   Digital High Pass Filter	200 Hz IIR	0.2444	A1_22	0.019
   Temperature Set Point	37.0 Degrees C	0.25432	A1_14	0.028
   Current Temperature	36.9 Degrees C	0.26248	A1_22	0.019
   Heater Power	On	0.28416	A1_22	0.018
   Legacy Heating Mode	Off	0.35976	A1_24	0.018
   Barcode Plate Type	TwentyFourWell	0.4112	A1_24	0.019
   Plate Serial Number	114-0345	0.44664	A1_14	0.042
   CO2 Conc. Set Point	5.00%	0.45896	A1_22	0.019
   Actual CO2 Conc.	5.00%	0.46088	A1_24	0.019
   Gas Mixer Status	Regulating	0.4868	A1_13	0.029
   AxIS Version	3.10.3.6	0.49792	A1_14	0.039
   Maestro Edge (Maestro-091) Firmware	3.10.3.6	0.50296	A1_13	0.03
   Maestro Edge (Maestro-091) BioCore Version	BioCore 4B	0.50504	A1_22	0.024
		0.51432	A1_22	0.019
Spike Detector Settings		0.5652	A1_13	0.017
   Method	Adaptive Threshold Crossing	0.64512	A1_14	0.026
   Threshold	6	0.69224	A1_22	0.021
   Threshold Status	Variable	0.71344	A1_22	0.019
   Threshold Crossing Only	TRUE	0.72464	A1_22	0.019
   Pre-Spike Duration	0.84 ms	0.75008	A1_14	0.025
   Post-Spike Duration	2.16 ms	0.75544	A1_24	0.02
   Coincident Event Filter	Default (Well)	0.80192	A1_24	0.022
   Coincidence Occurrence Threshold	4 Electrodes	0.84872	A1_24	0.017
   Coincidence Event Window	80 µs	0.85648	A1_13	0.035
   Allow Sample Overlap	FALSE	0.85656	A1_12	0.015
   Spike Count Interval	1 s	0.86704	A1_14	0.042
		0.87544	A1_13	0.028
		0.87728	A1_24	0.063
		0.87752	A1_14	0.045
		0.87832	A1_13	0.03
		0.8808	A1_14	0.017
		0.88168	A1_13	0.044
		0.88328	A1_22	0.018
		0.88512	A1_13	0.014
		0.89504	A1_14	0.045
		0.89648	A1_13	0.046
		0.8984	A1_22	0.028
		0.89856	A1_24	0.041
		0.8988	A1_12	0.019
		0.8988	A1_31	0.118
		0.8992	A1_13	0.04
		0.9	A1_21	0.566
		0.90008	A1_14	0.041
		0.90112	A1_31	0.023
		0.90112	A1_32	0.018
		0.90176	A1_13	0.04
		0.90264	A1_21	0.044
		0.9028	A1_14	0.018
		0.90408	A1_22	0.016
		0.90408	A1_24	0.071
		0.90488	A1_21	0.435
		0.90504	A1_14	0.017
		0.90512	A1_31	0.131
		0.90536	A1_33	0.024
		0.9064	A1_42	0.024
		0.90648	A1_24	0.025
		0.90672	A1_13	0.037
		0.9072	A1_32	0.017
		0.90744	A1_44	0.017
		0.9076	A1_12	0.014
		0.90872	A1_24	0.069
		0.90904	A1_14	0.035
		0.90912	A1_21	0.038
		0.90928	A1_42	0.031
		0.90944	A1_22	0.046
		0.90952	A1_31	0.092
		0.91	A1_12	0.022
		0.91048	A1_32	0.015
		0.91064	A1_13	0.027
		0.91072	A1_33	0.032
		0.91184	A1_22	0.012
		0.91216	A1_14	0.025
		0.91304	A1_21	0.042
		0.91328	A1_13	0.039
		0.91328	A1_32	0.018
		0.91448	A1_31	0.072
		0.91472	A1_22	0.028
		0.9152	A1_42	0.035
		0.9156	A1_24	0.073
		0.91584	A1_14	0.027
		0.91608	A1_21	0.275
		0.91704	A1_12	0.018
		0.9176	A1_42	0.028
		0.91792	A1_24	0.031
		0.91856	A1_43	0.017
		0.91864	A1_22	0.022
		0.9188	A1_14	0.038
		0.91896	A1_21	0.023
		0.91992	A1_13	0.024
		0.92008	A1_33	0.018
		0.92272	A1_21	0.021
		0.924	A1_13	0.028
		0.92608	A1_42	0.022
		0.9268	A1_13	0.033
		0.93368	A1_13	0.036
		0.93624	A1_13	0.025
		0.93688	A1_44	0.014
		0.94048	A1_44	0.016
		0.94256	A1_14	0.049
		0.9444	A1_24	0.047
		0.94584	A1_42	0.029
		0.95024	A1_42	0.043
		0.95032	A1_22	0.015
		0.95048	A1_31	0.124
		0.9508	A1_21	0.023
		0.95128	A1_12	0.014
		0.9528	A1_43	0.02
		0.95304	A1_13	0.033
		0.95376	A1_31	0.036
		0.95384	A1_32	0.016
		0.95488	A1_21	0.02
