,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,13:38:58.975331,13:38:59.082633,0 days 00:00:00.107302
1,2,100,0,13:39:02.107397,13:39:02.207421,0 days 00:00:00.100024
2,3,100,0,13:39:05.232085,13:39:05.342060,0 days 00:00:00.109975
3,4,100,0,13:39:08.379976,13:39:08.489943,0 days 00:00:00.109967
4,5,100,0,13:39:11.517776,13:39:11.627780,0 days 00:00:00.110004
5,6,100,0,13:39:14.664861,13:39:14.774831,0 days 00:00:00.109970
6,7,100,0,13:39:17.797529,13:39:17.907527,0 days 00:00:00.109998
7,8,100,0,13:39:20.930774,13:39:21.040760,0 days 00:00:00.109986
8,9,100,0,13:39:24.077272,13:39:24.177273,0 days 00:00:00.100001
9,10,100,0,13:39:27.201896,13:39:27.311882,0 days 00:00:00.109986
10,1,100,20,13:39:30.336852,13:39:30.446817,0 days 00:00:00.109965
11,2,100,20,13:39:33.477783,13:39:33.577805,0 days 00:00:00.100022
12,3,100,20,13:39:36.607182,13:39:36.717170,0 days 00:00:00.109988
13,4,100,20,13:39:39.744827,13:39:39.844865,0 days 00:00:00.100038
14,5,100,20,13:39:42.884326,13:39:43.006833,0 days 00:00:00.122507
15,6,100,20,13:39:46.036414,13:39:46.136453,0 days 00:00:00.100039
16,7,100,20,13:39:49.174610,13:39:49.276076,0 days 00:00:00.101466
17,8,100,20,13:39:52.297451,13:39:52.407409,0 days 00:00:00.109958
18,9,100,20,13:39:55.430790,13:39:55.540776,0 days 00:00:00.109986
19,10,100,20,13:39:58.575697,13:39:58.678680,0 days 00:00:00.102983
20,1,100,40,13:40:01.700042,13:40:01.810030,0 days 00:00:00.109988
21,2,100,40,13:40:04.838870,13:40:04.948814,0 days 00:00:00.109944
22,3,100,40,13:40:07.976288,13:40:08.085317,0 days 00:00:00.109029
23,4,100,40,13:40:11.107614,13:40:11.217576,0 days 00:00:00.109962
24,5,100,40,13:40:14.245660,13:40:14.345707,0 days 00:00:00.100047
25,6,100,40,13:40:17.377670,13:40:17.482714,0 days 00:00:00.105044
26,7,100,40,13:40:20.504803,13:40:20.604816,0 days 00:00:00.100013
27,8,100,40,13:40:23.631287,13:40:23.741170,0 days 00:00:00.109883
28,9,100,40,13:40:26.764086,13:40:26.874067,0 days 00:00:00.109981
29,10,100,40,13:40:29.897326,13:40:30.007298,0 days 00:00:00.109972
30,1,100,60,13:40:33.031086,13:40:33.140505,0 days 00:00:00.109419
31,2,100,60,13:40:36.166771,13:40:36.276743,0 days 00:00:00.109972
32,3,100,60,13:40:39.301943,13:40:39.410282,0 days 00:00:00.108339
33,4,100,60,13:40:42.438424,13:40:42.549211,0 days 00:00:00.110787
34,5,100,60,13:40:45.580120,13:40:45.690112,0 days 00:00:00.109992
35,6,100,60,13:40:48.716470,13:40:48.826433,0 days 00:00:00.109963
36,7,100,60,13:40:51.864187,13:40:51.974142,0 days 00:00:00.109955
37,8,100,60,13:40:55.002772,13:40:55.102851,0 days 00:00:00.100079
38,9,100,60,13:40:58.126470,13:40:58.236425,0 days 00:00:00.109955
39,10,100,60,13:41:01.272355,13:41:01.372368,0 days 00:00:00.100013
40,1,100,80,13:41:04.392851,13:41:04.502875,0 days 00:00:00.110024
41,2,100,80,13:41:07.532725,13:41:07.632753,0 days 00:00:00.100028
42,3,100,80,13:41:10.669278,13:41:10.770001,0 days 00:00:00.100723
43,4,100,80,13:41:13.798779,13:41:13.898831,0 days 00:00:00.100052
44,5,100,80,13:41:16.924676,13:41:17.034691,0 days 00:00:00.110015
45,6,100,80,13:41:20.065335,13:41:20.175316,0 days 00:00:00.109981
46,7,100,80,13:41:23.205109,13:41:23.305807,0 days 00:00:00.100698
47,8,100,80,13:41:26.335496,13:41:26.445457,0 days 00:00:00.109961
48,9,100,80,13:41:29.477463,13:41:29.590467,0 days 00:00:00.113004
49,10,100,80,13:41:32.613841,13:41:32.724678,0 days 00:00:00.110837
50,1,100,100,13:41:35.750495,13:41:35.860469,0 days 00:00:00.109974
51,2,100,100,13:41:38.882131,13:41:38.982799,0 days 00:00:00.100668
52,3,100,100,13:41:42.010458,13:41:42.120422,0 days 00:00:00.109964
53,4,100,100,13:41:45.147742,13:41:45.257707,0 days 00:00:00.109965
54,5,100,100,13:41:48.281181,13:41:48.392168,0 days 00:00:00.110987
55,6,100,100,13:41:51.416975,13:41:51.526978,0 days 00:00:00.110003
56,7,100,100,13:41:54.566111,13:41:54.666120,0 days 00:00:00.100009
57,8,100,100,13:41:57.693441,13:41:57.803415,0 days 00:00:00.109974
58,9,100,100,13:42:00.825369,13:42:00.926180,0 days 00:00:00.100811
59,10,100,100,13:42:03.952853,13:42:04.052869,0 days 00:00:00.100016
