,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,10:37:51.792324,10:37:51.900080,0 days 00:00:00.107756
1,2,100,0,10:37:54.923020,10:37:55.024705,0 days 00:00:00.101685
2,3,100,0,10:37:58.053048,10:37:58.163012,0 days 00:00:00.109964
3,4,100,0,10:38:01.189653,10:38:01.289682,0 days 00:00:00.100029
4,5,100,0,10:38:04.312559,10:38:04.412720,0 days 00:00:00.100161
5,6,100,0,10:38:07.435853,10:38:07.545852,0 days 00:00:00.109999
6,7,100,0,10:38:10.569273,10:38:10.679172,0 days 00:00:00.109899
7,8,100,0,10:38:13.706093,10:38:13.816055,0 days 00:00:00.109962
8,9,100,0,10:38:16.844886,10:38:16.954828,0 days 00:00:00.109942
9,10,100,0,10:38:19.978819,10:38:20.088791,0 days 00:00:00.109972
10,1,100,20,10:38:23.110790,10:38:23.211822,0 days 00:00:00.101032
11,2,100,20,10:38:26.235601,10:38:26.342580,0 days 00:00:00.106979
12,3,100,20,10:38:29.372263,10:38:29.472335,0 days 00:00:00.100072
13,4,100,20,10:38:32.501377,10:38:32.611272,0 days 00:00:00.109895
14,5,100,20,10:38:35.647493,10:38:35.747562,0 days 00:00:00.100069
15,6,100,20,10:38:38.777409,10:38:38.887370,0 days 00:00:00.109961
16,7,100,20,10:38:41.913823,10:38:42.014076,0 days 00:00:00.100253
17,8,100,20,10:38:45.036708,10:38:45.146673,0 days 00:00:00.109965
18,9,100,20,10:38:48.176604,10:38:48.286562,0 days 00:00:00.109958
19,10,100,20,10:38:51.313564,10:38:51.413643,0 days 00:00:00.100079
20,1,100,40,10:38:54.439776,10:38:54.549772,0 days 00:00:00.109996
21,2,100,40,10:38:57.586644,10:38:57.687928,0 days 00:00:00.101284
22,3,100,40,10:39:00.709997,10:39:00.819976,0 days 00:00:00.109979
23,4,100,40,10:39:03.855038,10:39:03.965035,0 days 00:00:00.109997
24,5,100,40,10:39:06.992989,10:39:07.094480,0 days 00:00:00.101491
25,6,100,40,10:39:10.121054,10:39:10.221932,0 days 00:00:00.100878
26,7,100,40,10:39:13.251925,10:39:13.361949,0 days 00:00:00.110024
27,8,100,40,10:39:16.382381,10:39:16.492334,0 days 00:00:00.109953
28,9,100,40,10:39:19.520279,10:39:19.620304,0 days 00:00:00.100025
29,10,100,40,10:39:22.649110,10:39:22.759092,0 days 00:00:00.109982
30,1,100,60,10:39:25.779116,10:39:25.889084,0 days 00:00:00.109968
31,2,100,60,10:39:28.909596,10:39:29.009633,0 days 00:00:00.100037
32,3,100,60,10:39:32.030879,10:39:32.144861,0 days 00:00:00.113982
33,4,100,60,10:39:35.170439,10:39:35.270569,0 days 00:00:00.100130
34,5,100,60,10:39:38.291224,10:39:38.401212,0 days 00:00:00.109988
35,6,100,60,10:39:41.424346,10:39:41.524349,0 days 00:00:00.100003
36,7,100,60,10:39:44.561189,10:39:44.671121,0 days 00:00:00.109932
37,8,100,60,10:39:47.691185,10:39:47.791225,0 days 00:00:00.100040
38,9,100,60,10:39:50.818329,10:39:50.933970,0 days 00:00:00.115641
39,10,100,60,10:39:53.967035,10:39:54.076806,0 days 00:00:00.109771
40,1,100,80,10:39:57.106473,10:39:57.216437,0 days 00:00:00.109964
41,2,100,80,10:40:00.252437,10:40:00.358569,0 days 00:00:00.106132
42,3,100,80,10:40:03.381315,10:40:03.491268,0 days 00:00:00.109953
43,4,100,80,10:40:06.513094,10:40:06.623030,0 days 00:00:00.109936
44,5,100,80,10:40:09.658077,10:40:09.762058,0 days 00:00:00.103981
45,6,100,80,10:40:12.786557,10:40:12.886610,0 days 00:00:00.100053
46,7,100,80,10:40:15.908250,10:40:16.009817,0 days 00:00:00.101567
47,8,100,80,10:40:19.031905,10:40:19.132352,0 days 00:00:00.100447
48,9,100,80,10:40:22.164756,10:40:22.274732,0 days 00:00:00.109976
49,10,100,80,10:40:25.302442,10:40:25.402484,0 days 00:00:00.100042
50,1,100,100,10:40:28.425871,10:40:28.526013,0 days 00:00:00.100142
51,2,100,100,10:40:31.556986,10:40:31.666985,0 days 00:00:00.109999
52,3,100,100,10:40:34.688721,10:40:34.798704,0 days 00:00:00.109983
53,4,100,100,10:40:37.826486,10:40:37.926487,0 days 00:00:00.100001
54,5,100,100,10:40:40.957588,10:40:41.067604,0 days 00:00:00.110016
55,6,100,100,10:40:44.089794,10:40:44.199771,0 days 00:00:00.109977
56,7,100,100,10:40:47.220937,10:40:47.322520,0 days 00:00:00.101583
57,8,100,100,10:40:50.352602,10:40:50.462508,0 days 00:00:00.109906
58,9,100,100,10:40:53.483906,10:40:53.593873,0 days 00:00:00.109967
59,10,100,100,10:40:56.617133,10:40:56.726521,0 days 00:00:00.109388
