,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,14:08:19.277077,14:08:19.391751,0 days 00:00:00.114674
1,2,100,0,14:08:22.431557,14:08:22.540594,0 days 00:00:00.109037
2,3,100,0,14:08:25.568461,14:08:25.677527,0 days 00:00:00.109066
3,4,100,0,14:08:28.710035,14:08:28.828695,0 days 00:00:00.118660
4,5,100,0,14:08:31.857062,14:08:31.973422,0 days 00:00:00.116360
5,6,100,0,14:08:35.010422,14:08:35.120383,0 days 00:00:00.109961
6,7,100,0,14:08:38.149834,14:08:38.249864,0 days 00:00:00.100030
7,8,100,0,14:08:41.277981,14:08:41.387950,0 days 00:00:00.109969
8,9,100,0,14:08:44.423301,14:08:44.533281,0 days 00:00:00.109980
9,10,100,0,14:08:47.558163,14:08:47.658191,0 days 00:00:00.100028
10,1,100,20,14:08:50.683624,14:08:50.793598,0 days 00:00:00.109974
11,2,100,20,14:08:53.829295,14:08:53.930467,0 days 00:00:00.101172
12,3,100,20,14:08:56.956135,14:08:57.066101,0 days 00:00:00.109966
13,4,100,20,14:09:00.088328,14:09:00.198312,0 days 00:00:00.109984
14,5,100,20,14:09:03.237847,14:09:03.337881,0 days 00:00:00.100034
15,6,100,20,14:09:06.365674,14:09:06.465697,0 days 00:00:00.100023
16,7,100,20,14:09:09.487597,14:09:09.587914,0 days 00:00:00.100317
17,8,100,20,14:09:12.624497,14:09:12.725330,0 days 00:00:00.100833
18,9,100,20,14:09:15.745763,14:09:15.855748,0 days 00:00:00.109985
19,10,100,20,14:09:18.879730,14:09:18.986282,0 days 00:00:00.106552
20,1,100,40,14:09:22.019671,14:09:22.119708,0 days 00:00:00.100037
21,2,100,40,14:09:25.140855,14:09:25.240890,0 days 00:00:00.100035
22,3,100,40,14:09:28.270276,14:09:28.380263,0 days 00:00:00.109987
23,4,100,40,14:09:31.419348,14:09:31.529314,0 days 00:00:00.109966
24,5,100,40,14:09:34.558131,14:09:34.658208,0 days 00:00:00.100077
25,6,100,40,14:09:37.683055,14:09:37.789129,0 days 00:00:00.106074
26,7,100,40,14:09:40.828902,14:09:40.938873,0 days 00:00:00.109971
27,8,100,40,14:09:43.960868,14:09:44.070838,0 days 00:00:00.109970
28,9,100,40,14:09:47.096174,14:09:47.206151,0 days 00:00:00.109977
29,10,100,40,14:09:50.244474,14:09:50.354439,0 days 00:00:00.109965
30,1,100,60,14:09:53.375007,14:09:53.486981,0 days 00:00:00.111974
31,2,100,60,14:09:56.515185,14:09:56.625155,0 days 00:00:00.109970
32,3,100,60,14:09:59.651727,14:09:59.751732,0 days 00:00:00.100005
33,4,100,60,14:10:02.772661,14:10:02.882630,0 days 00:00:00.109969
34,5,100,60,14:10:05.918411,14:10:06.028401,0 days 00:00:00.109990
35,6,100,60,14:10:09.051811,14:10:09.152988,0 days 00:00:00.101177
36,7,100,60,14:10:12.181307,14:10:12.293302,0 days 00:00:00.111995
37,8,100,60,14:10:15.319083,14:10:15.419144,0 days 00:00:00.100061
38,9,100,60,14:10:18.448459,14:10:18.558420,0 days 00:00:00.109961
39,10,100,60,14:10:21.579599,14:10:21.689579,0 days 00:00:00.109980
40,1,100,80,14:10:24.717369,14:10:24.827352,0 days 00:00:00.109983
41,2,100,80,14:10:27.853967,14:10:27.955025,0 days 00:00:00.101058
42,3,100,80,14:10:30.983259,14:10:31.096313,0 days 00:00:00.113054
43,4,100,80,14:10:34.136003,14:10:34.245984,0 days 00:00:00.109981
44,5,100,80,14:10:37.266792,14:10:37.376765,0 days 00:00:00.109973
45,6,100,80,14:10:40.414191,14:10:40.524206,0 days 00:00:00.110015
46,7,100,80,14:10:43.545488,14:10:43.647558,0 days 00:00:00.102070
47,8,100,80,14:10:46.671438,14:10:46.781419,0 days 00:00:00.109981
48,9,100,80,14:10:49.815900,14:10:49.925859,0 days 00:00:00.109959
49,10,100,80,14:10:52.955644,14:10:53.065645,0 days 00:00:00.110001
50,1,100,100,14:10:56.086856,14:10:56.196843,0 days 00:00:00.109987
51,2,100,100,14:10:59.231210,14:10:59.341193,0 days 00:00:00.109983
52,3,100,100,14:11:02.365074,14:11:02.475048,0 days 00:00:00.109974
53,4,100,100,14:11:05.503084,14:11:05.613068,0 days 00:00:00.109984
54,5,100,100,14:11:08.635889,14:11:08.745855,0 days 00:00:00.109966
55,6,100,100,14:11:11.768929,14:11:11.878922,0 days 00:00:00.109993
56,7,100,100,14:11:14.915625,14:11:15.025631,0 days 00:00:00.110006
57,8,100,100,14:11:18.049217,14:11:18.159173,0 days 00:00:00.109956
58,9,100,100,14:11:21.179471,14:11:21.289427,0 days 00:00:00.109956
59,10,100,100,14:11:24.317582,14:11:24.427544,0 days 00:00:00.109962
