,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,10:42:08.829217,10:42:08.942947,0 days 00:00:00.113730
1,2,100,0,10:42:11.972914,10:42:12.074146,0 days 00:00:00.101232
2,3,100,0,10:42:15.102134,10:42:15.212093,0 days 00:00:00.109959
3,4,100,0,10:42:18.244791,10:42:18.357755,0 days 00:00:00.112964
4,5,100,0,10:42:21.388228,10:42:21.498217,0 days 00:00:00.109989
5,6,100,0,10:42:24.522767,10:42:24.632745,0 days 00:00:00.109978
6,7,100,0,10:42:27.658078,10:42:27.758117,0 days 00:00:00.100039
7,8,100,0,10:42:30.785658,10:42:30.896646,0 days 00:00:00.110988
8,9,100,0,10:42:33.922433,10:42:34.022560,0 days 00:00:00.100127
9,10,100,0,10:42:37.044454,10:42:37.144486,0 days 00:00:00.100032
10,1,100,20,10:42:40.170650,10:42:40.270713,0 days 00:00:00.100063
11,2,100,20,10:42:43.300290,10:42:43.403767,0 days 00:00:00.103477
12,3,100,20,10:42:46.442581,10:42:46.542759,0 days 00:00:00.100178
13,4,100,20,10:42:49.564471,10:42:49.674395,0 days 00:00:00.109924
14,5,100,20,10:42:52.700294,10:42:52.810273,0 days 00:00:00.109979
15,6,100,20,10:42:55.839196,10:42:55.949157,0 days 00:00:00.109961
16,7,100,20,10:42:58.970962,10:42:59.072254,0 days 00:00:00.101292
17,8,100,20,10:43:02.093163,10:43:02.203127,0 days 00:00:00.109964
18,9,100,20,10:43:05.226652,10:43:05.326695,0 days 00:00:00.100043
19,10,100,20,10:43:08.366452,10:43:08.466494,0 days 00:00:00.100042
20,1,100,40,10:43:11.495345,10:43:11.605346,0 days 00:00:00.110001
21,2,100,40,10:43:14.626847,10:43:14.736798,0 days 00:00:00.109951
22,3,100,40,10:43:17.765488,10:43:17.875543,0 days 00:00:00.110055
23,4,100,40,10:43:20.906891,10:43:21.019828,0 days 00:00:00.112937
24,5,100,40,10:43:24.046244,10:43:24.146249,0 days 00:00:00.100005
25,6,100,40,10:43:27.167551,10:43:27.269647,0 days 00:00:00.102096
26,7,100,40,10:43:30.290574,10:43:30.390623,0 days 00:00:00.100049
27,8,100,40,10:43:33.415724,10:43:33.525690,0 days 00:00:00.109966
28,9,100,40,10:43:36.565654,10:43:36.665999,0 days 00:00:00.100345
29,10,100,40,10:43:39.693166,10:43:39.793290,0 days 00:00:00.100124
30,1,100,60,10:43:42.816890,10:43:42.927108,0 days 00:00:00.110218
31,2,100,60,10:43:45.953083,10:43:46.053170,0 days 00:00:00.100087
32,3,100,60,10:43:49.078188,10:43:49.178221,0 days 00:00:00.100033
33,4,100,60,10:43:52.207938,10:43:52.307971,0 days 00:00:00.100033
34,5,100,60,10:43:55.343733,10:43:55.453756,0 days 00:00:00.110023
35,6,100,60,10:43:58.483111,10:43:58.583356,0 days 00:00:00.100245
36,7,100,60,10:44:01.612739,10:44:01.722707,0 days 00:00:00.109968
37,8,100,60,10:44:04.759828,10:44:04.869834,0 days 00:00:00.110006
38,9,100,60,10:44:07.889856,10:44:07.999816,0 days 00:00:00.109960
39,10,100,60,10:44:11.025875,10:44:11.129737,0 days 00:00:00.103862
40,1,100,80,10:44:14.152058,10:44:14.252246,0 days 00:00:00.100188
41,2,100,80,10:44:17.277473,10:44:17.387442,0 days 00:00:00.109969
42,3,100,80,10:44:20.407483,10:44:20.517448,0 days 00:00:00.109965
43,4,100,80,10:44:23.551345,10:44:23.661322,0 days 00:00:00.109977
44,5,100,80,10:44:26.682469,10:44:26.782477,0 days 00:00:00.100008
45,6,100,80,10:44:29.807587,10:44:29.907598,0 days 00:00:00.100011
46,7,100,80,10:44:32.945266,10:44:33.055237,0 days 00:00:00.109971
47,8,100,80,10:44:36.084053,10:44:36.191820,0 days 00:00:00.107767
48,9,100,80,10:44:39.218096,10:44:39.318335,0 days 00:00:00.100239
49,10,100,80,10:44:42.358637,10:44:42.462596,0 days 00:00:00.103959
50,1,100,100,10:44:45.500814,10:44:45.601454,0 days 00:00:00.100640
51,2,100,100,10:44:48.626417,10:44:48.736441,0 days 00:00:00.110024
52,3,100,100,10:44:51.764571,10:44:51.874528,0 days 00:00:00.109957
53,4,100,100,10:44:54.903887,10:44:55.013876,0 days 00:00:00.109989
54,5,100,100,10:44:58.035650,10:44:58.145617,0 days 00:00:00.109967
55,6,100,100,10:45:01.166601,10:45:01.276563,0 days 00:00:00.109962
56,7,100,100,10:45:04.300356,10:45:04.400511,0 days 00:00:00.100155
57,8,100,100,10:45:07.422835,10:45:07.522859,0 days 00:00:00.100024
58,9,100,100,10:45:10.554570,10:45:10.654617,0 days 00:00:00.100047
59,10,100,100,10:45:13.683173,10:45:13.783219,0 days 00:00:00.100046
