,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,14:12:41.152596,14:12:41.254352,0 days 00:00:00.101756
1,2,100,0,14:12:44.293235,14:12:44.394917,0 days 00:00:00.101682
2,3,100,0,14:12:47.431404,14:12:47.541974,0 days 00:00:00.110570
3,4,100,0,14:12:50.576784,14:12:50.679829,0 days 00:00:00.103045
4,5,100,0,14:12:53.706588,14:12:53.816606,0 days 00:00:00.110018
5,6,100,0,14:12:56.840345,14:12:56.950332,0 days 00:00:00.109987
6,7,100,0,14:12:59.980263,14:13:00.080285,0 days 00:00:00.100022
7,8,100,0,14:13:03.106246,14:13:03.216307,0 days 00:00:00.110061
8,9,100,0,14:13:06.237230,14:13:06.337267,0 days 00:00:00.100037
9,10,100,0,14:13:09.367226,14:13:09.467282,0 days 00:00:00.100056
10,1,100,20,14:13:12.496798,14:13:12.596807,0 days 00:00:00.100009
11,2,100,20,14:13:15.625659,14:13:15.739151,0 days 00:00:00.113492
12,3,100,20,14:13:18.764431,14:13:18.874420,0 days 00:00:00.109989
13,4,100,20,14:13:21.907923,14:13:22.014326,0 days 00:00:00.106403
14,5,100,20,14:13:25.043985,14:13:25.149018,0 days 00:00:00.105033
15,6,100,20,14:13:28.169840,14:13:28.279807,0 days 00:00:00.109967
16,7,100,20,14:13:31.305792,14:13:31.415757,0 days 00:00:00.109965
17,8,100,20,14:13:34.445056,14:13:34.551661,0 days 00:00:00.106605
18,9,100,20,14:13:37.571829,14:13:37.681806,0 days 00:00:00.109977
19,10,100,20,14:13:40.720699,14:13:40.830653,0 days 00:00:00.109954
20,1,100,40,14:13:43.860127,14:13:43.970110,0 days 00:00:00.109983
21,2,100,40,14:13:46.998498,14:13:47.108464,0 days 00:00:00.109966
22,3,100,40,14:13:50.137148,14:13:50.247136,0 days 00:00:00.109988
23,4,100,40,14:13:53.268452,14:13:53.368486,0 days 00:00:00.100034
24,5,100,40,14:13:56.397565,14:13:56.507530,0 days 00:00:00.109965
25,6,100,40,14:13:59.535992,14:13:59.645971,0 days 00:00:00.109979
26,7,100,40,14:14:02.668323,14:14:02.778309,0 days 00:00:00.109986
27,8,100,40,14:14:05.810821,14:14:05.920811,0 days 00:00:00.109990
28,9,100,40,14:14:08.947759,14:14:09.055752,0 days 00:00:00.107993
29,10,100,40,14:14:12.076212,14:14:12.176307,0 days 00:00:00.100095
30,1,100,60,14:14:15.197373,14:14:15.312150,0 days 00:00:00.114777
31,2,100,60,14:14:18.332801,14:14:18.442752,0 days 00:00:00.109951
32,3,100,60,14:14:21.464075,14:14:21.564122,0 days 00:00:00.100047
33,4,100,60,14:14:24.587802,14:14:24.687846,0 days 00:00:00.100044
34,5,100,60,14:14:27.713860,14:14:27.823839,0 days 00:00:00.109979
35,6,100,60,14:14:30.850415,14:14:30.954902,0 days 00:00:00.104487
36,7,100,60,14:14:33.981392,14:14:34.091367,0 days 00:00:00.109975
37,8,100,60,14:14:37.127964,14:14:37.237913,0 days 00:00:00.109949
38,9,100,60,14:14:40.260676,14:14:40.370621,0 days 00:00:00.109945
39,10,100,60,14:14:43.394775,14:14:43.502410,0 days 00:00:00.107635
40,1,100,80,14:14:46.529228,14:14:46.629349,0 days 00:00:00.100121
41,2,100,80,14:14:49.657773,14:14:49.767758,0 days 00:00:00.109985
42,3,100,80,14:14:52.793173,14:14:52.893222,0 days 00:00:00.100049
43,4,100,80,14:14:55.913501,14:14:56.023481,0 days 00:00:00.109980
44,5,100,80,14:14:59.050406,14:14:59.150419,0 days 00:00:00.100013
45,6,100,80,14:15:02.177068,14:15:02.287022,0 days 00:00:00.109954
46,7,100,80,14:15:05.319811,14:15:05.422061,0 days 00:00:00.102250
47,8,100,80,14:15:08.443381,14:15:08.553882,0 days 00:00:00.110501
48,9,100,80,14:15:11.574397,14:15:11.674436,0 days 00:00:00.100039
49,10,100,80,14:15:14.701893,14:15:14.801902,0 days 00:00:00.100009
50,1,100,100,14:15:17.821899,14:15:17.931854,0 days 00:00:00.109955
51,2,100,100,14:15:20.953649,14:15:21.063617,0 days 00:00:00.109968
52,3,100,100,14:15:24.085518,14:15:24.195491,0 days 00:00:00.109973
53,4,100,100,14:15:27.235466,14:15:27.335543,0 days 00:00:00.100077
54,5,100,100,14:15:30.365336,14:15:30.475299,0 days 00:00:00.109963
55,6,100,100,14:15:33.510443,14:15:33.620416,0 days 00:00:00.109973
56,7,100,100,14:15:36.641718,14:15:36.752695,0 days 00:00:00.110977
57,8,100,100,14:15:39.774956,14:15:39.875319,0 days 00:00:00.100363
58,9,100,100,14:15:42.904219,14:15:43.014174,0 days 00:00:00.109955
59,10,100,100,14:15:46.041014,14:15:46.153064,0 days 00:00:00.112050
