,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,11:07:34.757881,11:07:34.867901,0 days 00:00:00.110020
1,2,100,0,11:07:37.903782,11:07:38.009171,0 days 00:00:00.105389
2,3,100,0,11:07:41.037816,11:07:41.147788,0 days 00:00:00.109972
3,4,100,0,11:07:44.177321,11:07:44.277327,0 days 00:00:00.100006
4,5,100,0,11:07:47.310385,11:07:47.410466,0 days 00:00:00.100081
5,6,100,0,11:07:50.432972,11:07:50.542952,0 days 00:00:00.109980
6,7,100,0,11:07:53.571452,11:07:53.681125,0 days 00:00:00.109673
7,8,100,0,11:07:56.718365,11:07:56.818475,0 days 00:00:00.100110
8,9,100,0,11:07:59.843243,11:07:59.953232,0 days 00:00:00.109989
9,10,100,0,11:08:02.980967,11:08:03.080988,0 days 00:00:00.100021
10,1,100,20,11:08:06.120675,11:08:06.220719,0 days 00:00:00.100044
11,2,100,20,11:08:09.248530,11:08:09.358453,0 days 00:00:00.109923
12,3,100,20,11:08:12.379730,11:08:12.479816,0 days 00:00:00.100086
13,4,100,20,11:08:15.516219,11:08:15.626210,0 days 00:00:00.109991
14,5,100,20,11:08:18.656184,11:08:18.756191,0 days 00:00:00.100007
15,6,100,20,11:08:21.783410,11:08:21.893373,0 days 00:00:00.109963
16,7,100,20,11:08:24.920394,11:08:25.029413,0 days 00:00:00.109019
17,8,100,20,11:08:28.059083,11:08:28.171564,0 days 00:00:00.112481
18,9,100,20,11:08:31.193201,11:08:31.294240,0 days 00:00:00.101039
19,10,100,20,11:08:34.317167,11:08:34.427048,0 days 00:00:00.109881
20,1,100,40,11:08:37.455188,11:08:37.565168,0 days 00:00:00.109980
21,2,100,40,11:08:40.592780,11:08:40.702744,0 days 00:00:00.109964
22,3,100,40,11:08:43.731779,11:08:43.831792,0 days 00:00:00.100013
23,4,100,40,11:08:46.860398,11:08:46.970315,0 days 00:00:00.109917
24,5,100,40,11:08:50.007089,11:08:50.117059,0 days 00:00:00.109970
25,6,100,40,11:08:53.140135,11:08:53.250101,0 days 00:00:00.109966
26,7,100,40,11:08:56.270289,11:08:56.380321,0 days 00:00:00.110032
27,8,100,40,11:08:59.405206,11:08:59.505317,0 days 00:00:00.100111
28,9,100,40,11:09:02.535294,11:09:02.645258,0 days 00:00:00.109964
29,10,100,40,11:09:05.669482,11:09:05.779471,0 days 00:00:00.109989
30,1,100,60,11:09:08.803567,11:09:08.903808,0 days 00:00:00.100241
31,2,100,60,11:09:11.929393,11:09:12.029447,0 days 00:00:00.100054
32,3,100,60,11:09:15.059340,11:09:15.169287,0 days 00:00:00.109947
33,4,100,60,11:09:18.208914,11:09:18.318869,0 days 00:00:00.109955
34,5,100,60,11:09:21.347998,11:09:21.457982,0 days 00:00:00.109984
35,6,100,60,11:09:24.483834,11:09:24.585619,0 days 00:00:00.101785
36,7,100,60,11:09:27.613730,11:09:27.723701,0 days 00:00:00.109971
37,8,100,60,11:09:30.749095,11:09:30.849205,0 days 00:00:00.100110
38,9,100,60,11:09:33.869676,11:09:33.982187,0 days 00:00:00.112511
39,10,100,60,11:09:37.009832,11:09:37.119755,0 days 00:00:00.109923
40,1,100,80,11:09:40.144062,11:09:40.254021,0 days 00:00:00.109959
41,2,100,80,11:09:43.283863,11:09:43.393854,0 days 00:00:00.109991
42,3,100,80,11:09:46.423433,11:09:46.523505,0 days 00:00:00.100072
43,4,100,80,11:09:49.550272,11:09:49.660258,0 days 00:00:00.109986
44,5,100,80,11:09:52.697961,11:09:52.799022,0 days 00:00:00.101061
45,6,100,80,11:09:55.824456,11:09:55.925142,0 days 00:00:00.100686
46,7,100,80,11:09:58.949944,11:09:59.049957,0 days 00:00:00.100013
47,8,100,80,11:10:02.069996,11:10:02.179991,0 days 00:00:00.109995
48,9,100,80,11:10:05.205778,11:10:05.315771,0 days 00:00:00.109993
49,10,100,80,11:10:08.335834,11:10:08.445797,0 days 00:00:00.109963
50,1,100,100,11:10:11.470405,11:10:11.580494,0 days 00:00:00.110089
51,2,100,100,11:10:14.615971,11:10:14.725901,0 days 00:00:00.109930
52,3,100,100,11:10:17.746295,11:10:17.856198,0 days 00:00:00.109903
53,4,100,100,11:10:20.877406,11:10:20.978195,0 days 00:00:00.100789
54,5,100,100,11:10:24.006357,11:10:24.107553,0 days 00:00:00.101196
55,6,100,100,11:10:27.134918,11:10:27.244886,0 days 00:00:00.109968
56,7,100,100,11:10:30.272996,11:10:30.373061,0 days 00:00:00.100065
57,8,100,100,11:10:33.402700,11:10:33.512671,0 days 00:00:00.109971
58,9,100,100,11:10:36.546186,11:10:36.654578,0 days 00:00:00.108392
59,10,100,100,11:10:39.680311,11:10:39.782401,0 days 00:00:00.102090
