,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,10:29:21.506963,10:29:21.608224,0 days 00:00:00.101261
1,2,100,0,10:29:24.632226,10:29:24.742189,0 days 00:00:00.109963
2,3,100,0,10:29:27.780480,10:29:27.890453,0 days 00:00:00.109973
3,4,100,0,10:29:30.911183,10:29:31.021157,0 days 00:00:00.109974
4,5,100,0,10:29:34.044313,10:29:34.164261,0 days 00:00:00.119948
5,6,100,0,10:29:37.191780,10:29:37.301741,0 days 00:00:00.109961
6,7,100,0,10:29:40.326823,10:29:40.436790,0 days 00:00:00.109967
7,8,100,0,10:29:43.474452,10:29:43.584411,0 days 00:00:00.109959
8,9,100,0,10:29:46.614220,10:29:46.714242,0 days 00:00:00.100022
9,10,100,0,10:29:49.737915,10:29:49.847887,0 days 00:00:00.109972
10,1,100,20,10:29:52.875269,10:29:52.985243,0 days 00:00:00.109974
11,2,100,20,10:29:56.007452,10:29:56.110304,0 days 00:00:00.102852
12,3,100,20,10:29:59.139206,10:29:59.239538,0 days 00:00:00.100332
13,4,100,20,10:30:02.267086,10:30:02.368571,0 days 00:00:00.101485
14,5,100,20,10:30:05.400978,10:30:05.514942,0 days 00:00:00.113964
15,6,100,20,10:30:08.540258,10:30:08.643356,0 days 00:00:00.103098
16,7,100,20,10:30:11.682302,10:30:11.792275,0 days 00:00:00.109973
17,8,100,20,10:30:14.814398,10:30:14.924357,0 days 00:00:00.109959
18,9,100,20,10:30:17.949111,10:30:18.058169,0 days 00:00:00.109058
19,10,100,20,10:30:21.092228,10:30:21.195758,0 days 00:00:00.103530
20,1,100,40,10:30:24.225629,10:30:24.325789,0 days 00:00:00.100160
21,2,100,40,10:30:27.364781,10:30:27.474053,0 days 00:00:00.109272
22,3,100,40,10:30:30.499711,10:30:30.600679,0 days 00:00:00.100968
23,4,100,40,10:30:33.627159,10:30:33.737127,0 days 00:00:00.109968
24,5,100,40,10:30:36.771569,10:30:36.881486,0 days 00:00:00.109917
25,6,100,40,10:30:39.910965,10:30:40.020943,0 days 00:00:00.109978
26,7,100,40,10:30:43.046166,10:30:43.158418,0 days 00:00:00.112252
27,8,100,40,10:30:46.186268,10:30:46.295768,0 days 00:00:00.109500
28,9,100,40,10:30:49.320556,10:30:49.430520,0 days 00:00:00.109964
29,10,100,40,10:30:52.460900,10:30:52.561072,0 days 00:00:00.100172
30,1,100,60,10:30:55.583343,10:30:55.683415,0 days 00:00:00.100072
31,2,100,60,10:30:58.713271,10:30:58.823233,0 days 00:00:00.109962
32,3,100,60,10:31:01.849098,10:31:01.959056,0 days 00:00:00.109958
33,4,100,60,10:31:04.988022,10:31:05.089954,0 days 00:00:00.101932
34,5,100,60,10:31:08.131914,10:31:08.241878,0 days 00:00:00.109964
35,6,100,60,10:31:11.270961,10:31:11.371717,0 days 00:00:00.100756
36,7,100,60,10:31:14.394016,10:31:14.504001,0 days 00:00:00.109985
37,8,100,60,10:31:17.532971,10:31:17.633432,0 days 00:00:00.100461
38,9,100,60,10:31:20.666817,10:31:20.776773,0 days 00:00:00.109956
39,10,100,60,10:31:23.805553,10:31:23.907318,0 days 00:00:00.101765
40,1,100,80,10:31:26.934579,10:31:27.039476,0 days 00:00:00.104897
41,2,100,80,10:31:30.063805,10:31:30.173786,0 days 00:00:00.109981
42,3,100,80,10:31:33.203229,10:31:33.313241,0 days 00:00:00.110012
43,4,100,80,10:31:36.341007,10:31:36.451009,0 days 00:00:00.110002
44,5,100,80,10:31:39.483714,10:31:39.593681,0 days 00:00:00.109967
45,6,100,80,10:31:42.622279,10:31:42.723033,0 days 00:00:00.100754
46,7,100,80,10:31:45.761019,10:31:45.861487,0 days 00:00:00.100468
47,8,100,80,10:31:48.882573,10:31:48.982581,0 days 00:00:00.100008
48,9,100,80,10:31:52.011397,10:31:52.116505,0 days 00:00:00.105108
49,10,100,80,10:31:55.137727,10:31:55.237765,0 days 00:00:00.100038
50,1,100,100,10:31:58.258883,10:31:58.359855,0 days 00:00:00.100972
51,2,100,100,10:32:01.390632,10:32:01.503230,0 days 00:00:00.112598
52,3,100,100,10:32:04.527708,10:32:04.637695,0 days 00:00:00.109987
53,4,100,100,10:32:07.667103,10:32:07.768636,0 days 00:00:00.101533
54,5,100,100,10:32:10.793449,10:32:10.895631,0 days 00:00:00.102182
55,6,100,100,10:32:13.916230,10:32:14.026199,0 days 00:00:00.109969
56,7,100,100,10:32:17.060390,10:32:17.162023,0 days 00:00:00.101633
57,8,100,100,10:32:20.185306,10:32:20.285421,0 days 00:00:00.100115
58,9,100,100,10:32:23.305824,10:32:23.415795,0 days 00:00:00.109971
59,10,100,100,10:32:26.439262,10:32:26.539393,0 days 00:00:00.100131
