,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,13:43:49.505625,13:43:49.613595,0 days 00:00:00.107970
1,2,100,0,13:43:52.636034,13:43:52.746012,0 days 00:00:00.109978
2,3,100,0,13:43:55.767790,13:43:55.874346,0 days 00:00:00.106556
3,4,100,0,13:43:58.901517,13:43:59.012524,0 days 00:00:00.111007
4,5,100,0,13:44:02.038661,13:44:02.148453,0 days 00:00:00.109792
5,6,100,0,13:44:05.174504,13:44:05.284475,0 days 00:00:00.109971
6,7,100,0,13:44:08.316377,13:44:08.424358,0 days 00:00:00.107981
7,8,100,0,13:44:11.455501,13:44:11.555509,0 days 00:00:00.100008
8,9,100,0,13:44:14.577130,13:44:14.687044,0 days 00:00:00.109914
9,10,100,0,13:44:17.708491,13:44:17.818480,0 days 00:00:00.109989
10,1,100,20,13:44:20.840089,13:44:20.950065,0 days 00:00:00.109976
11,2,100,20,13:44:23.973829,13:44:24.074107,0 days 00:00:00.100278
12,3,100,20,13:44:27.103083,13:44:27.217071,0 days 00:00:00.113988
13,4,100,20,13:44:30.241216,13:44:30.351181,0 days 00:00:00.109965
14,5,100,20,13:44:33.370595,13:44:33.470603,0 days 00:00:00.100008
15,6,100,20,13:44:36.495736,13:44:36.596549,0 days 00:00:00.100813
16,7,100,20,13:44:39.620820,13:44:39.723907,0 days 00:00:00.103087
17,8,100,20,13:44:42.746192,13:44:42.856271,0 days 00:00:00.110079
18,9,100,20,13:44:45.878245,13:44:45.988237,0 days 00:00:00.109992
19,10,100,20,13:44:49.021907,13:44:49.126085,0 days 00:00:00.104178
20,1,100,40,13:44:52.161682,13:44:52.271648,0 days 00:00:00.109966
21,2,100,40,13:44:55.296383,13:44:55.406346,0 days 00:00:00.109963
22,3,100,40,13:44:58.431895,13:44:58.541847,0 days 00:00:00.109952
23,4,100,40,13:45:01.563081,13:45:01.673049,0 days 00:00:00.109968
24,5,100,40,13:45:04.702030,13:45:04.811977,0 days 00:00:00.109947
25,6,100,40,13:45:07.839709,13:45:07.939717,0 days 00:00:00.100008
26,7,100,40,13:45:10.962010,13:45:11.062039,0 days 00:00:00.100029
27,8,100,40,13:45:14.091423,13:45:14.192829,0 days 00:00:00.101406
28,9,100,40,13:45:17.222931,13:45:17.330435,0 days 00:00:00.107504
29,10,100,40,13:45:20.361168,13:45:20.461172,0 days 00:00:00.100004
30,1,100,60,13:45:23.487398,13:45:23.597367,0 days 00:00:00.109969
31,2,100,60,13:45:26.627354,13:45:26.737324,0 days 00:00:00.109970
32,3,100,60,13:45:29.763987,13:45:29.873961,0 days 00:00:00.109974
33,4,100,60,13:45:32.896431,13:45:33.006409,0 days 00:00:00.109978
34,5,100,60,13:45:36.034392,13:45:36.134397,0 days 00:00:00.100005
35,6,100,60,13:45:39.164145,13:45:39.264652,0 days 00:00:00.100507
36,7,100,60,13:45:42.289477,13:45:42.389648,0 days 00:00:00.100171
37,8,100,60,13:45:45.413469,13:45:45.513475,0 days 00:00:00.100006
38,9,100,60,13:45:48.535875,13:45:48.645807,0 days 00:00:00.109932
39,10,100,60,13:45:51.675086,13:45:51.785045,0 days 00:00:00.109959
40,1,100,80,13:45:54.811884,13:45:54.913232,0 days 00:00:00.101348
41,2,100,80,13:45:57.933836,13:45:58.033855,0 days 00:00:00.100019
42,3,100,80,13:46:01.071120,13:46:01.171283,0 days 00:00:00.100163
43,4,100,80,13:46:04.199609,13:46:04.309573,0 days 00:00:00.109964
44,5,100,80,13:46:07.337490,13:46:07.437523,0 days 00:00:00.100033
45,6,100,80,13:46:10.471953,13:46:10.572065,0 days 00:00:00.100112
46,7,100,80,13:46:13.601690,13:46:13.702650,0 days 00:00:00.100960
47,8,100,80,13:46:16.730938,13:46:16.840971,0 days 00:00:00.110033
48,9,100,80,13:46:19.868989,13:46:19.978970,0 days 00:00:00.109981
49,10,100,80,13:46:23.006773,13:46:23.108045,0 days 00:00:00.101272
50,1,100,100,13:46:26.132356,13:46:26.241360,0 days 00:00:00.109004
51,2,100,100,13:46:29.269268,13:46:29.369286,0 days 00:00:00.100018
52,3,100,100,13:46:32.392479,13:46:32.502442,0 days 00:00:00.109963
53,4,100,100,13:46:35.535369,13:46:35.650938,0 days 00:00:00.115569
54,5,100,100,13:46:38.677197,13:46:38.787167,0 days 00:00:00.109970
55,6,100,100,13:46:41.810473,13:46:41.920467,0 days 00:00:00.109994
56,7,100,100,13:46:44.958085,13:46:45.058128,0 days 00:00:00.100043
57,8,100,100,13:46:48.088055,13:46:48.198020,0 days 00:00:00.109965
58,9,100,100,13:46:51.227048,13:46:51.340535,0 days 00:00:00.113487
59,10,100,100,13:46:54.363561,13:46:54.473518,0 days 00:00:00.109957
