,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,10:51:28.834334,10:51:28.942404,0 days 00:00:00.108070
1,2,100,0,10:51:31.962924,10:51:32.073010,0 days 00:00:00.110086
2,3,100,0,10:51:35.102776,10:51:35.212742,0 days 00:00:00.109966
3,4,100,0,10:51:38.237171,10:51:38.347128,0 days 00:00:00.109957
4,5,100,0,10:51:41.367831,10:51:41.467852,0 days 00:00:00.100021
5,6,100,0,10:51:44.496577,10:51:44.606552,0 days 00:00:00.109975
6,7,100,0,10:51:47.646248,10:51:47.756207,0 days 00:00:00.109959
7,8,100,0,10:51:50.781376,10:51:50.881511,0 days 00:00:00.100135
8,9,100,0,10:51:53.906224,10:51:54.006270,0 days 00:00:00.100046
9,10,100,0,10:51:57.032932,10:51:57.142871,0 days 00:00:00.109939
10,1,100,20,10:52:00.171319,10:52:00.279861,0 days 00:00:00.108542
11,2,100,20,10:52:03.308349,10:52:03.408351,0 days 00:00:00.100002
12,3,100,20,10:52:06.436657,10:52:06.536660,0 days 00:00:00.100003
13,4,100,20,10:52:09.566332,10:52:09.676318,0 days 00:00:00.109986
14,5,100,20,10:52:12.698096,10:52:12.808065,0 days 00:00:00.109969
15,6,100,20,10:52:15.845000,10:52:15.945360,0 days 00:00:00.100360
16,7,100,20,10:52:18.974952,10:52:19.079101,0 days 00:00:00.104149
17,8,100,20,10:52:22.099548,10:52:22.209523,0 days 00:00:00.109975
18,9,100,20,10:52:25.235378,10:52:25.335839,0 days 00:00:00.100461
19,10,100,20,10:52:28.359148,10:52:28.476681,0 days 00:00:00.117533
20,1,100,40,10:52:31.508045,10:52:31.610237,0 days 00:00:00.102192
21,2,100,40,10:52:34.630856,10:52:34.732459,0 days 00:00:00.101603
22,3,100,40,10:52:37.755388,10:52:37.856023,0 days 00:00:00.100635
23,4,100,40,10:52:40.876830,10:52:40.976858,0 days 00:00:00.100028
24,5,100,40,10:52:43.998603,10:52:44.108572,0 days 00:00:00.109969
25,6,100,40,10:52:47.137724,10:52:47.238993,0 days 00:00:00.101269
26,7,100,40,10:52:50.259002,10:52:50.368973,0 days 00:00:00.109971
27,8,100,40,10:52:53.389756,10:52:53.490832,0 days 00:00:00.101076
28,9,100,40,10:52:56.527061,10:52:56.627083,0 days 00:00:00.100022
29,10,100,40,10:52:59.656256,10:52:59.756293,0 days 00:00:00.100037
30,1,100,60,10:53:02.776514,10:53:02.876525,0 days 00:00:00.100011
31,2,100,60,10:53:05.905494,10:53:06.015812,0 days 00:00:00.110318
32,3,100,60,10:53:09.037081,10:53:09.147051,0 days 00:00:00.109970
33,4,100,60,10:53:12.169117,10:53:12.269130,0 days 00:00:00.100013
34,5,100,60,10:53:15.290945,10:53:15.400911,0 days 00:00:00.109966
35,6,100,60,10:53:18.421786,10:53:18.522573,0 days 00:00:00.100787
36,7,100,60,10:53:21.548633,10:53:21.658587,0 days 00:00:00.109954
37,8,100,60,10:53:24.693197,10:53:24.796724,0 days 00:00:00.103527
38,9,100,60,10:53:27.832034,10:53:27.942005,0 days 00:00:00.109971
39,10,100,60,10:53:30.962135,10:53:31.072105,0 days 00:00:00.109970
40,1,100,80,10:53:34.094588,10:53:34.203960,0 days 00:00:00.109372
41,2,100,80,10:53:37.229728,10:53:37.330597,0 days 00:00:00.100869
42,3,100,80,10:53:40.358038,10:53:40.467993,0 days 00:00:00.109955
43,4,100,80,10:53:43.488586,10:53:43.598570,0 days 00:00:00.109984
44,5,100,80,10:53:46.621681,10:53:46.721755,0 days 00:00:00.100074
45,6,100,80,10:53:49.747705,10:53:49.857672,0 days 00:00:00.109967
46,7,100,80,10:53:52.880707,10:53:52.990670,0 days 00:00:00.109963
47,8,100,80,10:53:56.029121,10:53:56.129139,0 days 00:00:00.100018
48,9,100,80,10:53:59.152886,10:53:59.253413,0 days 00:00:00.100527
49,10,100,80,10:54:02.282828,10:54:02.383202,0 days 00:00:00.100374
50,1,100,100,10:54:05.403452,10:54:05.513447,0 days 00:00:00.109995
51,2,100,100,10:54:08.540308,10:54:08.650278,0 days 00:00:00.109970
52,3,100,100,10:54:11.679349,10:54:11.789320,0 days 00:00:00.109971
53,4,100,100,10:54:14.816481,10:54:14.926444,0 days 00:00:00.109963
54,5,100,100,10:54:17.955663,10:54:18.065652,0 days 00:00:00.109989
55,6,100,100,10:54:21.086521,10:54:21.194154,0 days 00:00:00.107633
56,7,100,100,10:54:24.219243,10:54:24.329092,0 days 00:00:00.109849
57,8,100,100,10:54:27.370941,10:54:27.484161,0 days 00:00:00.113220
58,9,100,100,10:54:30.522288,10:54:30.622328,0 days 00:00:00.100040
59,10,100,100,10:54:33.650265,10:54:33.760241,0 days 00:00:00.109976
