,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,13:56:22.742974,13:56:22.851174,0 days 00:00:00.108200
1,2,100,0,13:56:25.879811,13:56:25.980849,0 days 00:00:00.101038
2,3,100,0,13:56:29.010361,13:56:29.110381,0 days 00:00:00.100020
3,4,100,0,13:56:32.131149,13:56:32.231619,0 days 00:00:00.100470
4,5,100,0,13:56:35.253317,13:56:35.363292,0 days 00:00:00.109975
5,6,100,0,13:56:38.387778,13:56:38.497742,0 days 00:00:00.109964
6,7,100,0,13:56:41.526679,13:56:41.636700,0 days 00:00:00.110021
7,8,100,0,13:56:44.664929,13:56:44.774942,0 days 00:00:00.110013
8,9,100,0,13:56:47.795844,13:56:47.895868,0 days 00:00:00.100024
9,10,100,0,13:56:50.916722,13:56:51.026685,0 days 00:00:00.109963
10,1,100,20,13:56:54.049330,13:56:54.164385,0 days 00:00:00.115055
11,2,100,20,13:56:57.197926,13:56:57.303433,0 days 00:00:00.105507
12,3,100,20,13:57:00.324578,13:57:00.434701,0 days 00:00:00.110123
13,4,100,20,13:57:03.457233,13:57:03.557241,0 days 00:00:00.100008
14,5,100,20,13:57:06.580812,13:57:06.690770,0 days 00:00:00.109958
15,6,100,20,13:57:09.712516,13:57:09.812623,0 days 00:00:00.100107
16,7,100,20,13:57:12.843300,13:57:12.953264,0 days 00:00:00.109964
17,8,100,20,13:57:15.982107,13:57:16.082280,0 days 00:00:00.100173
18,9,100,20,13:57:19.105944,13:57:19.215910,0 days 00:00:00.109966
19,10,100,20,13:57:22.252343,13:57:22.362319,0 days 00:00:00.109976
20,1,100,40,13:57:25.383649,13:57:25.483686,0 days 00:00:00.100037
21,2,100,40,13:57:28.504932,13:57:28.614897,0 days 00:00:00.109965
22,3,100,40,13:57:31.653984,13:57:31.763950,0 days 00:00:00.109966
23,4,100,40,13:57:34.786739,13:57:34.886941,0 days 00:00:00.100202
24,5,100,40,13:57:37.908634,13:57:38.017260,0 days 00:00:00.108626
25,6,100,40,13:57:41.060323,13:57:41.170220,0 days 00:00:00.109897
26,7,100,40,13:57:44.196161,13:57:44.296722,0 days 00:00:00.100561
27,8,100,40,13:57:47.317177,13:57:47.417456,0 days 00:00:00.100279
28,9,100,40,13:57:50.449723,13:57:50.549997,0 days 00:00:00.100274
29,10,100,40,13:57:53.569988,13:57:53.679947,0 days 00:00:00.109959
30,1,100,60,13:57:56.702879,13:57:56.803011,0 days 00:00:00.100132
31,2,100,60,13:57:59.840886,13:57:59.950826,0 days 00:00:00.109940
32,3,100,60,13:58:02.972527,13:58:03.072577,0 days 00:00:00.100050
33,4,100,60,13:58:06.096778,13:58:06.196805,0 days 00:00:00.100027
34,5,100,60,13:58:09.217594,13:58:09.317683,0 days 00:00:00.100089
35,6,100,60,13:58:12.344998,13:58:12.445132,0 days 00:00:00.100134
36,7,100,60,13:58:15.470021,13:58:15.570064,0 days 00:00:00.100043
37,8,100,60,13:58:18.594106,13:58:18.694159,0 days 00:00:00.100053
38,9,100,60,13:58:21.717139,13:58:21.817707,0 days 00:00:00.100568
39,10,100,60,13:58:24.855590,13:58:24.955774,0 days 00:00:00.100184
40,1,100,80,13:58:27.976202,13:58:28.076371,0 days 00:00:00.100169
41,2,100,80,13:58:31.100094,13:58:31.210047,0 days 00:00:00.109953
42,3,100,80,13:58:34.245576,13:58:34.352345,0 days 00:00:00.106769
43,4,100,80,13:58:37.380959,13:58:37.490921,0 days 00:00:00.109962
44,5,100,80,13:58:40.516869,13:58:40.617050,0 days 00:00:00.100181
45,6,100,80,13:58:43.651571,13:58:43.761587,0 days 00:00:00.110016
46,7,100,80,13:58:46.785478,13:58:46.886219,0 days 00:00:00.100741
47,8,100,80,13:58:49.909722,13:58:50.019622,0 days 00:00:00.109900
48,9,100,80,13:58:53.059975,13:58:53.162344,0 days 00:00:00.102369
49,10,100,80,13:58:56.188834,13:58:56.298799,0 days 00:00:00.109965
50,1,100,100,13:58:59.336995,13:58:59.446961,0 days 00:00:00.109966
51,2,100,100,13:59:02.467331,13:59:02.567342,0 days 00:00:00.100011
52,3,100,100,13:59:05.593010,13:59:05.702976,0 days 00:00:00.109966
53,4,100,100,13:59:08.726888,13:59:08.826897,0 days 00:00:00.100009
54,5,100,100,13:59:11.847291,13:59:11.957159,0 days 00:00:00.109868
55,6,100,100,13:59:14.983057,13:59:15.083635,0 days 00:00:00.100578
56,7,100,100,13:59:18.111726,13:59:18.211743,0 days 00:00:00.100017
57,8,100,100,13:59:21.243737,13:59:21.353693,0 days 00:00:00.109956
58,9,100,100,13:59:24.378446,13:59:24.488408,0 days 00:00:00.109962
59,10,100,100,13:59:27.510825,13:59:27.611022,0 days 00:00:00.100197
