,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,10:59:33.593862,10:59:33.698569,0 days 00:00:00.104707
1,2,100,0,10:59:36.734345,10:59:36.834359,0 days 00:00:00.100014
2,3,100,0,10:59:39.860068,10:59:39.970036,0 days 00:00:00.109968
3,4,100,0,10:59:42.991558,10:59:43.100487,0 days 00:00:00.108929
4,5,100,0,10:59:46.135255,10:59:46.245226,0 days 00:00:00.109971
5,6,100,0,10:59:49.272586,10:59:49.380659,0 days 00:00:00.108073
6,7,100,0,10:59:52.414509,10:59:52.524477,0 days 00:00:00.109968
7,8,100,0,10:59:55.551441,10:59:55.661416,0 days 00:00:00.109975
8,9,100,0,10:59:58.686441,10:59:58.787759,0 days 00:00:00.101318
9,10,100,0,11:00:01.815963,11:00:01.925928,0 days 00:00:00.109965
10,1,100,20,11:00:04.945926,11:00:05.055904,0 days 00:00:00.109978
11,2,100,20,11:00:08.082620,11:00:08.192602,0 days 00:00:00.109982
12,3,100,20,11:00:11.220156,11:00:11.330120,0 days 00:00:00.109964
13,4,100,20,11:00:14.360024,11:00:14.469647,0 days 00:00:00.109623
14,5,100,20,11:00:17.496211,11:00:17.596253,0 days 00:00:00.100042
15,6,100,20,11:00:20.634400,11:00:20.744373,0 days 00:00:00.109973
16,7,100,20,11:00:23.781711,11:00:23.881969,0 days 00:00:00.100258
17,8,100,20,11:00:26.915449,11:00:27.015552,0 days 00:00:00.100103
18,9,100,20,11:00:30.038888,11:00:30.138922,0 days 00:00:00.100034
19,10,100,20,11:00:33.165941,11:00:33.265961,0 days 00:00:00.100020
20,1,100,40,11:00:36.288370,11:00:36.388680,0 days 00:00:00.100310
21,2,100,40,11:00:39.417770,11:00:39.517785,0 days 00:00:00.100015
22,3,100,40,11:00:42.542419,11:00:42.642569,0 days 00:00:00.100150
23,4,100,40,11:00:45.667014,11:00:45.776978,0 days 00:00:00.109964
24,5,100,40,11:00:48.814602,11:00:48.924548,0 days 00:00:00.109946
25,6,100,40,11:00:51.950329,11:00:52.060302,0 days 00:00:00.109973
26,7,100,40,11:00:55.084386,11:00:55.192356,0 days 00:00:00.107970
27,8,100,40,11:00:58.212822,11:00:58.312830,0 days 00:00:00.100008
28,9,100,40,11:01:01.333881,11:01:01.439836,0 days 00:00:00.105955
29,10,100,40,11:01:04.470137,11:01:04.583629,0 days 00:00:00.113492
30,1,100,60,11:01:07.610745,11:01:07.720699,0 days 00:00:00.109954
31,2,100,60,11:01:10.750006,11:01:10.850007,0 days 00:00:00.100001
32,3,100,60,11:01:13.875792,11:01:13.985789,0 days 00:00:00.109997
33,4,100,60,11:01:17.017938,11:01:17.127901,0 days 00:00:00.109963
34,5,100,60,11:01:20.157828,11:01:20.257970,0 days 00:00:00.100142
35,6,100,60,11:01:23.285077,11:01:23.392564,0 days 00:00:00.107487
36,7,100,60,11:01:26.418697,11:01:26.528669,0 days 00:00:00.109972
37,8,100,60,11:01:29.551485,11:01:29.661458,0 days 00:00:00.109973
38,9,100,60,11:01:32.685987,11:01:32.795997,0 days 00:00:00.110010
39,10,100,60,11:01:35.825740,11:01:35.928841,0 days 00:00:00.103101
40,1,100,80,11:01:38.950306,11:01:39.060269,0 days 00:00:00.109963
41,2,100,80,11:01:42.088904,11:01:42.198131,0 days 00:00:00.109227
42,3,100,80,11:01:45.224577,11:01:45.334558,0 days 00:00:00.109981
43,4,100,80,11:01:48.358171,11:01:48.468081,0 days 00:00:00.109910
44,5,100,80,11:01:51.489228,11:01:51.594108,0 days 00:00:00.104880
45,6,100,80,11:01:54.619712,11:01:54.729659,0 days 00:00:00.109947
46,7,100,80,11:01:57.753102,11:01:57.862924,0 days 00:00:00.109822
47,8,100,80,11:02:00.889223,11:02:00.993798,0 days 00:00:00.104575
48,9,100,80,11:02:04.016438,11:02:04.117632,0 days 00:00:00.101194
49,10,100,80,11:02:07.146756,11:02:07.256744,0 days 00:00:00.109988
50,1,100,100,11:02:10.284271,11:02:10.394371,0 days 00:00:00.110100
51,2,100,100,11:02:13.430997,11:02:13.540969,0 days 00:00:00.109972
52,3,100,100,11:02:16.568808,11:02:16.668958,0 days 00:00:00.100150
53,4,100,100,11:02:19.692750,11:02:19.802709,0 days 00:00:00.109959
54,5,100,100,11:02:22.830073,11:02:22.930088,0 days 00:00:00.100015
55,6,100,100,11:02:25.952232,11:02:26.062191,0 days 00:00:00.109959
56,7,100,100,11:02:29.084112,11:02:29.194079,0 days 00:00:00.109967
57,8,100,100,11:02:32.218886,11:02:32.320130,0 days 00:00:00.101244
58,9,100,100,11:02:35.345871,11:02:35.455835,0 days 00:00:00.109964
59,10,100,100,11:02:38.484269,11:02:38.594275,0 days 00:00:00.110006
