,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,14:29:36.259256,14:29:36.365769,0 days 00:00:00.106513
1,2,100,0,14:29:39.406927,14:29:39.519326,0 days 00:00:00.112399
2,3,100,0,14:29:42.548883,14:29:42.660632,0 days 00:00:00.111749
3,4,100,0,14:29:45.685998,14:29:45.795918,0 days 00:00:00.109920
4,5,100,0,14:29:48.823779,14:29:48.933720,0 days 00:00:00.109941
5,6,100,0,14:29:51.962361,14:29:52.072355,0 days 00:00:00.109994
6,7,100,0,14:29:55.098515,14:29:55.208444,0 days 00:00:00.109929
7,8,100,0,14:29:58.234593,14:29:58.344535,0 days 00:00:00.109942
8,9,100,0,14:30:01.384340,14:30:01.494281,0 days 00:00:00.109941
9,10,100,0,14:30:04.522040,14:30:04.631983,0 days 00:00:00.109943
10,1,100,20,14:30:07.658987,14:30:07.768929,0 days 00:00:00.109942
11,2,100,20,14:30:10.798742,14:30:10.908683,0 days 00:00:00.109941
12,3,100,20,14:30:13.938633,14:30:14.038754,0 days 00:00:00.100121
13,4,100,20,14:30:17.064438,14:30:17.174280,0 days 00:00:00.109842
14,5,100,20,14:30:20.197841,14:30:20.317777,0 days 00:00:00.119936
15,6,100,20,14:30:23.340540,14:30:23.450485,0 days 00:00:00.109945
16,7,100,20,14:30:26.471295,14:30:26.584769,0 days 00:00:00.113474
17,8,100,20,14:30:29.610002,14:30:29.719944,0 days 00:00:00.109942
18,9,100,20,14:30:32.746964,14:30:32.856906,0 days 00:00:00.109942
19,10,100,20,14:30:35.891274,14:30:36.001214,0 days 00:00:00.109940
20,1,100,40,14:30:39.029415,14:30:39.129425,0 days 00:00:00.100010
21,2,100,40,14:30:42.152602,14:30:42.262543,0 days 00:00:00.109941
22,3,100,40,14:30:45.283276,14:30:45.393217,0 days 00:00:00.109941
23,4,100,40,14:30:48.421920,14:30:48.531850,0 days 00:00:00.109930
24,5,100,40,14:30:51.552816,14:30:51.662759,0 days 00:00:00.109943
25,6,100,40,14:30:54.687131,14:30:54.796985,0 days 00:00:00.109854
26,7,100,40,14:30:57.818165,14:30:57.928104,0 days 00:00:00.109939
27,8,100,40,14:31:00.954299,14:31:01.064240,0 days 00:00:00.109941
28,9,100,40,14:31:04.099234,14:31:04.209176,0 days 00:00:00.109942
29,10,100,40,14:31:07.237675,14:31:07.337732,0 days 00:00:00.100057
30,1,100,60,14:31:10.358213,14:31:10.468154,0 days 00:00:00.109941
31,2,100,60,14:31:13.494138,14:31:13.604081,0 days 00:00:00.109943
32,3,100,60,14:31:16.634413,14:31:16.744352,0 days 00:00:00.109939
33,4,100,60,14:31:19.782971,14:31:19.892965,0 days 00:00:00.109994
34,5,100,60,14:31:22.914929,14:31:23.024871,0 days 00:00:00.109942
35,6,100,60,14:31:26.047462,14:31:26.157402,0 days 00:00:00.109940
36,7,100,60,14:31:29.192453,14:31:29.302321,0 days 00:00:00.109868
37,8,100,60,14:31:32.331969,14:31:32.441832,0 days 00:00:00.109863
38,9,100,60,14:31:35.469623,14:31:35.579640,0 days 00:00:00.110017
39,10,100,60,14:31:38.608878,14:31:38.718819,0 days 00:00:00.109941
40,1,100,80,14:31:41.747460,14:31:41.857402,0 days 00:00:00.109942
41,2,100,80,14:31:44.887402,14:31:44.997343,0 days 00:00:00.109941
42,3,100,80,14:31:48.019165,14:31:48.129106,0 days 00:00:00.109941
43,4,100,80,14:31:51.150091,14:31:51.260031,0 days 00:00:00.109940
44,5,100,80,14:31:54.280075,14:31:54.390015,0 days 00:00:00.109940
45,6,100,80,14:31:57.415652,14:31:57.525593,0 days 00:00:00.109941
46,7,100,80,14:32:00.545925,14:32:00.655866,0 days 00:00:00.109941
47,8,100,80,14:32:03.685012,14:32:03.786263,0 days 00:00:00.101251
48,9,100,80,14:32:06.806279,14:32:06.916260,0 days 00:00:00.109981
49,10,100,80,14:32:09.944865,14:32:10.045354,0 days 00:00:00.100489
50,1,100,100,14:32:13.084257,14:32:13.194197,0 days 00:00:00.109940
51,2,100,100,14:32:16.223975,14:32:16.333915,0 days 00:00:00.109940
52,3,100,100,14:32:19.359834,14:32:19.469775,0 days 00:00:00.109941
53,4,100,100,14:32:22.497438,14:32:22.607378,0 days 00:00:00.109940
54,5,100,100,14:32:25.628362,14:32:25.738277,0 days 00:00:00.109915
55,6,100,100,14:32:28.759798,14:32:28.869741,0 days 00:00:00.109943
56,7,100,100,14:32:31.889853,14:32:31.999793,0 days 00:00:00.109940
57,8,100,100,14:32:35.020452,14:32:35.130394,0 days 00:00:00.109942
58,9,100,100,14:32:38.156192,14:32:38.266133,0 days 00:00:00.109941
59,10,100,100,14:32:41.299032,14:32:41.408973,0 days 00:00:00.109941
