,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,11:32:09.274617,11:32:09.480496,0 days 00:00:00.205879
1,2,200,0,11:32:12.506267,11:32:12.713673,0 days 00:00:00.207406
2,3,200,0,11:32:15.743493,11:32:15.951204,0 days 00:00:00.207711
3,4,200,0,11:32:18.990545,11:32:19.201190,0 days 00:00:00.210645
4,5,200,0,11:32:22.232354,11:32:22.453292,0 days 00:00:00.220938
5,6,200,0,11:32:25.491597,11:32:25.701066,0 days 00:00:00.209469
6,7,200,0,11:32:28.733048,11:32:28.953455,0 days 00:00:00.220407
7,8,200,0,11:32:31.993387,11:32:32.199459,0 days 00:00:00.206072
8,9,200,0,11:32:35.221990,11:32:35.431581,0 days 00:00:00.209591
9,10,200,0,11:32:38.455279,11:32:38.664678,0 days 00:00:00.209399
10,1,200,20,11:32:41.705084,11:32:41.914092,0 days 00:00:00.209008
11,2,200,20,11:32:44.940542,11:32:45.152737,0 days 00:00:00.212195
12,3,200,20,11:32:48.192102,11:32:48.399957,0 days 00:00:00.207855
13,4,200,20,11:32:51.437859,11:32:51.651955,0 days 00:00:00.214096
14,5,200,20,11:32:54.691623,11:32:54.899745,0 days 00:00:00.208122
15,6,200,20,11:32:57.930685,11:32:58.137549,0 days 00:00:00.206864
16,7,200,20,11:33:01.176512,11:33:01.384356,0 days 00:00:00.207844
17,8,200,20,11:33:04.413132,11:33:04.613525,0 days 00:00:00.200393
18,9,200,20,11:33:07.653659,11:33:07.870225,0 days 00:00:00.216566
19,10,200,20,11:33:10.905194,11:33:11.120031,0 days 00:00:00.214837
20,1,200,40,11:33:14.153346,11:33:14.370071,0 days 00:00:00.216725
21,2,200,40,11:33:17.403069,11:33:17.612704,0 days 00:00:00.209635
22,3,200,40,11:33:20.636831,11:33:20.837430,0 days 00:00:00.200599
23,4,200,40,11:33:23.869307,11:33:24.078818,0 days 00:00:00.209511
24,5,200,40,11:33:27.102839,11:33:27.312188,0 days 00:00:00.209349
25,6,200,40,11:33:30.335569,11:33:30.545830,0 days 00:00:00.210261
26,7,200,40,11:33:33.579961,11:33:33.792901,0 days 00:00:00.212940
27,8,200,40,11:33:36.825354,11:33:37.027415,0 days 00:00:00.202061
28,9,200,40,11:33:40.047755,11:33:40.256204,0 days 00:00:00.208449
29,10,200,40,11:33:43.288633,11:33:43.492443,0 days 00:00:00.203810
30,1,200,60,11:33:46.520235,11:33:46.727884,0 days 00:00:00.207649
31,2,200,60,11:33:49.755159,11:33:49.969620,0 days 00:00:00.214461
32,3,200,60,11:33:52.994203,11:33:53.197595,0 days 00:00:00.203392
33,4,200,60,11:33:56.233171,11:33:56.437008,0 days 00:00:00.203837
34,5,200,60,11:33:59.457399,11:33:59.666601,0 days 00:00:00.209202
35,6,200,60,11:34:02.688334,11:34:02.900264,0 days 00:00:00.211930
36,7,200,60,11:34:05.922373,11:34:06.135346,0 days 00:00:00.212973
37,8,200,60,11:34:09.169132,11:34:09.377610,0 days 00:00:00.208478
38,9,200,60,11:34:12.410073,11:34:12.612149,0 days 00:00:00.202076
39,10,200,60,11:34:15.640324,11:34:15.849484,0 days 00:00:00.209160
40,1,200,80,11:34:18.873736,11:34:19.073781,0 days 00:00:00.200045
41,2,200,80,11:34:22.096703,11:34:22.303574,0 days 00:00:00.206871
42,3,200,80,11:34:25.328289,11:34:25.536938,0 days 00:00:00.208649
43,4,200,80,11:34:28.582644,11:34:28.796305,0 days 00:00:00.213661
44,5,200,80,11:34:31.835225,11:34:32.042648,0 days 00:00:00.207423
45,6,200,80,11:34:35.075113,11:34:35.282114,0 days 00:00:00.207001
46,7,200,80,11:34:38.315161,11:34:38.525893,0 days 00:00:00.210732
47,8,200,80,11:34:41.566514,11:34:41.782071,0 days 00:00:00.215557
48,9,200,80,11:34:44.814776,11:34:45.029229,0 days 00:00:00.214453
49,10,200,80,11:34:48.058085,11:34:48.264973,0 days 00:00:00.206888
50,1,200,100,11:34:51.290954,11:34:51.497800,0 days 00:00:00.206846
51,2,200,100,11:34:54.531222,11:34:54.741082,0 days 00:00:00.209860
52,3,200,100,11:34:57.775064,11:34:57.983009,0 days 00:00:00.207945
53,4,200,100,11:35:01.003680,11:35:01.204582,0 days 00:00:00.200902
54,5,200,100,11:35:04.233815,11:35:04.444876,0 days 00:00:00.211061
55,6,200,100,11:35:07.473946,11:35:07.693353,0 days 00:00:00.219407
56,7,200,100,11:35:10.730550,11:35:10.941562,0 days 00:00:00.211012
57,8,200,100,11:35:13.988356,11:35:14.193692,0 days 00:00:00.205336
58,9,200,100,11:35:17.223053,11:35:17.423069,0 days 00:00:00.200016
59,10,200,100,11:35:20.469964,11:35:20.684082,0 days 00:00:00.214118
