,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,12:30:37.635928,12:30:37.870484,0 days 00:00:00.234556
1,2,200,0,12:30:40.898462,12:30:41.114197,0 days 00:00:00.215735
2,3,200,0,12:30:44.147844,12:30:44.359284,0 days 00:00:00.211440
3,4,200,0,12:30:47.384012,12:30:47.598662,0 days 00:00:00.214650
4,5,200,0,12:30:50.630461,12:30:50.830566,0 days 00:00:00.200105
5,6,200,0,12:30:53.863772,12:30:54.073680,0 days 00:00:00.209908
6,7,200,0,12:30:57.100271,12:30:57.309427,0 days 00:00:00.209156
7,8,200,0,12:31:00.346645,12:31:00.550150,0 days 00:00:00.203505
8,9,200,0,12:31:03.579926,12:31:03.789820,0 days 00:00:00.209894
9,10,200,0,12:31:06.813179,12:31:07.023042,0 days 00:00:00.209863
10,1,200,20,12:31:10.064495,12:31:10.272917,0 days 00:00:00.208422
11,2,200,20,12:31:13.315538,12:31:13.528141,0 days 00:00:00.212603
12,3,200,20,12:31:16.562556,12:31:16.772983,0 days 00:00:00.210427
13,4,200,20,12:31:19.806316,12:31:20.020085,0 days 00:00:00.213769
14,5,200,20,12:31:23.053345,12:31:23.254815,0 days 00:00:00.201470
15,6,200,20,12:31:26.288531,12:31:26.501754,0 days 00:00:00.213223
16,7,200,20,12:31:29.529537,12:31:29.765119,0 days 00:00:00.235582
17,8,200,20,12:31:32.798185,12:31:33.007989,0 days 00:00:00.209804
18,9,200,20,12:31:36.044822,12:31:36.254730,0 days 00:00:00.209908
19,10,200,20,12:31:39.293958,12:31:39.508727,0 days 00:00:00.214769
20,1,200,40,12:31:42.543474,12:31:42.761075,0 days 00:00:00.217601
21,2,200,40,12:31:45.794567,12:31:46.003742,0 days 00:00:00.209175
22,3,200,40,12:31:49.044104,12:31:49.253865,0 days 00:00:00.209761
23,4,200,40,12:31:52.286071,12:31:52.486106,0 days 00:00:00.200035
24,5,200,40,12:31:55.527225,12:31:55.737116,0 days 00:00:00.209891
25,6,200,40,12:31:58.785481,12:31:59.004412,0 days 00:00:00.218931
26,7,200,40,12:32:02.043482,12:32:02.258951,0 days 00:00:00.215469
27,8,200,40,12:32:05.293414,12:32:05.510256,0 days 00:00:00.216842
28,9,200,40,12:32:08.542912,12:32:08.753093,0 days 00:00:00.210181
29,10,200,40,12:32:11.792897,12:32:12.000278,0 days 00:00:00.207381
30,1,200,60,12:32:15.026237,12:32:15.241578,0 days 00:00:00.215341
31,2,200,60,12:32:18.284446,12:32:18.499622,0 days 00:00:00.215176
32,3,200,60,12:32:21.525722,12:32:21.726797,0 days 00:00:00.201075
33,4,200,60,12:32:24.761995,12:32:24.974363,0 days 00:00:00.212368
34,5,200,60,12:32:28.008651,12:32:28.224318,0 days 00:00:00.215667
35,6,200,60,12:32:31.262812,12:32:31.479443,0 days 00:00:00.216631
36,7,200,60,12:32:34.508416,12:32:34.718822,0 days 00:00:00.210406
37,8,200,60,12:32:37.742237,12:32:37.942543,0 days 00:00:00.200306
38,9,200,60,12:32:40.984022,12:32:41.208166,0 days 00:00:00.224144
39,10,200,60,12:32:44.236448,12:32:44.451416,0 days 00:00:00.214968
40,1,200,80,12:32:47.494844,12:32:47.700211,0 days 00:00:00.205367
41,2,200,80,12:32:50.735771,12:32:50.942919,0 days 00:00:00.207148
42,3,200,80,12:32:53.974467,12:32:54.174807,0 days 00:00:00.200340
43,4,200,80,12:32:57.208789,12:32:57.418797,0 days 00:00:00.210008
44,5,200,80,12:33:00.451978,12:33:00.658525,0 days 00:00:00.206547
45,6,200,80,12:33:03.690205,12:33:03.890989,0 days 00:00:00.200784
46,7,200,80,12:33:06.918007,12:33:07.122905,0 days 00:00:00.204898
47,8,200,80,12:33:10.145842,12:33:10.355718,0 days 00:00:00.209876
48,9,200,80,12:33:13.388998,12:33:13.594402,0 days 00:00:00.205404
49,10,200,80,12:33:16.625772,12:33:16.831227,0 days 00:00:00.205455
50,1,200,100,12:33:19.856266,12:33:20.066139,0 days 00:00:00.209873
51,2,200,100,12:33:23.099872,12:33:23.307936,0 days 00:00:00.208064
52,3,200,100,12:33:26.343056,12:33:26.545904,0 days 00:00:00.202848
53,4,200,100,12:33:29.589483,12:33:29.796222,0 days 00:00:00.206739
54,5,200,100,12:33:32.817407,12:33:33.027548,0 days 00:00:00.210141
55,6,200,100,12:33:36.048215,12:33:36.257248,0 days 00:00:00.209033
56,7,200,100,12:33:39.289763,12:33:39.496203,0 days 00:00:00.206440
57,8,200,100,12:33:42.518903,12:33:42.720532,0 days 00:00:00.201629
58,9,200,100,12:33:45.748564,12:33:45.970357,0 days 00:00:00.221793
59,10,200,100,12:33:49.005051,12:33:49.214419,0 days 00:00:00.209368
