,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,12:19:46.748132,12:19:46.956606,0 days 00:00:00.208474
1,2,200,0,12:19:49.990630,12:19:50.198613,0 days 00:00:00.207983
2,3,200,0,12:19:53.229376,12:19:53.435239,0 days 00:00:00.205863
3,4,200,0,12:19:56.464502,12:19:56.671690,0 days 00:00:00.207188
4,5,200,0,12:19:59.711095,12:19:59.921803,0 days 00:00:00.210708
5,6,200,0,12:20:02.954635,12:20:03.161495,0 days 00:00:00.206860
6,7,200,0,12:20:06.189391,12:20:06.407089,0 days 00:00:00.217698
7,8,200,0,12:20:09.432125,12:20:09.641370,0 days 00:00:00.209245
8,9,200,0,12:20:12.681241,12:20:12.891221,0 days 00:00:00.209980
9,10,200,0,12:20:15.924521,12:20:16.124581,0 days 00:00:00.200060
10,1,200,20,12:20:19.164585,12:20:19.374391,0 days 00:00:00.209806
11,2,200,20,12:20:22.414387,12:20:22.624008,0 days 00:00:00.209621
12,3,200,20,12:20:25.658652,12:20:25.864430,0 days 00:00:00.205778
13,4,200,20,12:20:28.897431,12:20:29.097682,0 days 00:00:00.200251
14,5,200,20,12:20:32.130326,12:20:32.340165,0 days 00:00:00.209839
15,6,200,20,12:20:35.380025,12:20:35.589993,0 days 00:00:00.209968
16,7,200,20,12:20:38.619549,12:20:38.823130,0 days 00:00:00.203581
17,8,200,20,12:20:41.863368,12:20:42.073423,0 days 00:00:00.210055
18,9,200,20,12:20:45.112838,12:20:45.323000,0 days 00:00:00.210162
19,10,200,20,12:20:48.367670,12:20:48.581775,0 days 00:00:00.214105
20,1,200,40,12:20:51.612868,12:20:51.822390,0 days 00:00:00.209522
21,2,200,40,12:20:54.862318,12:20:55.076471,0 days 00:00:00.214153
22,3,200,40,12:20:58.112110,12:20:58.312974,0 days 00:00:00.200864
23,4,200,40,12:21:01.345325,12:21:01.555573,0 days 00:00:00.210248
24,5,200,40,12:21:04.588770,12:21:04.795996,0 days 00:00:00.207226
25,6,200,40,12:21:07.831989,12:21:08.041702,0 days 00:00:00.209713
26,7,200,40,12:21:11.089535,12:21:11.304236,0 days 00:00:00.214701
27,8,200,40,12:21:14.332202,12:21:14.544391,0 days 00:00:00.212189
28,9,200,40,12:21:17.579845,12:21:17.793378,0 days 00:00:00.213533
29,10,200,40,12:21:20.821107,12:21:21.021471,0 days 00:00:00.200364
30,1,200,60,12:21:24.060774,12:21:24.271049,0 days 00:00:00.210275
31,2,200,60,12:21:27.303958,12:21:27.513325,0 days 00:00:00.209367
32,3,200,60,12:21:30.543820,12:21:30.753971,0 days 00:00:00.210151
33,4,200,60,12:21:33.794728,12:21:34.010769,0 days 00:00:00.216041
34,5,200,60,12:21:37.043598,12:21:37.257954,0 days 00:00:00.214356
35,6,200,60,12:21:40.302031,12:21:40.508725,0 days 00:00:00.206694
36,7,200,60,12:21:43.543212,12:21:43.758513,0 days 00:00:00.215301
37,8,200,60,12:21:46.793309,12:21:47.003037,0 days 00:00:00.209728
38,9,200,60,12:21:50.042733,12:21:50.259501,0 days 00:00:00.216768
39,10,200,60,12:21:53.301901,12:21:53.502282,0 days 00:00:00.200381
40,1,200,80,12:21:56.544762,12:21:56.763351,0 days 00:00:00.218589
41,2,200,80,12:21:59.792602,12:22:00.002519,0 days 00:00:00.209917
42,3,200,80,12:22:03.033628,12:22:03.234469,0 days 00:00:00.200841
43,4,200,80,12:22:06.259036,12:22:06.474031,0 days 00:00:00.214995
44,5,200,80,12:22:09.505278,12:22:09.711212,0 days 00:00:00.205934
45,6,200,80,12:22:12.741748,12:22:12.956958,0 days 00:00:00.215210
46,7,200,80,12:22:15.985760,12:22:16.189094,0 days 00:00:00.203334
47,8,200,80,12:22:19.223938,12:22:19.431789,0 days 00:00:00.207851
48,9,200,80,12:22:22.457827,12:22:22.666482,0 days 00:00:00.208655
49,10,200,80,12:22:25.706391,12:22:25.923924,0 days 00:00:00.217533
50,1,200,100,12:22:28.944533,12:22:29.160790,0 days 00:00:00.216257
51,2,200,100,12:22:32.185092,12:22:32.385360,0 days 00:00:00.200268
52,3,200,100,12:22:35.420098,12:22:35.633835,0 days 00:00:00.213737
53,4,200,100,12:22:38.654858,12:22:38.861774,0 days 00:00:00.206916
54,5,200,100,12:22:41.906438,12:22:42.116747,0 days 00:00:00.210309
55,6,200,100,12:22:45.156711,12:22:45.366383,0 days 00:00:00.209672
56,7,200,100,12:22:48.407399,12:22:48.616347,0 days 00:00:00.208948
57,8,200,100,12:22:51.644058,12:22:51.850080,0 days 00:00:00.206022
58,9,200,100,12:22:54.883043,12:22:55.100400,0 days 00:00:00.217357
59,10,200,100,12:22:58.125283,12:22:58.332682,0 days 00:00:00.207399
