,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,14:22:33.188084,14:22:33.692136,0 days 00:00:00.504052
1,2,500,0,14:22:36.719428,14:22:37.226190,0 days 00:00:00.506762
2,3,500,0,14:22:40.255779,14:22:40.763086,0 days 00:00:00.507307
3,4,500,0,14:22:43.791213,14:22:44.301190,0 days 00:00:00.509977
4,5,500,0,14:22:47.338549,14:22:47.848739,0 days 00:00:00.510190
5,6,500,0,14:22:50.888415,14:22:51.398282,0 days 00:00:00.509867
6,7,500,0,14:22:54.422019,14:22:54.931574,0 days 00:00:00.509555
7,8,500,0,14:22:57.971237,14:22:58.481242,0 days 00:00:00.510005
8,9,500,0,14:23:01.504340,14:23:02.014757,0 days 00:00:00.510417
9,10,500,0,14:23:05.037571,14:23:05.541598,0 days 00:00:00.504027
10,1,500,20,14:23:08.571325,14:23:09.071387,0 days 00:00:00.500062
11,2,500,20,14:23:12.104039,14:23:12.614120,0 days 00:00:00.510081
12,3,500,20,14:23:15.637056,14:23:16.153913,0 days 00:00:00.516857
13,4,500,20,14:23:19.186671,14:23:19.697094,0 days 00:00:00.510423
14,5,500,20,14:23:22.739295,14:23:23.246873,0 days 00:00:00.507578
15,6,500,20,14:23:26.286458,14:23:26.796924,0 days 00:00:00.510466
16,7,500,20,14:23:29.836197,14:23:30.346179,0 days 00:00:00.509982
17,8,500,20,14:23:33.369420,14:23:33.885877,0 days 00:00:00.516457
18,9,500,20,14:23:36.921189,14:23:37.431341,0 days 00:00:00.510152
19,10,500,20,14:23:40.462558,14:23:40.969418,0 days 00:00:00.506860
20,1,500,40,14:23:44.002585,14:23:44.505992,0 days 00:00:00.503407
21,2,500,40,14:23:47.535592,14:23:48.039944,0 days 00:00:00.504352
22,3,500,40,14:23:51.068901,14:23:51.578594,0 days 00:00:00.509693
23,4,500,40,14:23:54.620444,14:23:55.131237,0 days 00:00:00.510793
24,5,500,40,14:23:58.172122,14:23:58.678916,0 days 00:00:00.506794
25,6,500,40,14:24:01.723817,14:24:02.234950,0 days 00:00:00.511133
26,7,500,40,14:24:05.267921,14:24:05.777739,0 days 00:00:00.509818
27,8,500,40,14:24:08.800947,14:24:09.311033,0 days 00:00:00.510086
28,9,500,40,14:24:12.351011,14:24:12.860962,0 days 00:00:00.509951
29,10,500,40,14:24:15.900793,14:24:16.410247,0 days 00:00:00.509454
30,1,500,60,14:24:19.434547,14:24:19.949988,0 days 00:00:00.515441
31,2,500,60,14:24:22.983628,14:24:23.493377,0 days 00:00:00.509749
32,3,500,60,14:24:26.535975,14:24:27.043255,0 days 00:00:00.507280
33,4,500,60,14:24:30.083321,14:24:30.592914,0 days 00:00:00.509593
34,5,500,60,14:24:33.616464,14:24:34.127394,0 days 00:00:00.510930
35,6,500,60,14:24:37.168094,14:24:37.675980,0 days 00:00:00.507886
36,7,500,60,14:24:40.700621,14:24:41.209213,0 days 00:00:00.508592
37,8,500,60,14:24:44.249090,14:24:44.758978,0 days 00:00:00.509888
38,9,500,60,14:24:47.792011,14:24:48.301831,0 days 00:00:00.509820
39,10,500,60,14:24:51.331891,14:24:51.836073,0 days 00:00:00.504182
40,1,500,80,14:24:54.865434,14:24:55.375057,0 days 00:00:00.509623
41,2,500,80,14:24:58.416298,14:24:58.924883,0 days 00:00:00.508585
42,3,500,80,14:25:01.964961,14:25:02.468755,0 days 00:00:00.503794
43,4,500,80,14:25:05.497658,14:25:06.007511,0 days 00:00:00.509853
44,5,500,80,14:25:09.027643,14:25:09.548375,0 days 00:00:00.520732
45,6,500,80,14:25:12.580590,14:25:13.081502,0 days 00:00:00.500912
46,7,500,80,14:25:16.116479,14:25:16.623611,0 days 00:00:00.507132
47,8,500,80,14:25:19.663639,14:25:20.169603,0 days 00:00:00.505964
48,9,500,80,14:25:23.196809,14:25:23.700208,0 days 00:00:00.503399
49,10,500,80,14:25:26.730076,14:25:27.246983,0 days 00:00:00.516907
50,1,500,100,14:25:30.279878,14:25:30.782876,0 days 00:00:00.502998
51,2,500,100,14:25:33.812897,14:25:34.322636,0 days 00:00:00.509739
52,3,500,100,14:25:37.349319,14:25:37.856121,0 days 00:00:00.506802
53,4,500,100,14:25:40.879365,14:25:41.383069,0 days 00:00:00.503704
54,5,500,100,14:25:44.412775,14:25:44.917192,0 days 00:00:00.504417
55,6,500,100,14:25:47.955227,14:25:48.455495,0 days 00:00:00.500268
56,7,500,100,14:25:51.495795,14:25:52.004838,0 days 00:00:00.509043
57,8,500,100,14:25:55.047784,14:25:55.555055,0 days 00:00:00.507271
58,9,500,100,14:25:58.597827,14:25:59.104561,0 days 00:00:00.506734
59,10,500,100,14:26:02.134396,14:26:02.635215,0 days 00:00:00.500819
